Date, Close/Last, Volume, Open, High, Low
01/20/2021, $9.41, 2392356, $8.41, $9.7858, $8.4
01/19/2021, $8.1, 1087747, $8.15, $8.41, $7.97
01/15/2021, $8.01, 1424455, $8.53, $8.605, $7.85
01/14/2021, $8.61, 1738553, $8.52, $9.18, $8.42
01/13/2021, $8.42, 1332347, $8.74, $8.85, $8.02
01/12/2021, $8.67, 683825, $8.94, $8.99, $8.51
01/11/2021, $8.85, 844477, $9.11, $9.25, $8.72
01/08/2021, $9.3, 1069269, $9.74, $9.79, $8.8
01/07/2021, $9.52, 1170408, $9.58, $10.23, $9.48
01/06/2021, $9.46, 2107122, $8.94, $9.74, $8.73
01/05/2021, $9.57, 1716186, $10.57, $10.75, $9.4713
01/04/2021, $10.95, 1425495, $10.16, $11.1, $10.16
12/31/2020, $10.2, 1369768, $9.92, $10.55, $9.845
12/30/2020, $9.95, 993890, $10.03, $10.37, $9.88
12/29/2020, $9.985, 1406203, $10.63, $10.79, $9.83
12/28/2020, $10.56, 1509864, $10.25, $10.87, $9.9
12/24/2020, $10.02, 653630, $9.89, $10.25, $9.85
12/23/2020, $9.91, 1748715, $10.5, $10.815, $9.56
12/22/2020, $10.5, 2596254, $9.98, $10.63, $9.55
12/21/2020, $9.96, 2812282, $9.365, $10.32, $9.11
12/18/2020, $9.63, 4611406, $8.21, $9.66, $8.21
12/17/2020, $8.19, 1833333, $7.45, $8.43, $7.4101
12/16/2020, $7.49, 1810343, $7.2, $7.74, $7.07
12/15/2020, $7.17, 3085562, $9.2, $9.33, $7
12/14/2020, $9.23, 1650420, $8.48, $9.5, $8.46
12/11/2020, $8.27, 627818, $8.14, $8.35, $7.98
12/10/2020, $8.3, 663305, $8.16, $8.6, $8.16
12/09/2020, $8.33, 810639, $8.47, $8.74, $7.99
12/08/2020, $8.4, 1440114, $8.09, $8.9, $8.09
12/07/2020, $8.09, 1153205, $8.56, $8.94, $8.09
12/04/2020, $8.47, 1155734, $8.44, $8.95, $7.95
12/03/2020, $8.475, 1061079, $8.69, $9.15, $8.3701
12/02/2020, $8.55, 1233455, $8.15, $8.73, $8.08
12/01/2020, $8.24, 3079381, $8.33, $8.8, $8.13
11/30/2020, $7.92, 1206850, $7.75, $7.95, $7.27
11/27/2020, $7.49, 1388242, $7.43, $7.97, $7.15
11/25/2020, $7.48, 3389687, $6.22, $7.6499, $6.18
11/24/2020, $6.08, 689548, $6.07, $6.32, $5.83
11/23/2020, $5.94, 819526, $6.3, $6.45, $5.93
11/20/2020, $6.31, 683078, $6.05, $6.4898, $6.05
11/19/2020, $6.14, 381768, $6.02, $6.19, $5.95
11/18/2020, $6.03, 540476, $6.29, $6.5, $6.03
11/17/2020, $6.2, 834867, $6.36, $6.7, $6.16
11/16/2020, $6.4, 1276266, $6, $6.48, $6
11/13/2020, $5.905, 444383, $5.87, $5.96, $5.68
11/12/2020, $5.93, 678197, $5.66, $5.95, $5.66
11/11/2020, $5.78, 825377, $6.05, $6.24, $5.73
11/10/2020, $6, 1393357, $5.48, $6.01, $5.34
11/09/2020, $5.43, 1237193, $5.07, $5.5801, $5.07
11/06/2020, $4.91, 596053, $5.27, $5.27, $4.88
11/05/2020, $5.27, 780831, $5.21, $5.3, $4.93
11/04/2020, $5.22, 1364184, $4.68, $5.28, $4.68
11/03/2020, $4.68, 1198518, $4.27, $4.74, $4.25
11/02/2020, $4.17, 578821, $4.38, $4.381, $4.06
10/30/2020, $4.29, 692959, $4.3, $4.35, $4.08
10/29/2020, $4.39, 784278, $4.06, $4.47, $4.02
10/28/2020, $4.105, 562736, $4.14, $4.23, $3.95
10/27/2020, $4.29, 623556, $4.1, $4.31, $3.96
10/26/2020, $4.1, 770125, $4.35, $4.37, $3.9801
10/23/2020, $4.39, 492493, $4.35, $4.48, $4.18
10/22/2020, $4.33, 529939, $4.32, $4.56, $4.26
10/21/2020, $4.32, 698383, $4.49, $4.58, $4.23
10/20/2020, $4.53, 865741, $4.52, $4.647, $4.26
10/19/2020, $4.53, 804147, $4.86, $4.97, $4.48
10/16/2020, $4.83, 720958, $4.99, $5.0599, $4.8
10/15/2020, $5, 2514716, $4.67, $5.55, $4.63
10/14/2020, $4.67, 792391, $4.8, $5.02, $4.65
10/13/2020, $4.78, 618667, $4.92, $5, $4.73
10/12/2020, $5.02, 1904019, $5.6, $5.6, $4.8801
10/09/2020, $5.69, 6028856, $4.81, $5.94, $4.79
10/08/2020, $4.41, 821068, $4.36, $4.555, $4.32
10/07/2020, $4.38, 909348, $4.09, $4.4, $4.09
10/06/2020, $4.05, 812281, $4.01, $4.285, $3.96
10/05/2020, $4.01, 636140, $3.77, $4.02, $3.75
10/02/2020, $3.75, 791899, $3.72, $4.04, $3.66
10/01/2020, $3.82, 1261084, $3.5, $3.86, $3.36
09/30/2020, $3.5, 2144649, $3.54, $3.65, $3.41
09/29/2020, $3.54, 628775, $3.56, $3.6264, $3.47
09/28/2020, $3.58, 832840, $3.74, $3.75, $3.5
09/25/2020, $3.58, 1115932, $3.48, $3.695, $3.4099
09/24/2020, $3.5, 956309, $3.77, $3.97, $3.47
09/23/2020, $3.75, 1246056, $4.16, $4.1702, $3.73
09/22/2020, $4.15, 832762, $4.18, $4.25, $4.05
09/21/2020, $4.2, 1303874, $4.51, $4.6147, $4.1
09/18/2020, $4.7, 4026182, $4.95, $4.98, $4.615
09/17/2020, $4.89, 710046, $5.11, $5.13, $4.79
09/16/2020, $5.18, 759532, $5.22, $5.39, $5.1105
09/15/2020, $5.285, 775512, $5.22, $5.38, $5.1855
09/14/2020, $5.2, 1009227, $4.9288, $5.34, $4.9288
09/11/2020, $4.92, 570804, $4.79, $4.935, $4.73
09/10/2020, $4.76, 497521, $4.81, $4.985, $4.75
09/09/2020, $4.83, 664762, $4.9, $5.08, $4.825
09/08/2020, $4.83, 750921, $4.98, $5.1, $4.815
09/04/2020, $5.08, 1005209, $5.5, $5.5436, $5.02
09/03/2020, $5.49, 779711, $5.85, $5.9, $5.37
09/02/2020, $5.85, 478628, $5.63, $5.86, $5.59
09/01/2020, $5.74, 1085882, $5.98, $6.09, $5.565
08/31/2020, $6.05, 901577, $6.21, $6.275, $5.96
08/28/2020, $6.195, 985981, $5.88, $6.24, $5.88
08/27/2020, $5.92, 1431540, $5.49, $6.06, $5.49
08/26/2020, $5.5, 546299, $5.56, $5.71, $5.4299
08/25/2020, $5.58, 744840, $5.78, $5.78, $5.32
08/24/2020, $5.55, 1455022, $6.1255, $6.1511, $5.43
08/21/2020, $6.09, 3819959, $5.56, $6.65, $5.56
08/20/2020, $5.57, 1523677, $5.25, $5.64, $5.23
08/19/2020, $5.28, 1679851, $4.87, $5.47, $4.82
08/18/2020, $4.89, 809750, $5.01, $5.015, $4.7985
08/17/2020, $5.04, 1612074, $4.44, $5.06, $4.41
08/14/2020, $4.45, 1785016, $4.46, $4.65, $4.26
08/13/2020, $4.18, 725492, $4.22, $4.37, $4.17
08/12/2020, $4.34, 1656846, $4.48, $4.56, $4.1001
08/11/2020, $4.6, 5846885, $4.89, $5.54, $3.86
08/10/2020, $5.12, 870213, $4.91, $5.17, $4.86
08/07/2020, $4.88, 735915, $4.65, $5.05, $4.65
08/06/2020, $4.76, 793242, $5, $5.07, $4.64
08/05/2020, $4.89, 691031, $4.66, $4.945, $4.6
08/04/2020, $4.62, 890690, $4.46, $4.74, $4.4401
08/03/2020, $4.46, 579701, $4.25, $4.5121, $4.21
07/31/2020, $4.21, 806515, $4.41, $4.41, $4.036
07/30/2020, $4.4, 514344, $4.33, $4.46, $4.23
07/29/2020, $4.38, 904784, $4.26, $4.43, $4.06
07/28/2020, $4.22, 558172, $4.35, $4.4, $4.21
07/27/2020, $4.38, 678208, $4.27, $4.53, $4.2
07/24/2020, $4.265, 625555, $4.45, $4.45, $4.24
07/23/2020, $4.45, 746810, $4.7, $4.78, $4.45
07/22/2020, $4.76, 551016, $4.71, $4.85, $4.57
07/21/2020, $4.74, 1167466, $4.9, $5.18, $4.71
07/20/2020, $4.84, 635312, $4.58, $4.84, $4.54
07/17/2020, $4.58, 628377, $4.65, $4.77, $4.58
07/16/2020, $4.67, 879226, $4.46, $4.69, $4.38
07/15/2020, $4.52, 621640, $4.61, $4.64, $4.41
07/14/2020, $4.49, 629274, $4.34, $4.49, $4.19
07/13/2020, $4.35, 760388, $4.57, $4.65, $4.34
07/10/2020, $4.53, 987779, $4.35, $4.59, $4.17
07/09/2020, $4.32, 804615, $4.55, $4.64, $4.3
07/08/2020, $4.5, 1135065, $4.55, $4.59, $4.4
07/07/2020, $4.5, 881796, $4.53, $4.65, $4.36
07/06/2020, $4.57, 1570368, $4.87, $4.94, $4.51
07/02/2020, $4.82, 971479, $4.85, $5.07, $4.7
07/01/2020, $4.75, 1439285, $5.02, $5.19, $4.7
06/30/2020, $4.99, 2846391, $4.8, $5.04, $4.77
06/29/2020, $4.88, 1805235, $5, $5.19, $4.64
06/26/2020, $4.96, 2688268, $4.85, $5.1202, $4.71
06/25/2020, $4.915, 1305837, $5.05, $5.27, $4.87
06/24/2020, $5.11, 1929302, $4.89, $5.4, $4.87
06/23/2020, $4.92, 2219442, $5.25, $5.29, $4.76
06/22/2020, $5.46, 4300409, $5.01, $5.87, $4.99
06/19/2020, $4.99, 6810220, $4.32, $4.99, $4.1699
06/18/2020, $4.14, 872188, $4.04, $4.25, $4
06/17/2020, $4.04, 1435250, $4.45, $4.54, $4
06/16/2020, $4.49, 1588219, $4.5, $4.67, $4.18
06/15/2020, $4.49, 2280871, $3.99, $4.54, $3.92
06/12/2020, $4.14, 2130259, $3.99, $4.34, $3.7733
06/11/2020, $3.69, 2737018, $4.25, $4.29, $3.68
06/10/2020, $4.38, 5156899, $3.43, $4.5, $3.39
06/09/2020, $3.48, 1201729, $3.62, $3.71, $3.38
06/08/2020, $3.72, 4345388, $3.28, $4.225, $3.27
06/05/2020, $3.21, 1474163, $3.28, $3.35, $3.15
06/04/2020, $3.23, 1780903, $3.26, $3.3993, $3.08
06/03/2020, $3.29, 4830656, $3.56, $3.71, $3.0805
06/02/2020, $3.96, 31420950, $2.24, $4.74, $2.2
06/01/2020, $2.16, 1039706, $2.19, $2.32, $2.15
05/29/2020, $2.2, 2201083, $2.33, $2.41, $2.14
05/28/2020, $2.345, 1062720, $2.52, $2.53, $2.31
05/27/2020, $2.515, 931930, $2.54, $2.59, $2.4
05/26/2020, $2.475, 1002617, $2.62, $2.69, $2.47
05/22/2020, $2.57, 940804, $2.5, $2.61, $2.44
05/21/2020, $2.485, 745724, $2.46, $2.59, $2.4
05/20/2020, $2.5, 1016457, $2.45, $2.625, $2.45
05/19/2020, $2.43, 973887, $2.55, $2.64, $2.41
05/18/2020, $2.55, 1248403, $2.36, $2.66, $2.36
05/15/2020, $2.52, 1655881, $2.36, $2.78, $2.36
05/14/2020, $2.6, 1433450, $2.74, $2.84, $2.6
05/13/2020, $2.84, 1383966, $2.98, $3.03, $2.75
05/12/2020, $2.98, 1193687, $3.21, $3.33, $2.98
05/11/2020, $3.23, 1058545, $3.25, $3.321, $3.13
05/08/2020, $3.26, 941588, $3.27, $3.3975, $3.2
05/07/2020, $3.17, 905608, $3.18, $3.35, $3.02
05/06/2020, $3.22, 631206, $3.35, $3.5, $3.145
05/05/2020, $3.37, 572392, $3.5, $3.61, $3.29
05/04/2020, $3.445, 836479, $3.15, $3.46, $3.11
05/01/2020, $3.18, 1153327, $3.41, $3.5643, $3.095
04/30/2020, $3.6, 1218470, $3.56, $3.75, $3.36
04/29/2020, $3.73, 980779, $3.68, $3.75, $3.45
04/28/2020, $3.52, 1065910, $3.97, $3.97, $3.465
04/27/2020, $3.87, 1347924, $3.48, $3.97, $3.48
04/24/2020, $3.5, 730666, $3.78, $3.78, $3.41
04/23/2020, $3.7, 1516225, $3.35, $3.85, $3.3262
04/22/2020, $3.3, 633496, $3.24, $3.35, $3.06
04/21/2020, $3.21, 1049450, $3.5, $3.52, $3.09
04/20/2020, $3.5, 1735898, $2.84, $3.5, $2.84
04/17/2020, $2.94, 1141980, $2.86, $2.94, $2.65
04/16/2020, $2.72, 816183, $2.69, $2.7299, $2.57
04/15/2020, $2.72, 743260, $2.72, $2.78, $2.5873
04/14/2020, $2.88, 1004374, $2.89, $2.94, $2.65
04/13/2020, $2.81, 887128, $2.92, $2.92, $2.6
04/09/2020, $2.91, 743802, $2.77, $3, $2.75
04/08/2020, $2.72, 947378, $2.72, $2.75, $2.61
04/07/2020, $2.72, 846328, $2.97, $3.05, $2.66
04/06/2020, $2.97, 928090, $3.02, $3.02, $2.73
04/03/2020, $2.83, 614272, $2.81, $2.93, $2.68
04/02/2020, $2.86, 959054, $2.75, $2.86, $2.56
04/01/2020, $2.75, 930019, $3.01, $3.14, $2.74
03/31/2020, $3.4, 936538, $3.15, $3.44, $3.0602
03/30/2020, $3.26, 1184777, $2.93, $3.32, $2.75
03/27/2020, $3.14, 1015235, $3.28, $3.29, $3.01
03/26/2020, $3.43, 1321170, $3.33, $3.62, $3.25
03/25/2020, $3.24, 3853598, $3, $3.68, $2.645
03/24/2020, $3, 3125323, $2.4, $3, $2.28
03/23/2020, $2.28, 1247310, $3, $3.0115, $2.21
03/20/2020, $2.95, 2500317, $2.51, $2.96, $2.31
03/19/2020, $2.56, 2569626, $1.66, $2.58, $1.61
03/18/2020, $1.63, 1911998, $1.3, $1.79, $1.3
03/17/2020, $1.46, 2060536, $1.62, $1.7, $1.26
03/16/2020, $1.55, 1251391, $1.75, $1.94, $1.55
03/13/2020, $2.01, 1753395, $2.05, $2.09, $1.62
03/12/2020, $1.95, 1646731, $2.02, $2.25, $1.91
03/11/2020, $2.2, 1553307, $2.3, $2.39, $2.14
03/10/2020, $2.38, 1516502, $2.51, $2.63, $2.19
03/09/2020, $2.385, 1400918, $3, $3, $2.38
03/06/2020, $3.07, 1026496, $3.12, $3.28, $3.06
03/05/2020, $3.21, 1087328, $3.42, $3.47, $3.14
03/04/2020, $3.49, 1081853, $3.28, $3.49, $3.24
03/03/2020, $3.24, 1793976, $3.62, $3.74, $3.06
03/02/2020, $3.91, 1242193, $3.84, $3.91, $3.55
02/28/2020, $3.79, 1254105, $3.63, $3.8, $3.56
02/27/2020, $3.72, 1061457, $4.29, $4.3, $3.71
02/26/2020, $4.43, 1043671, $4.35, $4.52, $4.22
02/25/2020, $4.34, 996554, $4.61, $4.65, $4.34
02/24/2020, $4.58, 902067, $4.51, $4.62, $4.42
02/21/2020, $4.73, 933756, $4.75, $4.79, $4.63
02/20/2020, $4.72, 1271699, $4.57, $4.78, $4.5101
02/19/2020, $4.59, 842091, $4.4, $4.64, $4.4
02/18/2020, $4.42, 1055814, $4.27, $4.44, $4.22
02/14/2020, $4.27, 1420239, $3.87, $4.3788, $3.85
02/13/2020, $3.87, 1047593, $4.1, $4.14, $3.86
02/12/2020, $4.11, 788200, $4.1, $4.19, $4.041
02/11/2020, $4.08, 1014739, $4.45, $4.45, $4.07
02/10/2020, $4.42, 898439, $4.4, $4.52, $4.23
02/07/2020, $4.42, 744105, $4.59, $4.65, $4.4076
