Date, Close/Last, Volume, Open, High, Low
01/20/2021, $43.9, 2033103, $48.95, $49.79, $41.78
01/19/2021, $46.13, 1815942, $42.56, $48.4, $42.09
01/15/2021, $40.91, 1284994, $41.19, $41.5, $37.0252
01/14/2021, $40, 2924130, $35.83, $41.49, $35.23
01/13/2021, $35.99, 719240, $34.96, $36.7, $34.2
01/12/2021, $34.76, 773039, $33.25, $35.8399, $33.05
01/11/2021, $33.39, 425349, $33.88, $34.2902, $32.58
01/08/2021, $33.88, 1341132, $36.84, $36.95, $31.8
01/07/2021, $34.97, 1433781, $31.3271, $35.18, $31.3271
01/06/2021, $30.05, 1730598, $32.25, $34.4, $29.05
01/05/2021, $32.25, 1892624, $29, $33.14, $28.5002
01/04/2021, $28.65, 996174, $27.51, $29.3528, $27.1217
12/31/2020, $26.55, 666755, $27.51, $27.703, $25.87
12/30/2020, $27.49, 431082, $27.3, $28.75, $27.25
12/29/2020, $27.06, 650322, $28.3039, $28.7047, $25.36
12/28/2020, $28.07, 675016, $29.2, $30.35, $27.66
12/24/2020, $28.48, 477937, $29.9, $30.47, $27.7776
12/23/2020, $29.4, 1468023, $31.66, $31.8191, $28.58
12/22/2020, $31.15, 2229905, $27.5, $31.86, $27.5
12/21/2020, $27.85, 500636, $26.85, $28.02, $26.1
12/18/2020, $28.06, 899255, $26.47, $29, $26.45
12/17/2020, $26.85, 481471, $26.19, $26.88, $25.7
12/16/2020, $26.2, 552578, $25.3, $26.25, $25
12/15/2020, $25.51, 723939, $25.115, $25.9989, $24.3869
12/14/2020, $24.85, 635574, $26.09, $26.23, $24.185
12/11/2020, $26, 569703, $26.21, $26.49, $25.1
12/10/2020, $25.7, 485350, $25.31, $25.88, $25
12/09/2020, $25.94, 945893, $27.75, $28.85, $25.05
12/08/2020, $27.25, 652561, $26.7, $27.412, $25.56
12/07/2020, $26.88, 894156, $25.65, $27.2, $24.62
12/04/2020, $25.39, 615384, $26.67, $26.898, $25
12/03/2020, $26.68, 802198, $27, $27.8, $25.9
12/02/2020, $25.75, 901392, $26.09, $26.46, $23.56
12/01/2020, $25.88, 847052, $29, $29, $25.8
11/30/2020, $27.94, 837714, $29.9, $29.9, $27.26
11/27/2020, $29.3, 1611539, $29.31, $32, $28.35
11/25/2020, $28.69, 710986, $27.79, $29.7, $27.35
11/24/2020, $28.37, 1290189, $28.28, $29.5, $26.65
11/23/2020, $29, 1731582, $26.44, $29, $25.44
11/20/2020, $26.34, 537536, $26.9, $27.05, $26.03
11/19/2020, $27.06, 1306385, $26.41, $27.46, $24.51
11/18/2020, $25.96, 1264113, $28.48, $28.48, $25.75
11/17/2020, $28.01, 1428267, $30.2, $30.25, $26.64
11/16/2020, $29.71, 1636198, $27.39, $30.74, $26.68
11/13/2020, $26.72, 2197834, $27.19, $29.6, $25.57
11/12/2020, $26.4, 3916706, $24, $28.7, $23.82
11/11/2020, $24.44, 1741121, $23.97, $25.15, $22.88
11/10/2020, $23.78, 1154740, $23.042, $24.11, $22.1
