Date, Close/Last, Volume, Open, High, Low
03/24/2021, $23.01, 66721, $24.27, $24.615, $22.8911
03/23/2021, $23.88, 53608, $24.11, $24.83, $23.34
03/22/2021, $24.03, 67834, $23.57, $24.43, $23.18
03/19/2021, $23.58, 191265, $24.15, $25.34, $23.45
03/18/2021, $24.01, 115308, $25.26, $25.55, $23.96
03/17/2021, $25.69, 128640, $26.2, $26.6416, $25.3901
03/16/2021, $26.3, 236801, $30.97, $31, $25.85
03/15/2021, $31.15, 68990, $30.71, $31.95, $30.4601
03/12/2021, $30.87, 73940, $30.68, $31.07, $28.9
03/11/2021, $30.24, 84256, $29.51, $30.48, $28.47
03/10/2021, $28.8, 110072, $27.02, $29.22, $26.41
03/09/2021, $26.64, 65160, $25.23, $26.9483, $25.23
03/08/2021, $24.73, 71412, $25.8, $26.54, $24.52
03/05/2021, $25.68, 270419, $25.9, $25.98, $22.2
03/04/2021, $25.15, 152730, $27.8, $27.92, $24.86
03/03/2021, $27.77, 133631, $29.92, $30.99, $26.72
03/02/2021, $29.37, 176163, $29.58, $30.19, $28.83
03/01/2021, $29.45, 75216, $30.06, $30.9799, $29.15
02/26/2021, $29.25, 113934, $29.19, $30.167, $28.06
02/25/2021, $28.99, 123215, $31.84, $32.865, $28.8315
02/24/2021, $31.9, 108852, $31.83, $34.22, $31.5101
02/23/2021, $32.21, 221229, $33.02, $33.29, $28.73
02/22/2021, $34.45, 96448, $35.46, $36.02, $33.89
02/19/2021, $35.46, 118654, $34.91, $36.76, $34.44
02/18/2021, $34.75, 117744, $34.83, $36.75, $34.0581
02/17/2021, $34.9, 125494, $35.67, $36.41, $34.25
02/16/2021, $36.06, 239524, $41, $41, $35.28
02/12/2021, $39.96, 168401, $36.27, $40.2, $35.98
02/11/2021, $36.04, 235873, $40.73, $40.93, $35.12
02/10/2021, $40.63, 146887, $39.79, $43.2801, $39.09
02/09/2021, $39.14, 290812, $43.66, $44.5, $38.5501
02/08/2021, $44.27, 209795, $45, $45.82, $43.42
02/05/2021, $44.15, 199776, $41.14, $44.39, $39.825
02/04/2021, $41.1, 391750, $36.6, $41.86, $35.12
02/03/2021, $36.62, 422899, $35.67, $37.45, $32.75
02/02/2021, $34.2, 90021, $34.24, $34.75, $33.29
02/01/2021, $33.94, 83078, $34.67, $34.67, $33.03
01/29/2021, $34.15, 133299, $34.6, $34.92, $31.6
01/28/2021, $34.43, 104496, $34.42, $35, $33.63
01/27/2021, $34.44, 114478, $33.81, $35, $32.47
01/26/2021, $34.24, 189627, $35.5, $35.5, $33.22
01/25/2021, $34.84, 508825, $29.9, $36, $29.6161
01/22/2021, $29.53, 105483, $28.84, $29.83, $28.53
01/21/2021, $28.78, 97090, $29.13, $29.8, $28.21
01/20/2021, $28.98, 105475, $27.5, $30, $27.385
01/19/2021, $27.44, 213575, $27.27, $30.69, $26.9
01/15/2021, $26.94, 185455, $24.66, $28.8599, $24.66
01/14/2021, $24.86, 118105, $25.21, $25.72, $24.71
01/13/2021, $25.19, 211580, $24.64, $25.39, $22.96
01/12/2021, $23.15, 300946, $23.79, $24.52, $22.69
01/11/2021, $24.67, 115701, $26.22, $26.42, $24.48
01/08/2021, $26.41, 163920, $25.81, $26.57, $25.5635
01/07/2021, $25.95, 93017, $25.45, $26.5441, $24.9953
01/06/2021, $25.47, 91361, $25.33, $26.15, $24.78
01/05/2021, $25.28, 268596, $24.54, $26.1769, $24.54
01/04/2021, $24.51, 126088, $23.7, $24.98, $23.7
12/31/2020, $23.86, 186323, $24.67, $24.9699, $23.65
12/30/2020, $24.5, 108012, $23.3, $25, $23.25
12/29/2020, $23.07, 64936, $22.3, $23.1, $21.54
12/28/2020, $22.28, 110318, $21.46, $22.395, $21.36
12/24/2020, $21.14, 15604, $21.13, $21.83, $21.01
12/23/2020, $21.16, 140543, $23.65, $24.05, $21.1
12/22/2020, $22.98, 109638, $22.02, $23.8, $22.02
12/21/2020, $22.3, 154538, $21.89, $23.9, $21.2003
12/18/2020, $22.11, 297884, $20.48, $22.47, $20.48
12/17/2020, $20.31, 106396, $19.34, $20.45, $19.11
12/16/2020, $19.19, 112119, $18.66, $19.6, $18.24
12/15/2020, $18.4, 79593, $18.64, $19.38, $18.03
12/14/2020, $18.8, 197211, $17.93, $20.5, $17.93
12/11/2020, $17.77, 100611, $17.08, $18.2, $17.02
12/10/2020, $17.09, 64829, $16.98, $17.4, $16.79
12/09/2020, $17.07, 37761, $17.43, $17.69, $16.9
12/08/2020, $17.44, 74527, $17.34, $17.845, $17
12/07/2020, $17.47, 69258, $17.18, $18.2599, $16.98
12/04/2020, $17.14, 38227, $17.14, $17.44, $16.63
12/03/2020, $16.93, 107515, $18.42, $18.49, $16.7749
12/02/2020, $18.3, 379169, $15.31, $19.7, $15.13
12/01/2020, $15.37, 49366, $14.94, $15.75, $14.7
11/30/2020, $14.9, 55423, $14.75, $15.2, $14.75
11/27/2020, $14.7, 22530, $14.74, $15.07, $14.5121
11/25/2020, $14.75, 38762, $14.66, $15.15, $14.66
11/24/2020, $14.9, 61835, $14.52, $14.92, $14.11
11/23/2020, $14.41, 61159, $14.5, $15.02, $14.23
11/20/2020, $14.41, 42144, $13.96, $14.41, $13.8
11/19/2020, $14.18, 43889, $13.93, $14.515, $13.895
11/18/2020, $13.97, 43112, $14.31, $14.575, $13.89
11/17/2020, $14.28, 33367, $14.41, $14.8, $14.27
11/16/2020, $14.62, 47887, $14.9, $15.45, $14.35
11/13/2020, $14.86, 92931, $15.32, $15.95, $14.65
11/12/2020, $15.38, 104538, $14.94, $15.49, $14.21
11/11/2020, $14.67, 119368, $14.01, $14.9696, $14.01
11/10/2020, $14.08, 215115, $12.57, $14.96, $12.16
11/09/2020, $11.89, 96502, $12.08, $12.75, $11.8
11/06/2020, $12.15, 60242, $12.21, $12.47, $11.89
11/05/2020, $12.01, 45549, $12.29, $12.55, $11.89
11/04/2020, $12.32, 36856, $12.39, $12.69, $12.165
11/03/2020, $12.47, 39394, $12.29, $12.72, $12.2201
11/02/2020, $12.06, 40218, $12.3, $12.46, $11.71
10/30/2020, $12.11, 56568, $12.475, $12.9341, $11.6
10/29/2020, $12.06, 38780, $11.94, $12.16, $11.84
10/28/2020, $12.13, 106847, $12.18, $12.36, $11.845
10/27/2020, $12.38, 58069, $12.85, $12.94, $12.26
10/26/2020, $12.82, 72485, $12.16, $13.06, $12.03
10/23/2020, $12.37, 148252, $13.36, $13.58, $12.3
10/22/2020, $13.25, 32068, $13.49, $13.675, $13.23
10/21/2020, $13.5, 40187, $12.97, $13.93, $12.97
10/20/2020, $13.81, 45903, $13.88, $14.23, $13.55
10/19/2020, $13.81, 83811, $14.81, $15.09, $13.61
10/16/2020, $14.71, 34833, $14.87, $15.47, $14.7
10/15/2020, $14.97, 49469, $14.97, $15.2855, $14.7101
10/14/2020, $15.21, 56277, $15.04, $15.3866, $14.81
10/13/2020, $15.14, 39365, $15.14, $15.76, $14.781
10/12/2020, $15.4, 43676, $15.57, $15.57, $15.03
10/09/2020, $15.65, 39987, $15.69, $15.9425, $15.3
10/08/2020, $15.66, 86979, $15.47, $16.14, $15.31
10/07/2020, $15.43, 90123, $15.2, $15.55, $14.7979
10/06/2020, $14.83, 249758, $15.76, $15.76, $14.68
