Date, Close/Last, Volume, Open, High, Low
03/24/2021, $27.16, 55784, $27.42, $27.42, $27.09
03/23/2021, $27.25, 3309, $27.3, $27.3, $27.25
03/22/2021, $27.25, 14916, $27.03, $27.34, $27.03
03/19/2021, $27.25, 14182, $27.23, $27.42, $27.016
03/18/2021, $27.03, 9239, $27.3, $27.3, $27
03/17/2021, $27.3, 15214, $27.37, $27.37, $27.18
03/16/2021, $27.3, 17227, $27.2, $27.35, $27.2
03/15/2021, $27.31, 16593, $27.25, $27.35, $27.2073
03/12/2021, $27.28, 17264, $27.271, $27.42, $27.24
03/11/2021, $27.28, 18466, $27.35, $27.35, $27.28
03/10/2021, $27.42, 60017, $27.09, $27.49, $27.09
03/09/2021, $27.1797, 14694, $27.22, $27.3, $27.1428
03/08/2021, $27.2, 10961, $27.12, $27.25, $27.11
03/05/2021, $27.2, 7343, $27.25, $27.25, $27.17
03/04/2021, $27.83, 5485, $27.15, $27.83, $27.085
03/03/2021, $27.19, 18140, $27.72, $27.72, $27.17
03/02/2021, $27.22, 17471, $27.027, $27.22, $27
03/01/2021, $26.86, 19179, $27.19, $27.2, $26.85
02/26/2021, $26.83, 24905, $26.88, $27.15, $26.8
02/25/2021, $27, 21456, $27.25, $27.25, $26.7988
02/24/2021, $27.29, 7091, $27.32, $27.32, $27.13
02/23/2021, $27.31, 15485, $27.06, $27.31, $27.0201
02/22/2021, $27.08, 8559, $27.24, $27.3, $27.07
02/19/2021, $27.13, 17515, $27.18, $27.34, $27.13
02/18/2021, $27.32, 8633, $27.39, $27.39, $27.15
02/17/2021, $27.21, 18313, $27.17, $27.54, $27.0726
02/16/2021, $27.19, 27958, $27.13, $27.25, $27.06
02/12/2021, $27.09, 14996, $27.38, $27.38, $27.08
02/11/2021, $27.32, 18694, $27.1, $27.43, $27.08
02/10/2021, $27.485, 25517, $27.5, $27.6, $27.446
02/09/2021, $27.5, 9356, $27.55, $27.55, $27.3701
02/08/2021, $27.44, 28070, $27.55, $27.6799, $27.36
02/05/2021, $27.52, 10751, $27.47, $27.62, $27.47
02/04/2021, $27.435, 12391, $27.52, $27.55, $27.355
02/03/2021, $27.34, 11980, $27.52, $27.52, $27.32
02/02/2021, $27.42, 8097, $27.4, $27.5399, $27.395
02/01/2021, $27.284, 9473, $27.41, $27.47, $27.1092
01/29/2021, $27.5, 38732, $27.19, $27.55, $27.07
01/28/2021, $27.3, 7026, $27.55, $27.55, $27.21
01/27/2021, $27.22, 11544, $27.36, $27.55, $27.21
01/26/2021, $27.365, 7611, $27.65, $27.65, $27.3517
01/25/2021, $27.5, 13212, $27.55, $27.55, $27.34
01/22/2021, $27.5, 9708, $27.4, $27.55, $27.395
01/21/2021, $27.3, 9703, $27.63, $27.63, $27.3
01/20/2021, $27.495, 17694, $27.55, $27.845, $27.495
01/19/2021, $27.55, 12499, $27.36, $27.55, $27.36
01/15/2021, $27.48, 6296, $27.33, $27.55, $27.33
01/14/2021, $27.48, 18663, $27.46, $27.54, $27.395
01/13/2021, $27.43, 17442, $27.33, $27.4698, $27.22
01/12/2021, $27.29, 17908, $27.01, $27.41, $26.99
01/11/2021, $27.04, 22486, $27.47, $27.47, $27.01
01/08/2021, $27.47, 11037, $27.49, $27.6, $27.2493
01/07/2021, $27.41, 16592, $27.37, $27.5, $27.0297
01/06/2021, $27.49, 10276, $27.58, $27.5999, $27.3
01/05/2021, $27.55, 8451, $27.58, $27.58, $27.1478
01/04/2021, $27.53, 10738, $27.72, $27.72, $27.38
12/31/2020, $27.69, 19767, $27.64, $27.73, $27.5
12/30/2020, $27.68, 17844, $27.66, $27.68, $27.4
12/29/2020, $27.55, 7673, $27.7, $27.7, $27.49
12/28/2020, $27.87, 6395, $27.6, $27.88, $27.41
12/24/2020, $27.515, 12576, $27.68, $27.895, $27.3
12/23/2020, $27.62, 9184, $27.48, $27.62, $27.29
12/22/2020, $27.47, 11733, $27.63, $27.63, $27.26
12/21/2020, $27.55, 14667, $27.45, $27.6, $27.45
12/18/2020, $27.49, 12648, $27.65, $27.65, $27.41
12/17/2020, $27.55, 25935, $27.57, $27.92, $27.38
12/16/2020, $27.49, 22969, $27.54, $27.864, $27.3401
12/15/2020, $27.66, 7897, $27.58, $27.66, $27.3268
12/14/2020, $27.49, 23999, $27.49, $27.6, $27.15
12/11/2020, $27.389, 13714, $27.53, $27.61, $27.2636
12/10/2020, $27.5, 40559, $27.98, $27.98, $27.5
12/09/2020, $27.81, 9161, $27.89, $27.98, $27.711
12/08/2020, $27.7501, 16141, $27.72, $27.98, $27.7
12/07/2020, $27.94, 9905, $27.93, $27.99, $27.7
12/04/2020, $27.84, 17182, $27.57, $27.87, $27.451
12/03/2020, $27.45, 817285, $27.18, $27.6, $26.75
12/02/2020, $27.05, 21478, $27.05, $27.4599, $27
12/01/2020, $27.08, 39108, $27.38, $27.45, $26.95
11/30/2020, $27.2, 28444, $27.92, $27.92, $27.02
11/27/2020, $27.6, 3375, $27.61, $27.63, $27.3217
11/25/2020, $27.63, 2999, $27.65, $27.65, $27.61
