Date, Close/Last, Volume, Open, High, Low
03/24/2021, $11.07, 24736, $11.03, $11.18, $10.96
03/23/2021, $10.93, 5513, $11.03, $11.03, $10.93
03/22/2021, $11, 13268, $10.92, $11.08, $10.905
03/19/2021, $10.93, 4579, $10.93, $10.98, $10.8435
03/18/2021, $10.94, 41122, $11, $11.01, $10.8861
03/17/2021, $10.99, 20907, $10.95, $11, $10.87
03/16/2021, $10.98, 37322, $10.95, $10.98, $10.8401
03/15/2021, $10.8, 35268, $10.85, $10.9775, $10.8
03/12/2021, $10.81, 44940, $10.78, $10.83, $10.71
03/11/2021, $10.83, 22668, $10.8, $10.896, $10.79
03/10/2021, $10.79, 15757, $10.82, $10.84, $10.78
03/09/2021, $10.83, 12058, $10.82, $10.8775, $10.82
03/08/2021, $10.8, 13016, $10.83, $10.8456, $10.8
03/05/2021, $10.8, 7720, $10.85, $10.91, $10.8
03/04/2021, $10.81, 14996, $10.92, $11.0004, $10.8
03/03/2021, $10.91, 16776, $10.87, $10.92, $10.81
03/02/2021, $10.89, 38884, $11.08, $11.09, $10.86
03/01/2021, $11.02, 14575, $11.12, $11.18, $11.02
02/26/2021, $11.11, 11613, $11.1, $11.15, $11.1
02/25/2021, $11.1, 27048, $11, $11.1, $10.93
02/24/2021, $11, 28646, $11.16, $11.16, $10.96
02/23/2021, $11.23, 10892, $11.15, $11.23, $11.07
02/22/2021, $11.16, 39489, $11.25, $11.29, $11.12
02/19/2021, $11.25, 13682, $11.27, $11.27, $11.2
02/18/2021, $11.27, 9464, $11.26, $11.31, $11.22
02/17/2021, $11.27, 15737, $11.39, $11.39, $11.23
02/16/2021, $11.35, 29028, $11.47, $11.47, $11.35
02/12/2021, $11.47, 8231, $11.51, $11.58, $11.47
02/11/2021, $11.5235, 5987, $11.52, $11.6, $11.52
02/10/2021, $11.44, 18669, $11.64, $11.64, $11.42
02/09/2021, $11.65, 38269, $11.7, $11.7, $11.64
02/08/2021, $11.69, 21153, $11.66, $11.69, $11.57
02/05/2021, $11.55, 19755, $11.45, $11.58, $11.4
02/04/2021, $11.41, 9396, $11.41, $11.42, $11.369
02/03/2021, $11.35, 17391, $11.38, $11.4, $11.325
02/02/2021, $11.36, 14143, $11.27, $11.37, $11.26
02/01/2021, $11.27, 25497, $11.32, $11.35, $11.23
01/29/2021, $11.22, 9223, $11.2, $11.31, $11.15
01/28/2021, $11.2, 9150, $11.18, $11.22, $11.175
01/27/2021, $11.09, 18302, $11.09, $11.24, $11.09
01/26/2021, $11.16, 16136, $11.1, $11.19, $11.07
01/25/2021, $11.03, 19594, $11.26, $11.335, $11.03
01/22/2021, $11.26, 9871, $11.3, $11.3, $11.2154
01/21/2021, $11.25, 14243, $11.22, $11.2645, $11.22
01/20/2021, $11.18, 8615, $11.12, $11.18, $11.12
01/19/2021, $11.09, 17743, $11.22, $11.22, $10.99
01/15/2021, $11.2201, 4154, $11.25, $11.25, $11.22
01/14/2021, $11.2, 9707, $11.16, $11.26, $11.155
01/13/2021, $11.17, 14368, $11.1, $11.17, $11.1
01/12/2021, $11.09, 13035, $11.05, $11.1076, $11.0261
01/11/2021, $11.1, 29945, $11.05, $11.11, $10.95
01/08/2021, $11.11, 19751, $11.15, $11.15, $10.97
01/07/2021, $11.11, 35678, $11, $11.14, $10.9399
01/06/2021, $10.98, 28440, $10.95, $10.98, $10.924
01/05/2021, $10.94, 12284, $10.89, $10.95, $10.89
01/04/2021, $10.87, 20088, $10.93, $10.9499, $10.85
12/31/2020, $10.87, 20585, $10.87, $10.89, $10.8401
12/30/2020, $10.83, 38169, $10.77, $10.86, $10.77
12/29/2020, $10.78, 16210, $10.76, $10.8, $10.72
12/28/2020, $10.76, 16013, $10.75, $10.79, $10.71
12/24/2020, $10.79, 23567, $10.67, $10.8, $10.67
12/23/2020, $10.67, 22510, $10.64, $10.7, $10.64
12/22/2020, $10.61, 18454, $10.62, $10.64, $10.585
12/21/2020, $10.62, 39444, $10.48, $10.62, $10.48
12/18/2020, $10.56, 12984, $10.55, $10.58, $10.54
12/17/2020, $10.52, 20431, $10.56, $10.58, $10.51
12/16/2020, $10.56, 30698, $10.61, $10.6291, $10.56
12/15/2020, $10.62, 30439, $10.66, $10.71, $10.61
12/14/2020, $10.63, 47583, $10.59, $10.67, $10.59
12/11/2020, $10.65, 25839, $10.64, $10.68, $10.6
12/10/2020, $10.65, 18785, $10.68, $10.68, $10.59
12/09/2020, $10.67, 18826, $10.67, $10.7501, $10.67
12/08/2020, $10.71, 10493, $10.65, $10.72, $10.65
12/07/2020, $10.63, 37330, $10.54, $10.67, $10.54
12/04/2020, $10.63, 26490, $10.62, $10.63, $10.58
12/03/2020, $10.58, 40833, $10.51, $10.61, $10.51
12/02/2020, $10.55, 46443, $10.62, $10.62, $10.53
12/01/2020, $10.55, 52178, $10.72, $10.72, $10.5
11/30/2020, $10.65, 13167, $10.64, $10.67, $10.64
11/27/2020, $10.64, 8728, $10.56, $10.64, $10.56
11/25/2020, $10.56, 18632, $10.48, $10.6, $10.48
11/24/2020, $10.51, 31446, $10.45, $10.54, $10.45
11/23/2020, $10.43, 28594, $10.39, $10.44, $10.39
11/20/2020, $10.39, 24262, $10.4, $10.42, $10.37
11/19/2020, $10.4, 30464, $10.47, $10.56, $10.38
11/18/2020, $10.45, 15206, $10.42, $10.45, $10.41
11/17/2020, $10.41, 17163, $10.44, $10.44, $10.41
11/16/2020, $10.4, 22886, $10.47, $10.47, $10.4
11/13/2020, $10.45, 13037, $10.49, $10.49, $10.35
11/12/2020, $10.48, 18525, $10.49, $10.49, $10.41
