Date, Close/Last, Volume, Open, High, Low
03/24/2021, $31.15, 48028, $32.06, $32.93, $31.1
03/23/2021, $31.39, 49093, $32.73, $32.77, $31
03/22/2021, $33.24, 53989, $34.83, $34.83, $32.84
03/19/2021, $34.82, 254003, $33.71, $35.27, $32.905
03/18/2021, $33.97, 41554, $34.685, $35.45, $33.46
03/17/2021, $34.95, 53654, $35.5, $35.5899, $34.26
03/16/2021, $35.43, 63512, $36.89, $36.94, $35.37
03/15/2021, $36.9, 62102, $36.12, $37.09, $35.28
03/12/2021, $36.12, 63168, $36.07, $36.54, $35.62
03/11/2021, $35.78, 39157, $35.41, $36.185, $35.26
03/10/2021, $35.17, 52247, $34.99, $35.42, $34.5
03/09/2021, $34.41, 75026, $35.22, $35.45, $33.88
03/08/2021, $35.03, 109248, $33.63, $35.25, $33.1417
03/05/2021, $33.31, 75154, $32.1, $33.5, $31.535
03/04/2021, $31.43, 66149, $31.86, $32.15, $30.95
03/03/2021, $31.81, 43422, $31.37, $32.29, $31.285
03/02/2021, $31.2, 39116, $31.79, $31.98, $30.89
03/01/2021, $31.93, 58332, $31.63, $32.15, $31.13
02/26/2021, $31.13, 67613, $31.9, $31.955, $30.7
02/25/2021, $31.82, 77194, $32.02, $32.4, $30.71
02/24/2021, $31.97, 105978, $30.43, $32.39, $30.43
02/23/2021, $30.22, 73167, $29.68, $30.26, $29.49
02/22/2021, $29.85, 104758, $28.81, $30.21, $28.81
02/19/2021, $29.05, 37156, $28.5, $29.05, $28.13
02/18/2021, $28.38, 57311, $28.49, $28.82, $27.76
02/17/2021, $28.72, 38256, $28.51, $29.2, $28.11
02/16/2021, $28.66, 34359, $29.02, $29.2922, $28.61
02/12/2021, $29.15, 42831, $29.16, $29.47, $29
02/11/2021, $29.43, 39805, $29.03, $29.6, $28.75
02/10/2021, $29.07, 29807, $29.408, $29.51, $29
02/09/2021, $29.48, 38195, $29.69, $30.005, $29.3
