Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.9046, 15098, $9.95, $10.14, $9.88
03/23/2021, $9.865, 43989, $10.065, $10.065, $9.865
03/22/2021, $10.01, 4814, $10.16, $10.16, $10.0001
03/19/2021, $10.11, 127393, $10.01, $10.1299, $10
03/18/2021, $10.04, 27726, $10.17, $10.17, $10.02
03/17/2021, $10.1, 7152, $10.09, $10.1499, $10.09
03/16/2021, $10.07, 17993, $10.0643, $10.1, $10.0486
03/15/2021, $10.04, 56134, $10.11, $10.11, $10.035
03/12/2021, $10.18, 10003, $10.2138, $10.2138, $10.0745
03/11/2021, $10.12, 342682, $10.21, $10.28, $10.03
03/10/2021, $10.2, 82364, $10.4, $10.465, $10.2
03/09/2021, $10.36, 304995, $10.1227, $10.65, $10.0653
03/08/2021, $10.085, 12386, $10.08, $10.2576, $10.0101
03/05/2021, $10.09, 87802, $10.03, $10.28, $10
03/04/2021, $10, 171951, $10.1, $10.22, $10
03/03/2021, $10.12, 146385, $10.18, $10.3101, $10.12
03/02/2021, $10.07, 345885, $10.24, $10.24, $10
03/01/2021, $10.29, 471993, $10.46, $10.46, $10.2
02/26/2021, $10.3, 444452, $10.45, $10.47, $10.25
02/25/2021, $10.45, 155761, $10.5, $10.52, $10.3
02/24/2021, $10.5, 130328, $10.55, $10.6, $10.5
02/23/2021, $10.5, 139866, $10.6, $10.6067, $10.35
02/22/2021, $10.53, 45540, $10.55, $10.625, $10.52
02/19/2021, $10.58, 24019, $10.67, $10.67, $10.55
02/18/2021, $10.51, 28537, $10.55, $10.64, $10.51
02/17/2021, $10.6, 92522, $10.6, $10.64, $10.6
02/16/2021, $10.54, 25818, $10.65, $10.65, $10.52
02/12/2021, $10.68, 51798, $10.61, $10.83, $10.59
02/11/2021, $10.61, 914910, $10.64, $10.785, $10.55
02/10/2021, $10.75, 24817, $10.6, $10.78, $10.59
02/09/2021, $10.59, 45074, $10.64, $10.6795, $10.59
02/08/2021, $10.7, 43100, $10.7, $10.8, $10.56
02/05/2021, $10.7, 139893, $10.75, $10.97, $10.64
02/04/2021, $10.69, 37503, $10.65, $10.7, $10.51
02/03/2021, $10.61, 54384, $10.51, $10.63, $10.47
02/02/2021, $10.46, 407321, $10.64, $10.64, $10.45
02/01/2021, $10.49, 133061, $10.64, $10.64, $10.44
01/29/2021, $10.44, 240330, $10.58, $10.58, $10.38
01/28/2021, $10.47, 100823, $10.59, $10.6, $10.42
01/27/2021, $10.5, 893027, $10.55, $10.59, $10.425
01/26/2021, $10.61, 834434, $10.5, $10.6879, $10.46
01/25/2021, $10.5, 70547, $10.5, $10.6, $10.45
01/22/2021, $10.5, 129864, $10.44, $10.55, $10.44
01/21/2021, $10.68, 179090, $10.42, $10.69, $10.415
01/20/2021, $10.46, 110081, $10.45, $10.47, $10.45
01/19/2021, $10.47, 72589, $10.52, $10.52, $10.44
01/15/2021, $10.5, 1179040, $10.505, $10.66, $10.42
01/14/2021, $10.64, 819522, $10.55, $10.69, $10.41
01/13/2021, $10.54, 472372, $10.54, $10.69, $10.45
01/12/2021, $10.5, 268423, $10.64, $10.64, $10.48
01/11/2021, $10.62, 987109, $10.57, $10.68, $10.4
01/08/2021, $10.53, 6574447, $10.4, $10.75, $10.33
