Date, Close/Last, Volume, Open, High, Low
03/24/2021, $25.77, 10095, $25.58, $25.78, $25.535
03/23/2021, $25.59, 7832, $25.45, $25.6, $25.45
03/22/2021, $25.54, 8264, $25.57, $25.64, $25.47
03/19/2021, $25.56, 10590, $25.48, $25.56, $25.4266
03/18/2021, $25.48, 33250, $25.7, $25.7, $25.47
03/17/2021, $25.78, 12985, $25.75, $25.79, $25.6151
03/16/2021, $25.8099, 27552, $25.72, $25.84, $25.6487
03/15/2021, $25.6404, 17222, $25.64, $25.67, $25.57
03/12/2021, $25.64, 9944, $25.64, $25.64, $25.565
03/11/2021, $25.73, 23222, $25.64, $25.75, $25.64
03/10/2021, $25.655, 14492, $25.59, $25.655, $25.5625
03/09/2021, $25.59, 15381, $25.5, $25.59, $25.5
03/08/2021, $25.54, 9814, $25.55, $25.55, $25.4501
03/05/2021, $25.58, 12240, $25.5, $25.58, $25.35
03/04/2021, $25.5, 12926, $25.64, $25.69, $25.43
03/03/2021, $25.61, 14712, $25.4, $25.66, $25.33
03/02/2021, $25.43, 11494, $25.4, $25.43, $25.3855
03/01/2021, $25.39, 40808, $25.35, $25.4, $25.28
02/26/2021, $25.34, 23601, $25.36, $25.36, $25.27
02/25/2021, $25.34, 25200, $25.31, $25.39, $25.2
02/24/2021, $25.29, 17942, $25.28, $25.37, $25.2501
02/23/2021, $25.28, 34781, $25.29, $25.41, $25.27
02/22/2021, $25.41, 14903, $25.4, $25.43, $25.39
02/19/2021, $25.43, 23394, $25.4, $25.47, $25.39
02/18/2021, $25.4, 19912, $25.42, $25.4224, $25.2599
02/17/2021, $25.37, 19506, $25.37, $25.4, $25.32
02/16/2021, $25.37, 46251, $25.45, $25.5108, $25.37
02/12/2021, $25.6, 15689, $25.586, $25.63, $25.45
02/11/2021, $25.49, 22268, $25.52, $25.55, $25.45
02/10/2021, $25.52, 15486, $25.6, $25.6, $25.5
02/09/2021, $25.55, 17408, $25.52, $25.55, $25.52
02/08/2021, $25.52, 37211, $25.63, $25.73, $25.51
02/05/2021, $25.51, 14025, $25.53, $25.55, $25.51
02/04/2021, $25.54, 30331, $25.56, $25.57, $25.52
02/03/2021, $25.6, 38322, $25.66, $25.67, $25.52
02/02/2021, $25.66, 23529, $25.81, $25.92, $25.63
02/01/2021, $25.6098, 18070, $25.76, $25.79, $25.6098
01/29/2021, $25.66, 55046, $25.67, $25.88, $25.55
01/28/2021, $25.8, 13671, $25.81, $25.81, $25.56
01/27/2021, $25.92, 20674, $26.08, $26.21, $25.86
01/26/2021, $26.19, 7081, $26.11, $26.21, $26.0721
01/25/2021, $26.07, 18487, $26.2, $26.29, $26.03
01/22/2021, $26.2, 9043, $26.2001, $26.25, $26.2
01/21/2021, $26.1272, 5035, $26.2, $26.25, $26.12
01/20/2021, $26.25, 24297, $26.15, $26.25, $26.09
01/19/2021, $26.13, 11244, $26.19, $26.19, $26.03
01/15/2021, $26.02, 18909, $26.15, $26.16, $26.02
01/14/2021, $26.15, 21212, $26.26, $26.26, $26.005
01/13/2021, $26.12, 30567, $25.85, $26.2, $25.8413
01/12/2021, $26.03, 27842, $25.89, $26.03, $25.75
01/11/2021, $25.88, 18566, $26.22, $26.22, $25.88
01/08/2021, $26.15, 5395, $26.2, $26.2, $26.1
01/07/2021, $26.11, 12663, $26.2, $26.27, $26
01/06/2021, $26.16, 22904, $26.21, $26.22, $25.81
01/05/2021, $26.31, 9252, $26.22, $26.39, $26.22
01/04/2021, $26.28, 15662, $26.49, $26.49, $26.26
12/31/2020, $26.54, 97257, $26.2, $26.59, $26.2
12/30/2020, $26.3093, 14918, $26.16, $26.33, $26.16
12/29/2020, $26.25, 15294, $26.17, $26.25, $26.149
12/28/2020, $26.17, 20000, $26.2, $26.2, $26.03
12/24/2020, $26.2, 13794, $26.2, $26.2, $26.13
12/23/2020, $26.16, 13190, $26, $26.2, $25.9807
12/22/2020, $26.11, 27234, $26.07, $26.2, $25.95
12/21/2020, $26.1, 16901, $26.07, $26.12, $25.9428
12/18/2020, $26.01, 31954, $25.98, $26.11, $25.9495
12/17/2020, $25.96, 11849, $25.97, $25.977, $25.9208
12/16/2020, $25.965, 11311, $26, $26, $25.906
12/15/2020, $25.98, 14624, $25.89, $25.98, $25.8869
12/14/2020, $25.9, 15730, $25.9, $25.9, $25.87
12/11/2020, $25.87, 25114, $25.85, $25.9, $25.8234
12/10/2020, $25.86, 9282, $25.85, $25.91, $25.74
12/09/2020, $25.9, 14663, $25.9, $25.91, $25.86
12/08/2020, $25.9, 19212, $25.94, $25.96, $25.89
12/07/2020, $25.9, 27112, $25.92, $25.9468, $25.8596
12/04/2020, $25.99, 13993, $26, $26, $25.92
12/03/2020, $25.99, 14253, $25.83, $26, $25.83
12/02/2020, $25.875, 19975, $25.78, $26, $25.7785
12/01/2020, $25.78, 5562, $25.78, $25.78, $25.7199
11/30/2020, $25.7, 31442, $25.78, $25.8, $25.7
11/27/2020, $25.82, 5488, $25.78, $25.87, $25.78
11/25/2020, $25.8142, 11018, $25.88, $25.88, $25.8
11/24/2020, $25.88, 7745, $25.94, $25.94, $25.84
11/23/2020, $25.9, 11786, $25.83, $25.931, $25.83
11/20/2020, $25.81, 4922, $25.81, $25.81, $25.7798
11/19/2020, $25.83, 10759, $25.68, $25.86, $25.68
11/18/2020, $25.76, 11516, $25.86, $25.86, $25.76
11/17/2020, $25.86, 22867, $25.83, $25.91, $25.78
11/16/2020, $25.89, 14598, $25.706, $25.89, $25.611
11/13/2020, $25.7, 7070, $25.6, $25.7, $25.58
11/12/2020, $25.6, 10733, $25.57, $25.64, $25.544
11/11/2020, $25.64, 9309, $25.68, $25.68, $25.49
11/10/2020, $25.65, 8722, $25.55, $25.67, $25.55
11/09/2020, $25.54, 18687, $25.432, $25.56, $25.41
11/06/2020, $25.38, 8879, $25.41, $25.4465, $25.37
11/05/2020, $25.42, 30657, $25.42, $25.46, $25.38
11/04/2020, $25.42, 37119, $25.48, $25.54, $25.37
11/03/2020, $25.36, 16948, $25.4, $25.49, $25.36
11/02/2020, $25.32, 28012, $25.43, $25.5228, $25.32
10/30/2020, $25.4, 86368, $25.55, $25.58, $25.36
10/29/2020, $25.5, 16058, $25.4, $25.61, $25.34
10/28/2020, $25.4138, 31670, $25.66, $25.66, $25.4
10/27/2020, $26.01, 28049, $25.81, $26.03, $25.78
10/26/2020, $25.82, 12440, $25.76, $25.85, $25.69
10/23/2020, $25.76, 16705, $25.6, $25.76, $25.6
10/22/2020, $25.7, 26380, $25.69, $25.81, $25.56
10/21/2020, $25.6, 17429, $25.65, $25.6694, $25.56
10/20/2020, $25.8, 12515, $25.75, $25.82, $25.6775
10/19/2020, $25.76, 26045, $25.6, $25.77, $25.56
10/16/2020, $25.68, 17003, $25.67, $25.7, $25.56
10/15/2020, $25.61, 15299, $25.55, $25.7, $25.55
10/14/2020, $25.6, 9850, $25.6176, $25.6499, $25.56
10/13/2020, $25.6, 18162, $25.57, $25.6573, $25.56
10/12/2020, $25.6, 8332, $25.66, $25.66, $25.58
10/09/2020, $25.6, 8796, $25.6, $25.65, $25.5868
10/08/2020, $25.6, 18088, $25.65, $25.65, $25.6
10/07/2020, $25.6, 22861, $25.61, $25.6282, $25.59
10/06/2020, $25.59, 23968, $25.6, $25.605, $25.53
10/05/2020, $25.59, 40379, $25.58, $25.62, $25.5
10/02/2020, $25.57, 20892, $25.5604, $25.6, $25.5462
10/01/2020, $25.6, 29770, $25.46, $25.6235, $25.44
09/30/2020, $25.37, 89526, $25.52, $25.57, $25.37
09/29/2020, $25.51, 26825, $25.6, $25.6, $25.45
09/28/2020, $25.53, 19691, $25.6, $25.63, $25.53
09/25/2020, $25.5915, 31375, $25.53, $25.6138, $25.465
09/24/2020, $25.43, 10109, $25.49, $25.54, $25.37
09/23/2020, $25.41, 28348, $25.63, $25.63, $25.35
09/22/2020, $25.55, 33224, $25.55, $25.59, $25.48
09/21/2020, $25.5176, 8478, $25.41, $25.53, $25.41
09/18/2020, $25.45, 18744, $25.53, $25.53, $25.43
09/17/2020, $25.51, 11266, $25.51, $25.6236, $25.5
09/16/2020, $25.56, 12417, $25.6, $25.64, $25.56
09/15/2020, $25.6, 6737, $25.65, $25.6999, $25.6
09/14/2020, $25.74, 6851, $25.5202, $25.74, $25.5202
09/11/2020, $25.49, 12790, $25.58, $25.6, $25.465
09/10/2020, $25.63, 10411, $25.58, $25.73, $25.555
09/09/2020, $25.6371, 19335, $25.55, $25.7, $25.41
09/08/2020, $25.41, 14446, $25.53, $25.6083, $25.37
09/04/2020, $25.43, 20584, $25.595, $25.595, $25.4
09/03/2020, $25.51, 18986, $25.67, $25.69, $25.51
09/02/2020, $25.55, 21841, $25.71, $25.837, $25.55
09/01/2020, $25.7, 24990, $25.89, $25.89, $25.67
08/31/2020, $25.89, 20552, $25.76, $25.9, $25.76
08/28/2020, $25.81, 4635, $25.84, $25.84, $25.75
08/27/2020, $25.82, 14792, $25.76, $25.83, $25.65
08/26/2020, $25.76, 21903, $25.62, $25.77, $25.55
08/25/2020, $25.62, 27602, $25.549, $25.62, $25.46
08/24/2020, $25.48, 33648, $25.57, $25.62, $25.43
08/21/2020, $25.45, 20641, $25.48, $25.48, $25.44
08/20/2020, $25.47, 44950, $25.5, $25.535, $25.44
08/19/2020, $25.54, 57864, $25.53, $25.54, $25.46
