Date, Close/Last, Volume, Open, High, Low
01/20/2021, $23.02, 4563958, $23, $23.09, $22.88
01/19/2021, $23, 652695, $23, $23.06, $22.86
01/15/2021, $22.93, 1864326, $22.968, $23.03, $22.85
01/14/2021, $22.91, 233185, $23.08, $23.17, $22.91
01/13/2021, $23.03, 326191, $23.07, $23.3, $23
01/12/2021, $23.05, 290034, $23.08, $23.14, $23
01/11/2021, $23.04, 155682, $23.08, $23.15, $23.04
01/08/2021, $23.2, 456198, $23.1, $23.2, $23.01
01/07/2021, $23.11, 314200, $23.09, $23.15, $23.03
01/06/2021, $23.1, 408290, $23.05, $23.105, $22.93
01/05/2021, $23.02, 179058, $22.99, $23.11, $22.92
01/04/2021, $22.98, 362474, $23.05, $23.1, $22.8
12/31/2020, $23.07, 218957, $23.01, $23.15, $22.95
12/30/2020, $23.02, 316599, $23.08, $23.1, $22.93
12/29/2020, $23, 410983, $23.12, $23.16, $22.98
12/28/2020, $23.1, 251929, $23.1, $23.2, $23.06
12/24/2020, $23.08, 50851, $23.13, $23.2, $23.07
12/23/2020, $23.18, 319437, $23.1, $23.2, $22.97
12/22/2020, $23.15, 444516, $23.02, $23.29, $23.02
12/21/2020, $23.09, 439925, $22.93, $23.25, $22.85
12/18/2020, $23.08, 695412, $23.11, $23.17, $22.88
12/17/2020, $23.17, 986025, $22.9, $23.35, $22.77
12/16/2020, $22.9, 1147097, $22.76, $23, $22.76
12/15/2020, $22.75, 10776810, $23.01, $23.08, $22.61
12/14/2020, $12.5, 386633, $11.94, $13.73, $11.94
12/11/2020, $11.69, 319666, $10.75, $12.53, $10.54
12/10/2020, $10.61, 90433, $10.51, $10.87, $10.44
12/09/2020, $10.46, 180618, $11, $11.155, $10.4
12/08/2020, $10.94, 107891, $10.556, $10.97, $10.4
12/07/2020, $10.43, 102371, $10.46, $10.8, $10.2
12/04/2020, $10.45, 44723, $10.46, $10.56, $10.22
12/03/2020, $10.46, 52191, $10.5, $10.61, $10.319
12/02/2020, $10.51, 268360, $9.91, $10.64, $9.63
12/01/2020, $9.89, 154660, $10.33, $10.43, $9.8
11/30/2020, $10.27, 98271, $10.18, $10.39, $10.055
11/27/2020, $10.03, 85240, $10.17, $10.4399, $9.8
11/25/2020, $10.15, 72583, $10.38, $10.62, $10.15
11/24/2020, $10.33, 137938, $10.31, $10.62, $10.22
11/23/2020, $10.31, 92090, $10.16, $10.6, $9.99
11/20/2020, $10.14, 53913, $9.98, $10.3, $9.9
11/19/2020, $10.09, 78398, $9.76, $10.2, $9.6
11/18/2020, $9.7, 206714, $9.86, $10.3, $9.65
