Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.04, 610990, $9.82, $10.09, $9.8
01/19/2021, $9.25, 289578, $9.15, $9.25, $9.09
01/15/2021, $9.17, 220813, $9.2, $9.23, $9.13
01/14/2021, $9.25, 226624, $9.17, $9.29, $9.17
01/13/2021, $9.18, 294052, $9.22, $9.26, $9.145
01/12/2021, $9.2, 496032, $9.01, $9.21, $8.99
01/11/2021, $9.14, 179521, $9.06, $9.17, $9.05
01/08/2021, $9.25, 235797, $9.23, $9.26, $9.15
01/07/2021, $9.23, 320305, $9.23, $9.29, $9.19
01/06/2021, $9.51, 335996, $9.31, $9.54, $9.2973
01/05/2021, $9.14, 183342, $8.98, $9.16, $8.98
01/04/2021, $9.19, 231068, $9.39, $9.43, $9.14
12/31/2020, $9.18, 256037, $9.29, $9.29, $9.15
12/30/2020, $9.29, 261183, $9.45, $9.45, $9.29
12/29/2020, $9.39, 196469, $9.45, $9.48, $9.34
12/28/2020, $9.32, 144024, $9.23, $9.33, $9.205
12/24/2020, $9.21, 83916, $9.23, $9.23, $9.18
12/23/2020, $9.09, 250432, $9.11, $9.1351, $9.06
12/22/2020, $8.94, 203708, $8.91, $8.95, $8.87
12/21/2020, $9.01, 698722, $8.78, $9.03, $8.74
12/18/2020, $9.07, 290131, $9.25, $9.27, $9.06
12/17/2020, $9.3, 279287, $9.28, $9.35, $9.275
12/16/2020, $8.9, 170396, $8.96, $8.98, $8.85
12/15/2020, $8.87, 286815, $8.85, $8.89, $8.75
12/14/2020, $8.78, 249432, $8.9, $8.92, $8.77
12/11/2020, $8.62, 303741, $8.57, $8.635, $8.55
12/10/2020, $8.84, 278591, $8.79, $8.93, $8.7702
12/09/2020, $9.02, 680516, $8.89, $9.05, $8.8824
12/08/2020, $9.07, 195168, $8.98, $9.07, $8.98
12/07/2020, $8.91, 215043, $8.86, $8.93, $8.81
12/04/2020, $9.12, 189890, $9.17, $9.235, $9.09
12/03/2020, $9.06, 168702, $8.99, $9.11, $8.97
12/02/2020, $8.9, 481557, $8.89, $8.965, $8.88
12/01/2020, $8.9, 263212, $8.72, $8.92, $8.72
11/30/2020, $8.61, 269583, $8.74, $8.805, $8.6
11/27/2020, $8.65, 115530, $8.63, $8.7, $8.61
11/25/2020, $8.73, 235638, $8.72, $8.75, $8.685
11/24/2020, $8.72, 257077, $8.72, $8.78, $8.65
11/23/2020, $8.33, 187267, $8.31, $8.38, $8.3
11/20/2020, $8.42, 397242, $8.64, $8.7, $8.405
11/19/2020, $8.48, 303057, $8.42, $8.5, $8.405
11/18/2020, $8.22, 226810, $8.25, $8.32, $8.215
11/17/2020, $8.2, 258613, $8.2, $8.25, $8.18
11/16/2020, $8.12, 230112, $8.14, $8.14, $8.07
11/13/2020, $7.85, 126520, $7.78, $7.86, $7.7736
11/12/2020, $7.8, 228166, $7.91, $7.91, $7.78
11/11/2020, $7.87, 216429, $7.88, $7.91, $7.82
11/10/2020, $7.96, 443983, $8.05, $8.12, $7.96
11/09/2020, $7.66, 552775, $7.795, $7.89, $7.645
11/06/2020, $7.15, 247876, $7.19, $7.21, $7.13
11/05/2020, $7.18, 269610, $7.1, $7.2, $7.08
11/04/2020, $6.84, 252067, $6.89, $6.9, $6.8
11/03/2020, $6.99, 310349, $6.98, $7.05, $6.955
11/02/2020, $6.78, 812262, $6.64, $6.8, $6.62
