Date, Close/Last, Volume, Open, High, Low
01/20/2021, $2.36, 157644, $2.37, $2.4, $2.3
01/19/2021, $2.31, 151226, $2.3, $2.364, $2.25
01/15/2021, $2.3, 298395, $2.33, $2.3998, $2.21
01/14/2021, $2.37, 345122, $2.27, $2.43, $2.252
01/13/2021, $2.28, 160315, $2.3, $2.32, $2.23
01/12/2021, $2.28, 280305, $2.24, $2.3, $2.21
01/11/2021, $2.22, 175433, $2.19, $2.24, $2.1401
01/08/2021, $2.18, 118624, $2.15, $2.24, $2.13
01/07/2021, $2.16, 169115, $2.11, $2.2, $2.11
01/06/2021, $2.1, 184487, $2.1, $2.205, $2.08
01/05/2021, $2.12, 210375, $2.12, $2.15, $2.029
01/04/2021, $2.11, 290942, $2.04, $2.17, $2.03
12/31/2020, $2.02, 167677, $2.08, $2.08, $1.98
12/30/2020, $2.09, 149003, $2.17, $2.1936, $2.08
12/29/2020, $2.17, 236376, $2.34, $2.34, $2.13
12/28/2020, $2.34, 185708, $2.28, $2.3481, $2.23
12/24/2020, $2.23, 186392, $2.19, $2.26, $2.19
12/23/2020, $2.19, 140090, $2.06, $2.22, $2.05
12/22/2020, $2.08, 124782, $2.14, $2.18, $2.07
12/21/2020, $2.14, 252236, $2.05, $2.2, $2.03
12/18/2020, $2.04, 113410, $2.08, $2.09, $2.04
12/17/2020, $2.08, 185552, $2.05, $2.1, $2.0125
12/16/2020, $2.05, 138044, $2.02, $2.0565, $1.97
12/15/2020, $2, 274699, $2.01, $2.05, $1.92
12/14/2020, $2.02, 398147, $2.06, $2.065, $2.0001
12/11/2020, $2.05, 717953, $2.1, $2.1, $1.98
12/10/2020, $2.11, 1303231, $2.06, $2.13, $1.97
12/09/2020, $2.04, 3838948, $2.05, $2.7899, $1.95
12/08/2020, $2.05, 844494, $2.06, $2.11, $2.03
12/07/2020, $2.04, 104972, $2.1, $2.1043, $2.04
12/04/2020, $2.12, 131916, $2.14, $2.14, $2.06
12/03/2020, $2.09, 184491, $2.146, $2.146, $2.04
12/02/2020, $2.06, 273332, $2.15, $2.16, $2.06
12/01/2020, $2.06, 476367, $2.15, $2.155, $2.04
11/30/2020, $2.13, 114523, $2.14, $2.18, $2.12
11/27/2020, $2.14, 77084, $2.12, $2.1853, $2.12
11/25/2020, $2.12, 155155, $2.14, $2.15, $2.05
11/24/2020, $2.16, 286031, $2.08, $2.18, $2
11/23/2020, $2.1, 271593, $2.15, $2.16, $2.045
11/20/2020, $2.1, 228685, $2.21, $2.21, $2.05
11/19/2020, $2.19, 526241, $2.24, $2.28, $2.13
11/18/2020, $2.33, 80900, $2.3, $2.39, $2.25
11/17/2020, $2.3, 183753, $2.24, $2.32, $2.18
11/16/2020, $2.26, 185063, $2.33, $2.35, $2.24
11/13/2020, $2.29, 158055, $2.28, $2.29, $2.215
11/12/2020, $2.21, 47556, $2.16, $2.23, $2.16
11/11/2020, $2.18, 44427, $2.16, $2.2, $2.15
11/10/2020, $2.15, 40095, $2.13, $2.18, $2.105
11/09/2020, $2.14, 96925, $2.2, $2.2499, $2.1
11/06/2020, $2.2, 106546, $2.25, $2.25, $2.16
11/05/2020, $2.2, 43289, $2.2, $2.23, $2.17
11/04/2020, $2.2, 43861, $2.25, $2.28, $2.17
11/03/2020, $2.24, 44169, $2.26, $2.29, $2.21
11/02/2020, $2.26, 40449, $2.22, $2.2801, $2.2
10/30/2020, $2.21, 38464, $2.25, $2.25, $2.16
10/29/2020, $2.25, 77957, $2.25, $2.2674, $2.2
10/28/2020, $2.2, 98766, $2.34, $2.355, $2.2
10/27/2020, $2.36, 116391, $2.47, $2.475, $2.34
10/26/2020, $2.48, 86402, $2.57, $2.5899, $2.41
10/23/2020, $2.55, 125901, $2.62, $2.65, $2.52
10/22/2020, $2.76, 145242, $2.56, $2.84, $2.5401
10/21/2020, $2.6, 31700, $2.56, $2.6, $2.52
10/20/2020, $2.5801, 49697, $2.64, $2.6741, $2.53
10/19/2020, $2.65, 117924, $2.7, $2.7039, $2.57
10/16/2020, $2.68, 374331, $2.67, $2.775, $2.61
10/15/2020, $2.5637, 45837, $2.6, $2.62, $2.53
10/14/2020, $2.63, 120983, $2.7, $2.73, $2.56
10/13/2020, $2.71, 166987, $2.63, $2.7117, $2.59
10/12/2020, $2.61, 65184, $2.6, $2.65, $2.59
10/09/2020, $2.57, 110162, $2.65, $2.7, $2.56
10/08/2020, $2.62, 60335, $2.56, $2.65, $2.52
10/07/2020, $2.55, 37636, $2.52, $2.5502, $2.51
10/06/2020, $2.5, 168338, $2.61, $2.64, $2.5
10/05/2020, $2.61, 98407, $2.65, $2.74, $2.59
10/02/2020, $2.66, 59567, $2.65, $2.7, $2.6
10/01/2020, $2.63, 54580, $2.6, $2.64, $2.58
09/30/2020, $2.56, 77194, $2.61, $2.66, $2.51
09/29/2020, $2.63, 47113, $2.64, $2.69, $2.61
09/28/2020, $2.59, 71518, $2.56, $2.62, $2.495
09/25/2020, $2.55, 97926, $2.47, $2.58, $2.42
09/24/2020, $2.48, 162189, $2.55, $2.6, $2.43
09/23/2020, $2.56, 211988, $2.77, $2.825, $2.53
09/22/2020, $2.77, 121080, $2.76, $2.87, $2.73
09/21/2020, $2.75, 224208, $2.86, $2.9, $2.66
09/18/2020, $2.94, 360868, $2.84, $2.98, $2.82
09/17/2020, $2.86, 428763, $3.06, $3.06, $2.79
09/16/2020, $3.14, 1760442, $2.88, $3.14, $2.78
09/15/2020, $3.03, 34411580, $3.32, $3.5, $2.85
09/14/2020, $2.44, 67671, $2.48, $2.55, $2.44
09/11/2020, $2.46, 73298, $2.48, $2.52, $2.41
09/10/2020, $2.5, 55753, $2.48, $2.54, $2.45
09/09/2020, $2.54, 71101, $2.65, $2.68, $2.47
09/08/2020, $2.64, 142182, $2.6, $2.72, $2.47
09/04/2020, $2.63, 132945, $2.528, $2.66, $2.41
09/03/2020, $2.64, 250141, $2.72, $2.85, $2.56
09/02/2020, $2.85, 1016302, $2.55, $2.85, $2.45
09/01/2020, $2.83, 9731745, $2.91, $2.99, $2.4
08/31/2020, $2.45, 85566, $2.41, $2.46, $2.34
08/28/2020, $2.42, 87860, $2.37, $2.495, $2.33
08/27/2020, $2.4, 164310, $2.36, $2.49, $2.3302
08/26/2020, $2.39, 135175, $2.59, $2.59, $2.3
08/25/2020, $2.45, 211261, $2.53, $2.5608, $2.4
08/24/2020, $2.53, 213885, $2.64, $2.7765, $2.49
08/21/2020, $2.63, 135922, $2.7, $2.79, $2.6
08/20/2020, $2.69, 120447, $2.78, $2.85, $2.65
08/19/2020, $2.9, 137018, $2.82, $2.98, $2.76
08/18/2020, $2.84, 125420, $2.86, $2.92, $2.75
08/17/2020, $2.86, 118692, $2.97, $2.97, $2.82
08/14/2020, $2.96, 184056, $2.94, $2.9823, $2.76
08/13/2020, $2.92, 843410, $2.64, $3.03, $2.6096
08/12/2020, $2.62, 293858, $2.65, $2.68, $2.45
08/11/2020, $2.74, 291997, $2.9, $2.9841, $2.68
08/10/2020, $2.99, 407340, $2.91, $3.148, $2.82
08/07/2020, $3.17, 4841792, $3.56, $3.56, $2.78
08/06/2020, $2.92, 668927, $2.72, $3.04, $2.55
08/05/2020, $2.68, 158821, $2.69, $2.81, $2.64
08/04/2020, $2.68, 183446, $2.6, $2.7, $2.5
08/03/2020, $2.6, 129789, $2.41, $2.625, $2.41
07/31/2020, $2.43, 318783, $2.69, $2.6904, $2.3815
07/30/2020, $2.72, 199778, $2.78, $2.8, $2.68
07/29/2020, $2.84, 645143, $2.73, $2.9, $2.48
07/28/2020, $2.73, 1333047, $2.7, $2.96, $2.5529
07/27/2020, $2.53, 418641, $2.55, $2.78, $2.45
07/24/2020, $2.51, 171699, $2.37, $2.53, $2.2501
07/23/2020, $2.3, 500442, $2.4, $2.64, $2.21
07/22/2020, $2.3, 103038, $2.36, $2.36, $2.23
07/21/2020, $2.35, 618219, $2.43, $2.639, $2.26
07/20/2020, $2.34, 144735, $2.17, $2.35, $2.15
07/17/2020, $2.14, 159987, $2.2, $2.22, $2.06
07/16/2020, $2.16, 55274, $2.22, $2.22, $2.11
07/15/2020, $2.12, 148298, $2.23, $2.26, $2.12
07/14/2020, $2.22, 154754, $2.26, $2.26, $2.1
07/13/2020, $2.28, 118757, $2.4, $2.49, $2.2
07/10/2020, $2.33, 76939, $2.32, $2.42, $2.26
07/09/2020, $2.33, 202576, $2.49, $2.59, $2.26
07/08/2020, $2.53, 317286, $2.68, $2.75, $2.42
07/07/2020, $2.58, 759415, $2.29, $2.8, $2.19
07/06/2020, $2.31, 265935, $2.16, $2.34, $2.16
07/02/2020, $2.12, 50649, $2.12, $2.19, $2.06
07/01/2020, $2.11, 42267, $2.12, $2.2, $2.0401
06/30/2020, $2.12, 73237, $2.25, $2.27, $2.06
06/29/2020, $2.11, 123772, $2.22, $2.2835, $2.08
06/26/2020, $2.19, 610410, $2.13, $2.46, $1.73
06/25/2020, $2.1, 98672, $2.17, $2.19, $2.02
06/24/2020, $2.11, 105806, $2.12, $2.2, $2.0341
06/23/2020, $2.15, 113580, $2.23, $2.3, $2.1401
06/22/2020, $2.24, 146878, $2.17, $2.27, $2.07
06/19/2020, $2.15, 243672, $2.2, $2.24, $2.06
06/18/2020, $2.25, 164740, $2.4, $2.41, $2.17
06/17/2020, $2.3, 443852, $2.13, $2.3999, $2.13
06/16/2020, $2.11, 231206, $2.12, $2.12, $1.97
06/15/2020, $1.9486, 146591, $1.92, $2.01, $1.862
06/12/2020, $1.97, 461919, $2.11, $2.11, $1.87
06/11/2020, $1.92, 413142, $1.9, $2.035, $1.85
06/10/2020, $2.235, 4901781, $2.83, $3.55, $2.0701
06/09/2020, $2.33, 3230788, $1.77, $2.5, $1.72
