Date, Close/Last, Volume, Open, High, Low
01/20/2021, $1.01, 20159010, $1, $1.09, $0.93
01/19/2021, $0.9, 14585650, $0.81, $0.96, $0.78
01/15/2021, $0.7829, 4671636, $0.82, $0.82, $0.7402
01/14/2021, $0.7695, 5891690, $0.82, $0.82, $0.75
01/13/2021, $0.7839, 13508000, $0.719, $0.8479, $0.7161
01/12/2021, $0.71, 3427553, $0.723, $0.723, $0.7013
01/11/2021, $0.7075, 3545247, $0.6945, $0.729, $0.686
01/08/2021, $0.6947, 2599500, $0.7, $0.712, $0.68
01/07/2021, $0.7085, 3226320, $0.7062, $0.7139, $0.68
01/06/2021, $0.68, 4365780, $0.7, $0.7173, $0.68
01/05/2021, $0.7081, 3895927, $0.71, $0.73, $0.6706
01/04/2021, $0.682, 3974125, $0.6899, $0.71, $0.6504
12/31/2020, $0.6758, 5040376, $0.7665, $0.7665, $0.67
12/30/2020, $0.7203, 5416590, $0.7779, $0.78, $0.72
12/29/2020, $0.78, 9752911, $0.755, $0.81, $0.702
12/28/2020, $0.7691, 12360080, $0.75, $0.78, $0.7
12/24/2020, $0.667, 15517630, $0.85, $0.8501, $0.62
12/23/2020, $0.77, 49626860, $0.75, $0.895, $0.7
12/22/2020, $0.565, 21189790, $0.424, $0.57, $0.415
12/21/2020, $0.426, 1653801, $0.4115, $0.4394, $0.41
12/18/2020, $0.4401, 1949142, $0.45, $0.45, $0.421
12/17/2020, $0.4282, 1691726, $0.43, $0.4356, $0.4232
12/16/2020, $0.4212, 1494523, $0.41, $0.4226, $0.408
12/15/2020, $0.408, 4001584, $0.4, $0.4275, $0.3979
12/14/2020, $0.4373, 1198518, $0.445, $0.449, $0.4324
12/11/2020, $0.44, 1889570, $0.4363, $0.4435, $0.4221
12/10/2020, $0.4251, 1116395, $0.4207, $0.4369, $0.4201
12/09/2020, $0.4245, 1906229, $0.43, $0.4341, $0.42
12/08/2020, $0.4341, 1839662, $0.46, $0.46, $0.424
12/07/2020, $0.4495, 1407104, $0.4622, $0.4623, $0.447
12/04/2020, $0.4622, 808155, $0.46, $0.4623, $0.4515
12/03/2020, $0.4527, 1080890, $0.465, $0.4665, $0.4464
12/02/2020, $0.4582, 1324966, $0.4745, $0.4745, $0.4451
12/01/2020, $0.4611, 2231473, $0.46, $0.479, $0.448
11/30/2020, $0.4412, 1782517, $0.45, $0.4644, $0.4355
11/27/2020, $0.4499, 2982823, $0.4575, $0.47, $0.4416
11/25/2020, $0.4424, 2969460, $0.41, $0.455, $0.41
11/24/2020, $0.415, 2131419, $0.43, $0.44, $0.4094
11/23/2020, $0.4307, 1837830, $0.42, $0.4375, $0.42
11/20/2020, $0.416, 1956457, $0.44, $0.44, $0.4141
11/19/2020, $0.4349, 3655086, $0.45, $0.453, $0.4203
11/18/2020, $0.4365, 2188963, $0.41, $0.4474, $0.4048
11/17/2020, $0.404, 1325078, $0.4121, $0.4126, $0.3905
