Date, Close/Last, Volume, Open, High, Low
01/20/2021, $34.5, 1020652, $33.64, $35.43, $32.42
01/19/2021, $33.64, 1363016, $28.21, $34.09, $28.2
01/15/2021, $27.88, 535714, $30.2, $30.295, $27.5002
01/14/2021, $29.99, 659789, $29.13, $30.41, $28.25
01/13/2021, $28.71, 836197, $27.19, $29.17, $27.16
01/12/2021, $26.84, 663971, $26.3, $26.988, $25.78
01/11/2021, $25.7, 440957, $26.49, $26.49, $25
01/08/2021, $26.31, 894683, $26.93, $27.58, $25.51
01/07/2021, $26.93, 789517, $27, $27.94, $26.17
01/06/2021, $26.71, 693606, $26.6, $27, $25.5
01/05/2021, $26.75, 445203, $28.02, $28.02, $26.3
01/04/2021, $27.79, 682224, $28.76, $29.43, $27.65
12/31/2020, $27.96, 279292, $28.04, $28.8, $27.29
12/30/2020, $28, 487844, $26.44, $28.45, $26.38
12/29/2020, $26.31, 387092, $28.39, $28.39, $26
12/28/2020, $28.21, 551818, $30.79, $30.8, $27
12/24/2020, $30.44, 319743, $31.462, $31.99, $29.58
12/23/2020, $31.5, 1882219, $32.33, $38.7, $31.38
12/22/2020, $30.49, 1424834, $25.3, $30.66, $24.98
12/21/2020, $24.5, 756672, $25.15, $25.2006, $23.73
12/18/2020, $25.43, 488636, $27.6, $27.81, $25.1
12/17/2020, $27.62, 497067, $26.7, $28, $26.5503
12/16/2020, $26.86, 1096845, $23, $27.17, $22.7874
12/15/2020, $23.25, 875300, $24.99, $24.99, $22.42
12/14/2020, $24.89, 722524, $25.58, $25.9495, $24.1
12/11/2020, $25.05, 1110345, $27.5, $28.14, $24.661
12/10/2020, $27.35, 1170524, $27.45, $29.2, $26.68
12/09/2020, $29.45, 8608193, $25.12, $33.1599, $25.12
