Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10.47, 1320228, $10.65, $11.07, $10.45
03/23/2021, $10.35, 1275251, $10.8, $10.98, $10.195
03/22/2021, $11.16, 866290, $11.18, $11.24, $10.95
03/19/2021, $11.26, 3033676, $11.01, $11.45, $10.79
03/18/2021, $11.05, 996163, $11.67, $11.7, $10.94
03/17/2021, $11.67, 736181, $11.24, $11.77, $11.24
03/16/2021, $11.4, 1049863, $11.94, $12.05, $11.39
03/15/2021, $12.19, 1104762, $12.57, $12.68, $12.0107
03/12/2021, $12.69, 777126, $12.82, $13.13, $12.5
03/11/2021, $12.69, 751417, $12.57, $13, $12.4
03/10/2021, $12.74, 1397985, $12.32, $12.79, $12.12
03/09/2021, $12.41, 1141531, $13.67, $13.695, $12.35
03/08/2021, $13.76, 1725888, $13.13, $13.99, $13.08
03/05/2021, $13.14, 1661472, $12.51, $13.18, $11.89
03/04/2021, $11.93, 1140559, $11.65, $11.97, $11.21
03/03/2021, $11.56, 666264, $11.49, $12.07, $11.445
03/02/2021, $11.32, 650771, $12.19, $12.22, $11.305
03/01/2021, $12.04, 1099431, $11.92, $12.04, $11.43
02/26/2021, $11.47, 1054601, $11.04, $11.66, $10.5435
02/25/2021, $11.2, 1378747, $11.71, $11.91, $11.09
02/24/2021, $11.41, 1282818, $10.24, $11.44, $9.65
02/23/2021, $10.35, 969052, $10.13, $10.49, $9.64
02/22/2021, $10.26, 743452, $9.47, $10.4717, $9.43
02/19/2021, $9.48, 537304, $9.27, $9.58, $9.16
02/18/2021, $9.31, 495953, $9.65, $9.69, $9.23
02/17/2021, $9.77, 1012279, $9.87, $10.04, $9.5
02/16/2021, $9.9, 820458, $9.64, $10.02, $9.62
02/12/2021, $9.42, 993720, $9.21, $9.61, $9.17
02/11/2021, $9.3, 1035283, $9.65, $9.65, $9.17
02/10/2021, $9.72, 921113, $9.57, $9.8, $9.42
02/09/2021, $9.56, 1298774, $9.75, $9.85, $9.3
02/08/2021, $9.75, 1239426, $9.61, $10.25, $9.44
02/05/2021, $9.5, 2231665, $9.41, $9.6, $9.12
02/04/2021, $8.78, 873524, $8.36, $8.78, $8.11
02/03/2021, $8.3, 738728, $8.15, $8.31, $7.98
02/02/2021, $8.15, 575303, $8.44, $8.47, $8.11
02/01/2021, $8.14, 714910, $8.1, $8.23, $7.86
01/29/2021, $7.99, 1083429, $8.48, $8.71, $7.89
01/28/2021, $8.55, 1060195, $7.98, $8.57, $7.89
01/27/2021, $7.84, 1313566, $7.99, $8.28, $7.76
01/26/2021, $8.23, 1887111, $8.23, $8.36, $8.11
01/25/2021, $8.05, 936100, $8.22, $8.26, $7.82
01/22/2021, $8.31, 2027513, $7.58, $8.33, $7.56
01/21/2021, $7.86, 1449823, $7.95, $8.01, $7.66
01/20/2021, $7.96, 1037402, $8.15, $8.25, $7.85
01/19/2021, $8.02, 1149525, $8.09, $8.3, $7.8
01/15/2021, $7.87, 692019, $8.03, $8.2, $7.7699
01/14/2021, $8.34, 1001287, $8, $8.57, $7.86
01/13/2021, $7.93, 831581, $8.35, $8.35, $7.82
01/12/2021, $8.38, 805859, $8.03, $8.485, $7.97
01/11/2021, $8.03, 1132508, $7.95, $8.16, $7.8
01/08/2021, $8.24, 972513, $8.44, $8.46, $8.11
01/07/2021, $8.21, 1136775, $8.54, $8.59, $8.14
01/06/2021, $8.44, 1954757, $8.2, $8.76, $7.955
01/05/2021, $8.07, 1617164, $7.6, $8.39, $7.58
01/04/2021, $7.57, 1108942, $7.51, $7.735, $7.21
12/31/2020, $7.39, 1052608, $7.34, $7.495, $7.285
12/30/2020, $7.45, 632917, $7.4, $7.62, $7.36
12/29/2020, $7.41, 723069, $7.51, $7.6, $7.32
12/28/2020, $7.43, 917622, $7.65, $7.905, $7.35
12/24/2020, $7.55, 347221, $7.75, $7.75, $7.4
12/23/2020, $7.67, 917834, $7.52, $7.84, $7.5
12/22/2020, $7.44, 1314725, $7.18, $7.465, $6.94
12/21/2020, $7.18, 2487450, $6.97, $7.42, $6.83
12/18/2020, $7.28, 2608792, $7.68, $7.68, $7.205
12/17/2020, $7.7, 1400088, $7.99, $7.99, $7.55
12/16/2020, $7.87, 1562589, $8.16, $8.315, $7.85
12/15/2020, $8.1, 1892363, $7.71, $8.1825, $7.62
12/14/2020, $7.39, 2208215, $7.63, $7.68, $7.2
12/11/2020, $7.46, 1769922, $7.11, $7.47, $6.815
12/10/2020, $7.22, 1521825, $6.86, $7.4, $6.79
12/09/2020, $6.87, 1849159, $6.92, $7.19, $6.77
12/08/2020, $6.89, 1756046, $6.42, $6.94, $6.42
12/07/2020, $6.61, 1235099, $6.74, $6.74, $6.44
12/04/2020, $6.83, 880913, $6.54, $6.85, $6.54
12/03/2020, $6.34, 1016912, $6.29, $6.39, $6.1599
12/02/2020, $6.26, 776279, $6.15, $6.5, $6.09
