Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10.65, 1032579, $10.72, $10.77, $10.56
03/23/2021, $10.72, 1269921, $11.11, $11.14, $10.685
03/22/2021, $11.22, 1073834, $11.03, $11.34, $11.03
03/19/2021, $11.09, 3740505, $10.95, $11.2, $10.8999
03/18/2021, $10.92, 1841342, $10.66, $11.19, $10.58
03/17/2021, $10.94, 1129828, $10.62, $11.075, $10.51
03/16/2021, $10.69, 878563, $10.68, $10.725, $10.455
03/15/2021, $10.6, 1223303, $10.65, $10.71, $10.405
03/12/2021, $10.56, 892281, $10.13, $10.62, $10.13
03/11/2021, $10.42, 1279648, $10.5, $10.58, $10.285
03/10/2021, $10.38, 1089010, $10.45, $10.49, $10.14
03/09/2021, $10.32, 1276155, $10.36, $10.62, $10.18
03/08/2021, $10.04, 895030, $10.03, $10.2, $9.96
03/05/2021, $10.11, 933169, $10, $10.14, $9.74
03/04/2021, $9.98, 1467900, $9.94, $10.16, $9.7
03/03/2021, $9.94, 2095709, $10.17, $10.23, $9.82
03/02/2021, $10.39, 1661179, $9.72, $10.465, $9.68
03/01/2021, $9.68, 1944583, $9.84, $10.04, $9.6
02/26/2021, $9.71, 3848925, $10.75, $10.8, $9.71
02/25/2021, $10.76, 3418112, $11, $11.16, $10.59
02/24/2021, $10.61, 1275388, $10.34, $10.66, $10.19
02/23/2021, $10.36, 1000502, $10.61, $10.62, $10.21
02/22/2021, $10.7, 1366535, $10.28, $10.82, $10.28
02/19/2021, $10.18, 1240110, $10.35, $10.47, $10.18
02/18/2021, $10.29, 1622103, $10.62, $10.81, $10.26
02/17/2021, $10.63, 1374101, $10.57, $10.73, $10.5
02/16/2021, $10.74, 1131006, $10.73, $11.0299, $10.55
02/12/2021, $10.87, 1155254, $10.72, $10.92, $10.4
02/11/2021, $10.72, 1525756, $11.21, $11.34, $10.64
02/10/2021, $11.23, 706915, $11.24, $11.285, $11.04
02/09/2021, $11.14, 922605, $11.29, $11.33, $11.03
02/08/2021, $11.24, 1561479, $11.31, $11.58, $11.195
02/05/2021, $11.07, 1172424, $11.1, $11.115, $10.81
02/04/2021, $10.97, 1555300, $10.8, $11, $10.45
02/03/2021, $10.99, 1469409, $10.6, $11.13, $10.6
02/02/2021, $10.58, 1229084, $10.7, $10.77, $10.49
02/01/2021, $11.08, 1906626, $11.24, $11.31, $10.69
01/29/2021, $10.82, 4720108, $11.19, $11.6, $10.73
01/28/2021, $10.89, 2041415, $10.56, $11.05, $10.535
01/27/2021, $10.33, 1323271, $10.28, $10.452, $9.955
01/26/2021, $10.4, 920689, $10.45, $10.58, $10.33
01/25/2021, $10.42, 1248047, $10.58, $10.68, $10.275
01/22/2021, $10.51, 1155200, $10.64, $10.73, $10.36
