Date, Close/Last, Volume, Open, High, Low
03/24/2021, $95.69, 1326744, $96.71, $99.79, $95.6
03/23/2021, $94.94, 1696273, $101.37, $101.654, $93.7629
03/22/2021, $103.47, 700171, $105.53, $105.62, $101.8
03/19/2021, $105.78, 973133, $104.11, $107.75, $102.445
03/18/2021, $105.4, 851177, $106.24, $110.56, $104.9
03/17/2021, $105, 827017, $106.23, $106.8, $102.2
03/16/2021, $106, 898604, $107.99, $109, $104.21
03/15/2021, $108.44, 661642, $106.95, $108.6899, $105.84
03/12/2021, $107.3, 690294, $106, $108.8, $105.82
03/11/2021, $104.98, 653005, $105.74, $106.79, $103.92
03/10/2021, $105.36, 776056, $104.63, $106.49, $103.28
03/09/2021, $104.13, 673866, $106.44, $107.9599, $103.94
03/08/2021, $106.75, 1228254, $105.52, $110.89, $105.295
03/05/2021, $104.39, 1089896, $100.65, $105.03, $97.44
03/04/2021, $99.55, 1117292, $103.98, $104.74, $96.675
03/03/2021, $104.25, 1000851, $102.54, $106.33, $101.71
03/02/2021, $102.11, 596442, $99.8, $102.84, $99.57
03/01/2021, $100.21, 1109346, $102.27, $102.6309, $100
02/26/2021, $99.96, 800204, $100.02, $101.06, $96.48
02/25/2021, $99.92, 749593, $102.82, $104.29, $99.585
02/24/2021, $102.29, 1277472, $97.72, $102.53, $97.18
02/23/2021, $97.06, 721938, $97.28, $97.89, $93.9
02/22/2021, $97.48, 775885, $94.6, $98.2, $93.42
02/19/2021, $93.98, 1084159, $91.41, $94.21, $91.34
02/18/2021, $91.09, 746669, $92.64, $92.9, $89.33
02/17/2021, $93.45, 1108263, $97, $97.09, $93.03
02/16/2021, $97.58, 839615, $96.64, $97.88, $95.76
02/12/2021, $96.15, 539776, $96.84, $97.28, $95.37
02/11/2021, $97.72, 673818, $95.49, $97.76, $94.52
02/10/2021, $95.86, 623157, $94.84, $97.02, $93.14
02/09/2021, $93.79, 763246, $94.51, $95.19, $93.5801
02/08/2021, $95.24, 919927, $95.93, $96.47, $94.34
02/05/2021, $95.19, 774062, $94.03, $95.32, $93.4
02/04/2021, $92.61, 1283795, $88.36, $93.045, $88.1
02/03/2021, $87.6, 860930, $86.44, $88.5, $85.43
02/02/2021, $85.61, 2040281, $84, $87.035, $83.54
02/01/2021, $82.45, 3213290, $82.67, $84.99, $78.76
01/29/2021, $85.26, 880508, $88.09, $88.83, $84.4097
01/28/2021, $88.72, 1110749, $86.85, $90.6, $86
