Date, Close/Last, Volume, Open, High, Low
01/20/2021, $98.08, 389702, $96.69, $98.69, $96.55
01/19/2021, $97.36, 439106, $95.15, $98, $94.42
01/15/2021, $95.2, 344914, $93.49, $95.85, $92.75
01/14/2021, $93.85, 364342, $94.73, $96.29, $93.12
01/13/2021, $93.76, 278015, $93.63, $95, $92.9322
01/12/2021, $94.14, 355290, $93.36, $94.75, $92.56
01/11/2021, $93.33, 309074, $93.24, $94.42, $92.76
01/08/2021, $93.47, 409756, $94, $94.39, $92.48
01/07/2021, $93.72, 426877, $94.53, $95.5, $93.05
01/06/2021, $93.4, 757182, $89.73, $94.69, $89.14
01/05/2021, $90.18, 723847, $85.48, $90.55, $85.065
01/04/2021, $85.34, 589225, $85.24, $85.905, $83.22
12/31/2020, $84.85, 305872, $84.52, $85.47, $83.34
12/30/2020, $84.52, 234680, $85.91, $86.33, $84.45
12/29/2020, $85.52, 360995, $88.6, $88.95, $84.99
12/28/2020, $89.2, 342147, $87.93, $89.91, $86.955
12/24/2020, $87.54, 145476, $87.49, $88.2, $86.6857
12/23/2020, $87.26, 267561, $86.4, $87.44, $85.79
12/22/2020, $86.55, 345062, $87.63, $88.4711, $85.12
12/21/2020, $87.15, 585979, $89.25, $89.93, $86.21
12/18/2020, $90.47, 997373, $89.71, $91.18, $89.0208
12/17/2020, $89.45, 886475, $87.49, $89.52, $86.37
12/16/2020, $87.32, 505160, $87.45, $89.71, $87.13
12/15/2020, $87.34, 560726, $86.62, $87.57, $85.68
12/14/2020, $85.64, 335964, $84.71, $85.95, $84.43
12/11/2020, $84.83, 245310, $83.74, $85.6077, $83.17
12/10/2020, $84.23, 304808, $84.51, $85.44, $83.3
12/09/2020, $84.35, 669705, $85.4, $87.39, $83.8
12/08/2020, $85.45, 556749, $81.58, $85.69, $81.0176
12/07/2020, $82.06, 459299, $81.051, $82.6, $80.19
12/04/2020, $80.86, 283579, $81.29, $82.2292, $80.06
12/03/2020, $81.03, 387102, $80.06, $82.1, $79.62
12/02/2020, $80.47, 360612, $81.26, $81.26, $79.85
12/01/2020, $81.28, 613887, $80.86, $81.74, $79.57
11/30/2020, $80.36, 420587, $81.53, $81.58, $79.67
11/27/2020, $81.55, 208305, $80.53, $81.78, $80.53
11/25/2020, $80.21, 548702, $83.32, $83.32, $80.08
11/24/2020, $83.32, 678030, $81.59, $83.5, $80.335
11/23/2020, $81.24, 796890, $79.37, $81.58, $77.96
11/20/2020, $79.19, 486320, $78.89, $79.58, $77.57
11/19/2020, $79.17, 442608, $77.09, $79.48, $77.04
