Date, Close/Last, Volume, Open, High, Low
01/20/2021, $49.51, 1210, $49.5, $49.52, $49.5
01/19/2021, $49.5, 1266, $49.5, $49.5, $49.5
01/15/2021, $49.5, N/A, $49.5, $49.5, $49.5
01/14/2021, $49.5, 1299, $49.47, $49.5, $49.47
01/13/2021, $47.3, N/A, $47.3, $47.3, $47.3
01/12/2021, $47.3, 529, $47.3, $47.3, $47.3
01/11/2021, $49.5, N/A, $49.5, $49.5, $49.5
01/08/2021, $49.5, 4986, $49.45, $49.57, $48.62
01/07/2021, $48.95, 1371, $49.02, $49.05, $48.95
01/06/2021, $48.6, 1874, $45.0119, $48.99, $45.0119
01/05/2021, $47.005, 992, $47.005, $47.005, $47.005
01/04/2021, $45.5, 386, $45.5, $45.5, $45.5
12/31/2020, $47.99, N/A, $47.99, $47.99, $47.99
12/30/2020, $47.99, 2888, $43.68, $47.99, $43.68
12/29/2020, $47.2341, N/A, $47.2341, $47.2341, $47.2341
12/28/2020, $47.2341, 1070, $47.7, $47.7, $47.2341
12/24/2020, $47.74, 371, $47.74, $47.74, $47.74
12/23/2020, $46.5, 1418, $46.46, $46.5, $46.46
12/22/2020, $46.4323, 833, $43.0036, $46.4323, $43.0036
12/21/2020, $45.2, 9847, $45.56, $46.15, $45.1006
12/18/2020, $46.75, 2721, $45.875, $46.75, $45.875
12/17/2020, $45.89, 2807, $46.05, $46.05, $45.89
12/16/2020, $45.5, 4709, $45.105, $45.8, $45.105
12/15/2020, $45, 2202, $45.7, $45.7, $45
12/14/2020, $42.46, 425, $42.61, $42.61, $42.46
12/11/2020, $43.4006, 1002, $43.5, $43.5, $43.4006
12/10/2020, $43.4, 6486, $43.2425, $43.4, $43.155
12/09/2020, $42.9905, 7325, $43, $43, $42.9905
12/08/2020, $42.325, 1246, $42.25, $42.4913, $42.25
12/07/2020, $41.65, 1512, $41.65, $41.65, $40.5074
12/04/2020, $41.92, 2027, $40.71, $42, $40.71
12/03/2020, $40, 2277, $39.25, $40.01, $39.25
12/02/2020, $38.89, 3260, $38.25, $38.9, $38.25
12/01/2020, $38.02, 1583, $37.88, $38.02, $37.86
11/30/2020, $37.67, 3058, $37.04, $37.67, $37.04
11/27/2020, $37, 131, $37, $37, $37
11/25/2020, $34.3, 5009, $33.75, $35, $32.0015
11/24/2020, $33, 1380, $33, $33, $33
11/23/2020, $32.8, 729, $32.8, $32.8, $32.8
11/20/2020, $32.69, 451, $32.67, $32.69, $32.67
11/19/2020, $31.8, N/A, $31.8, $31.8, $31.8
11/18/2020, $31.8, N/A, $31.8, $31.8, $31.8
11/17/2020, $31.8, N/A, $31.8, $31.8, $31.8
11/16/2020, $31.8, 2247, $30, $31.8, $30
11/13/2020, $31.49, N/A, $31.49, $31.49, $31.49
11/12/2020, $31.49, N/A, $31.49, $31.49, $31.49
11/11/2020, $31.49, 413, $31.49, $31.49, $31.49
11/10/2020, $30.49, 1226, $29.5, $30.49, $29.5
11/09/2020, $31.1, 16437, $30, $31.5, $30
11/06/2020, $30.48, 373, $30.48, $30.48, $30.48
11/05/2020, $29.21, 1916, $30, $30.0095, $29.21
11/04/2020, $30.1366, 355, $30.1366, $30.1366, $30.1366
11/03/2020, $30.49, 3479, $30, $30.49, $29.14
11/02/2020, $30.68, 230, $30.68, $30.68, $30.68
10/30/2020, $30.5, 631, $30.5, $30.5, $30.5
10/29/2020, $30, N/A, $30, $30, $30
10/28/2020, $30, 2799, $30, $30.12, $30
10/27/2020, $30.5005, N/A, $30.5005, $30.5005, $30.5005
10/26/2020, $30.5005, 892, $30.51, $30.51, $30.5005
10/23/2020, $31, 4137, $32, $32, $31
10/22/2020, $31.65, 1243, $32.59, $32.59, $31.3
10/21/2020, $30.18, N/A, $30.18, $30.18, $30.18
10/20/2020, $30.18, N/A, $30.18, $30.18, $30.18
10/19/2020, $30.18, 1578, $30.4, $30.41, $30.18
10/16/2020, $31.75, N/A, $31.75, $31.75, $31.75
10/15/2020, $31.75, N/A, $31.75, $31.75, $31.75
10/14/2020, $31.75, 945, $31.75, $31.75, $31.75
10/13/2020, $31.75, 4234, $32, $32.9, $31.75
10/12/2020, $31.75, 4973, $31.75, $32, $31.5
10/09/2020, $29.01, 265, $29.01, $29.01, $29.01
10/08/2020, $31.5, N/A, $31.5, $31.5, $31.5
10/07/2020, $31.5, 1769, $31.5, $31.5, $31.5
10/06/2020, $31.5, 1423, $31.64, $31.65, $31.5
10/05/2020, $32.37, N/A, $32.37, $32.37, $32.37
10/02/2020, $32.37, N/A, $32.37, $32.37, $32.37
10/01/2020, $32.37, 882, $33.9962, $33.9962, $32
09/30/2020, $33.3, 980, $30.74, $33.3, $30.74
09/29/2020, $31.13, N/A, $31.13, $31.13, $31.13
09/28/2020, $31.13, N/A, $31.13, $31.13, $31.13
09/25/2020, $31.13, N/A, $31.13, $31.13, $31.13
09/24/2020, $31.13, 3763, $31.58, $32.255, $31.13
09/23/2020, $31.71, N/A, $31.71, $31.71, $31.71
09/22/2020, $31.71, 932, $33.25, $33.25, $31.71
09/21/2020, $32.85, 729, $32.85, $32.85, $32.85
09/18/2020, $32.87, 10382, $35.31, $35.31, $32.04
