Date, Close/Last, Volume, Open, High, Low
01/20/2021, $7.05, 169250, $6.84, $7.15, $6.67
01/19/2021, $6.88, 143079, $6.97, $7.04, $6.75
01/15/2021, $6.88, 185427, $6.67, $6.98, $6.46
01/14/2021, $6.83, 151213, $6.7, $6.99, $6.7
01/13/2021, $6.68, 88692, $7, $7.0089, $6.68
01/12/2021, $6.97, 143309, $6.83, $7, $6.7901
01/11/2021, $6.81, 138105, $6.63, $7, $6.5
01/08/2021, $6.74, 135114, $7.27, $7.27, $6.608
01/07/2021, $7.06, 153421, $7.22, $7.3824, $7.03
01/06/2021, $7.11, 489707, $7, $7.4, $7
01/05/2021, $6.94, 368876, $6.36, $6.95, $6.36
01/04/2021, $6.36, 265199, $6.27, $6.43, $6.14
12/31/2020, $6.12, 121789, $5.78, $6.19, $5.78
12/30/2020, $5.8, 146990, $5.64, $5.81, $5.6
12/29/2020, $5.64, 189734, $5.61, $5.75, $5.45
12/28/2020, $5.66, 238133, $5.9, $5.96, $5.56
12/24/2020, $5.91, 72143, $6.17, $6.2489, $5.86
12/23/2020, $6.17, 236185, $6.37, $6.45, $6.07
12/22/2020, $6.33, 136591, $6.57, $6.61, $6.24
12/21/2020, $6.555, 231303, $6.48, $6.63, $6.41
12/18/2020, $6.47, 423482, $6.4, $6.5, $6.25
12/17/2020, $6.34, 132334, $6.29, $6.4, $6.23
12/16/2020, $6.25, 130247, $6.16, $6.3, $6.05
12/15/2020, $6.15, 138902, $6.01, $6.2, $5.87
12/14/2020, $5.93, 137008, $5.91, $6.1393, $5.81
12/11/2020, $5.76, 112606, $5.95, $5.9825, $5.7
12/10/2020, $5.9, 319642, $5.51, $6.15, $5.51
12/09/2020, $5.43, 100981, $5.4, $5.51, $5.37
12/08/2020, $5.35, 392507, $5.59, $5.63, $5.2
12/07/2020, $5.63, 190251, $5.62, $5.82, $5.6002
12/04/2020, $5.56, 128250, $5.42, $5.71, $5.42
12/03/2020, $5.42, 115052, $5.76, $5.81, $5.35
12/02/2020, $5.72, 105481, $5.8, $5.83, $5.61
12/01/2020, $5.74, 97400, $5.81, $5.92, $5.72
11/30/2020, $5.73, 166665, $6.09, $6.14, $5.66
11/27/2020, $5.94, 65234, $5.98, $6.0429, $5.86
11/25/2020, $6.04, 111834, $6.08, $6.1, $5.93
11/24/2020, $6.06, 213400, $5.88, $6.12, $5.82
11/23/2020, $5.82, 198071, $5.65, $5.91, $5.53
11/20/2020, $5.62, 129739, $5.64, $5.8, $5.53
11/19/2020, $5.72, 95031, $5.71, $5.75, $5.51
11/18/2020, $5.63, 115757, $5.5, $5.73, $5.455
11/17/2020, $5.5, 161538, $5.4, $5.59, $5.3567
11/16/2020, $5.4, 189994, $5.28, $5.4, $5.21
11/13/2020, $5.2, 136887, $5.25, $5.285, $5.15
11/12/2020, $5.24, 160888, $5.15, $5.25, $5.09
11/11/2020, $5.15, 87640, $5.01, $5.15, $4.94
11/10/2020, $4.98, 171687, $5.02, $5.1, $4.81
11/09/2020, $4.95, 252662, $4.93, $5.06, $4.83
11/06/2020, $4.65, 34829, $4.77, $4.78, $4.56
11/05/2020, $4.78, 75674, $4.71, $4.845, $4.64
11/04/2020, $4.61, 64970, $4.52, $4.67, $4.28
11/03/2020, $4.64, 96160, $4.56, $4.78, $4.52
11/02/2020, $4.48, 89677, $4.29, $4.54, $4.16
10/30/2020, $4.18, 321804, $4.555, $4.555, $4.05
10/29/2020, $4.38, 276286, $4.57, $4.88, $4.2
10/28/2020, $4.52, 165254, $4.53, $4.54, $4.39
10/27/2020, $4.65, 98352, $4.8, $4.8, $4.62
10/26/2020, $4.8, 55924, $4.9, $4.9, $4.7
10/23/2020, $4.85, 54162, $4.85, $4.9, $4.75
10/22/2020, $4.81, 85028, $4.8, $4.96, $4.72
10/21/2020, $4.8, 71860, $4.8, $4.9, $4.54
10/20/2020, $4.785, 113248, $4.81, $4.9, $4.64
10/19/2020, $4.76, 56146, $4.76, $4.8699, $4.52
10/16/2020, $4.74, 64438, $4.82, $4.9746, $4.7
10/15/2020, $4.84, 86207, $4.82, $4.92, $4.7
10/14/2020, $4.9, 172302, $4.9, $4.99, $4.63
10/13/2020, $4.85, 70355, $4.93, $5, $4.8
10/12/2020, $4.89, 86398, $4.9, $4.96, $4.8
10/09/2020, $4.83, 101757, $5.12, $5.25, $4.78
10/08/2020, $5.1, 87466, $5.04, $5.24, $4.9
10/07/2020, $4.96, 92654, $4.94, $5.04, $4.84
10/06/2020, $4.85, 102170, $4.69, $4.98, $4.6329
10/05/2020, $4.67, 138831, $4.57, $4.8, $4.5
10/02/2020, $4.54, 64652, $4.5, $4.6, $4.5
10/01/2020, $4.64, 92040, $4.61, $4.72, $4.5
09/30/2020, $4.6, 109323, $4.63, $4.74, $4.46
09/29/2020, $4.64, 137749, $4.43, $4.67, $4.38
09/28/2020, $4.45, 102214, $4.52, $4.5835, $4.41
