Date, Close/Last, Volume, Open, High, Low
03/24/2021, $31.8, 540358, $33.85, $34.7599, $31.8
03/23/2021, $33.42, 1330733, $32.34, $34.875, $31.445
03/22/2021, $36.07, 520891, $36.3, $37.235, $35.05
03/19/2021, $36.51, 1667493, $40.23, $40.3071, $36.31
03/18/2021, $40.95, 874532, $42.49, $45.11, $40.4835
03/17/2021, $42.16, 483053, $40.613, $42.66, $40.03
03/16/2021, $40.78, 175269, $41.47, $41.75, $40.5501
03/15/2021, $41.26, 165266, $42.34, $42.34, $40.75
03/12/2021, $41.98, 197921, $42.61, $42.7868, $41.34
03/11/2021, $42.46, 217258, $41.22, $42.68, $40.91
03/10/2021, $40.8, 269854, $38.26, $41.28, $37.99
03/09/2021, $37.83, 377863, $38.2, $39.08, $37.68
03/08/2021, $37.65, 205956, $38.09, $38.7131, $37.4
03/05/2021, $37.88, 332311, $38.18, $38.18, $35.1
03/04/2021, $37.86, 435259, $40.64, $40.9, $36.72
03/03/2021, $41.04, 238411, $41.11, $42.5762, $40.52
03/02/2021, $40.84, 186843, $41.86, $42.29, $40.84
03/01/2021, $42.06, 218561, $40.43, $42.15, $40.43
02/26/2021, $39.2, 281576, $39.76, $40.5525, $38.63
02/25/2021, $39.72, 253542, $41.42, $42.0399, $39.72
02/24/2021, $41.59, 218253, $41.57, $42.33, $40.69
02/23/2021, $40.48, 523682, $40.09, $40.9, $37.1
02/22/2021, $42.28, 287613, $40.88, $42.86, $40.14
02/19/2021, $41.16, 375264, $40.52, $41.25, $39.32
02/18/2021, $40.04, 915613, $37.65, $40.57, $37.11
02/17/2021, $37.72, 145497, $38.21, $38.21, $37.0415
02/16/2021, $37.86, 209916, $37.79, $38.34, $37.51
02/12/2021, $37.35, 130482, $36.79, $37.78, $36.79
02/11/2021, $37.09, 163684, $37.25, $37.65, $36.21
02/10/2021, $37.11, 134288, $37.75, $37.887, $36.52
02/09/2021, $37.35, 224214, $37.69, $37.94, $37.13
02/08/2021, $37.56, 211504, $36.17, $37.58, $36.17
02/05/2021, $35.76, 144496, $35.62, $36.17, $35.23
02/04/2021, $35.38, 152048, $34.3, $35.39, $34.09
02/03/2021, $34.26, 171209, $34.41, $34.8299, $34.11
02/02/2021, $34.46, 321038, $33.1, $34.74, $32.96
02/01/2021, $32.71, 176455, $32.96, $33.06, $32.2
01/29/2021, $32.27, 294377, $33.58, $33.675, $32.1316
01/28/2021, $33.94, 209005, $34.07, $34.7799, $33.4122
01/27/2021, $33.95, 272651, $35.15, $35.465, $33.88
01/26/2021, $36.32, 178010, $37.4, $37.6, $36.17
01/25/2021, $36.95, 341481, $35.34, $36.99, $35.2
01/22/2021, $35.65, 338359, $35.76, $35.855, $34.36
01/21/2021, $35.755, 222282, $37.05, $37.46, $35.75
01/20/2021, $37.03, 290413, $36.66, $37.14, $36.34
01/19/2021, $36.6, 393265, $37.64, $37.99, $35.78
01/15/2021, $36.57, 239101, $37.39, $37.58, $35.85
01/14/2021, $37.63, 277538, $37.94, $39.1, $37.46
01/13/2021, $37.45, 168405, $37.68, $37.92, $37.25
01/12/2021, $37.71, 188745, $36.72, $37.97, $36.49
01/11/2021, $36.66, 296171, $36.04, $37.135, $34.78
01/08/2021, $36.24, 443859, $37.51, $37.74, $35.8972
01/07/2021, $36.64, 302764, $35.87, $36.7299, $35.04
01/06/2021, $35.15, 597249, $33, $35.25, $32.92
01/05/2021, $32.66, 233786, $32.22, $33.2, $32.22
01/04/2021, $32.23, 326468, $33.2, $33.47, $31.16
12/31/2020, $33.09, 119875, $32.6, $33.24, $32.47
12/30/2020, $32.66, 184023, $32.58, $33.25, $32.56
12/29/2020, $32.65, 196118, $33.74, $33.79, $32.44
12/28/2020, $33.74, 222341, $33.17, $33.98, $33.09
12/24/2020, $33.09, 87670, $33.66, $33.71, $32.6
12/23/2020, $33.63, 191226, $32.89, $33.76, $32.7747
12/22/2020, $32.9, 278678, $33, $33.37, $32.63
12/21/2020, $32.9, 280978, $32.75, $33.27, $32.23
12/18/2020, $33.64, 1181400, $33.94, $34.37, $33.37
12/17/2020, $33.8, 253369, $32.83, $33.9, $32.83
12/16/2020, $33.15, 393329, $33.87, $33.95, $32.56
12/15/2020, $33.89, 284282, $33.48, $34.125, $33.11
12/14/2020, $33.44, 344498, $33.2, $34.1, $33.18
