Date, Close/Last, Volume, Open, High, Low
01/20/2021, $62.62, 583697, $62.65, $63.1899, $61.99
01/19/2021, $62.36, 1081334, $60.96, $62.89, $60.51
01/15/2021, $60.47, 1342651, $61.3, $61.88, $59.51
01/14/2021, $61.92, 836376, $63.21, $63.59, $61.715
01/13/2021, $63.31, 1372488, $65.53, $65.71, $63.2
01/12/2021, $65.34, 1058627, $63.74, $65.47, $62.255
01/11/2021, $65.96, 372889, $68.33, $68.64, $65.96
01/08/2021, $69.12, 399349, $70.25, $70.43, $68.41
01/07/2021, $68.63, 367502, $68.08, $69.37, $67.88
01/06/2021, $67.75, 607277, $68.12, $68.54, $67.02
01/05/2021, $68.41, 317551, $66.56, $68.53, $66.35
01/04/2021, $66.66, 534635, $68.82, $69.31, $66.315
12/31/2020, $69.55, 230225, $70.48, $70.48, $69.15
12/30/2020, $70.34, 279680, $69.23, $70.66, $69.23
12/29/2020, $69.18, 309110, $70.89, $71.54, $68.85
12/28/2020, $70.35, 271108, $71.55, $71.61, $69.82
12/24/2020, $71.24, 184121, $70.87, $71.36, $70.68
12/23/2020, $70.86, 391307, $70.29, $71.43, $70.29
12/22/2020, $70.09, 267086, $69.37, $70.216, $68.3999
12/21/2020, $69.36, 535882, $67.43, $69.8, $67.43
12/18/2020, $68.14, 533880, $68.01, $68.4, $67.19
12/17/2020, $67.35, 451814, $67.85, $68.57, $67.32
12/16/2020, $67.6, 483556, $69, $69.43, $67.58
12/15/2020, $69.1, 644690, $70.14, $70.61, $69.09
12/14/2020, $70.07, 299539, $71.01, $71.01, $70.02
12/11/2020, $70.68, 390126, $72.24, $72.24, $69.46
12/10/2020, $72.37, 354469, $70.64, $72.52, $70.28
12/09/2020, $70.75, 492950, $72.28, $72.805, $70.36
12/08/2020, $72.01, 542855, $70.24, $72.21, $70.0338
12/07/2020, $70.16, 270819, $69.15, $70.54, $68.6337
12/04/2020, $69.22, 314341, $69.91, $70.59, $69.0187
12/03/2020, $69.83, 258617, $69.91, $70.7289, $69.67
12/02/2020, $69.58, 546405, $69.33, $70.05, $68.68
12/01/2020, $69.54, 821179, $72.01, $72.43, $69.04
11/30/2020, $71.81, 854011, $68.58, $71.9, $68.58
11/27/2020, $68.3, 193073, $67.43, $68.9535, $67.32
11/25/2020, $67.32, 320718, $66.3, $67.51, $65.6
11/24/2020, $66.36, 401697, $65.56, $66.38, $64.282
