Date, Close/Last, Volume, Open, High, Low
01/20/2021, $18.15, 7854996, $18.36, $18.4, $17.983
01/19/2021, $18.42, 9750116, $18.32, $18.445, $18.04
01/15/2021, $18.23, 9273449, $18.31, $18.49, $18.065
01/14/2021, $18.65, 7244199, $18.33, $18.71, $18.185
01/13/2021, $18.16, 8682412, $18.15, $18.25, $17.85
01/12/2021, $18.26, 7801626, $18, $18.33, $17.78
01/11/2021, $17.88, 9391111, $17.35, $17.925, $17.155
01/08/2021, $17.57, 7526894, $17.73, $17.735, $17.21
01/07/2021, $17.66, 9326892, $17.46, $17.93, $17.44
01/06/2021, $17.25, 13449510, $16.7, $17.49, $16.7
01/05/2021, $16.25, 7444832, $15.97, $16.43, $15.915
01/04/2021, $15.95, 7872818, $16.27, $16.2901, $15.72
12/31/2020, $16.12, 4764706, $15.9, $16.14, $15.77
12/30/2020, $15.93, 3726347, $15.8, $16, $15.79
12/29/2020, $15.75, 4173042, $16, $16, $15.7
12/28/2020, $15.96, 4884302, $16.09, $16.2, $15.91
12/24/2020, $15.95, 2588204, $16.01, $16.025, $15.69
12/23/2020, $15.94, 5870926, $15.56, $16.08, $15.52
12/22/2020, $15.43, 6299179, $15.61, $15.66, $15.42
12/21/2020, $15.54, 10235730, $15.37, $15.72, $15.16
12/18/2020, $15.26, 15145050, $15.54, $15.615, $15.095
12/17/2020, $15.56, 10842020, $15.61, $15.63, $15.29
12/16/2020, $15.6, 9109218, $15.4, $15.63, $15.33
12/15/2020, $15.38, 8567616, $15.29, $15.41, $15.08
12/14/2020, $15.15, 8948768, $15.82, $15.82, $15.07
12/11/2020, $15.54, 8628329, $15.59, $15.65, $15.36
12/10/2020, $15.85, 10552520, $15.73, $15.885, $15.6
12/09/2020, $15.87, 9757816, $16.08, $16.11, $15.72
12/08/2020, $15.95, 8927002, $15.87, $16.095, $15.77
12/07/2020, $15.97, 7397569, $16.11, $16.13, $15.85
12/04/2020, $16.17, 16112140, $16.18, $16.35, $16
12/03/2020, $16.03, 14249680, $16.04, $16.14, $15.795
12/02/2020, $16.17, 9168967, $15.73, $16.21, $15.605
12/01/2020, $15.87, 8931143, $15.69, $16.05, $15.6
11/30/2020, $15.27, 12087740, $15.95, $15.96, $15.24
11/27/2020, $15.62, 3711064, $15.75, $15.95, $15.5
11/25/2020, $15.75, 6104389, $15.88, $15.89, $15.61
11/24/2020, $16.09, 12376670, $15.9, $16.225, $15.67
11/23/2020, $15.39, 5890826, $15.36, $15.535, $15.28
11/20/2020, $15.11, 6151842, $15.3, $15.319, $14.98
11/19/2020, $15.46, 5775786, $15.27, $15.48, $15.03
11/18/2020, $15.41, 7031342, $15.68, $15.88, $15.375
11/17/2020, $15.62, 9589208, $15.32, $15.645, $15.18
11/16/2020, $15.61, 9783820, $15.57, $15.79, $15.37
11/13/2020, $14.9, 6050125, $14.6, $14.97, $14.57
11/12/2020, $14.42, 8837425, $14.55, $14.73, $14.19
11/11/2020, $14.87, 8738698, $15.26, $15.288, $14.64
11/10/2020, $15.23, 10973000, $15.39, $15.45, $15
11/09/2020, $15.22, 22576680, $14.24, $15.6, $14.23
11/06/2020, $13.05, 10748120, $13.65, $13.72, $12.98
11/05/2020, $13.68, 10522920, $13.17, $13.9775, $13.17
11/04/2020, $13.13, 10892780, $13.62, $13.62, $12.885
11/03/2020, $14.03, 8472937, $14.06, $14.15, $13.86
11/02/2020, $13.76, 7507413, $13.54, $13.8, $13.22
10/30/2020, $13.3, 7247895, $13.15, $13.35, $13
10/29/2020, $13.2, 8177438, $12.64, $13.32, $12.52
10/28/2020, $12.73, 9612093, $12.63, $12.94, $12.59
10/27/2020, $12.9, 8385536, $13.31, $13.3164, $12.9
10/26/2020, $13.35, 9455553, $13.59, $13.62, $13.27
10/23/2020, $13.78, 9295269, $13.93, $14.04, $13.61
10/22/2020, $13.8, 15868850, $12.82, $13.82, $12.74
10/21/2020, $12.79, 9093294, $12.95, $13.1299, $12.73
10/20/2020, $12.94, 16365490, $12.75, $13.37, $12.68
10/19/2020, $12.34, 6513278, $12.6, $12.64, $12.32
10/16/2020, $12.47, 6503785, $12.54, $12.62, $12.265
10/15/2020, $12.54, 7103762, $12.14, $12.6, $12.1
10/14/2020, $12.25, 7819975, $12.49, $12.585, $12.245
10/13/2020, $12.49, 6629201, $12.89, $12.9, $12.45
10/12/2020, $12.95, 5145375, $12.78, $12.98, $12.715
10/09/2020, $12.79, 6694460, $13.06, $13.13, $12.7
10/08/2020, $13.04, 10066230, $12.83, $13.05, $12.665
10/07/2020, $12.71, 7868605, $12.61, $12.93, $12.54
10/06/2020, $12.39, 9982567, $12.77, $12.995, $12.32
10/05/2020, $12.57, 8103539, $12.12, $12.58, $12.1
10/02/2020, $11.95, 8072340, $11.34, $12.03, $11.3
10/01/2020, $11.53, 7672731, $11.54, $11.655, $11.38
09/30/2020, $11.53, 9506965, $11.47, $11.705, $11.35
09/29/2020, $11.37, 7784759, $11.41, $11.57, $11.19
09/28/2020, $11.51, 9044363, $11.3, $11.53, $11.2336
09/25/2020, $11, 6619139, $10.66, $11.05, $10.6
09/24/2020, $10.76, 6390739, $10.81, $11.035, $10.61
09/23/2020, $10.75, 7301286, $11.1, $11.36, $10.74
09/22/2020, $11.04, 8993671, $11.3, $11.47, $10.98
