Date, Close/Last, Volume, Open, High, Low
03/24/2021, $5.06, 110973, $5.75, $5.94, $5
03/23/2021, $5.53, 173413, $5.89, $6.07, $5.44
03/22/2021, $6.1, 50256, $5.91, $6.2, $5.91
03/19/2021, $6.07, 98113, $5.84, $6.21, $5.7501
03/18/2021, $5.76, 75775, $5.87, $6.1561, $5.75
03/17/2021, $5.98, 77958, $6, $6.1, $5.58
03/16/2021, $6.12, 1210195, $5.79, $6.75, $5.79
03/15/2021, $5.7, 90955, $5.65, $5.87, $5.57
03/12/2021, $5.5, 36294, $5.6, $5.76, $5.48
03/11/2021, $5.68, 77180, $5.44, $5.74, $5.3501
03/10/2021, $5.22, 173704, $5, $5.417, $5
03/09/2021, $5.12, 372397, $5.01, $5.4, $5.01
03/08/2021, $5.04, 679002, $5.07, $5.46, $4.9
03/05/2021, $5.07, 411207, $5.16, $5.4609, $4.85
03/04/2021, $5.16, 232391, $5.84, $6.07, $5.07
03/03/2021, $5.93, 198510, $5.8, $6.225, $5.7701
03/02/2021, $5.95, 172487, $5.74, $6.2, $5.74
03/01/2021, $5.87, 77719, $5.6, $6, $5.54
02/26/2021, $5.39, 120459, $5.68, $5.8, $5.22
02/25/2021, $5.81, 276374, $6.13, $6.34, $5.68
02/24/2021, $5.85, 137908, $5.96, $6.2029, $5.84
02/23/2021, $5.8, 360935, $6.42, $6.42, $5.5
02/22/2021, $6.99, 2097840, $6.31, $8.45, $6.31
02/19/2021, $6.47, 187285, $6.42, $6.8561, $6.36
02/18/2021, $6.64, 165744, $6.87, $7.045, $6.4
02/17/2021, $7.05, 238448, $7.15, $7.2772, $6.71
02/16/2021, $7.18, 562448, $7.08, $8, $6.97
02/12/2021, $6.98, 508191, $7.4, $7.4, $6.7
02/11/2021, $7.25, 595936, $6.48, $7.46, $6.4001
02/10/2021, $6.37, 697511, $7.27, $7.27, $6.19
02/09/2021, $7.135, 422519, $6.84, $7.3946, $6.7112
02/08/2021, $6.9, 391285, $6.59, $7.105, $6.5
02/05/2021, $7.21, 1319491, $6.12, $7.49, $5.8045
02/04/2021, $6.05, 209508, $6.12, $6.35, $5.909
02/03/2021, $6.17, 440847, $5.77, $6.44, $5.77
02/02/2021, $5.86, 619886, $5.89, $6.645, $5.28
02/01/2021, $5.83, 491821, $6.59, $7.11, $5.5
