Date, Close/Last, Volume, Open, High, Low
01/20/2021, $0.8562, 3720045, $0.771, $0.9394, $0.7706
01/19/2021, $0.7765, 376360, $0.7839, $0.7839, $0.73
01/15/2021, $0.7642, 550569, $0.785, $0.785, $0.7012
01/14/2021, $0.775, 374649, $0.7846, $0.7958, $0.76
01/13/2021, $0.788, 739247, $0.7982, $0.83, $0.7685
01/12/2021, $0.8419, 3316891, $0.69, $0.85, $0.68
01/11/2021, $0.664, 367017, $0.672, $0.6752, $0.65
01/08/2021, $0.6712, 446323, $0.685, $0.685, $0.6411
01/07/2021, $0.6809, 2253128, $0.6175, $0.69, $0.61
01/06/2021, $0.5971, 300460, $0.6499, $0.65, $0.591
01/05/2021, $0.6201, 354613, $0.6102, $0.6539, $0.6
01/04/2021, $0.598, 307094, $0.6388, $0.6388, $0.59
12/31/2020, $0.61, 292903, $0.599, $0.625, $0.5852
12/30/2020, $0.5983, 473001, $0.6391, $0.6391, $0.5715
12/29/2020, $0.6336, 575465, $0.66, $0.66, $0.613
12/28/2020, $0.6598, 449877, $0.62, $0.66, $0.612
12/24/2020, $0.645, 390255, $0.63, $0.6599, $0.594
12/23/2020, $0.63, 1185561, $0.58, $0.6473, $0.565
12/22/2020, $0.5652, 420134, $0.5721, $0.589, $0.5542
12/21/2020, $0.5553, 222345, $0.564, $0.57, $0.55
12/18/2020, $0.551, 600621, $0.5724, $0.5788, $0.55
12/17/2020, $0.5663, 1154963, $0.57, $0.5803, $0.54
12/16/2020, $0.5401, 769454, $0.5371, $0.5526, $0.52
12/15/2020, $0.539, 391953, $0.55, $0.55, $0.5237
12/14/2020, $0.5411, 908953, $0.57, $0.5738, $0.5267
12/11/2020, $0.563, 1349693, $0.55, $0.61, $0.54
12/10/2020, $0.55, 1374515, $0.5371, $0.5689, $0.52
12/09/2020, $0.5393, 599896, $0.566, $0.5684, $0.5252
12/08/2020, $0.5728, 934866, $0.5405, $0.5779, $0.535
12/07/2020, $0.56, 1903843, $0.55, $0.599, $0.52
12/04/2020, $0.56, 1453701, $0.585, $0.585, $0.5501
12/03/2020, $0.58, 3034994, $0.61, $0.6184, $0.5501
12/02/2020, $0.602, 3409512, $0.693, $0.693, $0.5824
12/01/2020, $0.72, 7262437, $0.63, $0.75, $0.56
11/30/2020, $0.597, 107898, $0.63, $0.63, $0.57
11/27/2020, $0.599, 99411, $0.62, $0.62, $0.5842
11/25/2020, $0.607, 54745, $0.6, $0.6299, $0.586
11/24/2020, $0.623, 244730, $0.62, $0.63, $0.6101
11/23/2020, $0.605, 115479, $0.595, $0.61, $0.5685
11/20/2020, $0.595, 161892, $0.61, $0.6249, $0.5501
11/19/2020, $0.6, 79508, $0.6, $0.6, $0.58
11/18/2020, $0.578, 232416, $0.5488, $0.607, $0.545
11/17/2020, $0.55, 65371, $0.5617, $0.5628, $0.533
11/16/2020, $0.535, 194021, $0.5344, $0.5597, $0.51
11/13/2020, $0.509, 479543, $0.4936, $0.5182, $0.49
11/12/2020, $0.4921, 82524, $0.5075, $0.52, $0.4921
11/11/2020, $0.5075, 537902, $0.5, $0.5103, $0.49
11/10/2020, $0.5001, 431802, $0.51, $0.5124, $0.482
11/09/2020, $0.5089, 557220, $0.48, $0.5272, $0.48
11/06/2020, $0.475, 197988, $0.499, $0.5319, $0.47
11/05/2020, $0.4794, 154591, $0.4791, $0.4998, $0.4678
11/04/2020, $0.4731, 351217, $0.54, $0.549, $0.45
11/03/2020, $0.533, 84481, $0.535, $0.5584, $0.5214
11/02/2020, $0.52, 99820, $0.51, $0.5449, $0.5044
10/30/2020, $0.51, 181095, $0.5555, $0.5555, $0.5
10/29/2020, $0.5501, 139174, $0.5285, $0.5673, $0.5
10/28/2020, $0.5501, 157911, $0.6036, $0.6098, $0.5401
10/27/2020, $0.61, 234807, $0.645, $0.645, $0.587
10/26/2020, $0.645, 172115, $0.65, $0.669, $0.62
10/23/2020, $0.65, 283150, $0.65, $0.67, $0.63
10/22/2020, $0.652, 295083, $0.64, $0.67, $0.64
10/21/2020, $0.6549, 533369, $0.6195, $0.6788, $0.5734
10/20/2020, $0.6088, 584406, $0.5807, $0.62, $0.5401
10/19/2020, $0.5622, 744149, $0.46, $0.57, $0.46
10/16/2020, $0.464, 335572, $0.462, $0.4674, $0.4501
10/15/2020, $0.4576, 107796, $0.4447, $0.458, $0.4279
10/14/2020, $0.4481, 230105, $0.4608, $0.4611, $0.435
10/13/2020, $0.4591, 281322, $0.46, $0.465, $0.4263
10/12/2020, $0.4575, 498672, $0.44, $0.4674, $0.42
10/09/2020, $0.426, 286007, $0.4, $0.429, $0.395
10/08/2020, $0.392, 371924, $0.39, $0.395, $0.3786
10/07/2020, $0.3862, 310483, $0.395, $0.3988, $0.377
10/06/2020, $0.3902, 475330, $0.399, $0.3997, $0.372
10/05/2020, $0.392, 142502, $0.395, $0.402, $0.392
10/02/2020, $0.3943, 191584, $0.4, $0.4088, $0.3922
10/01/2020, $0.4101, 39045, $0.4214, $0.4256, $0.41
09/30/2020, $0.42, 247104, $0.4099, $0.4299, $0.4002
09/29/2020, $0.4115, 202098, $0.4, $0.416, $0.4
09/28/2020, $0.4, 294907, $0.432, $0.432, $0.3843
09/25/2020, $0.405, 101025, $0.44, $0.44, $0.3902
09/24/2020, $0.401, 117395, $0.4109, $0.4199, $0.3951
09/23/2020, $0.4145, 139978, $0.4327, $0.4414, $0.409
09/22/2020, $0.434, 97320, $0.446, $0.462, $0.4322
09/21/2020, $0.447, 79209, $0.4628, $0.4634, $0.4434
09/18/2020, $0.4531, 242296, $0.4546, $0.4637, $0.452
09/17/2020, $0.4511, 96572, $0.46, $0.4672, $0.45
09/16/2020, $0.46, 72915, $0.4515, $0.467, $0.4509
09/15/2020, $0.45, 149306, $0.46, $0.4625, $0.44
09/14/2020, $0.4531, 142325, $0.45, $0.46, $0.4234
09/11/2020, $0.4343, 147644, $0.4352, $0.44, $0.4152
09/10/2020, $0.436, 226892, $0.4126, $0.4441, $0.4102
09/09/2020, $0.4173, 180614, $0.416, $0.4344, $0.4
09/08/2020, $0.4206, 241029, $0.41, $0.4367, $0.41
09/04/2020, $0.4367, 299722, $0.42, $0.44, $0.41
09/03/2020, $0.4515, 5773713, $0.511, $0.5299, $0.41
09/02/2020, $0.4635, 1369517, $0.4932, $0.4999, $0.44
09/01/2020, $0.5, 324396, $0.53, $0.5371, $0.4806
08/31/2020, $0.53, 167339, $0.53, $0.5371, $0.53
08/28/2020, $0.5302, 170686, $0.53, $0.5373, $0.5203
08/27/2020, $0.5315, 65931, $0.53, $0.54, $0.53
08/26/2020, $0.531, 195570, $0.537, $0.55, $0.53
