Date, Close/Last, Volume, Open, High, Low
03/24/2021, $11.38, 11528670, $12.72, $12.7486, $11.33
03/23/2021, $12.59, 9079875, $13.3, $13.4741, $12.37
03/22/2021, $13.33, 7298456, $13.44, $13.84, $13.17
03/19/2021, $13.3, 12562820, $12.98, $13.56, $12.6
03/18/2021, $13.01, 26689790, $13.85, $14.08, $12.82
03/17/2021, $15.09, 14137110, $14.77, $15.23, $14.29
03/16/2021, $15.22, 11620880, $15.9, $16.02, $14.78
03/15/2021, $16.22, 16470350, $15.32, $16.38, $14.94
03/12/2021, $14.78, 50813050, $14, $15.54, $13.64
03/11/2021, $17.71, 6573841, $17.43, $17.98, $17
03/10/2021, $17, 7046284, $18.5, $18.5, $16.25
03/09/2021, $17.3, 6374857, $17.09, $17.75, $16.6309
03/08/2021, $16.26, 6422893, $16.671, $18.04, $16.11
03/05/2021, $16.77, 10070120, $18.07, $18.0878, $14.9
03/04/2021, $17.79, 8129159, $19, $19.07, $16.61
03/03/2021, $19.03, 5010797, $20.7, $20.87, $18.77
03/02/2021, $20.59, 5447716, $21.39, $21.9199, $20.22
03/01/2021, $20.16, 3654436, $20.47, $20.59, $19.54
02/26/2021, $19.34, 6120464, $19.5417, $19.9899, $18.35
02/25/2021, $19.74, 7470763, $20.61, $21.65, $19.02
02/24/2021, $21.18, 7803944, $20, $21.39, $19.25
02/23/2021, $19.69, 17230480, $21.44, $21.45, $18.6056
02/22/2021, $22.74, 5764180, $24.24, $24.96, $22.5
02/19/2021, $24.76, 5584460, $24.59, $25.68, $24.2302
02/18/2021, $24.55, 5329368, $24.554, $25.2, $24.05
02/17/2021, $24.74, 6711926, $25.48, $25.5, $23.63
02/16/2021, $25.11, 9730819, $26.997, $27.4, $24.71
02/12/2021, $26.91, 14605710, $28.16, $28.6899, $26.5
02/11/2021, $30.75, 10814920, $29.5, $31.5678, $28.6701
02/10/2021, $29.51, 15206300, $27.77, $30.86, $27.35
02/09/2021, $27.63, 4844559, $27.42, $27.73, $26.35
02/08/2021, $27.4, 4347793, $27.06, $27.88, $26.53
02/05/2021, $26.77, 5550550, $28.2, $28.37, $26.2
02/04/2021, $27.41, 6238542, $27.75, $28.45, $26.6
02/03/2021, $27.25, 9148172, $25.05, $27.65, $24.58
02/02/2021, $24.76, 5734449, $26.25, $26.26, $24.12
02/01/2021, $25.5, 4588283, $25.41, $25.87, $24.67
01/29/2021, $25.18, 6242652, $25.64, $26.98, $24.54
01/28/2021, $25.32, 7263956, $26.85, $27.33, $23.93
01/27/2021, $26.06, 16736060, $25.94, $30.74, $25.4
01/26/2021, $26.45, 22329960, $25.087, $27.93, $24.61
01/25/2021, $23.21, 7948017, $23.85, $24.63, $22.5
01/22/2021, $23.66, 4989343, $23.31, $24.94, $23.07
01/21/2021, $24.01, 5845727, $23.387, $24.22, $22.65
01/20/2021, $23.27, 5626396, $24.3, $24.69, $23.2
01/19/2021, $24.23, 5333825, $24.74, $24.98, $23.3
01/15/2021, $24.23, 6818957, $25.21, $25.87, $23.88
01/14/2021, $25.26, 6821458, $26.44, $26.48, $25.11
01/13/2021, $25.82, 15287020, $26.66, $28.3999, $25.7
01/12/2021, $25.45, 17899210, $26.35, $27.75, $24.81
01/11/2021, $27.11, 41048590, $22.43, $28.7, $21.75
01/08/2021, $21.98, 14768070, $23.3061, $23.86, $21.1556
01/07/2021, $23.29, 13452000, $22.385, $23.48, $22.12
01/06/2021, $21.58, 10682580, $21.07, $21.9, $20.66
01/05/2021, $20.55, 5865410, $19.96, $20.89, $19.9
01/04/2021, $20.38, 5467841, $20.34, $20.44, $19.25
12/31/2020, $20.06, 5769470, $21.38, $21.46, $20.02
12/30/2020, $21.52, 8187251, $21.1, $22.36, $21.02
12/29/2020, $21.34, 7060694, $21.8, $22.2, $20.26
12/28/2020, $21.98, 16418940, $22.77, $23.31, $21.25
12/24/2020, $21.74, 10092220, $23.39, $23.6, $21.31
12/23/2020, $22.61, 24333490, $21.79, $24.17, $21
12/22/2020, $20.52, 13601770, $19.75, $21.17, $19.72
12/21/2020, $19.35, 9300753, $18.51, $19.45, $18.21
12/18/2020, $18.72, 15109710, $19.24, $19.48, $18.68
12/17/2020, $19.22, 9349296, $19.35, $19.8, $18.86
12/16/2020, $19.36, 11562300, $20.71, $21, $19.03
12/15/2020, $20.71, 11294600, $19.9, $20.85, $19.22
12/14/2020, $19, 7355890, $19.995, $20.3, $18.96
12/11/2020, $19.58, 20829410, $20.37, $21.75, $19.4001
12/10/2020, $18.17, 6751234, $18.25, $19.2, $18.05
12/09/2020, $19.2, 6375605, $19.72, $20.62, $19
12/08/2020, $19.37, 9036550, $20.82, $20.9, $19.25
12/07/2020, $20.08, 12452550, $21.841, $21.9, $20.02
12/04/2020, $23.47, 3703168, $22.72, $24.266, $22
12/03/2020, $22.99, 3346466, $23, $23.79, $22.7
12/02/2020, $22.08, 5645010, $20.75, $22.7, $20
12/01/2020, $23.41, 4047836, $24.95, $25.37, $23.2
11/30/2020, $24.6, 5194913, $25.892, $25.9, $23.13
11/27/2020, $26.5, 3047004, $27, $27.15, $25.96
11/25/2020, $27.12, 4244302, $26.13, $28.37, $25.85
11/24/2020, $27.37, 7752446, $30.077, $30.75, $26.14
11/23/2020, $28.6, 7420890, $27.37, $29.41, $27
11/20/2020, $26.46, 6534098, $25.88, $27.3, $25.58
11/19/2020, $25.44, 11895620, $27.97, $29.42, $25
11/18/2020, $27.5, 18332960, $26.5, $29.7, $25.98
11/17/2020, $24.7, 13444170, $22.82, $25.76, $22.25
11/16/2020, $22.55, 9119259, $18.89, $22.75, $18.65
11/13/2020, $17.9, 3281050, $17.2, $18.1894, $16.85
11/12/2020, $16.7, 2883294, $17, $17.3, $16.63
11/11/2020, $17.34, 1526235, $16.82, $17.45, $16.41
11/10/2020, $16.76, 2568638, $17.66, $17.6999, $16.05
11/09/2020, $17.86, 3459846, $18.59, $18.95, $17.2901
11/06/2020, $17.89, 2782013, $17.91, $18.5, $16.9
11/05/2020, $18.1, 4340260, $17.77, $18.5, $17.2
11/04/2020, $16.85, 9347607, $17.25, $18.85, $16.55
11/03/2020, $15.99, 12244070, $13.61, $17.7, $13.55
11/02/2020, $13.07, 2131216, $13.76, $13.95, $13
10/30/2020, $13.05, 3405885, $14.4, $14.6, $12.8
10/29/2020, $14.74, 3439378, $14.74, $15.48, $14.55
10/28/2020, $14.03, 6405202, $14.52, $14.87, $13.54
10/27/2020, $16.56, 5341006, $19.06, $19.5, $16.5
10/26/2020, $18.97, 4986198, $19.32, $21.75, $18.21
10/23/2020, $18.21, 3633727, $20.15, $20.35, $18.05
10/22/2020, $20.45, 3024662, $20.814, $21.49, $19.72
10/21/2020, $21.42, 4655336, $19.93, $22.95, $19.25
10/20/2020, $19.17, 5109549, $21.46, $21.5, $18.75
10/19/2020, $21.75, 1953191, $22.84, $22.9712, $21.6
10/16/2020, $23.03, 1652219, $23.13, $23.45, $22.7
10/15/2020, $22.83, 2153393, $23.01, $23.9, $22.23
10/14/2020, $24.55, 2113185, $25.16, $25.3737, $24.2
10/13/2020, $25.6, 5283360, $25.2, $25.8, $22.6
10/12/2020, $25.19, 6216580, $25.42, $26.95, $23.5
10/09/2020, $23.2, 4520422, $22.4, $23.4, $21.05
10/08/2020, $20.57, 2903590, $21.325, $22.41, $20.28
10/07/2020, $21.61, 2641371, $21.8, $22.5, $20.6
10/06/2020, $21.58, 3238741, $23, $23.4753, $20.53
10/05/2020, $23.28, 2261777, $24.6628, $24.6628, $21.645
10/02/2020, $23.4, 2270684, $22.52, $24.5, $22.1
10/01/2020, $24.97, 1941214, $26.14, $26.38, $24.68
09/30/2020, $25.75, 2172537, $26.9, $27.9, $25.5109
09/29/2020, $27.4, 2583327, $27, $28.12, $25.5
09/28/2020, $26.95, 5602840, $25.92, $27.5, $24.62
09/25/2020, $23.89, 4000473, $23.71, $25, $23.2
09/24/2020, $21.8, 7941372, $20.27, $24.72, $18.54
09/23/2020, $24.4, 7881680, $27.77, $27.92, $22.76
09/22/2020, $28.17, 5227544, $30.89, $31.8, $26.8
09/21/2020, $31.4, 3952601, $29.29, $31.5, $28.3
09/18/2020, $29.01, 3413508, $28.6, $30.23, $28.03
09/17/2020, $27.88, 3364381, $26.8, $28.7, $26.7
09/16/2020, $27.45, 3783589, $26.69, $28.8, $26.67
09/15/2020, $26.58, 9762929, $26.66, $29.79, $25.15
09/14/2020, $28, 10759690, $27.2, $30, $25.04
09/11/2020, $24.68, 8811353, $22.54, $25.3, $22.47
09/10/2020, $21.1, 5057363, $21.7, $22.5234, $20.08
09/09/2020, $19.98, 5703134, $18.55, $21.68, $18.16
09/08/2020, $17.78, 2852818, $17, $18.68, $16.65
09/04/2020, $17.6, 3239026, $17.55, $18.36, $15.51
09/03/2020, $17.9, 3837007, $17.97, $19.45, $16.85
09/02/2020, $18, 3117850, $17.75, $18.7, $17.42
09/01/2020, $17.25, 2161454, $16.55, $17.53, $16.15
08/31/2020, $16.78, 3355097, $18.34, $18.49, $16.05
08/28/2020, $17.64, 4858683, $18.88, $19.75, $17.26
08/27/2020, $17.83, 6618490, $16.25, $18.97, $16.21
08/26/2020, $16, 5685904, $15.9, $17.11, $15.6401
08/25/2020, $14.45, 1947056, $14.36, $14.55, $14.0338
08/24/2020, $14.17, 2097313, $13.809, $14.35, $13.8001
08/21/2020, $13.34, 1994779, $13.75, $13.98, $13.2
08/20/2020, $13.95, 2428577, $14.5, $14.76, $13.9
08/19/2020, $14.4, 2087733, $13.93, $14.5, $13.81
08/18/2020, $13.74, 2771689, $13.99, $14.7, $13.56
08/17/2020, $13.55, 1965498, $13.1, $13.56, $12.81
08/14/2020, $12.97, 901717, $13.1, $13.1, $12.565
08/13/2020, $12.93, 1638955, $12.51, $13.23, $12.37
08/12/2020, $12.6, 1207311, $12.27, $12.6, $12.25
08/11/2020, $12.37, 1768745, $12.72, $12.72, $12.26
08/10/2020, $12.58, 2123227, $12.35, $12.95, $12.3
08/07/2020, $12.25, 3270074, $12.2, $12.4, $11.75
08/06/2020, $12.4, 2532893, $12.4, $12.7399, $12.1
08/05/2020, $12.43, 5073402, $13.4, $13.68, $12.3
08/04/2020, $13, 21140830, $14.1, $15.1, $12.64
08/03/2020, $12.39, 19380350, $11.65, $12.45, $11.11
07/31/2020, $10.24, 269809, $10.45, $10.45, $10.155
07/30/2020, $10.375, 39202, $10.362, $10.45, $10.3
07/29/2020, $10.38, 130754, $10.49, $10.49, $10.36
07/28/2020, $10.49, 10013, $10.48, $10.5, $10.425
07/27/2020, $10.4, 22730, $10.4719, $10.4998, $10.4
07/24/2020, $10.44, 2430, $10.48, $10.48, $10.41
07/23/2020, $10.36, 41768, $10.388, $10.485, $10.36
07/22/2020, $10.486, 21033, $10.48, $10.49, $10.4199
