Date, Close/Last, Volume, Open, High, Low
03/24/2021, $74.75, 2680547, $74.67, $75.79, $74.64
03/23/2021, $74.3, 2734697, $75.11, $75.78, $74.03
03/22/2021, $76.08, 2168766, $76.06, $76.32, $75.28
03/19/2021, $76.55, 2763063, $76.91, $77.21, $75.95
03/18/2021, $77.56, 3131828, $77.87, $78.87, $77.535
03/17/2021, $78.72, 3810953, $77.59, $78.93, $76.74
03/16/2021, $78.8, 2259961, $79.16, $79.41, $78.17
03/15/2021, $79.58, 3902834, $79.25, $79.8, $78.07
03/12/2021, $81.27, 1780143, $80.71, $81.5, $80.22
03/11/2021, $82.5, 2729619, $81.89, $82.5, $81.2
03/10/2021, $80.21, 2984044, $79.99, $80.37, $78.96
03/09/2021, $81.92, 4546336, $82.17, $82.52, $80.27
03/08/2021, $83.4, 2443664, $82.93, $84.56, $82.49
03/05/2021, $83.64, 3643749, $84, $84.4, $81.39
03/04/2021, $81.9, 4303286, $85, $85.35, $81.15
03/03/2021, $90.86, 2141408, $90.49, $91.3986, $89.38
03/02/2021, $91.34, 2711933, $90.57, $91.89, $90.38
03/01/2021, $89.8, 2277473, $88.21, $89.98, $88.2
02/26/2021, $87.4, 3708088, $89.38, $89.62, $87.02
02/25/2021, $90.13, 2359949, $92.17, $92.85, $89.77
02/24/2021, $91.71, 1742034, $90.44, $91.81, $89.75
02/23/2021, $90.51, 2484344, $89.47, $90.66, $87.7
02/22/2021, $90.37, 2945119, $89.27, $91.4, $89.11
02/19/2021, $89.99, 2002500, $89.23, $90.52, $89.13
02/18/2021, $88.09, 1776280, $88.67, $88.8, $86.81
02/17/2021, $87.54, 2447354, $89.55, $89.59, $86.7617
02/16/2021, $87.63, 2509769, $86.78, $88.43, $86.49
02/12/2021, $83.66, 1534580, $81.98, $83.8, $81.85
02/11/2021, $82.28, 1812430, $82, $82.77, $81.47
02/10/2021, $83.06, 2941599, $83.11, $83.8, $81.31
02/09/2021, $81.4, 3370472, $79.84, $81.83, $79.5
02/08/2021, $80.29, 2714169, $79.11, $80.45, $79.05
02/05/2021, $78.48, 1501702, $78, $78.48, $77.09
02/04/2021, $77.52, 1175232, $77.57, $77.83, $76.85
02/03/2021, $77.53, 1813638, $77.35, $77.82, $77
02/02/2021, $77, 1754984, $77.25, $77.41, $76.47
02/01/2021, $78.47, 1746143, $78.63, $78.79, $77.72
01/29/2021, $76.42, 1993939, $77.48, $78.15, $76.18
01/28/2021, $78.51, 1764010, $78.66, $79.2, $77.95
01/27/2021, $78.69, 2437142, $78.44, $79.95, $77.46
01/26/2021, $81.13, 1434968, $81.72, $81.92, $81.08
01/25/2021, $81.09, 1213470, $80.84, $81.17, $80.12
