Date, Close/Last, Volume, Open, High, Low
01/20/2021, $102.45, 149863, $100.7, $102.61, $100.32
01/19/2021, $101.37, 162224, $102.92, $103.41, $100.68
01/15/2021, $101.88, 133702, $101.29, $102.87, $100.42
01/14/2021, $102.58, 157951, $104.55, $104.83, $102.3
01/13/2021, $103.45, 130519, $105.39, $105.39, $102.88
01/12/2021, $105, 192799, $104.09, $105.71, $103.8301
01/11/2021, $104.1, 123385, $104.83, $105.74, $103.17
01/08/2021, $106.26, 124709, $107.97, $107.97, $104.815
01/07/2021, $108.19, 98754, $107.84, $109.38, $107.59
01/06/2021, $107.76, 205884, $104.18, $108.22, $103.56
01/05/2021, $101.72, 130659, $101.52, $103.6, $101.52
01/04/2021, $101.61, 139856, $104.57, $104.83, $100.67
12/31/2020, $104.15, 84407, $103.33, $104.52, $102.56
12/30/2020, $103.06, 91690, $102.39, $103.98, $102.39
12/29/2020, $102.66, 102429, $104.93, $104.93, $102.13
12/28/2020, $104.01, 81808, $104.78, $104.83, $102.84
12/24/2020, $103.78, 38090, $103.16, $104.02, $102.2
12/23/2020, $103.32, 106429, $104, $104.835, $102.53
12/22/2020, $103.63, 121099, $103.13, $104.23, $102.33
12/21/2020, $103.38, 179010, $106.69, $107.275, $102.11
12/18/2020, $107.45, 549617, $108.78, $110.59, $106.35
12/17/2020, $108.5, 253580, $106.71, $108.53, $106.31
12/16/2020, $106.5, 223951, $105.34, $106.67, $104.29
12/15/2020, $104.43, 230326, $101.34, $104.62, $101.3
12/14/2020, $100.62, 149349, $102.1, $102.89, $99.99
12/11/2020, $100.88, 92965, $99.5, $101.96, $98.94
12/10/2020, $100.64, 92903, $100.14, $100.78, $98.55
12/09/2020, $100.76, 136304, $101.56, $101.96, $99.9
12/08/2020, $100.71, 135381, $98.14, $100.79, $98.14
12/07/2020, $99.17, 98992, $99.06, $99.9789, $98.08
12/04/2020, $99.21, 87714, $98.36, $99.395, $97.725
12/03/2020, $97.78, 145580, $98.85, $99.095, $97.52
12/02/2020, $99.07, 81536, $98.71, $99.375, $97.38
12/01/2020, $99.09, 161871, $97.18, $99.11, $96.58
11/30/2020, $95.73, 197881, $97.78, $98.3, $95.61
11/27/2020, $98.61, 59585, $99.96, $100, $97.89
11/25/2020, $101.39, 121377, $102.29, $102.29, $100.6
11/24/2020, $102.88, 150901, $103.48, $104.32, $102.76
11/23/2020, $102.19, 86690, $103.15, $103.15, $101.7951
11/20/2020, $101.98, 126485, $101.63, $102.91, $100.91
11/19/2020, $102.43, 89572, $101.36, $102.58, $99.63
11/18/2020, $102.03, 105918, $104.03, $104.705, $102.01
11/17/2020, $104.4, 174843, $103.67, $105.37, $102.01
11/16/2020, $105.02, 187526, $102.41, $105.05, $102.41
11/13/2020, $100.04, 123968, $98.69, $100.18, $97.6
11/12/2020, $97.79, 116973, $98.87, $99.075, $96.45
11/11/2020, $99.84, 102937, $101.91, $101.91, $98.831
11/10/2020, $101.28, 147263, $99.43, $102.84, $98.8
11/09/2020, $98.5, 232054, $102.53, $103.61, $98.3
11/06/2020, $94.03, 67008, $94.5, $94.8316, $93.43
11/05/2020, $93.88, 113048, $91.89, $94.44, $91.89
11/04/2020, $91.72, 95898, $91.37, $93.88, $91
11/03/2020, $92.57, 222576, $91.07, $92.88, $90.09
11/02/2020, $89.28, 127756, $87.98, $89.79, $87.35
10/30/2020, $86.7, 194623, $88, $89.34, $86.1
10/29/2020, $88.44, 139561, $86.75, $88.99, $85.15
10/28/2020, $87.35, 148277, $88.13, $88.91, $86.73
10/27/2020, $89.71, 107649, $90.93, $92.22, $89.26
10/26/2020, $90.59, 152389, $92.48, $92.54, $88.96
10/23/2020, $93.49, 133874, $93.79, $94.805, $92.56
10/22/2020, $92.78, 254639, $88.61, $94.87, $86.91
10/21/2020, $87.59, 182353, $83.94, $88.22, $83.94
10/20/2020, $83.59, 84061, $83.49, $84.41, $82.815
10/19/2020, $82.68, 93016, $84.57, $85.23, $82.56
10/16/2020, $84.52, 97722, $84.09, $85.12, $83.71
10/15/2020, $84.33, 105095, $82.71, $84.58, $82.38
10/14/2020, $83.62, 81170, $85.26, $86.4, $83.54
10/13/2020, $85.16, 83331, $87.2, $87.53, $84.93
10/12/2020, $88.09, 115287, $85.44, $88.53, $85.44
10/09/2020, $85.72, 101858, $85.34, $86.68, $85.29
10/08/2020, $85.36, 111696, $85.66, $86.9, $84.99
10/07/2020, $84.99, 109816, $85.41, $85.93, $84.23
10/06/2020, $84.86, 116760, $86.34, $86.78, $84.79
10/05/2020, $85.58, 108873, $84.92, $85.95, $84.485
10/02/2020, $84.35, 128782, $83.37, $85.21, $83.37
10/01/2020, $84.33, 152057, $83.44, $84.46, $82.8
09/30/2020, $83.73, 164796, $83.84, $84.49, $82.95
09/29/2020, $84.22, 90850, $84.47, $84.97, $83.33
09/28/2020, $84.52, 110036, $83.73, $85.09, $83.655
09/25/2020, $82.73, 144136, $81.72, $82.79, $81.72
09/24/2020, $82.48, 99916, $82.04, $83.91, $81.2
09/23/2020, $81.45, 148482, $83, $83.77, $81.35
09/22/2020, $82.98, 161593, $82.95, $84.82, $81.55
09/21/2020, $83.18, 245587, $83.79, $84.44, $81.5
09/18/2020, $85.28, 664041, $86.7, $87.13, $84.75
09/17/2020, $86.35, 144053, $86.25, $86.92, $85.57
09/16/2020, $87.43, 162033, $87.51, $88.83, $87.21
09/15/2020, $87.52, 177303, $89.73, $89.73, $86.975
09/14/2020, $89.55, 166893, $90.5, $91.03, $89.13
09/11/2020, $89.88, 177182, $89.95, $90.43, $88.66
09/10/2020, $89.79, 170203, $92.29, $92.69, $89.53
09/09/2020, $92.06, 156660, $91.81, $93.68, $91.34
09/08/2020, $91.24, 258236, $93.25, $93.25, $89.54
09/04/2020, $93.96, 165826, $96.44, $96.44, $91.91
09/03/2020, $94.52, 122059, $96.47, $97.16, $94.255
09/02/2020, $95.87, 102731, $94.62, $96.21, $94.62
09/01/2020, $94.72, 93287, $93.3, $94.8, $93.12
08/31/2020, $93.79, 204230, $94.67, $95.16, $93.79
08/28/2020, $95.08, 92549, $95.84, $95.84, $93.51
08/27/2020, $95.4, 173097, $94.62, $96.22, $94.62
08/26/2020, $93.77, 117668, $93.36, $94.39, $92.81
08/25/2020, $93.66, 108310, $94.69, $94.69, $93.13
08/24/2020, $94.18, 179157, $94, $95, $93.47
08/21/2020, $93.24, 575245, $91.72, $93.355, $91.455
08/20/2020, $91.99, 215713, $91.11, $92.69, $90.985
08/19/2020, $91.56, 131753, $91.62, $92.79, $91.17
