Date, Close/Last, Volume, Open, High, Low
01/20/2021, $20.48, 1175212, $21.29, $21.315, $20.365
01/19/2021, $21.11, 1028744, $20.5, $21.11, $20.47
01/15/2021, $20.13, 765537, $20.14, $20.325, $19.67
01/14/2021, $20.25, 760167, $20.15, $20.475, $20.05
01/13/2021, $19.89, 929283, $20.17, $20.465, $19.82
01/12/2021, $20.17, 2582444, $19.43, $20.33, $19.21
01/11/2021, $19.27, 627002, $18.56, $19.29, $18.5102
01/08/2021, $18.76, 708449, $19.12, $19.265, $18.63
01/07/2021, $18.89, 776035, $18.53, $18.9, $18.5
01/06/2021, $18.35, 1031374, $18.07, $18.535, $18
01/05/2021, $18.085, 847898, $17.44, $18.18, $17.44
01/04/2021, $17.5, 715075, $17.54, $18.13, $17.45
12/31/2020, $17.46, 585995, $17.56, $17.6238, $17.41
12/30/2020, $17.53, 541097, $17.22, $17.605, $17.22
12/29/2020, $17.14, 622474, $17.46, $17.46, $17.07
12/28/2020, $17.44, 497683, $17.53, $17.8378, $17.355
12/24/2020, $17.5, 233709, $17.62, $17.65, $17.37
12/23/2020, $17.51, 421050, $17.81, $17.92, $17.475
12/22/2020, $17.79, 578581, $17.77, $17.965, $17.6455
12/21/2020, $17.695, 623319, $17.46, $17.88, $17.35
12/18/2020, $17.74, 1454254, $17.9, $18.055, $17.67
12/17/2020, $17.81, 436786, $17.95, $17.98, $17.76
12/16/2020, $17.9, 587398, $18.4, $18.4, $17.87
12/15/2020, $18.31, 903936, $17.96, $18.31, $17.9
12/14/2020, $17.85, 554522, $17.77, $18.02, $17.756
12/11/2020, $17.64, 613154, $17.41, $17.91, $17.41
12/10/2020, $17.92, 474405, $17.54, $17.94, $17.42
12/09/2020, $17.71, 813406, $18.53, $18.53, $17.54
12/08/2020, $18.51, 1227266, $17.68, $18.54, $17.6
12/07/2020, $17.72, 805037, $17.56, $17.94, $17.31
12/04/2020, $17.48, 1546952, $16.62, $17.69, $16.53
12/03/2020, $16.49, 1186589, $16.43, $16.53, $16.225
12/02/2020, $16.43, 1030837, $16.03, $16.54, $15.85
12/01/2020, $16.01, 2460722, $15.86, $16.23, $15.81
11/30/2020, $15.72, 881326, $16.11, $16.2, $15.56
11/27/2020, $16.02, 575955, $15.86, $16.11, $15.86
11/25/2020, $15.81, 1201694, $15.6, $16, $15.495
11/24/2020, $16.1, 631243, $16.18, $16.21, $16.02
11/23/2020, $16.04, 760613, $15.99, $16.14, $15.83
11/20/2020, $15.82, 536006, $15.6, $15.96, $15.58
11/19/2020, $15.75, 461429, $15.3, $15.76, $15.27
11/18/2020, $15.39, 573669, $15.82, $15.86, $15.39
11/17/2020, $15.76, 623263, $15.83, $15.89, $15.655
11/16/2020, $15.95, 576807, $15.74, $15.99, $15.705
11/13/2020, $15.645, 814701, $15.65, $15.73, $15.29
11/12/2020, $15.45, 574038, $15.36, $15.55, $15.33
11/11/2020, $15.29, 507978, $15.15, $15.33, $15.1399
11/10/2020, $14.98, 640613, $15.01, $15.19, $14.855
11/09/2020, $15.05, 805404, $15.54, $15.78, $15.04
11/06/2020, $15.02, 551640, $15.34, $15.39, $14.88
11/05/2020, $15.3, 631200, $14.97, $15.49, $14.94
11/04/2020, $14.88, 904913, $14.31, $14.89, $14.28
11/03/2020, $14.3, 1459211, $13.78, $14.64, $13.78
11/02/2020, $13.62, 943600, $13.89, $13.92, $13.58
10/30/2020, $13.79, 531590, $13.91, $14.07, $13.72
10/29/2020, $14.08, 428509, $13.72, $14.1399, $13.68
10/28/2020, $13.77, 568072, $13.89, $13.985, $13.77
10/27/2020, $14.08, 364451, $14.13, $14.19, $14.04
10/26/2020, $14.14, 445692, $14.19, $14.24, $14.1
10/23/2020, $14.26, 349255, $14.11, $14.295, $14.09
10/22/2020, $14.25, 342218, $14.27, $14.3008, $14.13
10/21/2020, $14.24, 307693, $14.38, $14.44, $14.24
10/20/2020, $14.36, 329236, $14.42, $14.42, $14.3
10/19/2020, $14.3, 335635, $14.48, $14.6, $14.275
10/16/2020, $14.33, 323789, $14.39, $14.46, $14.275
10/15/2020, $14.46, 311036, $14.13, $14.47, $14.0101
10/14/2020, $14.355, 335396, $14.42, $14.46, $14.33
10/13/2020, $14.4, 478564, $14.4, $14.5, $14.3102
10/12/2020, $14.42, 515607, $14.5, $14.575, $14.34
10/09/2020, $14.45, 453682, $14.32, $14.49, $14.22
10/08/2020, $14.16, 501929, $14.03, $14.25, $13.9794
10/07/2020, $13.92, 521263, $13.76, $13.995, $13.71
10/06/2020, $13.68, 614338, $13.75, $13.99, $13.66
10/05/2020, $13.69, 365995, $13.62, $13.785, $13.585
10/02/2020, $13.48, 467747, $13.59, $13.74, $13.48
10/01/2020, $13.83, 487898, $13.82, $13.9108, $13.625
09/30/2020, $13.69, 612564, $13.76, $13.91, $13.53
09/29/2020, $13.74, 347781, $13.67, $13.94, $13.63
09/28/2020, $13.75, 423408, $13.47, $13.8, $13.405
09/25/2020, $13.29, 343442, $13.22, $13.37, $13.13
09/24/2020, $13.32, 592071, $13.11, $13.55, $13.08
09/23/2020, $13.15, 671758, $13.36, $13.45, $13.15
09/22/2020, $13.36, 532099, $13.49, $13.49, $13.17
09/21/2020, $13.45, 867884, $13.45, $13.51, $13.18
09/18/2020, $13.71, 1529903, $14.13, $14.2, $13.54
09/17/2020, $13.91, 478546, $13.9, $13.97, $13.6938
09/16/2020, $14.09, 648446, $13.86, $14.24, $13.76
09/15/2020, $13.73, 407482, $13.75, $13.835, $13.645
09/14/2020, $13.61, 373830, $13.48, $13.66, $13.4
09/11/2020, $13.31, 474732, $13.41, $13.52, $13.22
09/10/2020, $13.28, 671174, $13.44, $13.51, $13.21
09/09/2020, $13.31, 762105, $13.42, $13.48, $13.21
09/08/2020, $13.22, 934377, $13.44, $13.44, $13.14
09/04/2020, $13.71, 728017, $13.83, $13.9, $13.42
09/03/2020, $13.78, 913966, $14.2, $14.215, $13.66
09/02/2020, $14.36, 702374, $14.03, $14.4, $13.97
09/01/2020, $13.96, 986779, $13.42, $14.03, $13.39
08/31/2020, $13.43, 571889, $13.62, $13.65, $13.35
08/28/2020, $13.66, 512112, $13.39, $13.66, $13.25
08/27/2020, $13.265, 694996, $13.42, $13.51, $13.2
08/26/2020, $13.44, 505998, $13.51, $13.558, $13.41
08/25/2020, $13.475, 776599, $13.38, $13.53, $13.35
08/24/2020, $13.28, 871650, $13.51, $13.55, $13.1736
08/21/2020, $13.38, 1967044, $13.55, $13.6787, $13.25
08/20/2020, $13.57, 1656854, $14.12, $14.165, $13.55
08/19/2020, $14.22, 732047, $14.49, $14.5478, $14.2
08/18/2020, $14.46, 1004197, $14.79, $14.79, $14.39
08/17/2020, $14.69, 832499, $14.67, $14.79, $14.475
08/14/2020, $14.61, 476558, $14.57, $14.68, $14.55
08/13/2020, $14.64, 355634, $14.68, $14.74, $14.6
08/12/2020, $14.685, 401386, $14.63, $14.8, $14.59
08/11/2020, $14.495, 596536, $14.81, $14.9, $14.455
08/10/2020, $14.72, 563343, $14.9, $14.95, $14.665
08/07/2020, $14.88, 1108826, $14.67, $14.88, $14.555
08/06/2020, $14.8, 602988, $14.62, $14.92, $14.62
08/05/2020, $14.695, 1171033, $15.18, $15.18, $14.655
08/04/2020, $15, 1456495, $14.75, $15.25, $14.41
08/03/2020, $15.59, 1091509, $14.91, $15.61, $14.86
07/31/2020, $14.76, 685363, $14.51, $14.77, $14.35
07/30/2020, $14.54, 480199, $14.36, $14.56, $14.33
07/29/2020, $14.555, 654477, $14.39, $14.68, $14.34
07/28/2020, $14.34, 321041, $14.51, $14.72, $14.33
07/27/2020, $14.64, 307247, $14.57, $14.81, $14.55
07/24/2020, $14.43, 456225, $14.54, $14.64, $14.39
07/23/2020, $14.63, 666230, $14.68, $14.87, $14.52
07/22/2020, $14.69, 479126, $14.94, $15.0378, $14.61
07/21/2020, $14.96, 592476, $15.18, $15.27, $14.87
07/20/2020, $15.06, 474511, $14.57, $15.11, $14.54
07/17/2020, $14.595, 316600, $14.61, $14.86, $14.56
07/16/2020, $14.66, 420532, $14.78, $14.85, $14.575
07/15/2020, $14.875, 463713, $14.83, $14.96, $14.43
07/14/2020, $14.65, 628643, $14.42, $14.65, $14.15
07/13/2020, $14.52, 530796, $14.95, $15.16, $14.5
07/10/2020, $14.83, 397326, $15.02, $15.15, $14.64
07/09/2020, $14.94, 560023, $14.89, $15, $14.66
07/08/2020, $14.85, 495223, $14.69, $14.875, $14.45
07/07/2020, $14.65, 491308, $15, $15.0888, $14.62
07/06/2020, $15.12, 382125, $15.27, $15.39, $15.05
07/02/2020, $15.03, 414119, $15.19, $15.3, $14.97
07/01/2020, $14.93, 533394, $15.26, $15.26, $14.78
06/30/2020, $15.2, 667295, $14.69, $15.24, $14.67
06/29/2020, $14.64, 572775, $14.45, $14.78, $14.21
06/26/2020, $14.34, 1174070, $14.74, $14.7996, $14.25
06/25/2020, $14.82, 705931, $14.72, $14.83, $14.41
06/24/2020, $14.81, 676260, $15.1, $15.23, $14.57
06/23/2020, $15.23, 569627, $15.15, $15.39, $15.11
06/22/2020, $15.005, 563180, $15.13, $15.29, $14.79
06/19/2020, $15.105, 2800819, $15.08, $15.88, $15.03
06/18/2020, $14.96, 465602, $15.27, $15.355, $14.91
06/17/2020, $15.37, 501309, $15.66, $15.8, $15.34
06/16/2020, $15.5, 647923, $15.6, $15.66, $15.08
06/15/2020, $15.08, 853860, $14.48, $15.09, $14.38
06/12/2020, $14.78, 813006, $15.14, $15.16, $14.44
06/11/2020, $14.66, 838017, $15.42, $15.5, $14.64
06/10/2020, $15.93, 607231, $16.48, $16.49, $15.88
06/09/2020, $16.35, 711688, $15.84, $16.5, $15.72
06/08/2020, $16, 544525, $16, $16.17, $15.86
06/05/2020, $15.84, 736974, $15.99, $16.2, $15.79
06/04/2020, $15.89, 565504, $15.57, $15.99, $15.49
06/03/2020, $15.63, 721622, $16, $16, $15.5
06/02/2020, $15.64, 1736976, $15.66, $15.77, $15.48
06/01/2020, $15.52, 700363, $15.713, $15.75, $15.41
05/29/2020, $15.54, 653906, $15.2, $15.59, $15.14
05/28/2020, $15.19, 661955, $15.7, $15.7, $15.11
05/27/2020, $15.64, 757277, $15.74, $15.75, $15.02
05/26/2020, $15.5, 594282, $16, $16.0808, $15.46
05/22/2020, $15.65, 426767, $15.57, $15.67, $15.33
05/21/2020, $15.41, 666540, $15.89, $15.9199, $15.4
05/20/2020, $15.845, 934707, $15.52, $15.87, $15.41
05/19/2020, $15.19, 603564, $15.48, $15.61, $15.19
05/18/2020, $15.47, 1136024, $14.93, $15.58, $14.79
05/15/2020, $14.4, 467250, $14.43, $14.48, $14.125
05/14/2020, $14.64, 678493, $14.15, $14.65, $13.89
05/13/2020, $14.41, 602762, $14.67, $14.86, $14.24
05/12/2020, $14.65, 684218, $15.4, $15.41, $14.62
05/11/2020, $15.35, 758026, $14.96, $15.53, $14.9
05/08/2020, $15.24, 827692, $15.18, $15.32, $14.95
05/07/2020, $15.01, 1151763, $15.58, $15.75, $14.97
05/06/2020, $15.27, 2098185, $14.91, $15.795, $14.76
05/05/2020, $14.51, 2223087, $13.8, $14.64, $13.71
05/04/2020, $12.74, 1106191, $12.13, $12.77, $12.03
05/01/2020, $12.36, 1015629, $12.25, $12.37, $11.99
04/30/2020, $12.53, 642689, $13.1, $13.4, $12.51
04/29/2020, $13.28, 1014017, $12.99, $13.37, $12.77
04/28/2020, $12.61, 561688, $12.9, $13, $12.56
04/27/2020, $12.6, 472858, $12.3, $12.79, $12.16
04/24/2020, $12.13, 456485, $12.02, $12.16, $11.82
04/23/2020, $12.05, 1217750, $11.76, $12.18, $11.69
04/22/2020, $11.76, 537634, $11.97, $12, $11.74
04/21/2020, $11.54, 643129, $11.78, $11.925, $11.31
04/20/2020, $12.08, 499716, $12.16, $12.46, $12.02
04/17/2020, $12.36, 627453, $12.7, $12.82, $12.31
04/16/2020, $12.37, 583796, $12.33, $12.49, $12.04
04/15/2020, $12.22, 586529, $12.07, $12.37, $11.93
04/14/2020, $12.45, 1297312, $12.4, $12.62, $12.23
04/13/2020, $12.15, 603373, $12.31, $12.45, $12.04
04/09/2020, $12.38, 754147, $12, $12.64, $11.775
04/08/2020, $11.79, 767881, $12.06, $12.14, $11.7
04/07/2020, $11.92, 901635, $12.46, $12.65, $11.835
04/06/2020, $12.02, 973611, $11.43, $12.075, $11.389
04/03/2020, $10.89, 650840, $11.16, $11.39, $10.67
04/02/2020, $11.17, 751895, $10.64, $11.22, $10.36
04/01/2020, $10.73, 948685, $10.81, $11.07, $10.47
03/31/2020, $11.1, 1250986, $11.34, $11.66, $10.92
03/30/2020, $11.42, 1039291, $11.48, $11.83, $11.3
03/27/2020, $11.29, 778120, $11.62, $11.7, $11.03
03/26/2020, $12.12, 970736, $11.5, $12.38, $11.41
03/25/2020, $11.41, 1532713, $11, $11.99, $10.39
03/24/2020, $10.81, 1029486, $10.18, $10.91, $9.91
03/23/2020, $9.65, 1146223, $9.94, $10.19, $9.32
03/20/2020, $9.79, 1631487, $11.07, $11.07, $9.66
03/19/2020, $10.87, 841004, $9.91, $11.19, $9.5
