Date, Close/Last, Volume, Open, High, Low
01/20/2021, $428.5, 4352990, $442.82, $448.17, $425.6047
01/19/2021, $434.14, 6043327, $420.73, $438.36, $420.0918
01/15/2021, $408.3, 3365868, $418, $425.99, $407.09
01/14/2021, $418.46, 3416864, $410.81, $422.52, $410.109
01/13/2021, $408.6, 4036917, $419.3, $422.9999, $404.503
01/12/2021, $415.29, 4766175, $407.9, $419.75, $405.5601
01/11/2021, $403.13, 5850650, $390.3, $416.22, $390.03
01/08/2021, $399.13, 8410817, $391.35, $402.85, $387.175
01/07/2021, $379.29, 8091042, $352.01, $379.39, $352
01/06/2021, $342.95, 7546926, $325.04, $347.9536, $320.21
01/05/2021, $335.18, 4506492, $320.8, $335.38, $320.5
01/04/2021, $317.9, 4919713, $339.98, $340, $316.46
12/31/2020, $332.02, 2086364, $337.5, $339.91, $330.818
12/30/2020, $338.74, 3215275, $339.167, $344.4399, $333.5
12/29/2020, $339.57, 3639140, $339.96, $344.94, $332.05
12/28/2020, $340.41, 4726524, $359.5, $360.9999, $339.1201
12/24/2020, $356.99, 1846127, $360.172, $363.44, $355.13
12/23/2020, $360.56, 3781622, $355, $361.04, $344.21
12/22/2020, $354.71, 5475292, $356.33, $361.6829, $344.4816
12/21/2020, $354, 6435198, $344, $358.79, $341.54
12/18/2020, $340.71, 6843490, $331.98, $343.6, $329.4801
12/17/2020, $329.48, 14082090, $346.65, $352.12, $326.5
12/16/2020, $325.82, 3349706, $321.2, $327.96, $320.27
12/15/2020, $320.14, 3372550, $325.41, $331.1, $319.01
12/14/2020, $324.32, 4124703, $332.999, $336.17, $319.37
12/11/2020, $330.87, 5441740, $321, $331.87, $316.9
12/10/2020, $321.99, 4435928, $301, $322.0895, $300.07
12/09/2020, $306.23, 9820728, $315.11, $328.74, $303.16
12/08/2020, $306.13, 2605089, $299.98, $307.63, $297.25
12/07/2020, $299.98, 3803044, $295.65, $302.6175, $289
12/04/2020, $296.38, 3748607, $290.19, $298.13, $286.0001
12/03/2020, $289.1, 3190531, $281.96, $292.1, $281.55
12/02/2020, $281.33, 3117781, $281.44, $284.5316, $273.79
12/01/2020, $285.71, 4516199, $290.5, $292.81, $279.38
11/30/2020, $293.57, 6194160, $275.39, $293.65, $274.28
11/27/2020, $275.34, 2480944, $279.7, $280.6, $273.01
11/25/2020, $278.06, 3135167, $275, $278.78, $270.77
11/24/2020, $273.01, 6320929, $279.5, $283.9999, $268.14
11/23/2020, $276.58, 7852603, $270, $279.5, $268.6
11/20/2020, $263.14, 6669636, $257.09, $265.97, $254.79
11/19/2020, $255.67, 12021960, $236.16, $257.49, $235.6001
11/18/2020, $231.99, 2751930, $235.88, $239.1894, $231.5
11/17/2020, $237.13, 5169420, $233, $242.46, $232.2
11/16/2020, $232.7, 2971567, $222.2, $232.89, $220.6
11/13/2020, $228.1, 4185375, $232.59, $236.44, $225
11/12/2020, $230.9, 5072354, $231.24, $236.65, $227.61
11/11/2020, $231.43, 7432963, $220.01, $232.0798, $217.69
11/10/2020, $216.98, 7618350, $227.84, $228.2, $207.5
11/09/2020, $221.91, 11659330, $231.559, $240.88, $220.88
11/06/2020, $253.36, 16526940, $235.99, $255.66, $228.89
11/05/2020, $225.06, 7754541, $221.975, $226.59, $217.1201
11/04/2020, $215.68, 3584230, $208.13, $215.72, $205.04
11/03/2020, $203.49, 6691535, $208.55, $209.3099, $196.52
11/02/2020, $206.88, 3512040, $205.66, $212.8, $203.71
10/30/2020, $202.4, 4607977, $217.1, $218.1299, $200.45
10/29/2020, $217.93, 2383402, $219.8, $221.58, $214.631
10/28/2020, $217.4, 2172579, $222, $224.96, $215.64
10/27/2020, $225.07, 2773391, $219.74, $226.5, $217.18
10/26/2020, $218.42, 3136753, $223.63, $229.55, $216.74
10/23/2020, $223.96, 2170843, $223.3, $224.88, $218.5
10/22/2020, $222.36, 3500152, $223.49, $229.45, $218.9
10/21/2020, $222.78, 5073563, $218, $227.49, $216.2701
10/20/2020, $218.4, 3742486, $223.63, $224.98, $217.23
10/19/2020, $222.14, 4396241, $223.71, $228.6199, $220.18
10/16/2020, $222.32, 4021691, $227.66, $231.4399, $222.19
10/15/2020, $226.47, 4741012, $225, $230.0664, $223.65
10/14/2020, $233.05, 6624592, $237.35, $238.33, $228.79
10/13/2020, $238.575, 8305730, $221.1, $239.1399, $219.02
10/12/2020, $221.68, 5775833, $226.203, $227, $221.35
10/09/2020, $223.95, 7254511, $226.05, $226.83, $221.63
10/08/2020, $223.84, 12767710, $221.96, $228.33, $219.33
10/07/2020, $212.55, 5165809, $207.95, $214.26, $207.5
10/06/2020, $204.83, 5504880, $203.76, $208.96, $202.66
10/05/2020, $204.16, 5171513, $201.39, $204.94, $197.9501
10/02/2020, $200, 7415315, $195.37, $203.56, $194.8
10/01/2020, $200.34, 9732140, $192.83, $200.47, $192.7
09/30/2020, $188.8, 6795956, $187.89, $193.55, $185.856
09/29/2020, $187.87, 6243442, $186.2, $190.34, $183.22
09/28/2020, $186.29, 5653581, $185, $189.01, $181.66
09/25/2020, $182.43, 8288036, $182.6674, $186.9588, $176.6303
09/24/2020, $178.27, 10836110, $183.57, $184.97, $177.68
09/23/2020, $187.25, 18585120, $193.49, $200.73, $185
09/22/2020, $193.79, 20693160, $187.38, $195.36, $182.5
09/21/2020, $188.82, 35514980, $166.05, $189.8, $163.5401
09/18/2020, $160.47, 9286668, $165.232, $165.78, $157.54
09/17/2020, $164.67, 6320792, $165.86, $168.1323, $161.3601
09/16/2020, $169.99, 8092496, $168, $174.19, $167.71
09/15/2020, $168.52, 10223590, $162.715, $170.4399, $161.77
09/14/2020, $157.73, 5009864, $157.06, $160.2, $155.4
09/11/2020, $155.46, 5037086, $160.753, $161.5, $152.62
09/10/2020, $159.44, 5310831, $162.24, $168.6, $158.9326
09/09/2020, $161.18, 6125401, $166.07, $166.8, $159.08
09/08/2020, $162.63, 11271260, $155.084, $170.44, $155
09/04/2020, $159.91, 7218555, $165, $167.42, $150.38
