Date, Close/Last, Volume, Open, High, Low
03/24/2021, $2.09, 39031, $2.06, $2.15, $2.05
03/23/2021, $2.05, 38523, $2.16, $2.171, $2.05
03/22/2021, $2.16, 12037, $2.1899, $2.1899, $2.15
03/19/2021, $2.15, 25915, $2.15, $2.1699, $2.1
03/18/2021, $2.15, 391169, $2.1, $2.21, $2.1
03/17/2021, $2.09, 229219, $2.2, $2.25, $2.05
03/16/2021, $2.19, 25644, $2.21, $2.2881, $2.19
03/15/2021, $2.21, 144065, $2.29, $2.29, $2.19
03/12/2021, $2.29, 155513, $2.33, $2.33, $2.21
03/11/2021, $2.33, 81494, $2.33, $2.37, $2.25
03/10/2021, $2.3, 62499, $2.33, $2.33, $2.24
03/09/2021, $2.3, 142438, $2.24, $2.3, $2.2001
03/08/2021, $2.2, 139229, $2.05, $2.2, $1.92
03/05/2021, $2.05, 175185, $1.99, $2.07, $1.9
03/04/2021, $2.01, 221965, $2.09, $2.09, $1.87
03/03/2021, $2.1, 75434, $2.12, $2.14, $2.05
03/02/2021, $2.12, 53566, $2.12, $2.14, $2.08
03/01/2021, $2.08, 128491, $2.06, $2.1, $2.04
02/26/2021, $2.02, 187616, $2.1, $2.1, $2
02/25/2021, $2.12, 193673, $2.15, $2.24, $2.05
02/24/2021, $2.14, 149824, $2.18, $2.24, $2.12
02/23/2021, $2.18, 213505, $2.18, $2.21, $2.07
02/22/2021, $2.27, 211148, $2.4, $2.4, $2.25
02/19/2021, $2.41, 117155, $2.44, $2.4418, $2.35
02/18/2021, $2.4, 120020, $2.49, $2.49, $2.38
02/17/2021, $2.46, 198337, $2.48, $2.49, $2.42
02/16/2021, $2.475, 242264, $2.39, $2.49, $2.38
02/12/2021, $2.34, 687126, $2.51, $2.51, $2.3
02/11/2021, $2.56, 783209, $2.65, $2.69, $2.51
02/10/2021, $2.58, 3268914, $2.537, $2.65, $2.42
02/09/2021, $2.49, 1147720, $2.45, $2.5, $2.42
02/08/2021, $2.46, 551494, $2.56, $2.56, $2.42
02/05/2021, $2.5, 177083, $2.49, $2.53, $2.45
02/04/2021, $2.51, 144364, $2.62, $2.62, $2.47
02/03/2021, $2.48, 289261, $2.51, $2.67, $2.45
02/02/2021, $2.55, 990521, $2.67, $2.77, $2.54
02/01/2021, $2.54, 2648990, $2.49, $2.6798, $2.47
01/29/2021, $2.5, 5216, $2.506, $2.6, $2.47
01/28/2021, $2.6, 27212, $2.5, $2.6, $2.4401
01/27/2021, $2.5, 27555, $2.5988, $2.5999, $2.4846
01/26/2021, $2.6, 39462, $2.48, $2.6, $2.4456
01/25/2021, $2.47, 14280, $2.4998, $2.4998, $2.46
01/22/2021, $2.51, 17021, $2.58, $2.58, $2.46
01/21/2021, $2.55, 126471, $2.6, $2.6, $2.5
01/20/2021, $2.58, 72015, $2.69, $2.69, $2.56
01/19/2021, $2.63, 22031, $2.74, $2.74, $2.5801
