Date, Close/Last, Volume, Open, High, Low
03/24/2021, $11.49, 581568, $12.84, $13.09, $11.49
03/23/2021, $12.87, 329404, $13.3, $13.5, $12.745
03/22/2021, $13.47, 287372, $13.56, $13.905, $13.43
03/19/2021, $13.61, 505651, $13.3, $13.95, $13
03/18/2021, $13.17, 453864, $13.74, $14.06, $13.06
03/17/2021, $14.17, 600754, $13, $14.4399, $12.53
03/16/2021, $13, 282861, $13.13, $13.45, $12.56
03/15/2021, $13.36, 480575, $13.97, $14.15, $12.9
03/12/2021, $13.65, 726721, $12.8, $13.67, $12.39
03/11/2021, $12.8, 443214, $12.52, $12.8, $12.2
03/10/2021, $12.09, 583808, $12.5, $12.85, $11.74
03/09/2021, $11.96, 578656, $11.31, $12.34, $11.25
03/08/2021, $11.15, 478534, $11.98, $12.48, $11.1025
03/05/2021, $11.85, 1071837, $12.1, $12.79, $10.72
03/04/2021, $12.19, 1314654, $13.93, $14.36, $11.77
03/03/2021, $14.03, 691169, $15.26, $15.89, $14.03
03/02/2021, $15.41, 358809, $16.85, $16.85, $15.33
03/01/2021, $16.37, 435367, $16.46, $16.83, $16.08
02/26/2021, $15.7, 413802, $15.56, $16.05, $14.85
02/25/2021, $15.56, 469151, $16.58, $16.58, $15.38
02/24/2021, $16.03, 459995, $16.5, $16.65, $15.5
02/23/2021, $16.07, 1241522, $16.51, $16.55, $14
02/22/2021, $16.85, 898084, $17, $18.08, $16.5
02/19/2021, $17.42, 1255888, $18.48, $18.59, $17.07
02/18/2021, $17.93, 986260, $18.75, $19.2699, $17.76
02/17/2021, $19.54, 1391191, $19.07, $19.99, $18.51
02/16/2021, $19.06, 2912769, $18, $20.01, $17.84
02/12/2021, $17.28, 748124, $17.11, $17.86, $16.41
02/11/2021, $17.43, 1160606, $17, $18.17, $16.38
02/10/2021, $17.24, 1330207, $18, $18.38, $16.68
02/09/2021, $17.96, 1640489, $19.15, $19.3, $17.4
02/08/2021, $19.22, 1811831, $19.99, $21, $18.84
02/05/2021, $18.99, 1494823, $18.03, $19.35, $17.69
02/04/2021, $17.82, 1377571, $17.8, $19.56, $17.611
02/03/2021, $17.6, 1824416, $19.15, $19.4, $17.05
02/02/2021, $19.1, 3838609, $19, $20.5, $16.65
02/01/2021, $21.5, 6886928, $17.28, $21.5, $16.91
01/29/2021, $16.09, 1364553, $16.21, $17.39, $15.4008
01/28/2021, $16.17, 2233507, $16.19, $17.49, $15.01
01/27/2021, $15.81, 2404995, $15.3, $17.18, $14.77
01/26/2021, $15.69, 2985272, $13.95, $15.83, $13.34
01/25/2021, $13.58, 1917322, $13, $14.15, $12.61
01/22/2021, $12.78, 876072, $12.28, $12.88, $12
01/21/2021, $12.58, 1071186, $12.62, $12.7938, $11.85
01/20/2021, $12.45, 1338952, $12.96, $13.43, $12.26
01/19/2021, $13.57, 2482485, $12.97, $13.9, $12.79
01/15/2021, $12.51, 1550219, $12.43, $12.51, $11.9
01/14/2021, $11.75, 1645093, $12, $12.66, $11.06
01/13/2021, $11.93, 1399653, $11.2, $12.26, $10.9
01/12/2021, $11.15, 703089, $11.06, $11.24, $10.74
01/11/2021, $11.2, 697798, $11.03, $11.24, $10.62
01/08/2021, $11.31, 848798, $11.57, $11.625, $10.95
01/07/2021, $11.6, 948431, $11.8, $11.8199, $11.12
01/06/2021, $11.58, 1524442, $11.36, $12.4, $11.2186
01/05/2021, $11.42, 807033, $11.7, $11.71, $10.94
01/04/2021, $11.64, 1020161, $11, $11.64, $10.38
12/31/2020, $10.74, 670198, $10.84, $10.9675, $10.5
12/30/2020, $10.88, 633906, $11.01, $11.14, $10.7
12/29/2020, $10.73, 1658119, $11.57, $11.71, $10.45
12/28/2020, $11.65, 1296790, $11.43, $12.4439, $11.07
12/24/2020, $11.3, 1001642, $11.33, $11.81, $10.9738
12/23/2020, $11.48, 1168486, $11.56, $11.74, $11.04
12/22/2020, $11.64, 1656035, $12, $12.42, $11.2
12/21/2020, $12.15, 2121318, $11.04, $12.8, $10.55
12/18/2020, $11.35, 1992608, $12.32, $12.4188, $10.94
12/17/2020, $12.2, 2669798, $12.86, $13.69, $11.7
12/16/2020, $12.84, 4077418, $15.25, $15.39, $12.3
12/15/2020, $15.02, 6846088, $13.5, $15.79, $12.85
12/14/2020, $12.77, 3105562, $11.79, $13.14, $11.79
12/11/2020, $11.34, 2235947, $12.75, $12.9, $10.54
12/10/2020, $12.14, 3398189, $10.25, $12.77, $9.8
12/09/2020, $9.96, 1222890, $10.06, $10.69, $9.6201
12/08/2020, $9.89, 1033893, $9.77, $10.22, $9.25
12/07/2020, $9.75, 991339, $10.16, $10.25, $9.12
12/04/2020, $10, 734755, $10.14, $10.29, $9.68
12/03/2020, $10, 796225, $10.45, $10.71, $9.95
12/02/2020, $10.49, 515568, $10.28, $11, $10.28
12/01/2020, $10.61, 782778, $11.82, $11.8899, $10.41
11/30/2020, $11.58, 893141, $11.59, $11.97, $10.84
11/27/2020, $11.56, 857665, $12.36, $12.5, $11.3501
11/25/2020, $12.15, 2117946, $14, $14.23, $11.8
11/24/2020, $13.87, 1367965, $13.6, $14.3999, $13.12
11/23/2020, $13.24, 1555140, $12.45, $13.272, $12.22
11/20/2020, $12.01, 1615900, $12.11, $12.63, $11.23
11/19/2020, $11.85, 2395430, $10.17, $11.85, $10.1632
11/18/2020, $10.2, 1505634, $10.25, $10.69, $9.5238
11/17/2020, $10.07, 1684692, $9.13, $10.18, $8.7
11/16/2020, $8.39, 464960, $8.75, $8.75, $8.11
11/13/2020, $8.26, 390976, $8.51, $8.61, $7.9615
11/12/2020, $8.42, 1299774, $8.47, $9.37, $8.19
11/11/2020, $8.38, 216346, $8.47, $8.47, $8.07
