Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.97, 270142, $10.36, $10.365, $9.93
03/23/2021, $10.48, 1031892, $10.59, $10.63, $10.3
03/22/2021, $10.5, 492052, $10.63, $10.65, $10.46
03/19/2021, $10.51, 482445, $10.54, $10.6255, $10.36
03/18/2021, $10.47, 1668102, $10.65, $11.49, $10.46
03/17/2021, $10.68, 540061, $10.32, $10.68, $10.22
03/16/2021, $10.3, 147309, $10.48, $10.48, $10.25
03/15/2021, $10.45, 411856, $10.51, $10.66, $10.36
03/12/2021, $10.51, 146624, $10.71, $10.71, $10.38
03/11/2021, $10.76, 476651, $10.59, $11.05, $10.5
03/10/2021, $10.46, 322222, $10.36, $10.67, $10.26
03/09/2021, $10.4, 279271, $10.25, $10.56, $10.25
03/08/2021, $10.24, 183891, $10.32, $10.38, $10.12
03/05/2021, $10.32, 870203, $9.96, $10.97, $9.84
03/04/2021, $10.14, 539802, $10.05, $10.23, $9.8801
03/03/2021, $10.06, 703604, $10.52, $10.63, $10.06
03/02/2021, $10.54, 895272, $11.36, $11.38, $10.49
03/01/2021, $11.31, 289511, $11.41, $11.41, $11.21
02/26/2021, $11.41, 753817, $11.33, $11.5, $10.7
02/25/2021, $11.51, 771883, $11.45, $11.52, $11
02/24/2021, $11.45, 358579, $11.2, $11.52, $11.1
02/23/2021, $11.2, 992716, $11.11, $11.33, $10.88
02/22/2021, $11.53, 595003, $11.5, $11.58, $11.43
02/19/2021, $11.6, 503172, $11.5, $11.6, $11.365
02/18/2021, $11.5, 729768, $11.058, $11.55, $11.05
02/17/2021, $11.4, 962196, $11.21, $11.41, $11.16
02/16/2021, $11.37, 1199231, $11.28, $11.48, $11.245
02/12/2021, $10.99, 1390729, $11, $11.0896, $10.96
02/11/2021, $11.01, 2171085, $11, $11.15, $10.88
02/10/2021, $10.95, 1702896, $11.25, $11.28, $10.89
02/09/2021, $10.77, 673548, $10.97, $10.97, $10.7
02/08/2021, $11, 686711, $11.15, $11.312, $10.95
02/05/2021, $10.95, 745550, $11.05, $11.3, $10.88
02/04/2021, $10.9, 950540, $10.95, $11.1, $10.85
02/03/2021, $10.82, 1538882, $11.16, $11.24, $10.75
02/02/2021, $11.24, 2112428, $11.3, $11.48, $11.17
02/01/2021, $11.09, 4321616, $11.1, $11.1099, $10.8
01/29/2021, $10.4601, 197278, $10.62, $10.65, $10.455
01/28/2021, $10.6, 30504, $10.61, $10.734, $10.55
01/27/2021, $10.46, 143575, $10.9, $10.9, $10.35
01/26/2021, $10.77, 128683, $10.84, $10.905, $10.77
01/25/2021, $10.83, 136235, $10.69, $10.8751, $10.5401
01/22/2021, $10.6, 319270, $10.7, $10.7, $10.5
01/21/2021, $10.61, 459697, $10.46, $10.68, $10.4001
01/20/2021, $10.39, 111260, $10.45, $10.55, $10.37
01/19/2021, $10.41, 123487, $10.36, $10.45, $10.33
01/15/2021, $10.33, 60230, $10.35, $10.4, $10.3
01/14/2021, $10.35, 63956, $10.35, $10.35, $10.3
01/13/2021, $10.32, 180771, $10.25, $10.4, $10.25
01/12/2021, $10.25, 254441, $10.25, $10.3, $10.2
01/11/2021, $10.2, 107709, $10.23, $10.26, $10.1891
01/08/2021, $10.15, 183546, $10.175, $10.21, $10.15
01/07/2021, $10.25, 166919, $10.12, $10.25, $10.1
01/06/2021, $10.1, 31740, $10.07, $10.12, $10.05
01/05/2021, $10.08, 20607, $10.1, $10.13, $10.08
01/04/2021, $10.1, 48366, $9.98, $10.13, $9.98
12/31/2020, $9.95, 84649, $10.05, $10.07, $9.95
12/30/2020, $10.04, 116907, $10, $10.1, $9.95
12/29/2020, $9.96, 36945, $9.99, $10, $9.91
12/28/2020, $9.97, 231628, $10, $10, $9.9
12/24/2020, $9.99, 23638, $9.97, $10, $9.96
12/23/2020, $9.97, 14247, $10, $10, $9.9677
12/22/2020, $9.99, 27042, $9.99, $10, $9.9
12/21/2020, $10, 5582, $10, $10, $9.95
12/18/2020, $9.97, 112355, $9.99, $10, $9.95
12/17/2020, $9.99, 411612, $9.98, $10, $9.92
12/16/2020, $10, 16137, $10, $10, $9.9207
12/15/2020, $9.91, 228538, $9.95, $9.97, $9.85
12/14/2020, $9.85, 8563, $10, $10, $9.82
12/11/2020, $9.9442, 49100, $9.9, $9.9626, $9.9
12/10/2020, $9.87, 324180, $9.95, $9.965, $9.87
12/09/2020, $9.91, 2794, $9.89, $9.91, $9.89
12/08/2020, $9.89, 3722, $9.89, $9.9211, $9.89
12/07/2020, $9.87, 26727, $9.84, $9.9, $9.84
12/04/2020, $9.84, 800, $9.84, $9.84, $9.8172
12/03/2020, $9.78, 310, $9.78, $9.78, $9.78
12/02/2020, $9.83, 8817, $9.76, $9.84, $9.76
12/01/2020, $9.77, 18554, $9.76, $9.84, $9.747
11/30/2020, $9.77, 17573, $9.76, $9.83, $9.74
11/27/2020, $9.82, 232, $9.82, $9.82, $9.82
11/25/2020, $9.8, 29033, $9.8, $9.91, $9.74
11/24/2020, $9.8, 2779, $9.765, $9.8, $9.74
11/23/2020, $9.78, 1830, $9.7748, $9.78, $9.7633
11/20/2020, $9.74, 7614, $9.75, $9.79, $9.74
11/19/2020, $9.75, 2522, $9.7668, $9.7727, $9.74
11/18/2020, $9.78, 6735, $9.767, $9.78, $9.74
11/17/2020, $9.76, 1133, $9.7616, $9.7616, $9.76
11/16/2020, $9.78, 140988, $9.75, $9.78, $9.7201
