Date, Close/Last, Volume, Open, High, Low
01/20/2021, $58.18, 1009885, $59, $59.5655, $57.5601
01/19/2021, $58.28, 1124726, $57.13, $58.49, $55.06
01/15/2021, $56.31, 1022921, $56.65, $57.44, $55.25
01/14/2021, $57.48, 1111527, $56.83, $58.28, $56.51
01/13/2021, $56.45, 1029728, $58.98, $59.58, $55.96
01/12/2021, $58.47, 790280, $58.12, $59.12, $57.42
01/11/2021, $57.84, 983184, $57.04, $58.3699, $55.43
01/08/2021, $57.58, 1017733, $56.01, $57.8, $55.61
01/07/2021, $54.95, 818012, $54.5, $55.8999, $54.21
01/06/2021, $53.99, 1276955, $52.54, $54.8406, $52.23
01/05/2021, $53.35, 1338544, $52.42, $53.46, $51.71
01/04/2021, $52.35, 1209979, $53.85, $53.89, $51.15
12/31/2020, $53.24, 879476, $53.71, $53.91, $52.59
12/30/2020, $53.66, 529009, $53.91, $54.56, $53.27
12/29/2020, $53.31, 860190, $54, $54.88, $52.14
12/28/2020, $53.81, 1198890, $57.36, $57.395, $53.77
12/24/2020, $56.43, 269092, $56.77, $57.125, $56.092
12/23/2020, $56.58, 1422632, $59.09, $59.62, $56.39
12/22/2020, $58.85, 1539038, $57.46, $58.91, $57.245
12/21/2020, $56.74, 1485548, $55.35, $57.85, $54.61
12/18/2020, $55.57, 3685014, $53.88, $57.93, $53.6173
12/17/2020, $53.41, 1324119, $53.21, $54.23, $52.895
12/16/2020, $52.62, 1167039, $52.03, $52.64, $50.94
12/15/2020, $51.53, 1088596, $50.21, $51.91, $49.4
12/14/2020, $50.02, 1162797, $48.87, $51.15, $48.87
12/11/2020, $48.7, 754291, $47.35, $49.1114, $47.1301
12/10/2020, $47.54, 493432, $45.2, $47.84, $44.9
12/09/2020, $45.85, 850346, $47.82, $47.82, $45.13
12/08/2020, $47.84, 1599846, $48.04, $49.05, $47.69
12/07/2020, $47.89, 1003764, $47.3, $48.29, $47.05
12/04/2020, $47.03, 691036, $47.73, $47.95, $46.56
12/03/2020, $47.48, 1789931, $46.49, $48.86, $46.03
12/02/2020, $45.98, 1513812, $46.63, $46.93, $44.765
12/01/2020, $47.18, 1269799, $46.65, $47.72, $45.8
11/30/2020, $46.56, 1821507, $45.27, $47.4, $45.27
11/27/2020, $45.12, 694836, $43.79, $45.31, $43.79
11/25/2020, $43.23, 1089370, $41.76, $43.66, $41.73
11/24/2020, $41.41, 1176124, $42.51, $42.82, $40.82
11/23/2020, $42.58, 1011463, $43.58, $44, $42.54
11/20/2020, $43.83, 611301, $43.96, $44.73, $43.06
11/19/2020, $44.11, 1139323, $43.26, $45.4, $42.85
11/18/2020, $42.94, 1073330, $43.03, $44.0792, $42.94
11/17/2020, $43.07, 771830, $42.48, $43.21, $41.62
11/16/2020, $42.56, 994088, $42.75, $43.5334, $41.78
11/13/2020, $43.53, 539490, $44.12, $44.41, $42.96
11/12/2020, $43.88, 675977, $43.68, $44.73, $43.41
11/11/2020, $43.51, 880043, $42.56, $43.78, $42.03
11/10/2020, $41.99, 1273185, $41.07, $43.68, $40.87
11/09/2020, $41.29, 1800585, $44.95, $44.95, $41.26
11/06/2020, $45.42, 1527348, $46.5, $49.84, $44.93
11/05/2020, $47.34, 1921158, $48.55, $48.56, $46.6501
11/04/2020, $46.01, 1194412, $43.97, $46.505, $43.76
11/03/2020, $42.78, 1268017, $42.39, $44.25, $42.16
11/02/2020, $41.95, 1227789, $41.62, $42.04, $40.52
10/30/2020, $41.51, 1840619, $42.22, $42.43, $40.17
10/29/2020, $42.9, 1396174, $44.43, $44.5, $42.7705
10/28/2020, $44.54, 873996, $45.25, $45.49, $43.904
10/27/2020, $45.88, 1615459, $46.22, $46.65, $45.42
10/26/2020, $45.63, 917976, $45.08, $45.67, $44.5007
10/23/2020, $45.52, 820380, $45.16, $45.99, $45.0201
10/22/2020, $45.18, 1183938, $43.96, $45.3, $43.33
10/21/2020, $43.83, 942286, $45.63, $45.97, $43.75
10/20/2020, $45.41, 741634, $46.25, $46.98, $45.27
10/19/2020, $46.11, 943889, $45.23, $46.52, $45.13
10/16/2020, $44.86, 1258366, $46.46, $46.85, $44.57
10/15/2020, $46.06, 1264347, $45.23, $46.33, $44.781
10/14/2020, $47.02, 1494510, $47.81, $48, $46.3
10/13/2020, $47.81, 1591422, $45.16, $48.13, $45.16
10/12/2020, $45.06, 1037809, $45.18, $45.42, $44.33
10/09/2020, $44.6, 1110833, $45, $45.38, $44.29
10/08/2020, $44.79, 1546939, $46.6, $47, $44.21
10/07/2020, $46.26, 1406769, $46.49, $47.18, $46.26
10/06/2020, $45.93, 2569421, $45.63, $47.54, $45.49
10/05/2020, $45.49, 2548062, $45.11, $46.3, $44.6
10/02/2020, $45.11, 16241820, $44.79, $47.09, $44.55
10/01/2020, $45.58, 10765250, $44.19, $46.19, $44.15
09/30/2020, $39.57, 3919860, $38.4, $42.62, $37.91
09/29/2020, $38.44, 613300, $38.7, $39.04, $38.06
09/28/2020, $38.49, 785883, $38.02, $39.1699, $37.671
09/25/2020, $37.57, 711438, $37.12, $38.0864, $36.75
09/24/2020, $37.08, 787199, $36.93, $37.6699, $36.57
09/23/2020, $37.18, 870234, $38.23, $38.97, $37.09
09/22/2020, $38.24, 790402, $37.81, $38.24, $36.8
09/21/2020, $37.63, 1256022, $37.41, $37.64, $36.405
09/18/2020, $37.52, 2108035, $38.19, $38.43, $37.2604
09/17/2020, $37.64, 975248, $37.31, $38.01, $36.6901
09/16/2020, $38.13, 1156661, $38.41, $39.11, $37.8
09/15/2020, $38.18, 1425325, $38.33, $39.245, $37.96
09/14/2020, $38.27, 1036322, $37.56, $38.38, $37.31
09/11/2020, $36.91, 823486, $38.02, $38.13, $36.25
09/10/2020, $37.78, 709053, $38.47, $39.5, $37.51
09/09/2020, $38.2, 970564, $38.17, $38.48, $37.41
09/08/2020, $37.42, 1481979, $37.01, $38.21, $36.6574
09/04/2020, $38.34, 1553868, $38.43, $38.915, $35.8628
09/03/2020, $38.61, 1684964, $40.1, $40.19, $37.76
09/02/2020, $40.59, 1154464, $41.19, $41.29, $39.05
09/01/2020, $40.57, 1513953, $39.52, $40.8, $39.38
08/31/2020, $39.23, 644515, $39.14, $39.44, $38.65
08/28/2020, $39.05, 1082465, $38.5, $39.09, $38.44
08/27/2020, $38.18, 1088102, $39.24, $39.24, $37.69
08/26/2020, $39.01, 2127277, $39.75, $40.1, $38.36
08/25/2020, $39.51, 850455, $38.61, $39.51, $38.39
08/24/2020, $38.79, 1356477, $39.22, $39.5, $38.3708
08/21/2020, $38.66, 1221348, $38.38, $38.9644, $38
08/20/2020, $38.55, 1034729, $37.8, $38.8162, $37.24
08/19/2020, $37.7, 1565182, $37.09, $38.07, $36.93
08/18/2020, $36.97, 1050532, $36.32, $37.09, $36.1
08/17/2020, $36.32, 718402, $36.25, $36.775, $36.09
08/14/2020, $36.49, 673712, $36.51, $37.28, $36.295
08/13/2020, $36.67, 1499879, $35.59, $36.76, $35.51
08/12/2020, $35.62, 1346135, $35.29, $35.939, $35.135
08/11/2020, $35.25, 2237779, $35.5, $36.5207, $35.04
08/10/2020, $36.02, 2375365, $36.8, $36.88, $35.31
08/07/2020, $36.25, 6479816, $35.25, $38.71, $35.25
08/06/2020, $31.5, 1238561, $31.67, $32.13, $31.37
08/05/2020, $31.46, 1365976, $31.6, $31.97, $31.36
08/04/2020, $31.24, 1183604, $31.62, $31.62, $30.88
08/03/2020, $31.6, 1164596, $31.71, $31.75, $31.045
07/31/2020, $31.5, 865039, $31.62, $31.655, $30.8
07/30/2020, $31.36, 788509, $30.86, $31.54, $30.48
07/29/2020, $31.48, 934435, $31.01, $31.76, $31.01
07/28/2020, $30.89, 923330, $31.36, $31.41, $30.78
07/27/2020, $31.25, 584571, $30.91, $31.27, $30.67
07/24/2020, $30.56, 910058, $31.21, $31.33, $30.34
07/23/2020, $31.65, 1616631, $30.99, $32.39, $30.95
07/22/2020, $31.17, 1132493, $31.12, $31.72, $31
07/21/2020, $31.01, 1339804, $31.5, $31.99, $30.775
07/20/2020, $30.97, 1881155, $30.5, $31.1, $30.5
07/17/2020, $30.34, 1777212, $30.14, $30.43, $29.9272
07/16/2020, $30.09, 2293217, $29.28, $30.215, $29.03
07/15/2020, $29.63, 2853828, $28.52, $29.76, $28.46
07/14/2020, $28.89, 1840126, $28, $28.94, $27.83
07/13/2020, $28.09, 2529149, $28.86, $28.99, $28.05
07/10/2020, $28.72, 1513252, $28.63, $28.79, $28.275
07/09/2020, $28.63, 1248482, $28.97, $29.33, $28.31
07/08/2020, $28.63, 1874833, $28.06, $28.67, $27.995
07/07/2020, $28.06, 1938785, $27.56, $28.63, $27.56
07/06/2020, $27.55, 1060558, $28.24, $28.52, $27.465
