Date, Close/Last, Volume, Open, High, Low
03/24/2021, $30.35, 27466, $29.85, $30.85, $29.7044
03/23/2021, $29.6, 59556, $29.77, $30.2852, $29.6
03/22/2021, $30.22, 46091, $30.15, $30.5903, $29.78
03/19/2021, $30.12, 79720, $30.43, $31.11, $30.03
03/18/2021, $30.56, 61702, $30.83, $31.0045, $30.04
03/17/2021, $30.57, 105875, $31, $31.2161, $30.3
03/16/2021, $31, 54920, $32.29, $32.29, $31
03/15/2021, $32.28, 21558, $32.4, $32.6639, $31.97
03/12/2021, $32.53, 24098, $32.71, $32.71, $32.2007
03/11/2021, $32.72, 37411, $32.65, $33.099, $32.65
03/10/2021, $32.58, 38287, $32.88, $33, $32.35
03/09/2021, $32.63, 38321, $33, $33.05, $32.62
03/08/2021, $32.915, 37240, $33, $33.0899, $32.5
03/05/2021, $33, 99980, $33, $33.23, $32.71
03/04/2021, $32.75, 75199, $33, $33.67, $32.75
03/03/2021, $33, 40137, $33.08, $33.95, $32.99
03/02/2021, $32.89, 19455, $33.38, $33.4126, $32.82
03/01/2021, $33, 28624, $33.13, $33.99, $32.85
02/26/2021, $32.87, 52323, $34, $34, $32.77
02/25/2021, $34.07, 53370, $35.13, $35.45, $34.02
02/24/2021, $34.99, 55498, $34.32, $35.55, $34.32
02/23/2021, $34.51, 37635, $34, $34.57, $33.26
02/22/2021, $34.14, 41961, $33, $34.204, $33
02/19/2021, $33.1, 19419, $33, $33.4681, $32.77
02/18/2021, $32.8, 27288, $33.61, $33.67, $32.8
02/17/2021, $33.61, 16071, $33.85, $33.8975, $33.2801
02/16/2021, $33.9, 39606, $33.01, $33.9, $33.01
02/12/2021, $33.34, 35302, $32.65, $33.44, $32.565
02/11/2021, $32.76, 58963, $33.77, $33.77, $32.6914
02/10/2021, $33.6, 34451, $33.23, $33.7, $33.02
02/09/2021, $33.07, 39152, $33.07, $33.57, $32.6069
02/08/2021, $33.35, 53490, $32, $33.35, $32
02/05/2021, $31.59, 28641, $30.82, $31.5999, $30.73
02/04/2021, $30.73, 25652, $30.48, $30.96, $30.42
