Date, Close/Last, Volume, Open, High, Low
01/20/2021, $11.05, 373248, $10.89, $11.2, $10.89
01/19/2021, $10.89, 2500180, $10.99, $11, $10.8
01/15/2021, $10.89, 538549, $10.8, $10.9271, $10.72
01/14/2021, $10.84, 924367, $10.85, $10.85, $10.785
01/13/2021, $10.85, 555638, $10.7, $10.85, $10.7
01/12/2021, $10.755, 509692, $10.65, $10.78, $10.52
01/11/2021, $10.6, 82964, $10.5, $10.6089, $10.5
01/08/2021, $10.5, 473785, $10.45, $10.5, $10.45
01/07/2021, $10.5, 55516, $10.64, $10.64, $10.4
01/06/2021, $10.47, 141403, $10.4, $10.54, $10.35
01/05/2021, $10.35, 179671, $10.43, $10.45, $10.11
01/04/2021, $10.42, 224764, $10.35, $10.6, $10.275
12/31/2020, $10.32, 150691, $10.69, $10.69, $10.29
12/30/2020, $10.42, 827775, $10.36, $10.48, $10.25
12/29/2020, $10.4, 703084, $10.49, $10.49, $10.28
12/28/2020, $10.38, 776811, $10.39, $10.5, $10.35
12/24/2020, $10.3, 481806, $10.34, $10.39, $10.27
12/23/2020, $10.33, 580388, $10.4, $10.4, $10.29
12/22/2020, $10.32, 1065785, $10.23, $10.4, $10.22
12/21/2020, $10.24, 995745, $10.17, $10.26, $10.17
12/18/2020, $10.18, 835634, $10.25, $10.28, $10.1733
12/17/2020, $10.14, 11814220, $10.2, $10.22, $10.14
