Date, Close/Last, Volume, Open, High, Low
03/24/2021, $197.5, 8021668, $218, $218.01, $196.702
03/23/2021, $216.64, 3149430, $220, $223.25, $214.6
03/22/2021, $217.84, 3131974, $218.39, $222.46, $215.03
03/19/2021, $214.9, 3432953, $211.74, $218.46, $209
03/18/2021, $211.26, 5062882, $216.45, $218.98, $209.565
03/17/2021, $224.35, 6356796, $226.9, $229.7, $214.5
03/16/2021, $233.46, 3751404, $234.68, $242.38, $228.7901
03/15/2021, $231.34, 3418867, $227.5, $231.45, $223.5
03/12/2021, $234.99, 4015374, $230, $235.17, $222.08
03/11/2021, $236.79, 6173550, $230.55, $239.5, $226
03/10/2021, $217.21, 6311391, $226, $232.9, $214.9102
03/09/2021, $228.47, 5949896, $222.99, $229.99, $216.09
03/08/2021, $206.05, 8293290, $227.21, $231.6, $204.83
03/05/2021, $229.76, 9360519, $228.67, $231.29, $209.2301
03/04/2021, $229.68, 11574600, $239.62, $246.6741, $218.44
03/03/2021, $251.28, 5080426, $259.36, $260.41, $246.5
03/02/2021, $250, 7843057, $270, $276.02, $246.25
03/01/2021, $248.51, 4083036, $250.75, $252.47, $244.71
02/26/2021, $235.69, 4502564, $235.91, $242.85, $225
02/25/2021, $235.35, 4754732, $248, $250.8, $232.0662
02/24/2021, $248.04, 4219178, $253.11, $254, $240.64
02/23/2021, $251.81, 7832162, $240.36, $255.9499, $229.27
02/22/2021, $252.96, 6113959, $272.77, $273.01, $250.93
02/19/2021, $280, 3561234, $271.83, $280.64, $270.88
02/18/2021, $267.5, 3309424, $263.87, $268.13, $255.15
02/17/2021, $268.22, 3655770, $275.11, $275.96, $264.51
02/16/2021, $278.14, 3052882, $281.92, $285, $275.25
02/12/2021, $276.12, 2604675, $270.37, $277.38, $268.78
02/11/2021, $274.63, 2404797, $273, $277.5, $268.265
02/10/2021, $270.97, 4306572, $277.09, $281.77, $265.2
02/09/2021, $274.66, 3978414, $266.1, $278.3499, $266.01
02/08/2021, $263.46, 3687350, $258.69, $269.14, $258.31
02/05/2021, $256.76, 3637720, $244, $258.64, $242.3937
02/04/2021, $243.96, 2435698, $244.29, $245.71, $237.32
02/03/2021, $243.54, 3816463, $244.77, $246.33, $239.7042
02/02/2021, $238.54, 3377945, $235.92, $241.78, $231
02/01/2021, $233.53, 4397109, $222.97, $236.98, $222.97
01/29/2021, $216.71, 3419572, $218.06, $221.61, $211.25
01/28/2021, $219.78, 5835048, $210, $228.41, $209.3
01/27/2021, $205.78, 6372982, $212.265, $223.1728, $203.06
01/26/2021, $217.22, 3869562, $230, $232.33, $215.81
01/25/2021, $228.68, 4295183, $240, $240.44, $226.14
01/22/2021, $236.49, 2043125, $232.61, $236.79, $230.2501
01/21/2021, $233.96, 1647981, $233.38, $237, $232
01/20/2021, $233.15, 2152465, $238.2, $238.42, $232.08
01/19/2021, $231.64, 2515838, $232.45, $234.5, $226.05
01/15/2021, $226.05, 2346791, $230.88, $233.48, $222.08
01/14/2021, $229.66, 3890519, $230.88, $237.27, $227.647
01/13/2021, $226.78, 5065769, $223.61, $229.98, $220.88
01/12/2021, $218.48, 5474214, $214.38, $218.57, $212.4
01/11/2021, $209.06, 2553898, $209, $213.35, $206.89
01/08/2021, $210.16, 4604433, $205.94, $213.6, $202.43
01/07/2021, $203.94, 3392005, $198.02, $205.34, $197.89
01/06/2021, $194.37, 3224764, $201.58, $204.12, $193.91
01/05/2021, $202.93, 3297520, $198.1, $204.09, $195.09
01/04/2021, $196.06, 4332655, $200.75, $203.11, $191.87
12/31/2020, $199.05, 3775330, $196.74, $199.12, $194.5286
12/30/2020, $196.75, 2526256, $190, $197.5933, $186.6796
12/29/2020, $188.35, 3111946, $185.09, $190.87, $183.31
12/28/2020, $180.28, 5843139, $193.25, $194.5, $178.8
12/24/2020, $193.18, 1132200, $194.54, $197.3, $191.8
12/23/2020, $195.07, 1878640, $199.74, $200.335, $194.36
12/22/2020, $200.65, 2245840, $198.5, $202.4123, $196.5125
12/21/2020, $196.9, 3157735, $197, $201.5, $192.85
12/18/2020, $200.35, 2633185, $198.96, $200.85, $196.6
12/17/2020, $198.05, 2842472, $195.46, $198.445, $194.03
12/16/2020, $192.99, 3706806, $189.67, $196.44, $188.375
12/15/2020, $188.09, 3005247, $191.5, $191.7499, $186
12/14/2020, $190.26, 2889620, $195, $195.68, $189.06
12/11/2020, $193.38, 6945671, $194.3, $195.9, $190.25
12/10/2020, $198.95, 3969018, $194.92, $201.7, $194.04
12/09/2020, $202.68, 3627568, $208.55, $212.33, $200.4
12/08/2020, $205.87, 5915515, $199, $207.515, $197.6
12/07/2020, $198.57, 2951569, $200, $200, $195.4
12/04/2020, $198.78, 11898790, $190.97, $203.4225, $186.1
12/03/2020, $183.53, 5083966, $185.06, $192.36, $182.5803
12/02/2020, $183.88, 4206607, $174.99, $184.93, $174.5
12/01/2020, $177.38, 2325720, $183.1, $183.5, $176.59
11/30/2020, $180.37, 2289641, $183, $183.8, $173.91
11/27/2020, $182.55, 1895778, $180.5, $182.75, $178.22
11/25/2020, $177.7, 2155827, $176.35, $178.72, $173.7
11/24/2020, $176.92, 3308733, $179.23, $181.25, $174.3019
11/23/2020, $182.92, 3122376, $183, $185, $178.1528
11/20/2020, $183.11, 3846123, $175.2, $184.06, $175.19
11/19/2020, $173.47, 2750427, $167.72, $174.81, $166
11/18/2020, $165.16, 4290099, $174.29, $174.83, $165
11/17/2020, $170.62, 6000731, $182.89, $187.18, $168.56
11/16/2020, $178.22, 4710982, $178.7, $179.24, $172
11/13/2020, $181.44, 2907444, $181.2, $183.66, $176.63
11/12/2020, $178.77, 4100261, $174, $179.449, $171.82
11/11/2020, $169.13, 6227091, $166.45, $171.69, $161.51
11/10/2020, $156.53, 7169121, $169.8, $169.96, $155.1
11/09/2020, $169.08, 6129182, $176.16, $182.97, $164
11/06/2020, $186.79, 1734848, $184.79, $187.75, $180.17
11/05/2020, $184.62, 3371045, $183, $187.45, $180.58
11/04/2020, $176.96, 3116101, $171.35, $177.59, $170.59
11/03/2020, $166.39, 2081346, $161.11, $169.22, $161
11/02/2020, $159.67, 2719753, $160.4, $164.9399, $157.55
10/30/2020, $157.7, 3231561, $163.42, $164.74, $155.33
10/29/2020, $167.02, 1902324, $166.42, $169.98, $163.4532
10/28/2020, $163.24, 2794068, $167.49, $167.99, $161.26
10/27/2020, $172.29, 3340202, $164.68, $172.45, $162.95
10/26/2020, $162.36, 1965658, $160.4, $164.6725, $159.41
10/23/2020, $162.96, 1841154, $162, $163.1171, $158.7901
10/22/2020, $161.63, 3112673, $168.79, $169.79, $159.6
10/21/2020, $168.38, 2175625, $167.23, $172.12, $163.78
10/20/2020, $166.87, 1921554, $163, $169.49, $162.5
10/19/2020, $162.84, 2567697, $165.42, $168.18, $161.95
10/16/2020, $165.2, 2160054, $170.17, $171.61, $164.88
10/15/2020, $169.3, 1995864, $165.8, $169.31, $161.84
10/14/2020, $167.63, 2213933, $174.3, $176.8999, $166.33
10/13/2020, $172.4, 2064071, $170, $172.47, $166.38
10/12/2020, $167.18, 3050372, $175, $175.6, $166.9006
10/09/2020, $172.12, 2645499, $170, $172.5, $166.2801
10/08/2020, $169.29, 3370798, $170.49, $172, $168.15
10/07/2020, $167.42, 4245635, $167.43, $171.3, $165.45
10/06/2020, $163.44, 5642679, $159, $167.9397, $158.13
10/05/2020, $157.58, 3345854, $158.88, $162.05, $155.21
10/02/2020, $155.36, 3017021, $154.5, $160.09, $154.33
10/01/2020, $160, 3054162, $157, $160.44, $154.52
09/30/2020, $154.04, 2290489, $155.1, $158.54, $153.86
09/29/2020, $155.15, 2503822, $159.41, $161.51, $154.39
09/28/2020, $159.97, 3658076, $159, $162, $157.01
09/25/2020, $155.29, 4289593, $150.74, $157.8, $149.55
09/24/2020, $150.06, 3101963, $144.94, $152.45, $142.406
09/23/2020, $147.88, 3441826, $150.75, $155.54, $146.64
09/22/2020, $152.12, 3080638, $151.09, $152.75, $145.9
09/21/2020, $150.7, 2230081, $143, $150.88, $142.64
09/18/2020, $147.55, 2542788, $150.05, $150.98, $143.88
09/17/2020, $149.08, 3154387, $143.8, $149.26, $141.855
09/16/2020, $147.58, 1538702, $148.96, $151.24, $146.73
09/15/2020, $149.99, 3010305, $150, $150.59, $145.29
09/14/2020, $147.82, 3586129, $143.99, $149.22, $143.001
09/11/2020, $139.51, 2336993, $142.27, $142.99, $138.075
09/10/2020, $139.5, 2591851, $142, $146.1, $138.03
09/09/2020, $142.03, 3896349, $141.93, $143.48, $138.13
09/08/2020, $138, 7301059, $136, $144.93, $135.28
09/04/2020, $144.15, 7891351, $145.05, $145.71, $137.89
09/03/2020, $147.56, 6682657, $150.66, $152.97, $144.12
09/02/2020, $157.22, 4471573, $164.26, $165.23, $153.38
09/01/2020, $161.8, 5365306, $156.7, $162, $153.31
08/31/2020, $152.81, 3949231, $154.34, $158.99, $150.56
08/28/2020, $152.67, 2399421, $154.48, $156.0899, $151.98
08/27/2020, $153.15, 3919219, $158, $158.9, $150.34
08/26/2020, $159, 5392708, $154.92, $163.14, $154.34
08/25/2020, $154.13, 3644853, $148.25, $155, $147.3
08/24/2020, $150.41, 4437773, $149.79, $152.19, $144.26
08/21/2020, $147.42, 3934065, $153.28, $154.28, $145.9
08/20/2020, $152.64, 4178441, $151.3, $153.34, $145.76
08/19/2020, $150.56, 5442133, $151.77, $154.25, $146.3
08/18/2020, $145.98, 12364830, $148, $152.51, $141.0303
08/17/2020, $134.28, 6073181, $128.92, $134.44, $127.23
08/14/2020, $126.5, 3299440, $128.31, $129.67, $124.39
08/13/2020, $128, 4053611, $128, $130.65, $126.5
08/12/2020, $126.92, 3839474, $122.49, $128.6843, $121.37
08/11/2020, $120.36, 3967926, $122.85, $127.79, $118.08
08/10/2020, $122.7, 5945331, $132.66, $135.52, $120.34
08/07/2020, $129, 5050221, $137.27, $140.443, $127.64
08/06/2020, $138.21, 4497714, $146.99, $146.99, $137.04
08/05/2020, $145.47, 4582133, $140.51, $146.69, $140.05
08/04/2020, $137.51, 4490597, $132.86, $138.54, $131.74
08/03/2020, $132.75, 4578618, $124.92, $134.33, $124.5
07/31/2020, $122.2, 4137637, $124.51, $125.84, $120.1001
07/30/2020, $122.29, 3665445, $118.52, $122.55, $118.14
07/29/2020, $118.69, 2385495, $119.17, $120.34, $116.91
07/28/2020, $116, 2937042, $115.63, $118.75, $114.14
07/27/2020, $114.18, 3498499, $110.48, $115.02, $109.17
07/24/2020, $107.12, 3797780, $105.43, $108.2, $101.7
07/23/2020, $108.95, 2745359, $114.65, $114.96, $107.2
07/22/2020, $114.65, 1397368, $115.93, $116.75, $113.16
07/21/2020, $115.45, 2528709, $118.32, $120.45, $114.681
07/20/2020, $115.25, 3510063, $111.9, $117.99, $111.14
07/17/2020, $109.04, 1699246, $110.17, $111.76, $107.87
07/16/2020, $109, 3044849, $109.6, $110.49, $106.88
07/15/2020, $113.21, 2941675, $114.51, $116.736, $112.63
07/14/2020, $113.3, 5621182, $111.15, $113.54, $106.0101
07/13/2020, $113.65, 4961580, $123.17, $125.29, $113.58
07/10/2020, $121, 2501267, $121.53, $122.38, $118.45
07/09/2020, $123.05, 5192870, $129.71, $129.72, $119
07/08/2020, $124.46, 7608317, $118.02, $126.68, $118.01
07/07/2020, $112.9, 4917672, $113.44, $116.12, $111.34
07/06/2020, $114.41, 5475558, $122.5, $123.5, $113.185
07/02/2020, $117.62, 3278110, $117.85, $119.23, $115.33
07/01/2020, $114.46, 4728812, $108.28, $116.76, $108.28
06/30/2020, $107.24, 2912393, $109.08, $110.42, $107.05
06/29/2020, $108.77, 4478281, $104.98, $110.6399, $101.6117
06/26/2020, $105.2, 4453913, $103.54, $107.8, $101.61
06/25/2020, $104.32, 4465295, $103, $105.6999, $101.2
06/24/2020, $103.64, 10785370, $110.38, $111.87, $100.66
06/23/2020, $111.1, 8163326, $115.2, $116, $110.12
06/22/2020, $113.39, 6732364, $107.81, $113.78, $107.58
06/19/2020, $106.94, 7589643, $108.17, $110.13, $106.7
06/18/2020, $106.48, 6714376, $109, $109.8, $102.52
06/17/2020, $106.81, 7328163, $99.57, $107.92, $99.5
06/16/2020, $100.8, 5711551, $102.49, $102.49, $96.86
06/15/2020, $97.25, 5163597, $91.28, $98.68, $90.63
06/12/2020, $92.98, 4234622, $92, $94.52, $90.56
06/11/2020, $88.58, 7983350, $90, $91.665, $86.6
06/10/2020, $92.16, 4520407, $91.52, $92.93, $89.94
06/09/2020, $90.78, 3751208, $90.72, $91.58, $89.64
06/08/2020, $90.88, 6408219, $90, $93.1801, $89.7802
06/05/2020, $89.7, 5178861, $86.52, $89.94, $85.61
06/04/2020, $85.31, 5842674, $88, $88.2, $83.68
06/03/2020, $88.07, 6449651, $87.18, $88.16, $86.13
06/02/2020, $86.86, 4726390, $83, $86.86, $82.52
06/01/2020, $82.47, 4527029, $80.08, $82.62, $80.08
05/29/2020, $79.8, 4960074, $76.03, $79.89, $75.11
05/28/2020, $75.66, 6486933, $77.98, $80.37, $75.28
05/27/2020, $78.91, 11287640, $83.69, $83.75, $73.9301
05/26/2020, $83.16, 7287931, $81.075, $83.8, $80.66
05/22/2020, $79, 6901917, $78.01, $79.1922, $76.07
05/21/2020, $77.81, 11053780, $72.4, $78.54, $72.26
05/20/2020, $72.4, 10281050, $70, $73.9699, $69.9
05/19/2020, $68.27, 14057020, $69.75, $72.8, $68.1
05/18/2020, $69.49, 9974385, $66, $69.95, $65.43
05/15/2020, $61.96, 6439561, $60.09, $62.19, $60
05/14/2020, $61.59, 5295738, $61, $61.59, $59.2609
05/13/2020, $61.98, 5419601, $63, $64, $60.69
05/12/2020, $62.7, 3724276, $63, $64.39, $61.07
05/11/2020, $62.91, 3545182, $61.87, $63.79, $61.58
05/08/2020, $62.49, 3234174, $61.16, $63.3, $60.67
05/07/2020, $60.37, 6624513, $62.11, $62.19, $57.72
05/06/2020, $61.69, 8235388, $58.05, $62.56, $57.6054
05/05/2020, $57.93, 4678582, $56.77, $59.44, $55.97
05/04/2020, $55.23, 2677627, $53.85, $55.73, $53.85
05/01/2020, $54.78, 2054008, $53.89, $55.04, $53.35
04/30/2020, $55.58, 2167625, $56.16, $56.75, $55.305
04/29/2020, $55.52, 2828889, $53.57, $55.83, $53.43
04/28/2020, $53.3, 4566772, $56.49, $56.8, $52.77
04/27/2020, $55.34, 3311907, $55.46, $56, $54.51
04/24/2020, $54.39, 2330156, $54.22, $54.72, $53.52
04/23/2020, $53.63, 2737096, $54.1, $54.9169, $53.07
04/22/2020, $54.04, 3068901, $54.11, $55.1, $52.88
04/21/2020, $51.98, 3772012, $53.54, $54.04, $50.35
04/20/2020, $54.22, 2513240, $52.46, $54.98, $52.25
04/17/2020, $53.02, 3781443, $55.25, $55.25, $52.67
04/16/2020, $53.95, 6896403, $51.6, $54.475, $51.41
04/15/2020, $49.78, 2414218, $49.47, $50.62, $48.11
04/14/2020, $50.22, 4886625, $47.72, $50.65, $47.57
04/13/2020, $46.99, 2664824, $44.74, $47.56, $44.46
04/09/2020, $45.07, 3649967, $46.5, $47.9, $44.85
04/08/2020, $45.45, 1896400, $45.4, $46.1, $44.81
04/07/2020, $45.22, 4112850, $46.06, $46.745, $44.5
04/06/2020, $44.8, 3309539, $43.97, $45.75, $43.72
04/03/2020, $42.1, 5554362, $43.4, $44.39, $40.41
04/02/2020, $44.58, 2732975, $42.77, $44.71, $42.62
04/01/2020, $43.17, 3713883, $43, $43.93, $42.22
03/31/2020, $44.31, 2683090, $44.14, $45.11, $43.76
03/30/2020, $44.46, 3071597, $44, $44.5, $42.5
03/27/2020, $43.93, 4147239, $44.31, $46, $43.5
03/26/2020, $45.74, 5065261, $45.38, $46.48, $44.6449
03/25/2020, $44.04, 4203380, $43.47, $46.36, $42.49
03/24/2020, $42.84, 6362190, $41.74, $43.75, $41.235
03/23/2020, $38.45, 5627941, $38.1, $38.76, $35.61
03/20/2020, $38, 5849043, $41.7, $42.33, $37.995
03/19/2020, $39.7, 7276932, $41.08, $41.31, $38.02
03/18/2020, $41.96, 7571765, $40.54, $41.96, $36.28
03/17/2020, $44.26, 5394232, $41.87, $45, $40.5
03/16/2020, $41.08, 6871213, $38.5, $43.29, $38.5
03/13/2020, $44.51, 6643151, $44.93, $45.11, $42.37
03/12/2020, $41.63, 8733957, $44, $44.4, $41.47
03/11/2020, $48.02, 3794035, $49.04, $50.5, $47.27
03/10/2020, $50.69, 7620732, $48, $50.77, $47.82
03/09/2020, $45.91, 7509366, $45.99, $47.18, $44.99
03/06/2020, $50.35, 5801782, $50.66, $51.17, $47.86
03/05/2020, $52.56, 4239167, $51.01, $52.77, $50.38
03/04/2020, $52.52, 5619349, $51, $52.58, $50.2
03/03/2020, $48.95, 10998450, $49.58, $51.5864, $48.24
03/02/2020, $48.04, 7254641, $46.21, $48.22, $45.15
02/28/2020, $45.06, 5057675, $43.64, $45.54, $43.5
02/27/2020, $45.07, 8820836, $45.01, $46.9, $43.31
02/26/2020, $46.42, 3200214, $46.77, $47.91, $46.28
02/25/2020, $46.7, 6217695, $49.46, $49.79, $46.06
02/24/2020, $48.2, 8968125, $48.68, $49.485, $46.95
02/21/2020, $51.85, 5698716, $52.17, $52.39, $51.45
02/20/2020, $52.5, 9306763, $51.16, $52.51, $50.87
02/19/2020, $51.2, 4737779, $50.34, $51.21, $49.78
02/18/2020, $49.84, 5076330, $49.27, $49.88, $48.8
02/14/2020, $48.49, 3698107, $48.5, $49.33, $48.16
02/13/2020, $47.95, 7357199, $47.1, $48.4, $47.04
02/12/2020, $46.93, 2096536, $46.59, $47.14, $46.44
02/11/2020, $46.34, 2794098, $45.71, $46.67, $45.385
02/10/2020, $45.16, 3370307, $46.06, $46.3, $44.95
02/07/2020, $46.2, 3073228, $46.58, $46.71, $45.53
02/06/2020, $45.72, 2679068, $46.08, $46.775, $44.845
02/05/2020, $45.81, 4292993, $47.5, $47.51, $45.73
02/04/2020, $46.82, 3841375, $46.97, $47.1089, $46.07
02/03/2020, $46.37, 3350769, $45.37, $46.5, $45.25
01/31/2020, $45.24, 2784495, $45.28, $45.575, $44.81
01/30/2020, $45.59, 1541964, $44.72, $45.63, $44.52
01/29/2020, $45.14, 2058969, $45.76, $46.29, $45.03
01/28/2020, $45.03, 1561339, $45, $45.31, $44.51
01/27/2020, $44.35, 3065615, $42.6, $44.45, $42.6
01/24/2020, $45.33, 5869407, $46.06, $46.5, $44.35
01/23/2020, $44.75, 4141569, $44.25, $45.01, $43.7417
01/22/2020, $44.36, 10448550, $43.55, $45.15, $42.9
01/21/2020, $41.31, 4195536, $41.01, $41.4, $40.33
01/17/2020, $41.28, 3217637, $40.75, $41.34, $40.7
01/16/2020, $40.96, 2356825, $40.65, $41.02, $40.195
01/15/2020, $40.42, 2312718, $40.4, $40.95, $39.91
01/14/2020, $39.94, 3446257, $40, $40.27, $39.15
01/13/2020, $40.02, 1647562, $39.71, $40.365, $39.6
01/10/2020, $39.58, 3360903, $40.76, $40.91, $39.34
01/09/2020, $40.53, 3129720, $40.79, $40.9, $40.04
01/08/2020, $40.16, 3211334, $41, $41.3894, $40.055
01/07/2020, $41.01, 3952275, $40.5, $41.8, $40.35
01/06/2020, $40.48, 4049150, $40.07, $41.03, $40.029
01/03/2020, $40.49, 5237931, $39.44, $40.65, $39.4
01/02/2020, $40.04, 5689333, $41, $41.19, $39.46
12/31/2019, $40.22, 3517252, $38.98, $40.6245, $38.81
12/30/2019, $39.21, 3066250, $39.86, $40, $38.34
12/27/2019, $39.3, 1532546, $39.37, $39.59, $38.77
12/26/2019, $39.08, 1921742, $39.1, $39.4967, $38.88
12/24/2019, $39.12, 702925, $38.99, $39.45, $38.75
