Date, Close/Last, Volume, Open, High, Low
01/20/2021, $42.63, 134580, $42.08, $42.75, $41.87
01/19/2021, $42.49, 176501, $42.41, $43.075, $41.89
01/15/2021, $41.99, 165086, $42.77, $43.275, $41.87
01/14/2021, $43.67, 129848, $43.41, $44.11, $42.97
01/13/2021, $42.97, 129966, $43.35, $43.35, $42.14
01/12/2021, $43.52, 104410, $43.53, $44.03, $43.45
01/11/2021, $43.2, 130763, $42.44, $43.44, $42.12
01/08/2021, $43.09, 217805, $44.61, $44.6308, $42.41
01/07/2021, $44.72, 248376, $44.24, $45.83, $44.24
01/06/2021, $44.63, 365539, $42, $45.5, $42
01/05/2021, $40.97, 158992, $40.16, $41.5, $40.16
01/04/2021, $40.12, 133200, $40.23, $40.93, $39.46
12/31/2020, $40.29, 91980, $40.27, $40.5, $39.74
12/30/2020, $40.04, 74943, $39.95, $40.6836, $39.76
12/29/2020, $39.985, 109672, $40.88, $40.88, $39.8
12/28/2020, $40.6, 155793, $40.5, $40.98, $40.32
12/24/2020, $40.28, 69155, $40.5, $40.5, $39.91
12/23/2020, $40.45, 190160, $40.15, $40.66, $39.97
12/22/2020, $39.82, 120935, $40, $40.41, $39.44
12/21/2020, $39.92, 131514, $39.94, $40.47, $39.5
12/18/2020, $40.15, 576481, $41.73, $41.84, $39.97
12/17/2020, $41.49, 129130, $41.5, $41.65, $40.73
12/16/2020, $41.56, 145321, $41.79, $41.9, $41.24
12/15/2020, $41.53, 179039, $41.45, $41.87, $41
12/14/2020, $41.06, 124751, $41.05, $41.31, $40.95
12/11/2020, $40.5, 119505, $40.25, $41.01, $40.25
12/10/2020, $40.82, 102389, $40.04, $40.88, $39.98
12/09/2020, $40.5, 215928, $40.45, $40.84, $39.95
12/08/2020, $40, 141584, $39.14, $40.215, $39.05
12/07/2020, $39.54, 76248, $39.16, $39.68, $39.11
12/04/2020, $39.64, 74545, $39.35, $39.69, $38.82
12/03/2020, $38.89, 86294, $38.76, $39.12, $38.26
12/02/2020, $38.84, 165495, $38.65, $39, $38.12
12/01/2020, $38.65, 115373, $38.4, $38.9, $37.55
11/30/2020, $37.78, 139585, $38.63, $39.08, $37.62
11/27/2020, $38.94, 50839, $39.85, $39.85, $38.48
11/25/2020, $39.64, 106143, $40.28, $40.28, $39.33
11/24/2020, $40.85, 232163, $39.72, $41.33, $39.03
11/23/2020, $38.97, 133589, $39.17, $39.2624, $38.3
11/20/2020, $38.61, 102989, $38.37, $38.65, $38.09
11/19/2020, $38.94, 143449, $38.56, $38.95, $38.155
11/18/2020, $38.87, 195254, $39.99, $40.21, $38.84
11/17/2020, $39.92, 138326, $39.1, $40, $38.72
11/16/2020, $39.86, 204327, $39.36, $39.86, $38.1901
