Date, Close/Last, Volume, Open, High, Low
03/24/2021, $7.97, 1858675, $8.5, $8.57, $7.95
03/23/2021, $8.39, 1080985, $8.62, $8.79, $8.34
03/22/2021, $8.7, 863497, $9, $9.035, $8.6
03/19/2021, $8.82, 3044830, $8.8, $9.05, $8.35
03/18/2021, $8.84, 1679632, $9.046, $9.32, $8.665
03/17/2021, $9.13, 2066004, $8.622, $9.14, $8.37
03/16/2021, $8.98, 2034679, $9.79, $9.7941, $8.83
03/15/2021, $9.79, 2461239, $10.261, $10.34, $9.28
03/12/2021, $10.15, 2293942, $9.3, $10.15, $9.17
03/11/2021, $9.55, 3839413, $8.725, $9.7297, $8.5
03/10/2021, $8.55, 3312090, $8.441, $8.8, $8.32
03/09/2021, $8.09, 5817187, $8.5, $8.75, $7.81
03/08/2021, $7.68, 2511804, $8.2, $8.52, $7.57
03/05/2021, $8.01, 2659468, $8.29, $8.3, $7.31
03/04/2021, $8.06, 3178160, $8.98, $9.15, $7.705
03/03/2021, $8.87, 1085778, $9.33, $9.59, $8.76
03/02/2021, $9.28, 1394343, $9.75, $10.0032, $9.21
03/01/2021, $9.72, 1426712, $9.07, $9.9, $8.99
02/26/2021, $8.85, 951285, $8.99, $9.14, $8.53
02/25/2021, $8.98, 1121235, $9.26, $9.5961, $8.845
02/24/2021, $9.37, 1023648, $9.5, $9.67, $9.06
02/23/2021, $9.3, 2303942, $9.49, $9.68, $8.5
02/22/2021, $9.98, 1454424, $10.5, $10.59, $9.95
02/19/2021, $10.62, 1226363, $10.31, $10.7, $10.31
02/18/2021, $10.31, 1475012, $10.17, $10.55, $9.9207
02/17/2021, $10.58, 1808473, $10.31, $10.84, $10.01
02/16/2021, $10.28, 2149617, $10.533, $10.79, $9.9
02/12/2021, $10.15, 1670640, $9.97, $10.49, $9.9
02/11/2021, $9.82, 1558079, $10.13, $10.21, $9.34
02/10/2021, $10.1, 1817961, $10.29, $10.6, $9.43
02/09/2021, $10.05, 3705839, $10.51, $10.9, $9.7
02/08/2021, $9.8, 4959661, $8.31, $10.06, $8.25
02/05/2021, $8.17, 1918663, $8.39, $8.42, $8.05
02/04/2021, $8.26, 1214791, $8.58, $8.6, $8.19
02/03/2021, $8.35, 1558739, $8.3, $8.48, $8.17
02/02/2021, $8.26, 1366408, $8.27, $8.42, $8.12
02/01/2021, $8.12, 1424028, $8.29, $8.35, $7.95
01/29/2021, $8.2, 1246910, $8.25, $8.48, $8.11
01/28/2021, $8.31, 1173851, $8.63, $8.6499, $8.09
01/27/2021, $8.42, 1864011, $8.63, $9, $8.3338
01/26/2021, $9.07, 3186897, $9.03, $9.22, $8.54
01/25/2021, $8.86, 3210471, $8.48, $9.4, $8.4
01/22/2021, $8.24, 1687007, $8.22, $8.3, $8.03
01/21/2021, $8.26, 932457, $8.45, $8.4975, $8.15
01/20/2021, $8.45, 1233175, $8.25, $8.49, $8.045
01/19/2021, $8.08, 1290963, $8.3, $8.4, $7.97
01/15/2021, $8.31, 1230397, $8.47, $8.5599, $8.045
01/14/2021, $8.41, 1080044, $8.57, $8.89, $8.35
01/13/2021, $8.5, 997395, $8.48, $8.6829, $8.36
01/12/2021, $8.45, 840609, $8.37, $8.5, $8.15
01/11/2021, $8.38, 1153406, $8, $8.4712, $7.96
01/08/2021, $8.03, 1080421, $7.98, $8.03, $7.76
01/07/2021, $7.94, 1085600, $8, $8.1, $7.8591
01/06/2021, $7.93, 1217704, $8.1, $8.25, $7.85
01/05/2021, $8.05, 1302414, $8.28, $8.37, $8.03
01/04/2021, $8.31, 835866, $8.3, $8.42, $8.1183
12/31/2020, $8.27, 1072419, $8.63, $8.639, $8.2
12/30/2020, $8.63, 1165541, $8.81, $8.99, $8.58
12/29/2020, $8.78, 1343201, $9.28, $9.38, $8.55
12/28/2020, $9.33, 1242091, $9.4, $9.5, $9.06
12/24/2020, $9.18, 702230, $9.48, $9.55, $9.18
12/23/2020, $9.32, 1271435, $9.53, $9.79, $9.21
12/22/2020, $9.43, 1751238, $9.09, $9.435, $8.8701
12/21/2020, $9.14, 2836096, $8.5, $9.23, $8.42
12/18/2020, $8.64, 5111143, $8.85, $8.85, $8.3638
