Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.81, 50114, $9.8501, $9.8773, $9.8
03/23/2021, $9.85, 78720, $9.85, $9.93, $9.8
03/22/2021, $9.85, 12731, $9.86, $9.9, $9.85
03/19/2021, $9.9, 380643, $9.86, $9.91, $9.85
03/18/2021, $9.86, 233358, $9.92, $9.94, $9.85
03/17/2021, $9.86, 5832, $9.94, $9.94, $9.86
03/16/2021, $9.95, 10927, $9.868, $9.95, $9.86
03/15/2021, $9.89, 16791, $9.86, $9.9, $9.85
03/12/2021, $9.9, 26637, $9.87, $9.91, $9.87
03/11/2021, $9.89, 15435, $9.9242, $9.9497, $9.89
03/10/2021, $9.91, 19893, $9.86, $9.95, $9.85
03/09/2021, $9.8911, 29494, $9.89, $9.95, $9.87
03/08/2021, $9.91, 6829, $9.975, $9.975, $9.86
03/05/2021, $10.0185, 8555, $9.94, $10.0692, $9.87
03/04/2021, $9.85, 126054, $9.97, $9.97, $9.66
03/03/2021, $9.95, 143247, $9.92, $9.98, $9.92
03/02/2021, $9.92, 34334, $10.08, $10.0801, $9.9
03/01/2021, $10.05, 22294, $10.15, $10.15, $10.05
02/26/2021, $10.13, 95734, $10.2106, $10.2106, $10.05
02/25/2021, $10.22, 39400, $10.28, $10.28, $10.15
02/24/2021, $10.34, 35887, $10.37, $10.37, $10.22
02/23/2021, $10.23, 48033, $10.155, $10.27, $10.1
02/22/2021, $10.2, 13281, $10.35, $10.35, $10.16
02/19/2021, $10.31, 4463, $10.36, $10.39, $10.28
02/18/2021, $10.28, 27738, $10.3, $10.33, $10.27
02/17/2021, $10.28, 10153, $10.3387, $10.3387, $10.1985
02/16/2021, $10.26, 8403, $10.21, $10.36, $10.1735
02/12/2021, $10.28, 133255, $10.27, $10.32, $10.27
02/11/2021, $10.28, 30311, $10.31, $10.3999, $10.2
02/10/2021, $10.21, 97922, $10.12, $10.24, $10.1
02/09/2021, $10.11, 92315, $10.17, $10.17, $10.1
02/08/2021, $10.16, 132660, $10.19, $10.25, $10.1
02/05/2021, $10.18, 12045, $10.25, $10.25, $10.17
02/04/2021, $10.21, 41317, $10.2, $10.26, $10.2
02/03/2021, $10.2, 22892, $10.22, $10.28, $10.195
02/02/2021, $10.2, 16227, $10.245, $10.28, $10.19
02/01/2021, $10.18, 160663, $10.3, $10.3, $10.15
01/29/2021, $10.16, 26132, $10.16, $10.3, $10.14
01/28/2021, $10.2, 4523, $10.16, $10.2, $10.15
01/27/2021, $10.16, 404574, $10.15, $10.3, $10.1
01/26/2021, $10.22, 124173, $10.25, $10.25, $10.15
01/25/2021, $10.3, 402220, $10.34, $10.34, $10.15
01/22/2021, $10.2, 19317, $10.25, $10.25, $10.17
01/21/2021, $10.2525, 140103, $10.16, $10.3685, $10.16
01/20/2021, $10.16, 94226, $10.17, $10.2, $10.14
01/19/2021, $10.22, 46893, $10.22, $10.22, $10.16
01/15/2021, $10.22, 29040, $10.29, $10.43, $10.18
01/14/2021, $10.3, 174716, $10.18, $10.3, $10.11
01/13/2021, $10.18, 92865, $10.23, $10.23, $10.11
01/12/2021, $10.2, 176116, $10.15, $10.685, $10.12
01/11/2021, $10.14, 22057, $10.14, $10.15, $10.06
01/08/2021, $10.08, 26741, $10.07, $10.09, $10
01/07/2021, $10.07, 37907, $10.0101, $10.1, $10.0101
01/06/2021, $10.01, 55467, $10.06, $10.06, $10.01
01/05/2021, $10.11, 6691, $10.13, $10.13, $10.11
01/04/2021, $10.07, 3775, $10.01, $10.095, $10.01
12/31/2020, $10.02, 43624, $9.99, $10.03, $9.98
12/30/2020, $9.98, 14355, $10.0302, $10.0302, $9.98
12/29/2020, $10.0201, 17083, $10.1, $10.1, $10.02
12/28/2020, $10.1, 33438, $10.15, $10.2, $10.06
12/24/2020, $10.08, 1440656, $10, $10.1, $9.98
12/23/2020, $9.98, 67922, $9.98, $10, $9.953
12/22/2020, $9.98, 20621, $9.95, $10, $9.95
12/21/2020, $9.97, 9168, $9.95, $9.9885, $9.95
12/18/2020, $9.96, 124651, $9.97, $9.97, $9.9495
12/17/2020, $9.98, 17478, $9.9563, $10.01, $9.9563
12/16/2020, $9.945, 1133029, $9.98, $9.98, $9.93
12/15/2020, $9.98, 54462, $9.93, $9.98, $9.93
12/14/2020, $9.93, 1414224, $9.965, $9.98, $9.93
12/11/2020, $9.97, 12680, $9.925, $10.02, $9.8599
12/10/2020, $9.8, 25277, $9.8, $9.8, $9.8
12/09/2020, $9.975, N/A, $9.975, $10.1, $9.85
