Date, Close/Last, Volume, Open, High, Low
03/24/2021, $0.3885, 28757, $0.4501, $0.4501, $0.3527
03/23/2021, $0.44, 1470, $0.4299, $0.44, $0.4299
03/22/2021, $0.4651, 41799, $0.5445, $0.5445, $0.4375
03/19/2021, $0.4745, 16638, $0.5, $0.5898, $0.4154
03/18/2021, $0.5, 26020, $0.6, $0.6, $0.4761
03/17/2021, $0.531, 105663, $0.5, $0.7198, $0.4999
03/16/2021, $0.5101, 113158, $0.58, $0.5901, $0.5001
03/15/2021, $0.74, 1013498, $0.5995, $1.1445, $0.5995
03/12/2021, $0.4063, 5491, $0.416, $0.43, $0.4063
03/11/2021, $0.4, 3962, $0.35, $0.4, $0.35
03/10/2021, $0.3501, 16216, $0.3548, $0.3548, $0.35
03/09/2021, $0.3501, 46451, $0.35, $0.3589, $0.35
03/08/2021, $0.375, 1827, $0.3502, $0.375, $0.3502
03/05/2021, $0.3792, 26358, $0.4, $0.4002, $0.35
03/04/2021, $0.4, 43421, $0.4102, $0.4102, $0.4
03/03/2021, $0.4264, 648, $0.4877, $0.4877, $0.4264
03/02/2021, $0.4887, 4706, $0.4562, $0.49, $0.4163
03/01/2021, $0.48, 5790, $0.45, $0.48, $0.43
02/26/2021, $0.4102, 1994, $0.4394, $0.4394, $0.4102
02/25/2021, $0.44, 47590, $0.56, $0.56, $0.41
02/24/2021, $0.5, 19825, $0.4652, $0.525, $0.4651
02/23/2021, $0.46, 33055, $0.43, $0.555, $0.43
02/22/2021, $0.5899, 9650, $0.41, $0.5999, $0.41
02/19/2021, $0.5799, 44260, $0.58, $0.59, $0.556
02/18/2021, $0.6208, 84675, $0.58, $0.69, $0.4712
02/17/2021, $0.561, 146563, $0.495, $0.6999, $0.46
02/16/2021, $0.4821, 47541, $0.5298, $0.5499, $0.47
02/12/2021, $0.49, 31029, $0.4995, $0.5329, $0.44
02/11/2021, $0.4999, 59578, $0.46, $0.5099, $0.42
02/10/2021, $0.4501, 25615, $0.5002, $0.55, $0.4101
02/09/2021, $0.55, 28443, $0.5281, $0.59, $0.5001
02/08/2021, $0.64, 129226, $0.5, $0.64, $0.4995
02/05/2021, $0.5, 32289, $0.5, $0.52, $0.455
02/04/2021, $0.4999, 19271, $0.5, $0.5085, $0.4527
02/03/2021, $0.498, 25342, $0.4054, $0.4999, $0.4054
02/02/2021, $0.4, 23653, $0.4505, $0.4851, $0.4
02/01/2021, $0.4001, 24913, $0.4, $0.5999, $0.4
01/29/2021, $0.4392, 13757, $0.515, $0.5499, $0.4392
01/28/2021, $0.5, 11088, $0.5, $0.5, $0.4
01/27/2021, $0.4, 15082, $0.49, $0.49, $0.4
01/26/2021, $0.4999, 40996, $0.59, $0.59, $0.4995
01/25/2021, $0.5, 54090, $0.55, $0.65, $0.44
01/22/2021, $0.55, 15718, $0.6888, $0.6888, $0.49
01/21/2021, $0.65, 14180, $0.5649, $0.6999, $0.55
01/20/2021, $0.55, 19876, $0.6, $0.6157, $0.55
01/19/2021, $0.5986, 57585, $0.4408, $0.5986, $0.44
01/15/2021, $0.4499, 10694, $0.4978, $0.4978, $0.44
01/14/2021, $0.44, 69651, $0.39, $0.4999, $0.39
01/13/2021, $0.35, 48381, $0.26, $0.35, $0.2499
01/12/2021, $0.26, 9839, $0.2452, $0.32, $0.2452
01/11/2021, $0.335, 14199, $0.3999, $0.4, $0.3201
01/08/2021, $0.4, 102338, $0.32, $0.4199, $0.32
01/07/2021, $0.3001, 40178, $0.275, $0.3498, $0.25
01/06/2021, $0.2503, 48237, $0.3, $0.3, $0.25
01/05/2021, $0.2964, 40946, $0.3, $0.3499, $0.295
01/04/2021, $0.2899, 8330, $0.3, $0.36, $0.2899
12/31/2020, $0.2498, 19716, $0.26, $0.38, $0.21
12/30/2020, $0.2002, 4416, $0.21, $0.21, $0.2
12/29/2020, $0.2089, 4428, $0.2301, $0.2301, $0.2089
12/28/2020, $0.2395, 21539, $0.359, $0.359, $0.2002
12/24/2020, $0.2989, 7355, $0.24, $0.299, $0.2311
12/23/2020, $0.2288, 13707, $0.2399, $0.2399, $0.2001
12/22/2020, $0.2053, 27300, $0.2398, $0.2406, $0.2001
12/21/2020, $0.2054, 32005, $0.18, $0.2054, $0.1751
12/18/2020, $0.1709, 13782, $0.1699, $0.18, $0.1405
12/17/2020, $0.17, 1340, $0.175, $0.175, $0.17
12/16/2020, $0.14, 8300, $0.14, $0.14, $0.14
12/15/2020, $0.1314, 2010, $0.1576, $0.1577, $0.1314
12/14/2020, $0.1576, 17897, $0.1501, $0.1625, $0.133
12/11/2020, $0.1562, 13999, $0.15, $0.1997, $0.15
12/10/2020, $0.1532, 14080, $0.2, $0.2399, $0.1502
12/09/2020, $0.18, 9715, $0.1996, $0.1996, $0.18
12/08/2020, $0.211, N/A, $0.211, $0.211, $0.211
12/07/2020, $0.211, 21056, $0.2399, $0.2399, $0.2101
12/04/2020, $0.249, 13148, $0.2301, $0.2502, $0.21
12/03/2020, $0.21, 6951, $0.21, $0.21, $0.21
12/02/2020, $0.2291, N/A, $0.2291, $0.2291, $0.2291
12/01/2020, $0.2291, N/A, $0.2291, $0.2291, $0.2291
11/30/2020, $0.2291, 15486, $0.232, $0.244, $0.16
11/27/2020, $0.2442, 62596, $0.16, $0.2485, $0.16
11/25/2020, $0.1889, 38378, $0.16, $0.1889, $0.1307
11/24/2020, $0.15, 11700, $0.16, $0.16, $0.15
11/23/2020, $0.1529, 6823, $0.15, $0.1529, $0.1499
11/20/2020, $0.15, 1040, $0.15, $0.15, $0.15
11/19/2020, $0.1529, 900, $0.1529, $0.1529, $0.1529
11/18/2020, $0.1445, 4933, $0.153, $0.153, $0.1267
11/17/2020, $0.1558, 200, $0.1558, $0.1558, $0.1558
11/16/2020, $0.1578, N/A, $0.1578, $0.1578, $0.1578
11/13/2020, $0.1578, N/A, $0.1578, $0.1578, $0.1578
11/12/2020, $0.1578, 100, $0.1578, $0.1578, $0.1578
11/11/2020, $0.1899, 100, $0.1899, $0.1899, $0.1899
11/10/2020, $0.1999, 100, $0.1999, $0.1999, $0.1999
11/09/2020, $0.1712, 2200, $0.1511, $0.1712, $0.1501
11/06/2020, $0.1899, 500, $0.1899, $0.1899, $0.1899
11/05/2020, $0.1999, N/A, $0.1999, $0.1999, $0.1999
11/04/2020, $0.1999, 1311, $0.1511, $0.1999, $0.1501
11/03/2020, $0.15, 600, $0.19, $0.19, $0.15
11/02/2020, $0.1799, N/A, $0.1799, $0.1799, $0.1799
10/30/2020, $0.1799, 2152, $0.183, $0.183, $0.16
10/29/2020, $0.185, 200, $0.185, $0.185, $0.185
10/28/2020, $0.1831, 200, $0.1831, $0.1831, $0.1831
10/27/2020, $0.1899, N/A, $0.1899, $0.1899, $0.1899
10/26/2020, $0.1899, N/A, $0.1899, $0.1899, $0.1899
10/23/2020, $0.1899, 100, $0.1899, $0.1899, $0.1899
10/22/2020, $0.1901, 8600, $0.22, $0.22, $0.1901
10/21/2020, $0.2153, 4097, $0.2395, $0.2399, $0.2153
10/20/2020, $0.2198, 900, $0.2198, $0.2198, $0.2196
10/19/2020, $0.19, 11990, $0.16, $0.19, $0.16
10/16/2020, $0.2, 2991, $0.1899, $0.2, $0.1899
10/15/2020, $0.175, N/A, $0.175, $0.175, $0.175
10/14/2020, $0.175, 14975, $0.18, $0.2699, $0.16
10/13/2020, $0.1511, 400, $0.1511, $0.1511, $0.1511
10/12/2020, $0.1531, 9633, $0.1511, $0.1999, $0.1511
10/09/2020, $0.1401, N/A, $0.1401, $0.1401, $0.1401
10/08/2020, $0.1401, N/A, $0.1401, $0.1401, $0.1401
10/07/2020, $0.1401, 740, $0.1401, $0.1401, $0.1401
10/06/2020, $0.1701, 283, $0.1701, $0.1701, $0.1701
10/05/2020, $0.171, 250, $0.171, $0.171, $0.171
10/02/2020, $0.1801, N/A, $0.1801, $0.1801, $0.1801
10/01/2020, $0.1801, N/A, $0.1801, $0.1801, $0.1801
09/30/2020, $0.1801, 3602, $0.18, $0.1809, $0.18
09/29/2020, $0.19, 2150, $0.1998, $0.1998, $0.19
09/28/2020, $0.1999, 1100, $0.1799, $0.1999, $0.1799
09/25/2020, $0.1709, 500, $0.1499, $0.1709, $0.1499
09/24/2020, $0.14, 792, $0.14, $0.14, $0.14
09/23/2020, $0.15, 500, $0.155, $0.155, $0.15
09/22/2020, $0.1593, 12000, $0.14, $0.16, $0.14
09/21/2020, $0.1452, 10627, $0.18, $0.18, $0.1426
09/18/2020, $0.16, N/A, $0.16, $0.16, $0.16
09/17/2020, $0.16, 7366, $0.1997, $0.1997, $0.1401
09/16/2020, $0.18, 2000, $0.1697, $0.18, $0.1575
09/15/2020, $0.1401, 12902, $0.1406, $0.1406, $0.14
09/14/2020, $0.1401, N/A, $0.1401, $0.1401, $0.1401
09/11/2020, $0.1401, 500, $0.1401, $0.1401, $0.1401
09/10/2020, $0.19, 5043, $0.15, $0.1996, $0.14
09/09/2020, $0.19, 100, $0.19, $0.19, $0.19
09/08/2020, $0.14, 1305, $0.15, $0.1899, $0.14
09/04/2020, $0.1998, 1300, $0.1699, $0.1999, $0.1693
09/03/2020, $0.1293, 783, $0.17, $0.17, $0.1293
09/02/2020, $0.17, 7500, $0.173, $0.173, $0.17
09/01/2020, $0.2, N/A, $0.2, $0.2, $0.2
