Date, Close/Last, Volume, Open, High, Low
03/24/2021, $5.57, 14667, $5.53, $5.85, $5.3954
03/23/2021, $5.49, 27453, $5.63, $5.93, $5.49
03/22/2021, $5.56, 27777, $5.68, $5.925, $5.56
03/19/2021, $5.62, 27066, $5.75, $6.0767, $5.62
03/18/2021, $5.83, 25633, $6.09, $6.22, $5.7811
03/17/2021, $6.05, 29889, $6.02, $6.2188, $5.9
03/16/2021, $6.19, 13335, $6.28, $6.28, $5.9501
03/15/2021, $6.19, 153125, $5.7301, $6.21, $5.7017
03/12/2021, $5.71, 12490, $5.9, $5.93, $5.7
03/11/2021, $5.91, 63342, $5.77, $5.95, $5.53
03/10/2021, $5.56, 166110, $5.75, $6.5, $5.48
03/09/2021, $5.79, 14302, $5.51, $5.8, $5.44
03/08/2021, $5.42, 11580, $5.5, $5.65, $5.34
03/05/2021, $5.5, 27105, $5.3, $5.59, $5.17
03/04/2021, $5.33, 115372, $5.37, $5.8697, $5.28
03/03/2021, $5.36, 31863, $5.419, $5.425, $5.2
03/02/2021, $5.36, 25471, $5.85, $5.9177, $5.32
03/01/2021, $5.43, 18020, $5.46, $5.57, $5.4
02/26/2021, $5.21, 36820, $5.565, $5.642, $5.1
02/25/2021, $5.34, 17856, $5.5505, $5.5505, $5.34
02/24/2021, $5.6, 20061, $5.8, $5.8, $5.5
02/23/2021, $5.58, 43639, $5.65, $5.9199, $5.25
02/22/2021, $5.92, 30546, $5.97, $6.12, $5.73
02/19/2021, $6.08, 39829, $5.76, $6.14, $5.76
02/18/2021, $5.74, 47494, $6, $6.145, $5.7
02/17/2021, $6.29, 97048, $6.41, $6.8, $6.1
02/16/2021, $6.41, 74522, $6.48, $6.7653, $6.2
02/12/2021, $6.18, 52399, $5.72, $6.21, $5.72
02/11/2021, $5.9, 19419, $5.94, $6.03, $5.86
02/10/2021, $5.96, 16413, $5.93, $6.1, $5.8
02/09/2021, $5.82, 49349, $5.71, $5.98, $5.71
02/08/2021, $5.618, 44654, $5.5, $5.7, $5.5
02/05/2021, $5.4476, 108569, $5.07, $5.65, $5.0699
02/04/2021, $5.07, 15150, $5.01, $5.2, $5.01
02/03/2021, $5.11, 18642, $5.16, $5.18, $5.03
02/02/2021, $5.09, 13429, $5.082, $5.24, $5.08
02/01/2021, $5.16, 45685, $5.05, $5.21, $4.84
01/29/2021, $5.08, 29208, $5.17, $5.3592, $5.02
01/28/2021, $5.25, 17637, $5.22, $5.2999, $5.15
01/27/2021, $5.27, 10496, $5.15, $5.4088, $5.15
01/26/2021, $5.42, 33054, $5.34, $5.63, $5.25
01/25/2021, $5.39, 35463, $5.49, $5.66, $5.31
01/22/2021, $5.4, 47347, $5.25, $5.4896, $5.205
