Date, Close/Last, Volume, Open, High, Low
01/20/2021, $9.75, 49345, $10.82, $10.96, $9.74
01/19/2021, $11.1, 65004, $11.03, $11.25, $9.85
01/15/2021, $11.03, 30499, $11.21, $11.4062, $10.6
01/14/2021, $11.36, 57034, $11.5, $11.85, $10.68
01/13/2021, $10.49, 61869, $11.25, $11.46, $10.22
01/12/2021, $11.16, 114249, $10, $11.5, $9.82
01/11/2021, $9.95, 33841, $9.44, $10, $9.3202
01/08/2021, $9.47, 58460, $9.31, $9.74, $9.05
01/07/2021, $8.59, 176825, $9.88, $9.9193, $8.42
01/06/2021, $10, 107445, $9.78, $10.1, $9.31
01/05/2021, $9.26, 77380, $8.44, $9.5, $8.44
01/04/2021, $8.72, 166220, $8.4, $9.25, $8.4
12/31/2020, $8.4, 154800, $8.05, $8.4, $7.86
12/30/2020, $8.25, 615039, $6.4, $8.4514, $6.2
12/29/2020, $6.7, 410848, $5.5, $6.7, $5.5
12/28/2020, $6.2, 1179715, $5.3, $6.45, $5.02
12/24/2020, $5.3, 23826840, $5.94, $6.94, $4.94
12/23/2020, $3.9, 139328, $4.02, $4.02, $3.9
12/22/2020, $4, 5831, $4.02, $4.02, $3.99
12/21/2020, $3.97, 24102, $3.87, $4.01, $3.87
12/18/2020, $3.96, 9843, $4.1477, $4.1477, $3.96
12/17/2020, $4.15, 3226, $4.2, $4.25, $4.09
12/16/2020, $4.21, 4134, $4.47, $4.47, $4.19
12/15/2020, $4.27, 19640, $4.1, $4.4851, $4.1
12/14/2020, $4.0688, 2482, $4.19, $4.2, $4.0082
12/11/2020, $4.02, 2119, $4.15, $4.15, $4.02
12/10/2020, $4.05, 13395, $3.935, $4.0999, $3.935
12/09/2020, $3.8, 23509, $4.15, $4.2, $3.8
12/08/2020, $3.8, 13289, $3.81, $4.07, $3.7838
12/07/2020, $3.8115, 791, $3.89, $3.89, $3.8115
12/04/2020, $3.8413, 2309, $3.79, $3.8413, $3.79
12/03/2020, $3.7757, 8123, $3.78, $3.7999, $3.7
12/02/2020, $3.815, 1456, $3.8, $3.87, $3.7844
12/01/2020, $3.89, 9013, $3.8055, $3.986, $3.8
11/30/2020, $3.7999, 19590, $3.7968, $3.825, $3.75
11/27/2020, $3.9154, 1392, $3.98, $3.98, $3.91
11/25/2020, $3.915, 12086, $3.7756, $3.98, $3.7756
11/24/2020, $3.75, 43259, $3.63, $3.87, $3.62
11/23/2020, $3.61, 9551, $3.74, $3.75, $3.55
11/20/2020, $3.71, 9819, $3.79, $3.79, $3.56
11/19/2020, $3.6001, 4101, $3.7, $3.7, $3.6
11/18/2020, $3.74, 1342, $3.724, $3.74, $3.7
11/17/2020, $3.72, 3680, $3.7201, $3.7599, $3.72
11/16/2020, $3.63, 9064, $3.73, $3.81, $3.63
11/13/2020, $3.7298, 683, $3.7298, $3.7298, $3.7298
11/12/2020, $3.71, 3097, $3.51, $3.75, $3.51
11/11/2020, $3.765, 11967, $3.85, $3.8759, $3.7196
11/10/2020, $3.67, 20019, $3.45, $3.69, $3.45
11/09/2020, $3.712, 6707, $3.6, $3.7999, $3.6
11/06/2020, $3.91, 372, $3.6952, $3.91, $3.6952
11/05/2020, $3.8152, 4506, $3.77, $3.82, $3.61
11/04/2020, $3.56, 8413, $3.5, $3.6641, $3.5
11/03/2020, $3.55, 22814, $3.53, $3.56, $3.45
11/02/2020, $3.5, 7856, $3.63, $3.63, $3.5
10/30/2020, $3.55, 6378, $3.55, $3.55, $3.46
10/29/2020, $3.6, 9899, $3.66, $3.679, $3.53
10/28/2020, $3.68, 1395, $3.66, $3.68, $3.65
10/27/2020, $3.782, 791, $3.92, $3.92, $3.782
10/26/2020, $3.75, 3541, $3.76, $3.77, $3.6501
10/23/2020, $3.78, 9873, $3.795, $3.88, $3.68
10/22/2020, $3.65, 1867, $3.63, $3.78, $3.61
10/21/2020, $3.66, 3348, $3.66, $3.79, $3.65
10/20/2020, $3.6822, 3607, $3.61, $3.6822, $3.6
10/19/2020, $3.69, 14423, $3.55, $3.719, $3.55
10/16/2020, $3.76, N/A, $3.76, $3.76, $3.76
10/15/2020, $3.76, N/A, $3.76, $3.76, $3.76
10/14/2020, $3.76, N/A, $3.76, $3.76, $3.76
10/13/2020, $3.76, 532, $3.7699, $3.7699, $3.76
10/12/2020, $3.78, 535, $3.8, $3.8, $3.78
10/09/2020, $3.71, N/A, $3.71, $3.71, $3.71
10/08/2020, $3.71, 4861, $3.7, $3.7818, $3.7
10/07/2020, $3.6, 3912, $3.8, $3.8, $3.6
10/06/2020, $3.57, 3800, $3.8, $3.8697, $3.55
10/05/2020, $3.56, 1097, $3.705, $3.705, $3.56
10/02/2020, $3.61, 864, $3.55, $3.61, $3.55
10/01/2020, $3.61, 7394, $3.7001, $3.87, $3.5603
09/30/2020, $3.68, 385, $3.86, $3.86, $3.68
09/29/2020, $3.64, 1443, $3.64, $3.64, $3.64
09/28/2020, $3.66, 3224, $3.64, $3.75, $3.64
