Date, Close/Last, Volume, Open, High, Low
03/24/2021, $48.81, 206713, $50.03, $50.03, $48.62
03/23/2021, $49.93, 230478, $50.37, $51.95, $49.24
03/22/2021, $50.54, 394520, $49.21, $51.85, $48.12
03/19/2021, $49.12, 506232, $49.82, $49.97, $48.33
03/18/2021, $49.34, 458269, $53.03, $53.03, $48.98
03/17/2021, $53.1, 534154, $52.5, $54.015, $51.42
03/16/2021, $52.54, 270687, $53.21, $54.2, $51.65
03/15/2021, $52.93, 289935, $53.52, $53.97, $52.18
03/12/2021, $52.86, 285498, $52.09, $53.29, $51.3
03/11/2021, $52.87, 413008, $53.76, $53.88, $52.44
03/10/2021, $52.54, 578313, $55, $55.5, $51.705
03/09/2021, $54.21, 347271, $52.25, $54.4, $51.25
03/08/2021, $51.41, 509486, $53.21, $54.41, $50.54
03/05/2021, $52.98, 573896, $53.103, $53.32, $48.905
03/04/2021, $51.93, 1186209, $56.42, $56.71, $50.4066
03/03/2021, $56.39, 448922, $57.15, $57.77, $54.675
03/02/2021, $57.44, 781411, $55.41, $58.17, $53
03/01/2021, $55.3, 624835, $55.31, $58.46, $54.95
02/26/2021, $54.77, 289632, $54.62, $56.19, $53.03
02/25/2021, $54.59, 389733, $53, $54.975, $52.1
02/24/2021, $53.14, 429258, $54.77, $55.98, $52.58
02/23/2021, $54.57, 273586, $52.68, $55.08, $51.925
02/22/2021, $53.59, 381997, $55.83, $56.2875, $53.18
02/19/2021, $55.7, 257141, $55.97, $58, $55.37
02/18/2021, $55.77, 223925, $56.46, $57.62, $55.47
02/17/2021, $56.91, 448520, $59.16, $59.605, $55.14
02/16/2021, $59.35, 289844, $59.98, $60.82, $57.29
02/12/2021, $59.99, 185356, $61.23, $61.67, $59.72
02/11/2021, $60.79, 162835, $59.23, $61.05, $58.87
02/10/2021, $59.81, 213032, $60.01, $61.42, $59.412
02/09/2021, $59.33, 374761, $58.65, $59.46, $55.85
02/08/2021, $58.27, 446176, $61.42, $63, $57.665
02/05/2021, $61.64, 220362, $60.75, $61.74, $59.3
02/04/2021, $60.05, 508682, $56.9, $61.185, $55.84
02/03/2021, $56.83, 190966, $56.35, $57.07, $55.35
02/02/2021, $56.27, 210792, $55.6, $57.23, $55.07
02/01/2021, $54.7, 213333, $55.08, $55.08, $53.51
01/29/2021, $54.53, 296178, $55.04, $55.2269, $52.985
01/28/2021, $54.77, 366076, $55.62, $59.2899, $54.415
01/27/2021, $54.98, 610298, $55.23, $56.115, $52.66
01/26/2021, $56.23, 446148, $59.97, $60.22, $56.045
01/25/2021, $59.36, 507692, $58.75, $60.24, $56.8958
01/22/2021, $60.33, 434452, $61.93, $62.31, $59.365
01/21/2021, $62.17, 237934, $62.44, $63.325, $61.19
01/20/2021, $62.7, 219459, $63, $64.83, $61.02
01/19/2021, $62.5, 370866, $60.07, $62.75, $59.6464
01/15/2021, $59.81, 945027, $58.06, $59.98, $57.85
01/14/2021, $58.35, 636491, $55.36, $58.59, $54.61
01/13/2021, $55.02, 1633037, $57, $57.5, $51.945
01/12/2021, $59.24, 197836, $60.03, $60.775, $58.375
01/11/2021, $59.6, 258283, $60.08, $60.9964, $58.89
01/08/2021, $60.52, 267350, $60.27, $62.38, $59.51
01/07/2021, $59.49, 362787, $59.23, $59.86, $58.47
01/06/2021, $59.23, 429646, $61.21, $61.675, $57.4177
01/05/2021, $60.69, 247149, $58.71, $60.99, $58.67
01/04/2021, $59.08, 337523, $63.88, $63.88, $58.25
12/31/2020, $62.98, 347746, $61.08, $63.4, $59.07
12/30/2020, $61.1, 101584, $60.95, $62.39, $59.985
12/29/2020, $60.48, 181732, $60.8, $61.065, $59.5
12/28/2020, $60.56, 274090, $65.665, $65.665, $60.45
12/24/2020, $64.71, 93043, $63.69, $65.26, $63.525
12/23/2020, $63.18, 154888, $62, $63.9159, $61.38
12/22/2020, $61.86, 181461, $62.99, $64.14, $61.15
12/21/2020, $62.53, 215135, $59.43, $63.61, $58.57
12/18/2020, $60.24, 650650, $59.42, $61.74, $57.9
12/17/2020, $58.48, 239685, $58.38, $59.68, $57.63
12/16/2020, $58.57, 247672, $58.22, $59.25, $56.74
12/15/2020, $58.14, 289735, $56.6, $58.41, $55.7932
12/14/2020, $55.96, 237868, $57.84, $59.69, $55.52
12/11/2020, $57.37, 150870, $59.5, $60.08, $57.03
12/10/2020, $59.63, 138694, $60.12, $60.86, $59.21
12/09/2020, $60.64, 331991, $61.85, $62.87, $59.49
12/08/2020, $61.44, 272447, $59.04, $61.6, $58.3
12/07/2020, $59.24, 226211, $58, $59.74, $57.725
12/04/2020, $57.51, 252417, $55.96, $57.96, $55.03
12/03/2020, $56.13, 179679, $56.12, $57.07, $55.06
12/02/2020, $56.12, 240703, $55.44, $56.625, $54.5
12/01/2020, $55.51, 316551, $57.92, $57.92, $55.3
11/30/2020, $57.3, 272605, $56.74, $58.18, $55.855
11/27/2020, $57.5, 121509, $56.96, $57.99, $56.15
11/25/2020, $56.02, 339608, $58.81, $59.68, $55.71
11/24/2020, $59.07, 213279, $61.21, $61.98, $58.67
11/23/2020, $60.98, 257370, $60.35, $61.47, $59.2378
11/20/2020, $59.54, 262877, $59.48, $59.79, $58.23
11/19/2020, $59.93, 287488, $60, $60.7, $58.05
11/18/2020, $60.07, 245492, $61.08, $61.5514, $59.88
11/17/2020, $60.43, 346430, $59.7, $61.24, $58.63
11/16/2020, $59.56, 456684, $62.21, $63, $59.19
11/13/2020, $61.82, 237585, $63.13, $63.45, $60.02
11/12/2020, $61.94, 302963, $61.75, $63.345, $61.2
11/11/2020, $62.12, 980553, $62.39, $64.84, $62
11/10/2020, $69.65, 358283, $67.85, $70.65, $67.29
11/09/2020, $68.19, 406803, $74.78, $75.8, $68.115
11/06/2020, $69.94, 225600, $70, $72.14, $68.64
11/05/2020, $69.78, 201205, $68.62, $69.97, $65.49
11/04/2020, $67.87, 234783, $64.86, $68.4, $64
11/03/2020, $65, 198052, $63.68, $65.95, $62.76
11/02/2020, $62.47, 280645, $61.13, $62.76, $60.31
10/30/2020, $60.6, 190739, $62.02, $62.895, $60
10/29/2020, $62.17, 209763, $60.48, $62.56, $60.05
10/28/2020, $60.49, 191381, $60.67, $61.12, $59.5
10/27/2020, $62.08, 261736, $60.06, $62.3, $59.2
10/26/2020, $60.11, 183991, $60.99, $61.46, $59.42
10/23/2020, $61.89, 160371, $62.29, $63.36, $61
10/22/2020, $62.25, 142210, $60.99, $62.43, $60.82
10/21/2020, $61.07, 170226, $63.25, $64.19, $61.05
10/20/2020, $63.24, 242328, $65.26, $65.815, $63.12
10/19/2020, $64.67, 166729, $65.89, $67.23, $64.46
10/16/2020, $65.43, 245416, $64.14, $66.2299, $63.72
10/15/2020, $64.1, 198671, $63.02, $64.58, $62.41
10/14/2020, $64.25, 153189, $66.44, $67.07, $64.06
10/13/2020, $66.52, 175900, $65.03, $67.04, $63.901
10/12/2020, $65.59, 226736, $67.1, $67.18, $65.36
10/09/2020, $66.44, 166079, $67.3, $68.2617, $65.73
10/08/2020, $66.8, 230922, $69.06, $69.49, $66.37
10/07/2020, $68.2, 187375, $66.74, $68.66, $65.28
10/06/2020, $65.87, 272733, $66.53, $66.71, $64.63
10/05/2020, $66.43, 166728, $65.68, $67.23, $65.68
10/02/2020, $65.45, 179274, $64.51, $66.53, $64.33
10/01/2020, $65.46, 465624, $64.63, $66.58, $64.63
09/30/2020, $67.21, 295373, $67.75, $69.21, $66.3644
09/29/2020, $68.16, 342276, $67, $69.6, $66.25
09/28/2020, $66.5, 280000, $68.35, $68.53, $65.98
09/25/2020, $67.08, 408369, $64.5, $67.59, $64.12
09/24/2020, $64.24, 668548, $64.9, $66.21, $63.58
09/23/2020, $65.95, 576691, $69.3, $69.3, $65.92
09/22/2020, $69.29, 316801, $67.7, $69.67, $66.885
09/21/2020, $67.17, 310663, $68.39, $68.45, $65.18
