Date, Close/Last, Volume, Open, High, Low
03/24/2021, $51.88, 482770, $55, $56.23, $51.85
03/23/2021, $53.62, 347126, $53.695, $55.66, $53.12
03/22/2021, $55.83, 335360, $57.69, $57.69, $55.43
03/19/2021, $57.97, 805145, $57.69, $58.945, $56.67
03/18/2021, $58.62, 278884, $58.78, $60.675, $58.136
03/17/2021, $58.98, 394270, $57.36, $59.0579, $57.23
03/16/2021, $57.89, 385788, $60.86, $60.86, $57.06
03/15/2021, $60.86, 444481, $60.15, $61.155, $59.32
03/12/2021, $60, 432623, $58, $60.37, $57.56
03/11/2021, $57.69, 440734, $57.54, $59.1, $56.6159
03/10/2021, $57.47, 478768, $58.05, $59.38, $57.41
03/09/2021, $58.08, 385365, $58.49, $59.07, $56.09
03/08/2021, $58.32, 436185, $56.42, $58.84, $55.65
03/05/2021, $55.33, 443298, $55.52, $55.52, $50.7807
03/04/2021, $55.03, 350655, $56.91, $57.02, $53.6466
03/03/2021, $56.35, 302235, $56.59, $57.645, $55.83
03/02/2021, $55.75, 228266, $56.04, $56.425, $55.45
03/01/2021, $56.62, 291551, $58.48, $58.7, $55.57
02/26/2021, $56.37, 315878, $55.19, $57.34, $54.94
02/25/2021, $55.79, 467240, $59.37, $59.99, $54.79
02/24/2021, $59.37, 544402, $59.92, $60.79, $58.6201
02/23/2021, $59.89, 726119, $57.38, $60.6, $54.83
02/22/2021, $56.05, 604994, $55, $57.63, $53.82
02/19/2021, $53.73, 446238, $52.45, $54.07, $52.01
02/18/2021, $51.74, 366809, $49.8, $51.76, $49.4131
02/17/2021, $50.6, 601078, $47.7, $50.72, $47.52
02/16/2021, $47.92, 434449, $45.85, $47.99, $45.72
02/12/2021, $45.38, 226519, $44.39, $45.48, $44.09
02/11/2021, $44.87, 287621, $45.27, $45.36, $43.72
02/10/2021, $45.25, 407975, $45.56, $45.9, $44.91
02/09/2021, $45.01, 264737, $45.15, $45.6899, $44.64
02/08/2021, $45.52, 448952, $43.4, $46.1825, $43.03
02/05/2021, $43.04, 720177, $43.42, $43.711, $40.5837
02/04/2021, $44.36, 688627, $41.89, $45.13, $41.89
02/03/2021, $41.7, 375825, $39.85, $42.08, $39.85
02/02/2021, $39.67, 261246, $40.12, $40.73, $39.51
02/01/2021, $39.5, 277506, $39.68, $39.93, $38.72
01/29/2021, $38.99, 324188, $40.85, $41.2, $38.62
01/28/2021, $40.99, 565291, $40.1, $41.37, $39.945
01/27/2021, $39.43, 329181, $39.92, $40.12, $38.73
01/26/2021, $40.23, 256079, $41.69, $41.95, $40.22
01/25/2021, $41.25, 251043, $41.5, $41.699, $40.18
01/22/2021, $42.48, 328167, $41.19, $42.62, $40.52
01/21/2021, $41.96, 371264, $42.74, $42.74, $41.1
01/20/2021, $42.98, 277704, $42.87, $43.2611, $42.475
01/19/2021, $42.33, 242474, $43, $43.13, $41.67
01/15/2021, $41.77, 240184, $42.7, $42.96, $41.52
01/14/2021, $43.45, 393588, $42.9, $44.65, $42.46
01/13/2021, $42.14, 268550, $41.48, $42.32, $40.68
01/12/2021, $41.8, 208238, $40.72, $42.105, $40.4705
01/11/2021, $40.54, 188367, $40.44, $40.9799, $39.93
01/08/2021, $41.11, 439801, $41.75, $41.9, $40.56
01/07/2021, $41.4, 274581, $41.47, $42.195, $40.83
01/06/2021, $41.29, 509413, $39.31, $42.1, $39.31
01/05/2021, $38.86, 306621, $37.87, $39.48, $37.61
01/04/2021, $37.94, 420488, $40.11, $40.59, $37.337
12/31/2020, $40.31, 171516, $40.25, $40.94, $39.64
12/30/2020, $40.51, 210616, $39.88, $40.73, $39.8
12/29/2020, $39.92, 273535, $40.98, $40.98, $39.85
12/28/2020, $40.58, 262045, $41.41, $41.7967, $40.525
12/24/2020, $40.41, 119796, $41.03, $41.21, $39.57
12/23/2020, $40.61, 198142, $40.07, $41.265, $40.07
12/22/2020, $39.6, 281681, $40.29, $40.36, $39.03
12/21/2020, $39.83, 478970, $39.197, $40.22, $38.26
12/18/2020, $41.03, 723501, $42.39, $43, $41.01
12/17/2020, $42.85, 325326, $43.32, $43.37, $41.6
12/16/2020, $43.245, 489106, $43.85, $44.12, $42.75
12/15/2020, $44.16, 276439, $42.865, $44.31, $42.4601
12/14/2020, $42.89, 354976, $43.718, $44.14, $42.035
12/11/2020, $42.97, 1371573, $43.53, $43.87, $42.18
12/10/2020, $44.57, 192963, $43.1, $44.7, $42.8746
12/09/2020, $43.85, 320387, $44.52, $44.8799, $43.03
12/08/2020, $43.65, 545501, $43.26, $44.23, $43.075
12/07/2020, $43.65, 409044, $44.67, $45.145, $43.57
12/04/2020, $44.97, 628663, $45.33, $46.2615, $44.23
12/03/2020, $45.09, 530382, $44.97, $46.8, $44.76
12/02/2020, $44.46, 394360, $43, $44.77, $42.41
12/01/2020, $43.31, 453867, $44.06, $44.06, $42.93
11/30/2020, $42.93, 694276, $43.381, $43.68, $40.965
11/27/2020, $43.29, 234293, $43.76, $44.266, $42.8725
11/25/2020, $43.07, 457373, $42.32, $43.17, $41.5001
11/24/2020, $42.71, 798734, $40.77, $42.77, $40.5
11/23/2020, $39.49, 538206, $38.8, $39.71, $38.15
11/20/2020, $37.94, 456774, $38.68, $39.2, $37.43
11/19/2020, $39.16, 416965, $38.36, $39.38, $38.12
11/18/2020, $38.55, 827142, $38.4, $40.4, $38.01
11/17/2020, $37.65, 525262, $35.93, $38.3, $35.47
11/16/2020, $36.94, 563485, $37.84, $38.9, $36.395
11/13/2020, $35.6, 447844, $34.885, $35.845, $33.97
11/12/2020, $33.08, 532709, $33.53, $34.34, $32.51
11/11/2020, $34.38, 751795, $36.31, $36.37, $33.52
11/10/2020, $36.41, 716498, $35.93, $36.98, $35.206
11/09/2020, $36.33, 973349, $35.41, $39.3, $35.1
11/06/2020, $31.05, 427074, $31.02, $31.27, $30.65
11/05/2020, $31.29, 527998, $29.03, $31.43, $28.95
11/04/2020, $28.76, 297700, $29.14, $29.65, $28.1878
11/03/2020, $29.455, 316187, $29.42, $29.92, $28.87
11/02/2020, $28.76, 311268, $29.32, $29.48, $28.38
10/30/2020, $29.03, 482478, $29.5, $29.82, $27.91
10/29/2020, $29.16, 450345, $28.58, $29.35, $27.64
10/28/2020, $27.8, 437556, $28.901, $28.955, $27.441
10/27/2020, $29.72, 479465, $31.29, $32.11, $29.564
10/26/2020, $31.52, 408776, $32.87, $32.87, $30.895
10/23/2020, $33.74, 378812, $32.93, $34.09, $32.7
10/22/2020, $32.89, 528946, $30.62, $32.96, $30.62
10/21/2020, $30.47, 328470, $30.9, $31.31, $30.35
10/20/2020, $31.05, 349269, $31.36, $31.52, $30.93
10/19/2020, $30.65, 381533, $30.55, $31.62, $30.2
10/16/2020, $30.49, 209811, $30.47, $30.84, $30.21
10/15/2020, $30.61, 243819, $30.21, $30.7, $29.785
10/14/2020, $30.65, 221127, $30.49, $31.35, $30.49
10/13/2020, $30.34, 519687, $30.35, $30.64, $29.81
10/12/2020, $31.1, 273412, $31.68, $31.77, $31.04
10/09/2020, $31.79, 301168, $31.74, $32.17, $30.88
10/08/2020, $31.5, 443301, $32.32, $32.4599, $30.87
