Date, Close/Last, Volume, Open, High, Low
01/20/2021, $62.08, 1671466, $61.01, $62.93, $60.08
01/19/2021, $61.11, 1240377, $62.11, $62.67, $60.98
01/15/2021, $62.16, 1574355, $61.77, $62.44, $60.88
01/14/2021, $62.08, 1676647, $62.81, $63.86, $61.75
01/13/2021, $62.12, 1152619, $60.61, $62.35, $60.61
01/12/2021, $60.61, 851774, $59.96, $60.96, $59.425
01/11/2021, $59.74, 1233701, $58.92, $60.28, $58.73
01/08/2021, $60.24, 1718224, $59.48, $60.7, $58.9
01/07/2021, $59.5, 2005653, $59.58, $59.7655, $58.1
01/06/2021, $59.19, 1756542, $57.37, $59.31, $56.6
01/05/2021, $56.48, 1373081, $57.38, $58.5, $56.33
01/04/2021, $57.28, 1961487, $60, $60.74, $56.6
12/31/2020, $59.58, 1012931, $57.74, $59.71, $57.17
12/30/2020, $58.04, 797937, $57.71, $59.27, $57.71
12/29/2020, $57.7, 1288443, $58.66, $59.99, $57.346
12/28/2020, $58.33, 1769389, $56.77, $58.47, $56.57
12/24/2020, $56.74, 517483, $57.08, $57.37, $56.1601
12/23/2020, $56.71, 1001968, $56.56, $57.34, $56.13
12/22/2020, $55.95, 1626442, $56.2, $56.49, $55.55
12/21/2020, $55.76, 2177639, $56.56, $56.94, $55.41
12/18/2020, $58.11, 2295497, $60.04, $60.185, $57.77
12/17/2020, $60.17, 1068754, $60.43, $60.89, $59.11
12/16/2020, $59.93, 1141656, $61, $62, $59.85
12/15/2020, $60.85, 2667319, $58.87, $61.22, $57.8
12/14/2020, $58.35, 1619699, $60.77, $61.58, $58.05
12/11/2020, $61.05, 1138067, $61.36, $62.44, $60.12
12/10/2020, $61.95, 1133486, $60.84, $62.82, $60.81
12/09/2020, $62.04, 1185332, $62.01, $62.59, $60.95
12/08/2020, $61.7, 1468882, $62.11, $63.4499, $61.54
12/07/2020, $62.43, 1310669, $64.79, $65.59, $62.02
12/04/2020, $63.9, 1296150, $66.07, $66.3, $63.33
12/03/2020, $62.19, 1039273, $60.3, $62.69, $60.11
12/02/2020, $59.95, 883774, $58.41, $60.285, $57.53
12/01/2020, $58.58, 1092536, $59.13, $60.535, $57.96
11/30/2020, $57.9, 1855864, $60.2, $61.02, $57.71
11/27/2020, $60.55, 478710, $60.79, $61.27, $59.5
11/25/2020, $60.68, 1340512, $61.69, $61.99, $60.01
11/24/2020, $62.08, 2420701, $62.3, $65.53, $61.63
11/23/2020, $60.65, 2104478, $59.57, $61.41, $58.49
11/20/2020, $58.83, 1235576, $57.64, $58.985, $57.37
11/19/2020, $57.95, 909072, $57.3, $59.15, $56.53
11/18/2020, $57.22, 1085213, $60.53, $61.16, $57.2
11/17/2020, $60.26, 2354775, $56.18, $61.14, $55.36
11/16/2020, $56.7, 2004758, $59.09, $59.8, $55.23
11/13/2020, $54.81, 1829395, $53.01, $55.49, $52.78
11/12/2020, $52.13, 2077781, $53.99, $55.58, $51.62
11/11/2020, $55.65, 2107663, $56.75, $56.89, $54.04
11/10/2020, $57.13, 4242726, $59.49, $62.33, $55.12
11/09/2020, $60, 8430760, $53.46, $61.2, $52.6
11/06/2020, $43.82, 1656155, $45.45, $46.24, $42.94
11/05/2020, $45.39, 998370, $45.34, $46.5, $45.18
11/04/2020, $45.03, 1962179, $46.74, $47.17, $44.92
