Date, Close/Last, Volume, Open, High, Low
01/20/2021, $72.25, 949603, $72.62, $73.7, $71.7471
01/19/2021, $71.66, 1062549, $71.57, $72.98, $69.91
01/15/2021, $70.27, 901378, $70.99, $72.34, $69.3
01/14/2021, $70.31, 1280891, $69.03, $71.13, $69.03
01/13/2021, $68.88, 821255, $69.84, $69.84, $67.59
01/12/2021, $68.94, 759781, $68.6, $69.87, $68
01/11/2021, $68.6, 746388, $66.45, $69.52, $65.66
01/08/2021, $68.1, 971324, $67.5, $69.79, $67.14
01/07/2021, $66.56, 1199621, $64.5, $66.67, $64.28
01/06/2021, $64.28, 1855764, $66.23, $66.375, $63.76
01/05/2021, $67.68, 1116877, $67.98, $68.5, $67.07
01/04/2021, $68.12, 1390246, $69.78, $69.97, $67.09
12/31/2020, $69.29, 695741, $70.71, $71, $69.11
12/30/2020, $70.38, 767505, $70.73, $71.13, $69.82
12/29/2020, $69.28, 848960, $70.66, $71.67, $68.22
12/28/2020, $70.45, 657617, $73.21, $73.305, $70.3
12/24/2020, $72.5, 361666, $72.33, $73.93, $72.15
12/23/2020, $72.33, 704104, $73.5, $73.77, $71.79
12/22/2020, $73.86, 914621, $71.86, $74.1, $71.765
12/21/2020, $71.97, 873241, $71.99, $72.84, $71.09
12/18/2020, $72.25, 2065480, $73.91, $74.1779, $71.32
12/17/2020, $73.4, 821925, $73.36, $74.22, $72.6
12/16/2020, $72.5, 921919, $71.34, $73.04, $70.99
12/15/2020, $71.14, 668194, $70.35, $71.88, $69.88
12/14/2020, $70.14, 1038728, $71.39, $71.67, $69.57
12/11/2020, $71.89, 1497476, $68.96, $72.25, $68.55
12/10/2020, $69.07, 2464632, $65.49, $69.96, $65.002
12/09/2020, $65.72, 2428524, $69.22, $69.62, $64.76
12/08/2020, $69.32, 6714207, $73.56, $75.4899, $68.3
12/07/2020, $62.47, 3488377, $61.79, $63.94, $61.79
12/04/2020, $61.56, 2099358, $60.6, $62.11, $60.01
12/03/2020, $60.42, 1670197, $56.95, $60.72, $56.745
12/02/2020, $56.1, 727414, $56.28, $56.31, $55.15
12/01/2020, $56.68, 740162, $58.03, $58.15, $56.39
11/30/2020, $58.03, 938716, $57.39, $58.3, $56.03
11/27/2020, $57.05, 1047766, $56.57, $58.2409, $56.22
11/25/2020, $55.4, 1609515, $51.96, $55.63, $51.82
11/24/2020, $51.3, 1411485, $52.5, $52.64, $50.41
11/23/2020, $52.7, 655014, $53.86, $54.47, $52.245
11/20/2020, $53.82, 616206, $53.28, $54.57, $52.57
11/19/2020, $53.05, 627393, $51.37, $53.55, $51.37
11/18/2020, $51.42, 856429, $51.41, $52.24, $50.53
11/17/2020, $50.74, 1512710, $51.28, $52.02, $50.285
11/16/2020, $51.06, 1146677, $51.74, $51.92, $50.36
11/13/2020, $52.2, 540960, $54.45, $54.45, $51.65
11/12/2020, $53.69, 512100, $53.81, $54.68, $53.28
11/11/2020, $53.3, 1339340, $52.94, $54.08, $52.56
11/10/2020, $51.79, 1995137, $51.48, $53.43, $49.5901
11/09/2020, $52.59, 1976234, $57.17, $57.75, $51.31
11/06/2020, $57.76, 753431, $56.58, $58.47, $55.46
11/05/2020, $56.56, 1085804, $56.38, $57.065, $55.55
11/04/2020, $54.79, 1231612, $52.48, $55.1, $52.01
11/03/2020, $50.67, 750983, $49.87, $51.3, $49.45
11/02/2020, $49.39, 1174379, $50, $51.09, $48.62
10/30/2020, $49.85, 1764506, $50.63, $51.32, $48.82
10/29/2020, $50.83, 2028964, $52.83, $52.85, $50.83
10/28/2020, $52.46, 1599078, $56.28, $56.41, $52.43
10/27/2020, $56.73, 986400, $55.42, $56.88, $55.42
10/26/2020, $54.78, 1179915, $54.97, $56.94, $53.43
10/23/2020, $56.09, 606274, $55.69, $56.3, $55.21
10/22/2020, $55.91, 1189937, $56.72, $57.14, $54.9
10/21/2020, $56.31, 1470439, $57, $57.75, $56.09
10/20/2020, $57.15, 1138839, $57.72, $58.48, $56.83
10/19/2020, $57.65, 1392371, $56.5, $58.84, $56.46
10/16/2020, $56.16, 1292940, $55.8, $56.34, $54.66
10/15/2020, $55.42, 943681, $52.52, $55.58, $52.52
10/14/2020, $54.51, 1053696, $55.9, $55.97, $54.07
10/13/2020, $55.5, 1519421, $54.94, $55.63, $54.27
10/12/2020, $54.6, 1407305, $55.41, $55.67, $54.53
10/09/2020, $54.28, 1164709, $53.07, $55.14, $52.6
10/08/2020, $52.79, 791450, $52.35, $52.92, $51.09
10/07/2020, $51.51, 1140181, $50.99, $52.07, $50.43
10/06/2020, $50.35, 1511415, $49.55, $51.49, $49.5
10/05/2020, $49.68, 1224846, $49.37, $50, $48.9
10/02/2020, $48.93, 680657, $48.56, $49.74, $48.04
10/01/2020, $49.61, 852200, $50.1, $50.26, $49.35
09/30/2020, $49.42, 1373547, $49.76, $50.2, $49
09/29/2020, $50.26, 1250746, $50.12, $50.64, $48.97
09/28/2020, $50.23, 929932, $50, $50.48, $49.37
09/25/2020, $49.77, 1241417, $47.57, $49.99, $47.55
09/24/2020, $47.52, 1424444, $47.44, $48.27, $46.33
09/23/2020, $47.91, 1142904, $48.09, $49.1, $47.35
09/22/2020, $48.29, 953828, $48.38, $48.675, $46.665
09/21/2020, $47.91, 1690811, $45.13, $48.03, $45
09/18/2020, $45.7, 3228264, $44.73, $45.92, $43.64
09/17/2020, $44.39, 2430314, $45.28, $45.56, $44.18
09/16/2020, $46.44, 1797468, $48.05, $48.055, $46.14
09/15/2020, $47.84, 1320597, $47.45, $48.46, $47.31
09/14/2020, $46.93, 1049569, $47.17, $47.905, $46.05
09/11/2020, $46.32, 1308587, $47.23, $47.3772, $44.95
09/10/2020, $46.39, 1211284, $48.5, $49.535, $46.28
09/09/2020, $48.15, 1791827, $49.19, $49.49, $47.3684
09/08/2020, $48.01, 1751046, $46.68, $49.61, $46.25
09/04/2020, $48.54, 3020887, $49.47, $50.6699, $46.05
09/03/2020, $50.26, 6227180, $54.94, $55.22, $49.145
09/02/2020, $59.64, 5019648, $59.5, $60.7999, $57.08
09/01/2020, $59.42, 3290348, $54.93, $59.46, $54.68
08/31/2020, $54.53, 2266733, $53.88, $55.17, $53.06
