Date, Close/Last, Volume, Open, High, Low
03/24/2021, $65.77, 622474, $69.45, $69.845, $65.61
03/23/2021, $68.27, 357500, $72.16, $73.18, $67.92
03/22/2021, $72.61, 391537, $73.99, $73.99, $72.36
03/19/2021, $72.62, 1129960, $69.09, $73.49, $69.09
03/18/2021, $68.88, 621103, $73.33, $75.37, $68.72
03/17/2021, $73.09, 378438, $71.05, $73.09, $69.26
03/16/2021, $72.27, 335621, $71.58, $73.94, $71.06
03/15/2021, $70.57, 384320, $69.07, $70.649, $68.16
03/12/2021, $68.97, 230635, $68.62, $69.25, $67.26
03/11/2021, $69.43, 232992, $67.59, $69.53, $67.01
03/10/2021, $65.81, 349081, $69.2, $69.79, $65.74
03/09/2021, $68.14, 657551, $68.58, $69.25, $66.45
03/08/2021, $66.18, 376479, $67.99, $69.125, $66.03
03/05/2021, $68, 452539, $67.48, $68.505, $64.36
03/04/2021, $65.64, 429742, $69.95, $70.36, $64.67
03/03/2021, $70.3, 358630, $72.16, $74.57, $70.3
03/02/2021, $72.05, 250534, $76.19, $76.19, $72
03/01/2021, $76.38, 243262, $75.36, $76.38, $73.86
02/26/2021, $73.31, 267913, $73.32, $74.86, $71.16
02/25/2021, $72.11, 315911, $77.68, $78.22, $71.845
02/24/2021, $78.52, 165406, $75.63, $78.6, $74.6417
02/23/2021, $76.33, 252516, $75.27, $77.03, $73.51
02/22/2021, $76.71, 312689, $79.08, $79.545, $75.65
02/19/2021, $80.03, 272083, $77.2, $80.12, $77.06
02/18/2021, $76.52, 165947, $76.58, $76.735, $75.19
02/17/2021, $77.45, 301564, $77.71, $78.39, $75.34
02/16/2021, $79, 331080, $79.77, $80, $78.56
02/12/2021, $78.89, 275935, $76.5, $79, $75.86
02/11/2021, $76.75, 265283, $75.56, $76.86, $74.43
02/10/2021, $74.7, 241966, $75.86, $75.92, $73.9
02/09/2021, $74.93, 156517, $74.23, $75.1, $73.94
02/08/2021, $74.27, 257197, $72.43, $74.35, $72.41
02/05/2021, $71.94, 237188, $72.71, $73.37, $71.51
02/04/2021, $72.35, 267079, $71.22, $72.5, $70.49
02/03/2021, $71.33, 734827, $75.45, $75.75, $70.3
02/02/2021, $75.71, 291252, $75.67, $76.12, $74.66
02/01/2021, $74.4, 252041, $72.1, $74.89, $71.51
01/29/2021, $70.95, 491005, $75.03, $75.34, $70.93
01/28/2021, $75.07, 334456, $75.78, $75.91, $72.53
01/27/2021, $73.93, 528582, $75.22, $76.44, $71.615
01/26/2021, $77.84, 318495, $82.32, $82.32, $77.42
01/25/2021, $82.15, 402516, $83.11, $83.94, $80.42
01/22/2021, $82.82, 364066, $81.2, $83, $81.2
01/21/2021, $82.23, 507462, $82.06, $83.265, $81.1
01/20/2021, $81.52, 380987, $81.12, $81.88, $80.66
01/19/2021, $80.12, 324580, $77.94, $80.43, $77.94
01/15/2021, $77.32, 315145, $77.54, $78.11, $76.34
01/14/2021, $78, 408611, $74.21, $78.6, $74.02
01/13/2021, $73.89, 661530, $74.95, $75.67, $73.54
01/12/2021, $75.09, 397208, $74.83, $76.25, $73.87
01/11/2021, $74.57, 327806, $73.93, $75.7, $73.515
01/08/2021, $74.29, 581406, $75.405, $76.35, $73.55
01/07/2021, $74.65, 379373, $73.84, $75.24, $73.7
01/06/2021, $73.52, 679272, $72.46, $74.59, $72.36
01/05/2021, $72.29, 926442, $70.72, $72.63, $70.5921
01/04/2021, $71.18, 320849, $72.94, $74.325, $70.2
12/31/2020, $72.09, 179095, $72.39, $72.44, $71.35
12/30/2020, $71.99, 120651, $71.07, $72.3, $71.07
12/29/2020, $70.53, 163486, $71.95, $72.09, $70.04
12/28/2020, $71.91, 164042, $72.66, $73.02, $71.79
12/24/2020, $71.72, 112580, $71.15, $71.82, $70.87
12/23/2020, $71.15, 185219, $71.73, $72.12, $71.05
12/22/2020, $71.7, 341620, $71.36, $72.37, $70.93
12/21/2020, $71.34, 274447, $70.32, $71.52, $70.01
12/18/2020, $71.67, 1122533, $72, $73.91, $71.3319
12/17/2020, $72.02, 343180, $71.17, $72.3, $70.4
12/16/2020, $71.15, 341612, $73.17, $73.49, $70.9
12/15/2020, $73.33, 295108, $72.03, $73.4, $71.87
12/14/2020, $71.07, 386234, $70.42, $71.93, $70.42
12/11/2020, $69.9, 231706, $68.84, $70.35, $68.0476
12/10/2020, $69.66, 263417, $69.03, $70.25, $67.97
12/09/2020, $69.48, 478060, $71.43, $72.16, $69.26
12/08/2020, $71.83, 505458, $70.32, $71.92, $70.25
12/07/2020, $71.03, 469451, $70.73, $71.32, $70
12/04/2020, $72.2, 381019, $70.24, $72.27, $69.28
12/03/2020, $69.4, 773585, $68.09, $69.96, $66.37
12/02/2020, $67.9, 405057, $68, $69.347, $67.42
12/01/2020, $67.94, 648255, $68.4, $68.7899, $67.3
11/30/2020, $67.47, 505727, $69.63, $69.995, $67.15
11/27/2020, $68.94, 117737, $68.15, $69.5, $68.15
11/25/2020, $67.94, 417169, $68.25, $68.775, $67.48
11/24/2020, $68.73, 441905, $69.22, $69.31, $67.69
11/23/2020, $68.63, 355985, $69.66, $69.8, $68.24
11/20/2020, $68.94, 417334, $67.31, $70.075, $67.31
11/19/2020, $67.92, 374725, $66.01, $68.06, $66.01
11/18/2020, $66.52, 400970, $67.76, $68.02, $65.94
11/17/2020, $67.76, 348922, $67.06, $68.1725, $66.05
11/16/2020, $67.72, 380601, $66.06, $67.75, $65.71
11/13/2020, $65.35, 197515, $64.8, $65.65, $64.23
11/12/2020, $63.65, 378604, $65.04, $65.62, $63.32
11/11/2020, $65.04, 247300, $64.6, $65.23, $64
11/10/2020, $63.8, 479908, $64.59, $65.55, $63.35
11/09/2020, $64.96, 366705, $66.13, $68.13, $64.915
11/06/2020, $63.16, 218918, $62, $63.37, $61.22
11/05/2020, $61.64, 459428, $59.51, $61.72, $59.51
11/04/2020, $58.84, 363002, $56.73, $59.08, $55.98
11/03/2020, $56.4, 401471, $54.8, $56.62, $54.5
11/02/2020, $54.06, 354578, $55.76, $55.965, $53.7
10/30/2020, $54.89, 323398, $54.68, $55.29, $53.895
10/29/2020, $55.23, 606419, $52.36, $55.43, $52.23
10/28/2020, $52.455, 353803, $54.45, $54.64, $52.4
10/27/2020, $55.47, 216748, $56.13, $56.3225, $54.98
