Date, Close/Last, Volume, Open, High, Low
01/20/2021, $1.98, 234302, $1.99, $2.04, $1.94
01/19/2021, $2.04, 251493, $1.93, $2.05, $1.92
01/15/2021, $1.92, 162631, $1.93, $1.9839, $1.87
01/14/2021, $1.99, 191810, $1.9, $2.02, $1.9
01/13/2021, $1.98, 229597, $2.1, $2.1, $1.91
01/12/2021, $2.025, 340492, $1.93, $2.05, $1.9
01/11/2021, $1.87, 217648, $1.87, $1.92, $1.82
01/08/2021, $1.88, 140271, $1.93, $1.93, $1.84
01/07/2021, $1.84, 166907, $1.85, $1.94, $1.83
01/06/2021, $1.85, 319900, $1.89, $1.96, $1.79
01/05/2021, $1.83, 433832, $1.75, $1.91, $1.74
01/04/2021, $1.78, 113272, $1.75, $1.78, $1.7004
12/31/2020, $1.74, 144595, $1.75, $1.785, $1.7085
12/30/2020, $1.76, 401384, $1.8, $1.86, $1.67
12/29/2020, $1.81, 193505, $1.82, $1.85, $1.77
12/28/2020, $1.83, 192028, $1.88, $1.9, $1.79
12/24/2020, $1.87, 141149, $1.84, $1.924, $1.83
12/23/2020, $1.84, 228325, $1.84, $1.9, $1.81
12/22/2020, $1.82, 209603, $1.88, $1.8988, $1.75
12/21/2020, $1.82, 301334, $1.88, $1.94, $1.82
12/18/2020, $1.85, 272630, $1.93, $1.98, $1.85
12/17/2020, $1.96, 277534, $1.85, $1.99, $1.8413
12/16/2020, $1.86, 128828, $1.9, $1.9, $1.8111
12/15/2020, $1.89, 122672, $1.94, $1.97, $1.86
12/14/2020, $1.95, 103126, $2, $2.05, $1.91
12/11/2020, $2.01, 159244, $2.04, $2.07, $1.95
12/10/2020, $2.02, 224006, $1.9, $2.11, $1.9
12/09/2020, $1.89, 199839, $2.02, $2.1399, $1.85
12/08/2020, $1.99, 712683, $1.88, $2.02, $1.84
12/07/2020, $1.89, 108727, $1.94, $1.9624, $1.88
12/04/2020, $1.96, 152667, $1.9, $1.9859, $1.87
12/03/2020, $1.89, 230266, $1.78, $1.95, $1.77
12/02/2020, $1.85, 317198, $1.85, $1.9587, $1.81
12/01/2020, $2, 216279, $2.04, $2.08, $1.97
11/30/2020, $1.95, 148664, $2.06, $2.1, $1.9357
11/27/2020, $2.104, 112262, $2.2, $2.2825, $2.06
11/25/2020, $2.24, 173725, $2.43, $2.43, $2.17
11/24/2020, $2.34, 561897, $2.26, $2.53, $2.149
11/23/2020, $2.05, 144990, $1.94, $2.1, $1.94
11/20/2020, $1.96, 81290, $1.92, $1.99, $1.88
11/19/2020, $1.96, 40603, $1.89, $1.97, $1.86
11/18/2020, $1.93, 72894, $1.98, $2.01, $1.9131
11/17/2020, $1.97, 95801, $1.87, $2.0433, $1.85
11/16/2020, $1.92, 133527, $1.86, $1.95, $1.78
11/13/2020, $1.8, 88112, $1.8, $1.85, $1.7663
11/12/2020, $1.76, 143224, $1.87, $1.87, $1.73
11/11/2020, $1.8, 192038, $1.93, $1.9446, $1.7435
11/10/2020, $1.94, 191725, $1.94, $2.04, $1.88
11/09/2020, $2.13, 141610, $2.1, $2.18, $1.95
11/06/2020, $1.86, 27802, $1.9, $1.91, $1.85
11/05/2020, $1.92, 59049, $1.9, $1.98, $1.88
11/04/2020, $1.9, 63516, $1.96, $1.9813, $1.9
11/03/2020, $1.97, 38598, $1.98, $1.9902, $1.9
11/02/2020, $1.9, 56192, $2.03, $2.03, $1.86
10/30/2020, $1.86, 91164, $1.944, $2.075, $1.84
10/29/2020, $1.89, 50647, $1.89, $1.93, $1.85
10/28/2020, $1.91, 95588, $1.99, $2.0118, $1.89
10/27/2020, $2.04, 35734, $2.04, $2.09, $2.01
10/26/2020, $2.04, 81417, $2.1, $2.14, $2.01
10/23/2020, $2.12, 25926, $2.12, $2.16, $2.1
10/22/2020, $2.08, 68572, $2.12, $2.2012, $2.06
10/21/2020, $2.1, 150736, $2.11, $2.3, $2.0971
10/20/2020, $2.1, 43435, $2.13, $2.1913, $2.1
10/19/2020, $2.15, 50537, $2.2, $2.2, $2.1
10/16/2020, $2.23, 62926, $2.22, $2.3491, $2.22
10/15/2020, $2.25, 85430, $2.25, $2.31, $2.25
10/14/2020, $2.285, 103999, $2.36, $2.44, $2.26
10/13/2020, $2.3675, 67915, $2.42, $2.455, $2.33
10/12/2020, $2.4, 571026, $2.21, $2.44, $2.12
10/09/2020, $2.2, 365994, $2.17, $2.28, $2.1
10/08/2020, $2.17, 564155, $2.04, $2.3, $1.98
10/07/2020, $2.04, 136624, $2.05, $2.09, $1.98
