Date, Close/Last, Volume, Open, High, Low
01/20/2021, $0.2445, 51740, $0.3, $0.3, $0.22
01/19/2021, $0.2744, 141511, $0.2101, $0.29, $0.2101
01/15/2021, $0.205, 5705, $0.21, $0.21, $0.187
01/14/2021, $0.2099, 1192, $0.186, $0.2099, $0.186
01/13/2021, $0.186, 4032, $0.175, $0.186, $0.175
01/12/2021, $0.195, 36514, $0.23, $0.23, $0.18
01/11/2021, $0.185, 32293, $0.19, $0.19, $0.17
01/08/2021, $0.19, 111618, $0.2301, $0.2301, $0.1721
01/07/2021, $0.235, 72479, $0.2, $0.29, $0.1801
01/06/2021, $0.19, 11127, $0.205, $0.2117, $0.171
01/05/2021, $0.2117, 11889, $0.23, $0.23, $0.19
01/04/2021, $0.24, 4506, $0.2, $0.24, $0.2
12/31/2020, $0.235, 7820, $0.175, $0.24, $0.175
12/30/2020, $0.22, 11824, $0.165, $0.22, $0.165
12/29/2020, $0.2, 30973, $0.25, $0.25, $0.163
12/28/2020, $0.25, 20857, $0.24, $0.26, $0.21
12/24/2020, $0.2018, 23290, $0.22, $0.319, $0.199
12/23/2020, $0.2147, 27819, $0.26, $0.26, $0.2
12/22/2020, $0.27, 223700, $0.299, $0.299, $0.19
12/21/2020, $0.7596, 5045, $0.81, $0.82, $0.7067
12/18/2020, $0.8, 28899, $0.8005, $0.87, $0.5301
12/17/2020, $0.87, 23337, $0.59, $0.95, $0.59
12/16/2020, $0.78, 113392, $0.72, $1.12, $0.6425
12/15/2020, $0.699, 10100, $0.72, $0.72, $0.699
12/14/2020, $0.6506, 1002, $0.7, $0.7, $0.65
12/11/2020, $0.68, 1252, $0.7999, $0.7999, $0.68
12/10/2020, $0.74, 4230, $0.75, $0.8, $0.7
12/09/2020, $0.74, N/A, $0.74, $0.74, $0.74
12/08/2020, $0.74, 250, $0.74, $0.74, $0.74
12/07/2020, $0.7366, 355, $0.75, $0.75, $0.7365
12/04/2020, $0.73, 3134, $0.73, $0.82, $0.655
12/03/2020, $0.6495, N/A, $0.6495, $0.6495, $0.6495
12/02/2020, $0.6495, 1950, $0.38, $0.75, $0.3601
12/01/2020, $0.66, 41075, $0.74, $0.77, $0.6375
11/30/2020, $0.75, 13349, $0.7, $0.75, $0.65
11/27/2020, $0.7, N/A, $0.7, $0.7, $0.7
11/25/2020, $0.7, 5800, $0.625, $0.7, $0.625
11/24/2020, $0.69, 513, $0.65, $0.69, $0.65
11/23/2020, $0.65, 48502, $0.5301, $0.65, $0.5
11/20/2020, $0.4963, 8634, $0.65, $0.65, $0.403
11/19/2020, $0.645, 12588, $0.65, $0.65, $0.5499
11/18/2020, $0.5, 27868, $0.5, $0.5005, $0.4798
11/17/2020, $0.4798, 14555, $0.4, $0.4977, $0.375
11/16/2020, $0.43, 12195, $0.45, $0.45, $0.35
11/13/2020, $0.53, N/A, $0.53, $0.53, $0.53
11/12/2020, $0.53, 3353, $0.6, $0.6, $0.53
11/11/2020, $0.5499, 105, $0.5499, $0.5499, $0.5499
11/10/2020, $0.5499, N/A, $0.5499, $0.5499, $0.5499
11/09/2020, $0.5499, 400, $0.32, $0.5499, $0.32
11/06/2020, $0.5599, 205, $0.5599, $0.5599, $0.5599
11/05/2020, $0.5699, N/A, $0.5699, $0.5699, $0.5699
11/04/2020, $0.5699, 105, $0.5699, $0.5699, $0.5699
11/03/2020, $0.62, N/A, $0.62, $0.62, $0.62
11/02/2020, $0.62, N/A, $0.62, $0.62, $0.62
10/30/2020, $0.62, 418, $0.5999, $0.62, $0.5999
10/29/2020, $0.62, N/A, $0.62, $0.62, $0.62
10/28/2020, $0.62, 169, $0.62, $0.62, $0.62
10/27/2020, $0.5499, N/A, $0.5499, $0.5499, $0.5499
10/26/2020, $0.5499, 300, $0.59, $0.59, $0.4914
10/23/2020, $0.55, 27520, $0.5499, $0.595, $0.5
10/22/2020, $0.5, 2947, $0.4002, $0.5393, $0.33
10/21/2020, $0.58, N/A, $0.58, $0.58, $0.58
10/20/2020, $0.58, N/A, $0.58, $0.58, $0.58
10/19/2020, $0.58, N/A, $0.58, $0.58, $0.58
10/16/2020, $0.58, N/A, $0.58, $0.58, $0.58
10/15/2020, $0.58, N/A, $0.58, $0.58, $0.58
10/14/2020, $0.58, 1211, $0.548, $0.58, $0.548
10/13/2020, $0.59, N/A, $0.59, $0.59, $0.59
10/12/2020, $0.59, N/A, $0.59, $0.59, $0.59
10/09/2020, $0.59, N/A, $0.59, $0.59, $0.59
10/08/2020, $0.59, N/A, $0.59, $0.59, $0.59
10/07/2020, $0.59, 450, $0.549, $0.59, $0.54
10/06/2020, $0.5797, 208, $0.5797, $0.5797, $0.5797
10/05/2020, $0.63, N/A, $0.63, $0.63, $0.63
10/02/2020, $0.63, 213, $0.4066, $0.63, $0.4066
10/01/2020, $0.59, 1905, $0.5997, $0.63, $0.5628
09/30/2020, $0.5982, 200, $0.6, $0.6, $0.5982
09/29/2020, $0.4979, 1722, $0.51, $0.51, $0.4
09/28/2020, $0.4454, 202, $0.3501, $0.4454, $0.3501
09/25/2020, $0.4454, 5346, $0.441, $0.61, $0.3109
09/24/2020, $0.63, 110, $0.63, $0.63, $0.63
09/23/2020, $0.6271, N/A, $0.6271, $0.6271, $0.6271
09/22/2020, $0.6271, 110, $0.6271, $0.6271, $0.6271
09/21/2020, $0.52, N/A, $0.52, $0.52, $0.52
09/18/2020, $0.52, 309, $0.52, $0.52, $0.52
09/17/2020, $0.4779, 8230, $0.4, $0.4995, $0.4
09/16/2020, $0.62, N/A, $0.62, $0.62, $0.62
09/15/2020, $0.62, 115, $0.62, $0.62, $0.62
09/14/2020, $0.62, N/A, $0.62, $0.62, $0.62
09/11/2020, $0.62, 428, $0.599, $0.62, $0.599
09/10/2020, $0.63, N/A, $0.63, $0.63, $0.63
09/09/2020, $0.63, 1288, $0.5, $0.63, $0.5
09/08/2020, $0.64, 2205, $0.405, $0.64, $0.405
09/04/2020, $0.65, N/A, $0.65, $0.65, $0.65
09/03/2020, $0.65, N/A, $0.65, $0.65, $0.65
09/02/2020, $0.65, 800, $0.65, $0.65, $0.4
09/01/2020, $0.6798, N/A, $0.6798, $0.6798, $0.6798
08/31/2020, $0.6798, N/A, $0.6798, $0.6798, $0.6798
08/28/2020, $0.6798, 160, $0.6798, $0.6798, $0.6798
08/27/2020, $0.69, 3840, $0.61, $0.7, $0.6099
08/26/2020, $0.6999, 6249, $0.6, $0.6999, $0.6
08/25/2020, $0.6999, 352, $0.7, $0.7, $0.6999
08/24/2020, $0.6697, 408, $0.7, $0.7, $0.6697
08/21/2020, $0.6699, N/A, $0.6699, $0.6699, $0.6699
08/20/2020, $0.6699, 5989, $0.58, $0.7, $0.5695
08/19/2020, $0.585, 15195, $0.59, $0.59, $0.3603
08/18/2020, $0.6, 49577, $0.46, $0.6, $0.44
08/17/2020, $0.65, 6200, $0.619, $0.65, $0.6
08/14/2020, $0.68, 1520, $0.42, $0.68, $0.36
08/13/2020, $0.6999, 2084, $0.73, $0.73, $0.6999
08/12/2020, $0.72, N/A, $0.72, $0.72, $0.72
08/11/2020, $0.72, 320, $0.72, $0.72, $0.72
08/10/2020, $0.7, 654, $0.3, $0.7, $0.3
08/07/2020, $0.7, 102, $0.7, $0.7, $0.7
08/06/2020, $0.7, N/A, $0.7, $0.7, $0.7
08/05/2020, $0.7, 3889, $0.65, $0.71, $0.6278
08/04/2020, $0.65, N/A, $0.65, $0.65, $0.65
08/03/2020, $0.65, 8929, $0.7, $0.74, $0.65
07/31/2020, $0.71, N/A, $0.71, $0.71, $0.71
07/30/2020, $0.71, 66036, $0.65, $0.7999, $0.5001
07/29/2020, $0.8699, 37609, $0.88, $0.88, $0.65
07/28/2020, $0.8, 36543, $0.9, $0.9, $0.63
07/27/2020, $0.67, 2000, $0.67, $0.67, $0.67
07/24/2020, $0.65, N/A, $0.65, $0.65, $0.65
07/23/2020, $0.65, 5110, $0.65, $0.65, $0.625
07/22/2020, $0.62, N/A, $0.62, $0.62, $0.62
07/21/2020, $0.62, 60277, $0.6, $0.7368, $0.6
07/20/2020, $0.66, 20607, $0.545, $0.67, $0.5399
07/17/2020, $0.53, 12700, $0.5401, $0.5401, $0.48
07/16/2020, $0.54, N/A, $0.54, $0.54, $0.54
07/15/2020, $0.54, 30048, $0.4901, $0.5418, $0.425
07/14/2020, $0.55, N/A, $0.55, $0.55, $0.55
07/13/2020, $0.55, 300, $0.3, $0.55, $0.3
07/10/2020, $0.5, N/A, $0.5, $0.5, $0.5
07/09/2020, $0.5, N/A, $0.5, $0.5, $0.5
07/08/2020, $0.5, 114, $0.5, $0.5, $0.5
07/07/2020, $0.5, N/A, $0.5, $0.5, $0.5
07/06/2020, $0.5, N/A, $0.5, $0.5, $0.5
07/02/2020, $0.5, N/A, $0.5, $0.5, $0.5
07/01/2020, $0.5, 3016, $0.51, $0.5101, $0.5
06/30/2020, $0.51, 38361, $0.51, $0.705, $0.483
06/29/2020, $0.51, 26848, $0.4499, $0.65, $0.4499
06/26/2020, $0.45, 7941, $0.44, $0.5001, $0.44
06/25/2020, $0.45, N/A, $0.45, $0.45, $0.45
06/24/2020, $0.45, 11612, $0.41, $0.45, $0.41
06/23/2020, $0.419, N/A, $0.419, $0.419, $0.419
06/22/2020, $0.419, 900, $0.31, $0.44, $0.31
06/19/2020, $0.4175, 1200, $0.3999, $0.419, $0.37
06/18/2020, $0.4299, N/A, $0.4299, $0.4299, $0.4299
06/17/2020, $0.4299, 10700, $0.31, $0.4299, $0.3001
06/16/2020, $0.47, 15400, $0.3901, $0.47, $0.3887
06/15/2020, $0.45, N/A, $0.45, $0.45, $0.45
06/12/2020, $0.45, 500, $0.3501, $0.45, $0.3501
06/11/2020, $0.42, 4596, $0.36, $0.52, $0.35
06/10/2020, $0.52, 848, $0.52, $0.52, $0.52
06/09/2020, $0.58, N/A, $0.58, $0.58, $0.58
06/08/2020, $0.58, 37751, $0.38, $0.58, $0.379
06/05/2020, $0.45, N/A, $0.45, $0.45, $0.45
06/04/2020, $0.45, 8840, $0.4, $0.45, $0.35
06/03/2020, $0.4, N/A, $0.4, $0.4, $0.4
06/02/2020, $0.4, 5200, $0.4, $0.4, $0.4
06/01/2020, $0.35, N/A, $0.35, $0.35, $0.35
05/29/2020, $0.35, 6897, $0.36, $0.36, $0.35
05/28/2020, $0.4199, N/A, $0.4199, $0.4199, $0.4199
05/27/2020, $0.4199, 200, $0.42, $0.42, $0.4199
05/26/2020, $0.4199, 1196, $0.42, $0.42, $0.4199
05/22/2020, $0.3999, 13846, $0.35, $0.42, $0.3
05/21/2020, $0.378, 4150, $0.42, $0.43, $0.35
05/20/2020, $0.3918, 4000, $0.39, $0.3918, $0.39
05/19/2020, $0.39, N/A, $0.39, $0.39, $0.39
05/18/2020, $0.39, N/A, $0.39, $0.39, $0.39
05/15/2020, $0.39, 1221, $0.41, $0.41, $0.39
05/14/2020, $0.455, N/A, $0.455, $0.455, $0.455
05/13/2020, $0.455, 100, $0.455, $0.455, $0.455
05/12/2020, $0.35, 200, $0.35, $0.35, $0.35
05/11/2020, $0.4482, 1542, $0.49, $0.49, $0.4482
05/08/2020, $0.38, 9475, $0.38, $0.38, $0.35
05/07/2020, $0.38, 3290, $0.38, $0.38, $0.38
05/06/2020, $0.4181, N/A, $0.4181, $0.4181, $0.4181
05/05/2020, $0.4181, 17699, $0.42, $0.42, $0.38
05/04/2020, $0.3801, 8242, $0.49, $0.49, $0.3801
05/01/2020, $0.38, 100, $0.38, $0.38, $0.38
04/30/2020, $0.3925, 9059, $0.5064, $0.5066, $0.3925
04/29/2020, $0.422, 400, $0.42, $0.422, $0.42
04/28/2020, $0.42, N/A, $0.42, $0.42, $0.42
04/27/2020, $0.42, 7598, $0.42, $0.4621, $0.42
04/24/2020, $0.4, N/A, $0.4, $0.4, $0.4
04/23/2020, $0.4, N/A, $0.4, $0.4, $0.4
04/22/2020, $0.4, N/A, $0.4, $0.4, $0.4
04/21/2020, $0.4, 2000, $0.4, $0.4, $0.4
04/20/2020, $0.4, 5000, $0.3798, $0.4, $0.3798
04/17/2020, $0.37, 3700, $0.37, $0.3701, $0.37
04/16/2020, $0.37, 22065, $0.3699, $0.47, $0.3699
04/15/2020, $0.37, N/A, $0.37, $0.37, $0.37
04/14/2020, $0.37, 477, $0.35, $0.37, $0.35
04/13/2020, $0.3, N/A, $0.3, $0.3, $0.3
04/09/2020, $0.3, 2701, $0.3023, $0.3023, $0.3
04/08/2020, $0.3024, N/A, $0.3024, $0.3024, $0.3024
04/07/2020, $0.3024, N/A, $0.3024, $0.3024, $0.3024
04/06/2020, $0.3024, 238, $0.3023, $0.3024, $0.3023
04/03/2020, $0.3585, N/A, $0.3585, $0.3585, $0.3585
