Date, Close/Last, Volume, Open, High, Low
01/20/2021, $3.28, 3751228, $3.2, $3.56, $3.15
01/19/2021, $3.11, 1460185, $3, $3.13, $2.88
01/15/2021, $2.89, 1135853, $2.74, $2.9499, $2.67
01/14/2021, $2.82, 572382, $2.82, $2.83, $2.69
01/13/2021, $2.8, 1014788, $2.85, $2.85, $2.7
01/12/2021, $2.75, 2573201, $2.43, $2.84, $2.38
01/11/2021, $2.38, 452826, $2.36, $2.43, $2.35
01/08/2021, $2.42, 618102, $2.38, $2.44, $2.3
01/07/2021, $2.37, 1904357, $2.2094, $2.54, $2.2094
01/06/2021, $2.23, 578788, $2.16, $2.25, $2.15
01/05/2021, $2.16, 1311538, $2.28, $2.28, $2.05
01/04/2021, $2.28, 3829299, $2, $2.4, $1.97
12/31/2020, $1.99, 885018, $1.9, $2.01, $1.87
12/30/2020, $1.89, 391235, $1.84, $1.92, $1.84
12/29/2020, $1.85, 454056, $1.87, $1.87, $1.79
12/28/2020, $1.87, 695522, $1.89, $1.94, $1.8
12/24/2020, $1.86, 359664, $1.94, $1.95, $1.83
12/23/2020, $1.92, 817526, $1.82, $1.93, $1.82
12/22/2020, $1.84, 971469, $1.82, $1.85, $1.73
12/21/2020, $1.83, 319114, $1.82, $1.85, $1.79
12/18/2020, $1.87, 484755, $1.87, $1.915, $1.84
12/17/2020, $1.87, 436198, $1.84, $1.87, $1.8
12/16/2020, $1.84, 342107, $1.86, $1.8699, $1.8073
12/15/2020, $1.87, 507522, $1.88, $1.92, $1.82
12/14/2020, $1.84, 620305, $1.81, $1.88, $1.74
12/11/2020, $1.79, 553905, $1.76, $1.83, $1.76
12/10/2020, $1.77, 505564, $1.76, $1.785, $1.73
12/09/2020, $1.78, 1069387, $1.95, $1.951, $1.72
12/08/2020, $1.93, 4151913, $1.777, $2.05, $1.77
12/07/2020, $1.77, 2074595, $1.75, $1.91, $1.73
12/04/2020, $1.73, 583496, $1.67, $1.78, $1.63
12/03/2020, $1.7, 823023, $1.81, $1.82, $1.67
12/02/2020, $1.84, 776505, $1.75, $1.85, $1.75
12/01/2020, $1.78, 2044966, $1.74, $1.82, $1.67
