Date, Close/Last, Volume, Open, High, Low
03/24/2021, $8.24, 716253, $8.19, $8.26, $8.18
03/23/2021, $8.22, 588254, $8.18, $8.23, $8.15
03/22/2021, $8.19, 246908, $8.2, $8.22, $8.15
03/19/2021, $8.23, 275784, $8.16, $8.24, $8.12
03/18/2021, $8.18, 382932, $8.13, $8.18, $8.11
03/17/2021, $8.12, 491653, $8.11, $8.15, $8.1
03/16/2021, $8.17, 607584, $8.1, $8.17, $8.08
03/15/2021, $8.09, 813640, $8.16, $8.162, $8.08
03/12/2021, $8.17, 443644, $8.205, $8.22, $8.16
03/11/2021, $8.21, 212413, $8.2, $8.23, $8.18
03/10/2021, $8.21, 311508, $8.175, $8.24, $8.165
03/09/2021, $8.2, 363148, $8.2, $8.225, $8.18
03/08/2021, $8.15, 658645, $8.23, $8.24, $8.15
03/05/2021, $8.29, 876750, $8.23, $8.31, $8.18
03/04/2021, $8.22, 871354, $8.22, $8.275, $8.1
03/03/2021, $8.25, 433787, $8.34, $8.34, $8.235
03/02/2021, $8.3, 353474, $8.26, $8.34, $8.25
03/01/2021, $8.3, 394889, $8.23, $8.34, $8.23
02/26/2021, $8.26, 720399, $8.25, $8.34, $8.24
02/25/2021, $8.31, 634861, $8.36, $8.42, $8.26
02/24/2021, $8.38, 373253, $8.37, $8.45, $8.32
02/23/2021, $8.41, 738393, $8.28, $8.42, $8.24
02/22/2021, $8.35, 518893, $8.32, $8.39, $8.29
02/19/2021, $8.37, 685710, $8.25, $8.38, $8.23
02/18/2021, $8.29, 1318637, $8.25, $8.31, $8.24
02/17/2021, $8.3, 480398, $8.26, $8.34, $8.26
02/16/2021, $8.3, 1669968, $8.27, $8.36, $8.24
02/12/2021, $8.26, 652623, $8.3, $8.38, $8.21
02/11/2021, $8.31, 306674, $8.3, $8.37, $8.23
02/10/2021, $8.21, 481284, $8.23, $8.28, $8.2
02/09/2021, $8.26, 703621, $8.2, $8.27, $8.2
02/08/2021, $8.21, 589739, $8.29, $8.31, $8.19
02/05/2021, $8.31, 305990, $8.32, $8.45, $8.26
02/04/2021, $8.32, 771134, $8.33, $8.385, $8.21
02/03/2021, $8.52, 586106, $8.44, $8.52, $8.41
02/02/2021, $8.49, 513833, $8.33, $8.5, $8.28
02/01/2021, $8.31, 948510, $8.29, $8.42, $8.28
01/29/2021, $8.27, 629474, $8.32, $8.42, $8.22
01/28/2021, $8.39, 582132, $8.4, $8.4499, $8.2199
01/27/2021, $8.42, 765982, $8.52, $8.59, $8.365
