Date, Close/Last, Volume, Open, High, Low
01/20/2021, $26.2, 37061, $26.2, $26.26, $26.15
01/19/2021, $26.18, 25766, $26.11, $26.22, $26.08
01/15/2021, $26.1, 32708, $26.1, $26.24, $26.09
01/14/2021, $26.24, 40167, $26.05, $26.25, $26.02
01/13/2021, $26.12, 30765, $25.73, $26.18, $25.73
01/12/2021, $25.85, 70395, $25.73, $25.85, $25.67
01/11/2021, $25.73, 56442, $25.67, $25.84, $25.66
01/08/2021, $25.9, 76783, $25.872, $25.944, $25.78
01/07/2021, $25.86, 41315, $26, $26.054, $25.85
01/06/2021, $26.01, 89918, $26.42, $26.42, $25.81
01/05/2021, $26.42, 54697, $26.59, $26.61, $26.4
01/04/2021, $26.57, 74845, $26.9, $26.9, $26.54
12/31/2020, $26.86, 197939, $26.754, $26.91, $26.61
12/30/2020, $26.81, 31048, $26.61, $26.83, $26.61
12/29/2020, $26.98, 49241, $27.02, $27.02, $26.92
12/28/2020, $27.01, 28175, $26.84, $27.05, $26.83
12/24/2020, $26.92, 11781, $26.81, $26.92, $26.7673
12/23/2020, $26.87, 37481, $26.86, $26.87, $26.75
12/22/2020, $26.86, 55251, $26.7, $26.93, $26.65
12/21/2020, $26.71, 36980, $26.5, $26.72, $26.33
12/18/2020, $26.55, 28474, $26.44, $26.57, $26.4
12/17/2020, $26.49, 25017, $26.44, $26.49, $26.37
12/16/2020, $26.44, 26655, $26.375, $26.44, $26.32
12/15/2020, $26.39, 37705, $26.36, $26.39, $26.3184
12/14/2020, $26.36, 24749, $26.33, $26.374, $26.33
12/11/2020, $26.37, 36803, $26.33, $26.38, $26.258
12/10/2020, $26.31, 22164, $26.3, $26.38, $26.2
12/09/2020, $26.3, 29345, $26.306, $26.34, $26.24
12/08/2020, $26.35, 33633, $26.291, $26.36, $26.27
12/07/2020, $26.29, 26066, $26.28, $26.31, $26.185
12/04/2020, $26.25, 37304, $26.19, $26.3196, $26.13
12/03/2020, $26.19, 30049, $26.09, $26.22, $26.09
12/02/2020, $26.09, 24833, $26.01, $26.1599, $26.01
12/01/2020, $26.04, 34583, $26.04, $26.0767, $25.98
11/30/2020, $25.99, 95336, $26.07, $26.19, $25.99
11/27/2020, $26.09, 16126, $26.16, $26.16, $26.06
11/25/2020, $26.22, 21556, $26.26, $26.26, $26.16
11/24/2020, $26.25, 58360, $26.13, $26.3, $26.13
11/23/2020, $26.16, 15471, $26.13, $26.17, $26.1
11/20/2020, $26.07, 26728, $26.16, $26.16, $26.03
