Date, Close/Last, Volume, Open, High, Low
03/24/2021, $16.47, 482279, $17.75, $18, $16.14
03/23/2021, $17.75, 1619516, $16.08, $19.65, $16.08
03/22/2021, $16, 268994, $17.76, $17.99, $15.92
03/19/2021, $17.38, 248139, $16.84, $17.47, $16.2801
03/18/2021, $16.66, 296482, $16.69, $18.28, $16.525
03/17/2021, $16.79, 239630, $17.03, $17.2899, $16.21
03/16/2021, $17.52, 698251, $17, $18.63, $16.3
03/15/2021, $16.71, 826565, $14.72, $17.4552, $14.6299
03/12/2021, $14.73, 107883, $14.86, $14.88, $14.35
03/11/2021, $14.92, 211558, $14, $15.02, $13.8
03/10/2021, $14.01, 195478, $13.58, $14.22, $13.3
03/09/2021, $13.51, 222101, $13.5571, $13.97, $13.1546
03/08/2021, $13.32, 215836, $13.06, $13.7, $12.976
03/05/2021, $12.88, 519780, $12.5, $12.88, $10.82
03/04/2021, $12.5, 385931, $13, $13.145, $11.82
03/03/2021, $13.19, 121816, $13.55, $13.67, $13.03
03/02/2021, $13.55, 220238, $13.05, $13.98, $12.95
03/01/2021, $13.02, 114746, $13.44, $13.585, $12.9101
02/26/2021, $13.28, 259833, $13.745, $13.76, $13.04
02/25/2021, $13.64, 269323, $13.73, $14.19, $13.18
02/24/2021, $13.68, 278634, $14.51, $14.7, $13.61
02/23/2021, $14.53, 504602, $15, $15.44, $13.73
02/22/2021, $14.88, 337439, $14.2, $14.96, $14.05
02/19/2021, $13.83, 236383, $13.55, $14.35, $13.3837
02/18/2021, $13.43, 144365, $13.3, $13.67, $12.8
02/17/2021, $13.29, 194383, $13, $13.45, $12.3201
02/16/2021, $13.09, 277652, $14, $14.0512, $13.08
02/12/2021, $13.76, 420405, $13.42, $14.5, $13.1729
02/11/2021, $13.24, 428574, $12.52, $13.64, $12.5001
02/10/2021, $12.67, 267178, $12.86, $13.25, $12.3601
02/09/2021, $12.89, 370892, $13.11, $13.34, $12.78
02/08/2021, $13.07, 1142953, $11.8, $13.9435, $11.51
02/05/2021, $11.8, 148303, $12.09, $12.12, $11.46
02/04/2021, $12.03, 395468, $11.7, $12.1, $11.46
02/03/2021, $11.61, 481139, $10.94, $11.79, $10.73
02/02/2021, $10.9, 728701, $11, $11.68, $10.1832
02/01/2021, $10.47, 2439432, $12.74, $13.29, $10
01/29/2021, $10.86, 223288, $11.25, $11.3, $10.6
01/28/2021, $11.22, 275897, $11.49, $11.69, $10.92
01/27/2021, $11.22, 431312, $10.97, $11.43, $10.5
01/26/2021, $11.11, 393133, $11.44, $11.48, $10.56
01/25/2021, $10.66, 402440, $10.84, $11.14, $10.496
01/22/2021, $10.4, 323993, $9.74, $10.44, $9.42
01/21/2021, $9.74, 237267, $10.2, $10.3, $9.67
01/20/2021, $10.14, 373180, $10.25, $10.93, $9.9
01/19/2021, $10.21, 396934, $9.96, $10.48, $9.95
