Date, Close/Last, Volume, Open, High, Low
03/24/2021, $16.12, 55880, $16.15, $16.28, $16.11
03/23/2021, $16.07, 32135, $16.03, $16.15, $16.03
03/22/2021, $16.11, 39580, $16.05, $16.1386, $16.05
03/19/2021, $16.065, 21977, $16, $16.08, $15.96
03/18/2021, $16.02, 48884, $16.18, $16.18, $16
03/17/2021, $16.18, 29729, $16.16, $16.2037, $16.1113
03/16/2021, $16.19, 30942, $16.18, $16.21, $16.16
03/15/2021, $16.13, 39013, $16.09, $16.16, $16.09
03/12/2021, $16.05, 46328, $16.07, $16.102, $16.03
03/11/2021, $16.3, 44044, $16.26, $16.35, $16.25
03/10/2021, $16.19, 47344, $16.15, $16.25, $16.1
03/09/2021, $16.08, 39204, $16, $16.14, $15.9262
03/08/2021, $15.87, 47245, $15.75, $15.96, $15.75
03/05/2021, $15.74, 30239, $15.75, $15.78, $15.4
03/04/2021, $15.66, 89860, $15.9, $16, $15.5931
03/03/2021, $15.91, 52017, $15.99, $15.9995, $15.88
03/02/2021, $15.99, 46806, $15.97, $16.01, $15.9
03/01/2021, $15.95, 49228, $15.75, $15.97, $15.75
02/26/2021, $15.58, 47112, $15.72, $15.72, $15.5
02/25/2021, $15.57, 32630, $15.81, $15.86, $15.55
02/24/2021, $15.78, 41628, $15.65, $15.89, $15.65
02/23/2021, $15.74, 58597, $15.67, $15.81, $15.51
02/22/2021, $15.69, 45991, $15.65, $15.8, $15.6325
02/19/2021, $15.8, 78429, $15.94, $15.94, $15.78
02/18/2021, $15.81, 89198, $15.87, $15.87, $15.75
02/17/2021, $15.87, 38763, $15.83, $15.91, $15.76
02/16/2021, $15.82, 47853, $15.77, $15.82, $15.66
02/12/2021, $15.66, 64912, $15.5, $15.67, $15.5
02/11/2021, $15.58, 58205, $15.71, $15.71, $15.48
02/10/2021, $15.64, 48582, $15.71, $15.71, $15.54
02/09/2021, $15.6, 64064, $15.65, $15.67, $15.53
02/08/2021, $15.65, 124513, $15.75, $15.7542, $15.48
02/05/2021, $15.7, 66168, $15.72, $15.72, $15.6217
02/04/2021, $15.6, 52414, $15.49, $15.6296, $15.4513
02/03/2021, $15.43, 54763, $15.47, $15.51, $15.35
02/02/2021, $15.43, 58103, $15.34, $15.48, $15.34
02/01/2021, $15.24, 45432, $15.28, $15.28, $15.15
01/29/2021, $15.11, 99619, $15.22, $15.25, $15.02
01/28/2021, $15.26, 60386, $15.19, $15.45, $15.19
01/27/2021, $15.13, 86298, $15.41, $15.41, $15.11
01/26/2021, $15.53, 213529, $15.46, $15.62, $15.381
01/25/2021, $15.32, 126741, $15.49, $15.546, $15.14
01/22/2021, $15.29, 66092, $15.25, $15.3225, $15.2305
01/21/2021, $15.27, 102677, $15.15, $15.48, $15.05
01/20/2021, $15.14, 41495, $15.01, $15.18, $15
01/19/2021, $14.98, 98773, $15.04, $15.11, $14.95
01/15/2021, $14.97, 80213, $15.04, $15.04, $14.86
01/14/2021, $15.02, 43700, $15.11, $15.11, $14.98
01/13/2021, $15.02, 48336, $15.02, $15.07, $15
01/12/2021, $14.99, 107738, $15.09, $15.11, $14.99
01/11/2021, $15.03, 149612, $15.06, $15.14, $14.9
01/08/2021, $15.03, 133173, $15.1, $15.1, $14.86
01/07/2021, $15.01, 122447, $14.92, $15.0399, $14.83
01/06/2021, $14.84, 115468, $14.86, $15.07, $14.8
01/05/2021, $15, 38109, $15, $15.04, $14.9
01/04/2021, $15, 74703, $15.2, $15.24, $14.9
12/31/2020, $15.24, 100017, $15.1, $15.24, $15.02
12/30/2020, $15, 36428, $15, $15, $14.9101
12/29/2020, $14.94, 48259, $15, $15.02, $14.9
12/28/2020, $14.89, 46589, $14.98, $14.99, $14.87
12/24/2020, $14.9, 20519, $14.81, $14.9, $14.81
12/23/2020, $14.81, 38268, $14.81, $14.94, $14.81
12/22/2020, $14.84, 38708, $14.89, $14.893, $14.82
12/21/2020, $14.85, 51578, $14.78, $14.85, $14.64
12/18/2020, $14.87, 29784, $14.99, $14.99, $14.85
12/17/2020, $14.97, 55589, $15.03, $15.05, $14.935
12/16/2020, $14.95, 72499, $14.94, $15.02, $14.85
12/15/2020, $14.92, 75506, $14.81, $14.92, $14.81
12/14/2020, $14.86, 48873, $14.86, $14.94, $14.8515
12/11/2020, $15.06, 65822, $15.05, $15.1, $14.95
12/10/2020, $15.08, 34977, $15.06, $15.1, $15
12/09/2020, $15.1, 71961, $15.18, $15.18, $15.04
12/08/2020, $15.15, 63626, $15, $15.15, $14.89
12/07/2020, $15.02, 64666, $14.99, $15.02, $14.96
12/04/2020, $15.01, 41647, $14.85, $15.01, $14.83
12/03/2020, $14.84, 42004, $14.92, $14.94, $14.75
12/02/2020, $14.86, 68916, $14.74, $14.88, $14.74
12/01/2020, $14.82, 88149, $14.83, $14.87, $14.7
11/30/2020, $14.75, 75894, $14.72, $14.75, $14.59
11/27/2020, $14.75, 36385, $14.77, $14.81, $14.72
11/25/2020, $14.72, 61279, $14.69, $14.725, $14.61
11/24/2020, $14.68, 56585, $14.61, $14.69, $14.5474
11/23/2020, $14.5, 79090, $14.46, $14.51, $14.38
11/20/2020, $14.46, 40488, $14.45, $14.48, $14.39
11/19/2020, $14.46, 102404, $14.49, $14.49, $14.375
11/18/2020, $14.48, 65580, $14.51, $14.57, $14.4674
11/17/2020, $14.56, 86867, $14.59, $14.59, $14.39
11/16/2020, $14.6, 267071, $14.33, $14.6, $14.26
11/13/2020, $14.1, 81700, $14.1, $14.1, $13.965
11/12/2020, $13.91, 82755, $13.99, $13.99, $13.8222
11/11/2020, $13.92, 68350, $13.89, $14, $13.89
11/10/2020, $13.85, 61156, $13.79, $13.89, $13.71
11/09/2020, $13.86, 88234, $14.1, $14.135, $13.84
11/06/2020, $13.65, 66948, $13.71, $13.75, $13.58
11/05/2020, $13.77, 97938, $13.51, $13.83, $13.47
11/04/2020, $13.33, 46947, $13.24, $13.41, $13.18
11/03/2020, $13.05, 41494, $12.94, $13.1199, $12.935
11/02/2020, $12.81, 41746, $12.84, $12.98, $12.8
10/30/2020, $12.77, 81144, $12.85, $12.85, $12.62
10/29/2020, $12.91, 44708, $12.78, $12.93, $12.74
10/28/2020, $12.78, 55238, $13, $13.0072, $12.75
10/27/2020, $13.15, 52829, $13.24, $13.31, $13.12
10/26/2020, $13.21, 47619, $13.45, $13.45, $13.16
10/23/2020, $13.5, 25655, $13.48, $13.52, $13.452
10/22/2020, $13.48, 68251, $13.43, $13.48, $13.35
10/21/2020, $13.42, 36016, $13.49, $13.49, $13.39
10/20/2020, $13.44, 71326, $13.45, $13.55, $13.43
10/19/2020, $13.47, 31259, $13.61, $13.66, $13.45
10/16/2020, $13.57, 20199, $13.6, $13.65, $13.57
10/15/2020, $13.58, 49532, $13.51, $13.6017, $13.51
10/14/2020, $13.67, 39222, $13.69, $13.74, $13.5994
10/13/2020, $13.69, 59943, $13.7, $13.74, $13.6539
10/12/2020, $13.75, 64730, $13.65, $13.78, $13.61
10/09/2020, $13.57, 35386, $13.55, $13.6, $13.53
10/08/2020, $13.51, 23227, $13.55, $13.5558, $13.48
10/07/2020, $13.47, 102476, $13.37, $13.55, $13.37
10/06/2020, $13.36, 59516, $13.47, $13.61, $13.33
10/05/2020, $13.45, 60340, $13.4, $13.5, $13.38
10/02/2020, $13.34, 41092, $13.32, $13.35, $13.26
10/01/2020, $13.44, 73669, $13.48, $13.5, $13.37
