Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10.45, 14977, $11.17, $11.5, $10.44
03/23/2021, $10.5, 5409, $10.5, $10.5, $10.49
03/22/2021, $10.78, 1505, $10.78, $10.78, $10.78
03/19/2021, $10.71, N/A, $10.71, $10.71, $10.71
03/18/2021, $10.71, 2994, $10.57, $10.71, $10.4803
03/17/2021, $10.6382, 207, $10.95, $10.95, $10.6382
03/16/2021, $10.5348, 110, $10.5348, $10.5348, $10.5348
03/15/2021, $10.87, 2700, $11.37, $11.47, $10.46
03/12/2021, $10.67, N/A, $10.67, $10.67, $10.67
03/11/2021, $10.67, 2602, $10.67, $10.67, $10.67
03/10/2021, $10.9, 7767, $11.42, $11.42, $10.7
03/09/2021, $10.4, 45096, $10.41, $10.44, $10.325
03/08/2021, $10.31, 6418, $10.85, $10.85, $10.31
03/05/2021, $10.64, 1000, $10.64, $10.64, $10.64
03/04/2021, $10.5, 31080, $10.65, $10.66, $10.4
03/03/2021, $10.88, 33152, $10.94, $11.01, $10.86
03/02/2021, $11, 17861, $11.03, $11.42, $10.75
03/01/2021, $11.22, 133171, $12.3899, $12.3899, $11
02/26/2021, $11.76, 11253, $11.54, $11.76, $11.5
02/25/2021, $11.89, 191856, $12.22, $12.22, $11.77
02/24/2021, $11.97, 45675, $12, $12.24, $11.95
02/23/2021, $12.44, 43381, $12.48, $12.48, $11.95
02/22/2021, $12.45, 12158, $13, $13, $12.2101
02/19/2021, $12.14, 6072, $12.1, $12.5, $12.1
02/18/2021, $11.8559, N/A, $11.8559, $11.8559, $11.8559
02/17/2021, $11.8559, 19343, $11.92, $11.95, $11.68
02/16/2021, $12.0099, 6333, $12.04, $12.04, $11.65
02/12/2021, $11.78, 1488, $11.68, $12.7, $11.68
02/11/2021, $11.85, 16490, $11.9, $12.24, $11.75
02/10/2021, $11.54, 23668, $11.455, $11.8, $11.455
02/09/2021, $11.6, 7114, $11.7, $11.7, $11.47
02/08/2021, $11.5, 61405, $11.25, $11.67, $11.25
02/05/2021, $11.45, 64090, $12, $12, $11.045
02/04/2021, $11.11, 81502, $11.51, $11.77, $11.06
02/03/2021, $11.45, 8190, $11.645, $11.645, $11.45
02/02/2021, $11.4, 22665, $11.77, $11.77, $11.07
02/01/2021, $11.25, 1900, $10.77, $11.5, $10.77
01/29/2021, $11, 19960, $10.8722, $11.5, $10.8722
01/28/2021, $10.75, 14516, $10.96, $11, $10.75
01/27/2021, $11, 24000, $10.93, $11, $10.84
01/26/2021, $10.95, 75442, $11.02, $11.2, $10.94
01/25/2021, $11, 39476, $10.95, $11.22, $10.94
01/22/2021, $10.985, 34535, $11, $11.01, $10.958
01/21/2021, $11, 17338, $10.95, $11, $10.95
01/20/2021, $11, 26158, $11, $11, $10.95
01/19/2021, $11.04, 66285, $11.02, $11.2, $10.99
01/15/2021, $11, 14125, $11.2, $11.3, $11
01/14/2021, $11, 41330, $11.15, $11.25, $11
01/13/2021, $11, 25330, $10.93, $11.79, $10.93
01/12/2021, $10.92, 7185, $10.81, $11.09, $10.81
01/11/2021, $10.92, 20430, $11.75, $11.75, $10.7
01/08/2021, $10.75, 139141, $10.75, $11.3, $10.74
01/07/2021, $10.7767, 3100, $10.7, $10.85, $10.7
01/06/2021, $10.78, 102164, $11.03, $11.375, $10.69
01/05/2021, $10.8, 90302, $10.75, $11, $10.65
01/04/2021, $10.77, 6501, $11.33, $11.38, $10.77
12/31/2020, $10.65, 34368, $10.65, $11.08, $10.65
12/30/2020, $10.65, 14526, $10.625, $10.75, $10.6
12/29/2020, $10.745, 47483, $10.74, $10.79, $10.6
12/28/2020, $10.62, 24306, $10.6, $10.6542, $10.6
12/24/2020, $10.6, 25021, $10.35, $10.6319, $10.35
12/23/2020, $10.5, 12700, $10.4, $10.664, $10.31
12/22/2020, $10.35, 31567, $10.445, $10.68, $10.35
12/21/2020, $10.4, 186388, $10.35, $10.74, $10.25
12/18/2020, $10.25, 57394, $10.515, $10.7467, $10.24
12/17/2020, $10.7, 7209, $10.61, $10.7, $10.31
12/16/2020, $10.88, 401, $10.595, $10.88, $10.595
12/15/2020, $10.64, 13088, $10.3923, $10.85, $10.3923
12/14/2020, $10.64, 25697, $10.5, $10.8273, $10.28
12/11/2020, $10.35, 13058, $10.34, $10.35, $10.2
12/10/2020, $10.19, 30184, $11.34, $11.34, $10.19
12/09/2020, $10.27, 10964, $10.72, $10.74, $10.27
12/08/2020, $10.39, 9235, $10.53, $10.53, $10.26
12/07/2020, $10.45, 4007, $10.23, $10.62, $10.23
12/04/2020, $10.295, 7403, $10.39, $10.39, $10.2
12/03/2020, $10.2, 8551, $10.83, $10.83, $10.2
12/02/2020, $10.385, 322, $10.48, $10.48, $10.385
12/01/2020, $10.3, 18203, $10.62, $10.62, $10.2618
11/30/2020, $10.2, N/A, $10.2, $10.2, $10.2
11/27/2020, $10.2, 30304, $10.86, $10.86, $10.175
11/25/2020, $10.2794, 1000, $10.2794, $10.2794, $10.2794
11/24/2020, $10.25, N/A, $10.25, $10.25, $10.25
11/23/2020, $10.25, 1100, $10.1, $10.3, $10.1
11/20/2020, $10.3, 302, $10.106, $10.3, $10.1
11/19/2020, $10.31, 892, $10.31, $10.31, $10.31
11/18/2020, $10.11, 2700, $10.4, $10.5, $10.11
11/17/2020, $10.06, 200, $10.06, $10.06, $10.06
11/16/2020, $10.2666, 1266, $10.3899, $10.3899, $10.2666
11/13/2020, $10.35, N/A, $10.35, $10.35, $10.35
11/12/2020, $10.35, 7892, $10.03, $10.3506, $10.02
11/11/2020, $10.255, 2400, $10.255, $10.255, $10.01
11/10/2020, $10.26, 120, $10.26, $10.26, $10.26
11/09/2020, $10.14, 146510, $10.1, $10.14, $10.01
11/06/2020, $10.06, 264201, $10.08, $10.08, $10.05
11/05/2020, $10.02, 1454, $10.49, $10.49, $10.02
