Date, Close/Last, Volume, Open, High, Low
01/20/2021, $50.84, 189036, $49.45, $50.87, $49.1968
01/19/2021, $49.16, 229059, $50.39, $50.4484, $49.01
01/15/2021, $49.89, 201770, $49.72, $50.71, $48.4
01/14/2021, $50.05, 170408, $51.58, $52.1, $50.015
01/13/2021, $51.43, 142698, $52.93, $52.93, $51.01
01/12/2021, $52.56, 157676, $51.97, $53.41, $51.41
01/11/2021, $51.54, 139090, $50.97, $51.69, $50.67
01/08/2021, $51.27, 203821, $51.01, $51.47, $50.375
01/07/2021, $51.02, 202016, $49.82, $51.29, $49.51
01/06/2021, $49.74, 350488, $49, $50.48, $49
01/05/2021, $48.4, 176592, $47.52, $48.945, $47.52
01/04/2021, $47.61, 180307, $48.52, $48.52, $46.89
12/31/2020, $48.36, 106715, $48.15, $48.98, $47.745
12/30/2020, $48.21, 131496, $48.53, $48.96, $48.02
12/29/2020, $48.42, 86683, $48.42, $48.63, $48.04
12/28/2020, $48.33, 191718, $49.4, $49.95, $48.08
12/24/2020, $49, 55390, $48.41, $49.23, $48.2
12/23/2020, $48.41, 169473, $48.62, $49.16, $48.2
12/22/2020, $48.67, 126357, $49.36, $49.59, $48.62
12/21/2020, $49.58, 272886, $49.65, $50.3, $48.675
12/18/2020, $50.35, 527519, $50.35, $51.35, $49.43
12/17/2020, $50.08, 140342, $50.51, $51.15, $49.82
12/16/2020, $50.26, 255753, $51, $52.07, $50.0287
12/15/2020, $50.54, 422175, $47.96, $50.88, $47.654
12/14/2020, $47.44, 171918, $48.2, $48.93, $47.42
12/11/2020, $48.28, 178368, $47.98, $48.56, $47.855
12/10/2020, $48.27, 122517, $46.82, $48.34, $46.32
12/09/2020, $47.3, 203345, $47.16, $47.76, $46.84
12/08/2020, $47.07, 280898, $46.15, $47.35, $46.09
12/07/2020, $46.47, 139666, $46.45, $46.57, $45.38
12/04/2020, $46.48, 270566, $44.5, $46.72, $44.4
12/03/2020, $44.32, 259836, $43.17, $44.44, $42.846
12/02/2020, $43.17, 169063, $42.78, $43.47, $42.635
12/01/2020, $42.77, 296510, $42.33, $43.49, $42.33
11/30/2020, $41.87, 248968, $43.38, $43.62, $41.84
