Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10.11, 163705, $10.32, $10.33, $10.06
03/23/2021, $10.23, 14307, $10.325, $10.355, $10.23
03/22/2021, $10.33, 21541, $10.35, $10.38, $10.3206
03/19/2021, $10.35, 51239, $10.33, $10.4, $10.31
03/18/2021, $10.34, 269774, $10.37, $10.44, $10.33
03/17/2021, $10.37, 37211, $10.37, $10.4825, $10.32
03/16/2021, $10.35, 55392, $10.35, $10.4899, $10.34
03/15/2021, $10.36, 64397, $10.52, $10.52, $10.34
03/12/2021, $10.4, 72483, $10.34, $10.465, $10.33
03/11/2021, $10.35, 55668, $10.51, $10.51, $10.31
03/10/2021, $10.47, 313379, $10.49, $10.55, $10.37
03/09/2021, $10.41, 348058, $10.36, $10.49, $10.31
03/08/2021, $10.25, 46215, $10.3, $10.405, $10.24
03/05/2021, $10.37, 281856, $10.15, $10.39, $10.05
03/04/2021, $10.15, 163340, $10.2, $10.23, $10
03/03/2021, $10.18, 345466, $10.49, $10.49, $10
03/02/2021, $10.34, 166888, $10.5, $10.63, $10.3
03/01/2021, $10.56, 128106, $10.57, $10.6, $10.3523
02/26/2021, $10.42, 175391, $10.67, $10.67, $10.31
02/25/2021, $10.67, 337859, $10.78, $10.8001, $10.47
02/24/2021, $10.78, 172513, $10.86, $10.9, $10.54
02/23/2021, $10.78, 451500, $10.99, $10.99, $10.5
02/22/2021, $11.07, 1192320, $12.32, $12.5, $10.91
02/19/2021, $11.45, 266338, $11.43, $11.58, $11.11
02/18/2021, $11.45, 32280, $11.57, $11.6, $11.27
02/17/2021, $11.58, 51920, $11.47, $11.81, $11.36
02/16/2021, $11.57, 124901, $11.27, $11.72, $11.27
02/12/2021, $11.27, 214639, $11.15, $11.42, $11.09
02/11/2021, $11.2, 94281, $11.24, $11.4599, $11.15
02/10/2021, $11.19, 186205, $11.38, $11.5, $11.15
02/09/2021, $11.4, 117856, $11.44, $11.7, $11.35
