Date, Close/Last, Volume, Open, High, Low
01/20/2021, $162.94, 2021205, $163.1, $168.95, $162.715
01/19/2021, $161.39, 2439660, $154.526, $162.2, $154.01
01/15/2021, $152, 2305841, $154.01, $156.5, $150.13
01/14/2021, $157.98, 1521413, $157.7, $161.07, $157.2
01/13/2021, $157.89, 1252890, $158, $159.17, $155.79
01/12/2021, $158.18, 1807463, $162.07, $162.45, $158.09
01/11/2021, $162.05, 1766676, $160.12, $163.35, $159.28
01/08/2021, $163.48, 1598493, $164.79, $165.99, $160.6
01/07/2021, $162.68, 1701502, $160.92, $163.42, $160.0101
01/06/2021, $158.49, 2102996, $154.776, $162.35, $153
01/05/2021, $156.3, 2053940, $150.12, $156.46, $150
01/04/2021, $150.72, 2180314, $153.33, $155.6895, $148.02
12/31/2020, $152.88, 950084, $153.16, $153.365, $151.97
12/30/2020, $152.75, 770566, $151.1, $153.7, $151.06
12/29/2020, $150.41, 1441395, $153.8, $154.835, $149.62
12/28/2020, $153.22, 1039227, $152.76, $153.7835, $151.8001
12/24/2020, $151.21, 480432, $150.95, $151.35, $149.5
12/23/2020, $150.74, 1431439, $150.09, $152.94, $148.745
12/22/2020, $149.43, 1321046, $148.365, $151.735, $147.84
12/21/2020, $147.71, 1487640, $145.55, $148.205, $145.17
12/18/2020, $148.19, 2823320, $146.46, $149.41, $145.06
12/17/2020, $145.53, 1833573, $149, $150.29, $145.4
12/16/2020, $147.54, 1961420, $144.9277, $148.4109, $143.605
12/15/2020, $144.68, 2291715, $143.17, $146.4, $142.96
12/14/2020, $139.26, 2933289, $140, $140.43, $137.94
12/11/2020, $139.24, 3549818, $143.9, $144.45, $138.61
12/10/2020, $145.54, 1749859, $147.36, $148.06, $145.53
12/09/2020, $148.29, 2562491, $155, $155.04, $147.455
12/08/2020, $155.79, 1522839, $153.6, $156, $152.76
12/07/2020, $153.42, 2276197, $151.407, $154.11, $150.55
12/04/2020, $150.17, 2174727, $143.74, $150.28, $143.73
12/03/2020, $143.71, 1218073, $144.23, $145.35, $143.05
12/02/2020, $143.45, 1276274, $143.35, $145.06, $142.51
12/01/2020, $144, 2617561, $142.01, $145.46, $141.16
11/30/2020, $141.17, 2734007, $136.38, $141.25, $136.38
11/27/2020, $136.16, 1215741, $136.884, $138.77, $135.97
11/25/2020, $135.95, 3035520, $138.74, $138.91, $134.28
11/24/2020, $138.85, 2236852, $138.51, $139.71, $135.33
11/23/2020, $138.03, 3070509, $141.05, $141.775, $136.56
11/20/2020, $140.39, 1765380, $139.25, $141.76, $138.39
11/19/2020, $139.36, 1795072, $137.18, $139.5, $136
11/18/2020, $137.56, 2014040, $141.11, $141.24, $137.44
11/17/2020, $140.78, 1474620, $143.17, $143.51, $140.55
11/16/2020, $143.41, 1922741, $141, $143.735, $140.665
