Date, Close/Last, Volume, Open, High, Low
03/24/2021, $130.56, 366480, $137.78, $138.2517, $130.3
03/23/2021, $135.6, 432342, $141.67, $141.67, $135.01
03/22/2021, $143.2, 346342, $140.51, $144.45, $140.51
03/19/2021, $139.75, 705951, $137.73, $141.43, $135.42
03/18/2021, $138.06, 365293, $143.7329, $143.7329, $137.93
03/17/2021, $142.84, 416253, $137.91, $143.51, $136.2281
03/16/2021, $140.36, 464564, $136.31, $142.29, $135.4179
03/15/2021, $137.21, 330885, $137.62, $138.92, $135.89
03/12/2021, $136.75, 277748, $135.07, $137, $134.18
03/11/2021, $136.98, 550160, $134.11, $137.15, $133.37
03/10/2021, $131.48, 806955, $140, $140, $131.445
03/09/2021, $134.57, 386883, $130.91, $135.96, $130.0182
03/08/2021, $127.16, 604929, $131.81, $133.799, $126.41
03/05/2021, $132.17, 415914, $131.34, $132.33, $125.41
03/04/2021, $128.81, 649025, $132.39, $134.04, $127.16
03/03/2021, $133.44, 848656, $137.57, $138.8, $130.79
03/02/2021, $136.3, 528358, $138.32, $138.82, $134.91
03/01/2021, $137.69, 448886, $136, $138.34, $134
02/26/2021, $134.03, 453704, $132, $136.2799, $129
02/25/2021, $130.3, 544220, $136.64, $137.8799, $129.75
02/24/2021, $137.24, 634621, $137.62, $137.89, $134
02/23/2021, $130.12, 470326, $129.88, $132.85, $127.7
02/22/2021, $131.96, 356941, $134.6, $135.64, $131.17
02/19/2021, $135.06, 357678, $133.99, $136.7843, $132.76
02/18/2021, $131.84, 441892, $132.5, $134.19, $130.5
02/17/2021, $133.4, 615859, $134.3, $137.2762, $130.88
02/16/2021, $134.46, 797990, $133.272, $135.84, $132.67
02/12/2021, $130.1, 600881, $125.25, $130.5, $124.32
02/11/2021, $125.92, 534808, $124.13, $126.5, $122.36
02/10/2021, $122.99, 392504, $123, $124.85, $121.05
02/09/2021, $122.8, 545227, $122.78, $124.83, $120.95
02/08/2021, $123.79, 1012058, $119.92, $124.13, $116.56
02/05/2021, $119.01, 2142806, $117.306, $125.88, $117
02/04/2021, $106.87, 917839, $104.31, $107.81, $101.33
02/03/2021, $105.12, 574623, $106.67, $107.235, $104.47
02/02/2021, $106.71, 599636, $104.8, $107.75, $103.54
02/01/2021, $104.15, 400658, $100.71, $105, $100.71
01/29/2021, $99.22, 868392, $102.38, $103.8, $99
01/28/2021, $101.16, 386086, $104.46, $104.46, $101.08
01/27/2021, $102.52, 483853, $102.09, $104.49, $100.2446
01/26/2021, $104.87, 228228, $106.27, $106.27, $104
01/25/2021, $105.4, 372174, $106.14, $106.49, $102.7057
01/22/2021, $105.9, 314491, $104.81, $106.19, $103.96
01/21/2021, $106.09, 576892, $107.36, $108.01, $105.64
01/20/2021, $103.85, 284891, $104.92, $105.83, $102.18
01/19/2021, $103.51, 521782, $102.5, $104.3499, $101.5746
01/15/2021, $100.96, 706641, $100.7, $101.075, $96.88
01/14/2021, $101.9, 487002, $103.22, $104.59, $101.55
01/13/2021, $102.2, 656450, $106.33, $107.495, $100.5
01/12/2021, $106.66, 574109, $106.27, $107.5, $105.0644
01/11/2021, $105.33, 725446, $103.02, $105.53, $103.02
01/08/2021, $104.25, 627888, $103.88, $104.78, $101.51
01/07/2021, $102.64, 582624, $101.5, $104.09, $100.791
01/06/2021, $101.27, 972194, $96.7292, $102.39, $95.9004
01/05/2021, $98.5, 632635, $97.28, $100.99, $97.28
01/04/2021, $97.4, 652732, $97.96, $99.8, $96.61
12/31/2020, $96.4, 566516, $95.31, $97.99, $94.23
12/30/2020, $94.77, 584969, $91.41, $96.55, $91.3
12/29/2020, $90.64, 577081, $93.0102, $93.0102, $88.55
12/28/2020, $92.13, 909286, $89.22, $94.73, $88.61
12/24/2020, $86.15, 163322, $86.8, $87.1141, $84.5
12/23/2020, $85.87, 506524, $84.3, $87.9118, $83.61
12/22/2020, $82.53, 208084, $81.93, $82.84, $81.38
12/21/2020, $81.4, 220504, $79.22, $81.87, $79.22
12/18/2020, $81.39, 656463, $82.47, $82.9408, $80.32
12/17/2020, $82.08, 281322, $84.17, $84.26, $81.69
12/16/2020, $83.36, 359161, $84.5, $84.5, $81.4465
12/15/2020, $83.99, 440149, $82.68, $84.39, $82.66
12/14/2020, $81.66, 319700, $79.2, $82.04, $79.2
12/11/2020, $78.78, 438544, $81.16, $81.36, $77.82
12/10/2020, $81.79, 446678, $78.09, $83.105, $78.06
12/09/2020, $78.51, 412769, $81.19, $82.35, $78.15
12/08/2020, $81.38, 379265, $81.83, $82.17, $79.525
12/07/2020, $81.95, 321679, $82.12, $82.85, $80.41
12/04/2020, $81.84, 378605, $78.67, $82.265, $78.1
12/03/2020, $78.3, 445546, $78.35, $80.7282, $77.88
12/02/2020, $78, 303362, $78.58, $78.82, $77.37
12/01/2020, $78.72, 535070, $79.1, $79.43, $77.02
11/30/2020, $77.77, 705987, $80.2, $80.59, $76.49
11/27/2020, $80.66, 149664, $80.15, $81.4, $79.43
11/25/2020, $79.8, 368689, $82.21, $82.63, $78.8
11/24/2020, $82.41, 422801, $82, $82.9, $81.19
11/23/2020, $81.34, 328642, $81.14, $81.46, $80.42
11/20/2020, $80.33, 323306, $79.6, $81.42, $79
11/19/2020, $79.74, 386180, $76.5, $79.99, $75.53
11/18/2020, $76.78, 390685, $77.21, $79.3345, $76.61
11/17/2020, $76.92, 541746, $78.68, $78.94, $76.62
11/16/2020, $79.41, 458079, $79.6, $82.25, $78.32
11/13/2020, $79.16, 346993, $78.95, $79.61, $77.18
11/12/2020, $77.54, 386442, $80.09, $80.25, $76.93
11/11/2020, $79.91, 313400, $79.74, $80.05, $78.04
11/10/2020, $78.82, 507660, $79.58, $80.7, $78.16
11/09/2020, $79.78, 785090, $83.5, $84.89, $79.23
11/06/2020, $82.84, 1020682, $84.7, $85.8, $81.16
11/05/2020, $82.5, 556695, $79.39, $83.04, $79
11/04/2020, $78.23, 330757, $76.88, $78.76, $76.01
11/03/2020, $76.87, 226860, $75.58, $77.78, $75.5
11/02/2020, $75.32, 316698, $77.85, $78.39, $74.4739
10/30/2020, $76.67, 254242, $77.25, $77.505, $75.48
10/29/2020, $78.33, 292387, $75.76, $79.41, $75.39
10/28/2020, $76.76, 315976, $79.93, $80.77, $76.75
10/27/2020, $81.54, 379142, $80.09, $82.37, $79.0901
10/26/2020, $80, 236480, $80.26, $80.73, $78.43
10/23/2020, $81.27, 133391, $81.25, $81.59, $80.25
10/22/2020, $80.6, 469137, $79.17, $81.5, $79.17
10/21/2020, $78.98, 234197, $80.83, $81.2, $78.73
10/20/2020, $80.82, 264482, $81.4, $82.21, $80.5
10/19/2020, $80.91, 210310, $81.84, $83.47, $80.31
10/16/2020, $80.9, 164494, $83.33, $83.33, $80.71
10/15/2020, $83.1, 268678, $81.61, $83.19, $80.97
10/14/2020, $83.28, 213989, $85.94, $86.11, $82.915
10/13/2020, $85.99, 362595, $86.28, $87.09, $85.23
10/12/2020, $86.34, 456378, $84.72, $86.86, $83.29
10/09/2020, $84.44, 561909, $82.45, $85.255, $82.33
10/08/2020, $81.49, 225099, $82.42, $82.42, $80.92
10/07/2020, $81.66, 311099, $81.49, $82.845, $81.1
10/06/2020, $80.22, 308582, $81.38, $82.62, $80.06
10/05/2020, $80.98, 277382, $79.06, $81.93, $79.01
10/02/2020, $78.18, 411111, $78.24, $79.89, $76.87
10/01/2020, $80.66, 375444, $81.42, $82.93, $79.595
09/30/2020, $80.42, 343614, $81, $82.16, $80.14
09/29/2020, $80.83, 209659, $81.55, $82.58, $80.615
09/28/2020, $81.06, 341485, $80.11, $81.18, $79.38
09/25/2020, $78.22, 311757, $77.69, $78.56, $76.55
09/24/2020, $78.34, 343289, $76.66, $79.82, $76.39
09/23/2020, $77.14, 394304, $80.91, $81.3, $77.07
09/22/2020, $81.1, 225743, $80.91, $81.2099, $79.76
09/21/2020, $80.89, 348776, $79.93, $81.02, $79.2
09/18/2020, $81.74, 647563, $82.79, $82.97, $80.56
09/17/2020, $82.11, 310445, $80.47, $82.21, $79.95
09/16/2020, $82.24, 296413, $83.52, $84.6499, $81.97
09/15/2020, $83.71, 179725, $83.44, $84.24, $82.99
09/14/2020, $82.92, 436253, $81.59, $83.2, $81.02
09/11/2020, $80.52, 378376, $81, $81.25, $79.65
09/10/2020, $80.03, 301283, $82.34, $83.04, $79.88
09/09/2020, $81.05, 388250, $80.38, $81.18, $79.5
09/08/2020, $78.72, 600167, $80.57, $81.54, $78.7
09/04/2020, $83.38, 494950, $82.34, $84.67, $81.38
09/03/2020, $82.53, 833747, $88.06, $88.06, $80.845
09/02/2020, $88.17, 275739, $88.1, $88.69, $86.23
09/01/2020, $87.37, 363626, $86.13, $88.34, $85.79
08/31/2020, $85.33, 396808, $86.7, $86.92, $84.5
08/28/2020, $86.64, 289170, $86.2, $86.83, $84.91
08/27/2020, $86, 336695, $87.91, $88, $85.2
08/26/2020, $87.74, 342596, $88.51, $88.81, $87.21
08/25/2020, $88.24, 361919, $89, $89, $85.66
08/24/2020, $87.36, 784119, $89.166, $89.4, $86.1379
08/21/2020, $82.01, 201776, $81, $82.15, $80.72
08/20/2020, $81.24, 406668, $82.69, $83.2, $80.72
08/19/2020, $83.5, 200240, $84.55, $85.04, $83.37
08/18/2020, $84.28, 190072, $84.74, $85.09, $83.75
08/17/2020, $84.95, 206891, $85.65, $86.6499, $84.77
08/14/2020, $84.6, 172331, $85.75, $86.16, $84.01
08/13/2020, $85.76, 392530, $85.43, $86.815, $84.9
08/12/2020, $85.8, 437158, $84.35, $86.78, $84.1
08/11/2020, $83.71, 591850, $86.3, $87.23, $83.42
08/10/2020, $86.57, 798590, $88.99, $90.14, $84.66
08/07/2020, $88.99, 723515, $90.24, $92.32, $87.4
08/06/2020, $89.69, 1544163, $84.54, $91.84, $83.6
08/05/2020, $82.7, 730687, $82.92, $83.43, $81.97
08/04/2020, $82.39, 510405, $82.31, $83.07, $81.19
08/03/2020, $82.18, 608401, $80.26, $82.99, $79.7
07/31/2020, $80.02, 290616, $79.9, $80.08, $78.04
07/30/2020, $79.15, 519187, $77.53, $79.2, $77.53
07/29/2020, $78.37, 321519, $77.36, $78.7164, $77.04
07/28/2020, $77.6, 391866, $78.18, $78.55, $77.29
07/27/2020, $78.97, 311772, $79.3, $79.74, $78.1
07/24/2020, $78.19, 496338, $77.58, $79.43, $76.18
07/23/2020, $78.27, 695391, $78.08, $80.4, $77.2362
07/22/2020, $78.44, 580593, $77.6, $78.99, $77.08
07/21/2020, $78.04, 1683328, $78.331, $81.34, $76.73
07/20/2020, $72.05, 445230, $70.59, $72.75, $70.32
07/17/2020, $70.32, 555502, $68.63, $71.04, $68.63
07/16/2020, $68.44, 437820, $66.53, $68.72, $66.06
07/15/2020, $66.92, 470815, $67.49, $67.7, $66.29
07/14/2020, $66.82, 363303, $63.9, $66.82, $63.6301
07/13/2020, $64.61, 338428, $67.49, $68.33, $64.46
07/10/2020, $66.32, 280126, $66.39, $66.49, $64.88
07/09/2020, $66.41, 884063, $67.94, $68.1336, $64.71
07/08/2020, $67.85, 1889914, $67, $70.92, $65.81
07/07/2020, $60.01, 327236, $60.37, $61.21, $59.78
07/06/2020, $60.53, 316129, $60.63, $61.4, $60.15
07/02/2020, $59.24, 279703, $59.4, $59.98, $58.48
07/01/2020, $58.82, 421450, $59.63, $60.14, $58.6
06/30/2020, $60.12, 480907, $58.75, $60.24, $58.18
06/29/2020, $58.68, 406696, $57.12, $58.99, $56.5
06/26/2020, $56.26, 1671567, $58.72, $59.635, $55.59
06/25/2020, $59.8, 341907, $58.78, $59.91, $57.81
06/24/2020, $59.46, 595602, $61.17, $61.57, $58.68
06/23/2020, $61.78, 501705, $62.63, $62.83, $61.5
06/22/2020, $62.5, 497941, $61.46, $63.29, $60.7
06/19/2020, $61.56, 679866, $63.37, $64.5, $61.28
06/18/2020, $62.45, 319274, $63.46, $63.7327, $62.38
06/17/2020, $63.79, 392836, $65.16, $65.16, $63.63
06/16/2020, $64.6, 389405, $65.6, $65.6, $62.85
06/15/2020, $63.14, 326815, $60.51, $63.61, $60.51
06/12/2020, $62.61, 486357, $64.24, $64.25, $60.59
06/11/2020, $62.43, 487243, $64.99, $65.92, $62.36
06/10/2020, $67.11, 504831, $69.89, $70.13, $66.27
06/09/2020, $69.52, 452088, $68.11, $71, $67.23
06/08/2020, $69.16, 517118, $72.37, $72.37, $67.63
06/05/2020, $72.26, 1033950, $69.3, $73.16, $68.7062
06/04/2020, $67.55, 283128, $67.61, $69.1, $66.54
06/03/2020, $68.12, 433949, $68.32, $70, $67.2
06/02/2020, $67.1, 832261, $63.56, $67.41, $62.42
06/01/2020, $62.88, 381712, $63.69, $65.16, $62.77
05/29/2020, $63.72, 287696, $62.16, $63.96, $61.4
05/28/2020, $62.32, 577173, $64.7, $64.75, $61.97
05/27/2020, $64.18, 338175, $63.95, $65.5, $61.1
05/26/2020, $63.67, 443877, $65.04, $66.8, $63.09
05/22/2020, $63.5, 235361, $62.83, $63.7, $61.58
05/21/2020, $62.41, 433106, $64.24, $64.5, $62.195
05/20/2020, $64.45, 419798, $62.15, $64.69, $61.36
05/19/2020, $60.56, 369850, $62.1, $62.75, $60.52
05/18/2020, $61.85, 588441, $61.19, $63.13, $60.39
05/15/2020, $58.96, 1341853, $63.08, $63.08, $57.175
05/14/2020, $64.41, 421800, $62.5, $64.64, $61.335
05/13/2020, $63.46, 730523, $64.45, $65.34, $61.67
05/12/2020, $65.25, 386754, $66.4, $68.27, $65.25
05/11/2020, $66.17, 670598, $67.14, $67.235, $64.86
05/08/2020, $67.41, 948979, $66.94, $68.64, $65.7233
05/07/2020, $69.01, 722445, $67.59, $69.4929, $65.82
05/06/2020, $66.3, 393927, $65.51, $67.925, $64.34
05/05/2020, $64.63, 579232, $62.57, $65.52, $62.355
05/04/2020, $61.93, 384091, $62, $62.82, $60.77
05/01/2020, $63.07, 567978, $64.09, $64.3, $62.27
04/30/2020, $65.39, 650435, $68.79, $68.79, $64.54
04/29/2020, $69.77, 518260, $66.99, $70.18, $66.01
04/28/2020, $65.69, 292279, $66.97, $68.39, $65.29
04/27/2020, $66, 463944, $64.09, $66.8, $64
04/24/2020, $63.43, 401197, $61.65, $63.73, $60.64
04/23/2020, $61.15, 379464, $61.68, $62.4399, $60.88
04/22/2020, $60.92, 305535, $59.62, $61.07, $58.71
04/21/2020, $57.24, 434736, $58.19, $58.985, $56.8
04/20/2020, $59.4, 330624, $58.39, $60.65, $58.01
04/17/2020, $59.58, 432735, $62, $62.425, $58.5
04/16/2020, $60.83, 372163, $59.71, $60.88, $58.84
04/15/2020, $58.97, 359548, $60.85, $61.78, $57.785
04/14/2020, $62.21, 440536, $60.38, $62.39, $59.68
04/13/2020, $58.02, 956810, $57.16, $58.32, $56.14
04/09/2020, $57.44, 453845, $60.06, $62.93, $56.285
04/08/2020, $61.02, 576314, $59.61, $61.51, $58.99
04/07/2020, $58.5, 835548, $61.89, $63.26, $58.26
04/06/2020, $60.06, 566848, $57.02, $60.255, $56.91
04/03/2020, $54.09, 528713, $53.44, $55.24, $53.07
04/02/2020, $53.84, 594632, $54.42, $56.385, $52.32
04/01/2020, $55.08, 703189, $54.83, $58.11, $54.5
03/31/2020, $57.87, 1201316, $52.65, $58.85, $52.05
03/30/2020, $59.65, 498877, $59.17, $60.26, $57.835
03/27/2020, $58.86, 873084, $56.27, $60.45, $56.27
03/26/2020, $59, 610836, $53.55, $59.34, $53.38
03/25/2020, $53.06, 657171, $54.6, $55.87, $51.16
03/24/2020, $54.36, 704291, $51.57, $55.7, $51.57
03/23/2020, $49.23, 627424, $48.04, $50.98, $45.86
03/20/2020, $47.56, 1255008, $47.3, $49.83, $45.46
03/19/2020, $48.54, 876876, $48.33, $51.76, $46.48
03/18/2020, $48.36, 860925, $54.09, $57.29, $44.4101
03/17/2020, $58.29, 1109363, $54.95, $59.59, $52.99
03/16/2020, $54.12, 946486, $50.93, $58.46, $50.93
03/13/2020, $60, 999114, $60.44, $60.5961, $54.74
03/12/2020, $57.04, 849622, $60.72, $62.55, $57
03/11/2020, $64.4, 777724, $66.37, $68.31, $62.86
03/10/2020, $68.32, 1243895, $68.56, $69.99, $64.49
03/09/2020, $66.02, 1223656, $64.23, $67.5, $63
03/06/2020, $67.96, 962630, $67.61, $68.74, $65.87
03/05/2020, $70.28, 503665, $70.73, $71.59, $69.01
03/04/2020, $72.95, 867346, $70.56, $73.13, $70.25
03/03/2020, $69.55, 973275, $69.96, $73.145, $68.54
03/02/2020, $69.71, 917681, $66.15, $69.91, $65.2085
02/28/2020, $66.05, 1063447, $61.94, $66.3508, $61.94
02/27/2020, $64.47, 1414259, $66.91, $67.65, $64.43
02/26/2020, $69.265, 666461, $71.2, $72.09, $69
02/25/2020, $71.06, 588791, $71.78, $72.01, $70.3839
02/24/2020, $71.32, 1586853, $73.56, $74.47, $70.4
02/21/2020, $76.16, 510355, $77.26, $77.64, $75.6
02/20/2020, $77.76, 554529, $79.63, $79.89, $75.58
02/19/2020, $79.77, 585696, $79.09, $80.06, $78.6
02/18/2020, $78.62, 651874, $80.6, $81.29, $78.45
02/14/2020, $81.36, 421704, $81.89, $82.405, $80.81
02/13/2020, $81.45, 603035, $80.9, $82.16, $80.25
02/12/2020, $82.22, 487795, $82.55, $83.16, $80.92
02/11/2020, $81.61, 725286, $83.17, $84.28, $81.455
02/10/2020, $82.54, 1477061, $83.37, $83.99, $81.05
02/07/2020, $84.53, 5241394, $80, $84.75, $79.1035
02/06/2020, $70.1, 1042499, $70.43, $70.8805, $69.17
02/05/2020, $70.11, 739544, $70.7, $71.18, $69.43
02/04/2020, $69.6, 579567, $70.07, $71.2, $68.26
02/03/2020, $68.58, 757369, $67.45, $68.64, $66.84
01/31/2020, $66.69, 533617, $68.75, $68.75, $65.915
01/30/2020, $68.91, 462016, $68.04, $68.98, $67.16
01/29/2020, $68.23, 428385, $70.24, $70.32, $67.99
01/28/2020, $70, 455149, $69.66, $70.39, $69.155
01/27/2020, $68.62, 560123, $68.97, $70, $67.7
01/24/2020, $71.21, 818836, $74.99, $75.48, $70.0624
01/23/2020, $74.28, 669438, $74.1, $74.38, $72.39
01/22/2020, $74.25, 800358, $71.82, $75, $71.56
01/21/2020, $71.29, 870775, $72.5, $73.59, $71.22
01/17/2020, $72.465, 1905666, $71.73, $72.625, $71.29
01/16/2020, $71.52, 880035, $70.83, $71.65, $70.15
01/15/2020, $69.1, 601906, $68.59, $69.265, $68.3
01/14/2020, $68.92, 418204, $69.54, $69.77, $68.27
01/13/2020, $69.38, 411052, $68, $69.69, $67.71
01/10/2020, $67.74, 460734, $69.42, $69.42, $66.39
01/09/2020, $68.98, 645488, $69.24, $70.01, $67.6077
01/08/2020, $69.38, 1076999, $67.91, $69.7948, $67.81
01/07/2020, $67.51, 950079, $70.19, $70.52, $67.49
01/06/2020, $69.8, 1205020, $67.22, $69.98, $66.5903
01/03/2020, $68.2, 1159657, $68.78, $69.22, $67.2
01/02/2020, $66.26, 414984, $66.75, $67.06, $65.31
12/31/2019, $65.77, 387367, $66.16, $66.48, $65.61
12/30/2019, $66.28, 298005, $66.72, $67.39, $65.34
12/27/2019, $66.89, 233362, $66.93, $67.19, $66.11
12/26/2019, $66.71, 195701, $67.1, $67.33, $66.135
12/24/2019, $66.69, 153236, $66.86, $66.98, $66.39
12/23/2019, $66.87, 400262, $68.32, $68.34, $66.63
12/20/2019, $67.85, 795425, $68.76, $68.9, $66.5809
12/19/2019, $68.65, 971711, $67.19, $68.68, $65.27
12/18/2019, $65.55, 578409, $65.15, $65.67, $64.09
12/17/2019, $64.84, 1237035, $61.18, $65.15, $61
