Date, Close/Last, Volume, Open, High, Low
03/24/2021, $16, 1423722, $16.85, $16.88, $15.77
03/23/2021, $16.53, 2770713, $16.25, $17.3, $15.51
03/22/2021, $16.37, 1582680, $16.76, $17.59, $16.29
03/19/2021, $16.45, 3767619, $17.55, $18.29, $16.38
03/18/2021, $17.76, 7434981, $18.31, $18.69, $17.25
03/17/2021, $25.7, 808980, $24.89, $25.77, $24.21
03/16/2021, $25.02, 598403, $25.47, $26.3, $24.1001
03/15/2021, $25.24, 549333, $24.73, $25.59, $24.18
03/12/2021, $24.6, 757707, $25.17, $25.4, $23.66
03/11/2021, $24.08, 552359, $23.81, $24.35, $23.41
03/10/2021, $23.19, 623918, $24.37, $24.91, $22.96
03/09/2021, $23.82, 605958, $22.3, $24.3, $22
03/08/2021, $21.75, 735660, $22.18, $22.74, $21.4304
03/05/2021, $22.23, 1010897, $21.23, $22.34, $20.195
03/04/2021, $21.29, 1290024, $21.4, $21.98, $20.4
03/03/2021, $21.45, 811745, $22.01, $22.21, $21.41
03/02/2021, $21.98, 1053707, $23.55, $23.7452, $21.96
03/01/2021, $23.8, 914665, $24.76, $25.14, $22.89
02/26/2021, $23.34, 1301559, $22.61, $24.32, $22.06
02/25/2021, $22.26, 815439, $22.52, $23.27, $22.14
02/24/2021, $22.53, 705865, $23.07, $23.39, $22.1
02/23/2021, $22.9, 1148351, $22.7, $23.24, $21.4
02/22/2021, $23.42, 775110, $24.67, $25.31, $23.33
02/19/2021, $25.17, 834130, $25.4, $26.18, $24.81
02/18/2021, $25.36, 767720, $26.75, $26.99, $25.14
02/17/2021, $27.3, 916825, $26.72, $27.42, $25.38
02/16/2021, $26.52, 1068774, $27.28, $28.15, $26.31
02/12/2021, $27.59, 545306, $27.41, $28.22, $27.09
02/11/2021, $27.61, 1228914, $29.45, $29.58, $27.05
02/10/2021, $28.86, 1155467, $30.03, $31.09, $28.2601
02/09/2021, $29.27, 2349270, $33.75, $33.8, $29.19
02/08/2021, $34.33, 1938493, $32.05, $34.64, $31.58
02/05/2021, $30.92, 2470108, $26.55, $31.19, $26.3
02/04/2021, $26.7, 916525, $26.31, $26.99, $25.81
02/03/2021, $25.73, 1121667, $24.04, $26.5, $23.82
02/02/2021, $24.2, 1482028, $24.08, $24.5, $22.25
02/01/2021, $24.46, 1454845, $24.1, $24.64, $22.6
01/29/2021, $23.88, 1869956, $23.625, $25.98, $23.25
01/28/2021, $22.34, 611223, $22.65, $23.37, $22.05
01/27/2021, $22.54, 909187, $22.59, $23.8899, $22.01
01/26/2021, $23.14, 934020, $25.03, $25.75, $22.96
01/25/2021, $24.63, 940485, $23.22, $25.16, $23.16
01/22/2021, $23.03, 507498, $22.3, $23.4, $22.21
01/21/2021, $22.53, 956232, $22.43, $22.9399, $21.43
01/20/2021, $22.26, 748629, $23.12, $23.14, $22.23
01/19/2021, $22.98, 1526831, $23.38, $23.7999, $22.42
01/15/2021, $23.33, 941756, $23.35, $24.08, $22.62
01/14/2021, $23.36, 558754, $23, $23.54, $22.39
