Date, Close/Last, Volume, Open, High, Low
03/24/2021, $15.57, 101, $15.57, $15.57, $15.57
03/23/2021, $15.65, 530, $15.69, $15.69, $15.65
03/22/2021, $16.52, 463, $16.52, $16.52, $16.52
03/19/2021, $16.26, N/A, $16.26, $16.26, $16.26
03/18/2021, $16.26, N/A, $16.26, $16.26, $16.26
03/17/2021, $16.26, N/A, $16.26, $16.26, $16.26
03/16/2021, $16.26, N/A, $16.26, $16.26, $16.26
03/15/2021, $16.26, N/A, $16.26, $16.26, $16.26
03/12/2021, $16.26, N/A, $16.26, $16.26, $16.26
03/11/2021, $16.26, 4297, $15.0711, $17, $15
03/10/2021, $14.3399, N/A, $14.3399, $14.3399, $14.3399
03/09/2021, $14.3399, N/A, $14.3399, $14.3399, $14.3399
03/08/2021, $14.3399, N/A, $14.3399, $14.3399, $14.3399
03/05/2021, $14.3399, 728, $14.3399, $14.3399, $14.3399
03/04/2021, $16, N/A, $16, $16, $16
03/03/2021, $16, N/A, $16, $16, $16
03/02/2021, $16, 258, $16.55, $16.55, $16
03/01/2021, $17.67, 924, $16.4, $17.67, $16.36
02/26/2021, $16.74, 4649, $21.53, $21.55, $16.1
02/25/2021, $16.33, 2421, $19.8, $19.8, $16.33
02/24/2021, $21.97, 1540, $18.35, $21.97, $17.68
02/23/2021, $18.35, 2656, $20.13, $20.13, $17.2927
02/22/2021, $25, 8217, $21.18, $25.69, $20.2
02/19/2021, $19.8, 4288, $20.35, $23.63, $19.8
02/18/2021, $17.14, 481, $17.14, $17.14, $17.14
02/17/2021, $17.2685, 200, $17.24, $17.2685, $17.24
02/16/2021, $17.85, 207, $17.85, $17.85, $17.85
02/12/2021, $17.01, 583, $17.01, $17.01, $17.01
02/11/2021, $18.53, 625, $18.53, $18.53, $18.53
02/10/2021, $18.19, 228, $18.19, $18.19, $18.19
02/09/2021, $18.0145, 1173, $17.33, $18.548, $17.11
02/08/2021, $17.01, 1076, $17.99, $17.99, $17.01
02/05/2021, $17, 3310, $18.47, $18.47, $17
02/04/2021, $18.7, 3418, $18.7, $20, $18.7
02/03/2021, $16.895, 1411, $17.12, $17.12, $16.895
02/02/2021, $16, N/A, $16, $16, $16
02/01/2021, $16, 1158, $14.6, $16, $14.6
01/29/2021, $15.4999, 401, $15.4999, $15.4999, $15.4999
01/28/2021, $15.01, N/A, $15.01, $15.01, $15.01
01/27/2021, $15.01, N/A, $15.01, $15.01, $15.01
01/26/2021, $15.01, 654, $15.01, $15.01, $15.01
01/25/2021, $16, 2300, $15.63, $16.84, $15.61
01/22/2021, $15.6, N/A, $15.6, $15.6, $15.6
01/21/2021, $15.6, N/A, $15.6, $15.6, $15.6
01/20/2021, $15.6, N/A, $15.6, $15.6, $15.6
01/19/2021, $15.6, 1770, $15.01, $15.606, $15.01
01/15/2021, $16.24, N/A, $16.24, $16.24, $16.24
01/14/2021, $16.24, N/A, $16.24, $16.24, $16.24
01/13/2021, $16.24, N/A, $16.24, $16.24, $16.24
01/12/2021, $16.24, N/A, $16.24, $16.24, $16.24
01/11/2021, $16.24, N/A, $16.24, $16.24, $16.24
01/08/2021, $16.24, 505, $16.24, $16.24, $16.24
01/07/2021, $16.16, N/A, $16.16, $16.16, $16.16
01/06/2021, $16.16, 701, $15.47, $16.16, $14.6999
01/05/2021, $14.7, 380, $14.7, $14.7, $14.7
01/04/2021, $14.75, N/A, $14.75, $14.75, $14.75
12/31/2020, $14.75, 200, $14.75, $14.75, $14.75
12/30/2020, $14.75, 200, $14.75, $14.75, $14.75
12/29/2020, $14.53, 301, $16.01, $16.01, $14.53
12/28/2020, $15, N/A, $15, $15, $15
12/24/2020, $15, N/A, $15, $15, $15
12/23/2020, $15, 720, $14.5, $15.42, $14.5
12/22/2020, $13.9, N/A, $13.9, $13.9, $13.9
12/21/2020, $13.9, 1400, $13.9, $13.9, $13.9
12/18/2020, $14, N/A, $14, $14, $14
12/17/2020, $14, 298, $14.5, $14.5, $14
12/16/2020, $17.75, N/A, $17.75, $17.75, $17.75
12/15/2020, $17.75, N/A, $17.75, $17.75, $17.75
12/14/2020, $17.75, 1608, $16.26, $17.75, $16.26
12/11/2020, $16.5086, 707, $16.5086, $16.5086, $16.5086
12/10/2020, $16.26, 4337, $18.0633, $18.0633, $16.26
12/09/2020, $19.67, N/A, $19.67, $19.67, $19.67
12/08/2020, $19.67, 489, $19.7, $19.7, $19.67
12/07/2020, $19.7, 601, $19.955, $20.1, $19.7
12/04/2020, $20.1, 904, $20.85, $20.9, $20
12/03/2020, $21.1, 1584, $23, $25, $21.1
12/02/2020, $19.79, 301, $19.79, $19.79, $19.79
12/01/2020, $18.4681, 648, $18.2531, $18.4681, $18.2531
11/30/2020, $16.9, 1995, $15.1361, $19.65, $15.1361
11/27/2020, $13.5, 662, $13.5, $13.5, $13.5
11/25/2020, $13.5, 244, $13.5, $13.5, $13.5
11/24/2020, $12.5, 108, $12.5, $12.5, $12.5
11/23/2020, $12.5, N/A, $12.5, $12.5, $12.5
11/20/2020, $12.5, 870, $13.2, $14, $12.5
11/19/2020, $12.4, 3527, $12, $12.4, $12
11/18/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/17/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/16/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/13/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/12/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/11/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/10/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/09/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/06/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/05/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/04/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/03/2020, $10.82, N/A, $10.82, $10.82, $10.82
11/02/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/30/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/29/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/28/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/27/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/26/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/23/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/22/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/21/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/20/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/19/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/16/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/15/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/14/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/13/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/12/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/09/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/08/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/07/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/06/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/05/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/02/2020, $10.82, N/A, $10.82, $10.82, $10.82
10/01/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/30/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/29/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/28/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/25/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/24/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/23/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/22/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/21/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/18/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/17/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/16/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/15/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/14/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/11/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/10/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/09/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/08/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/04/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/03/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/02/2020, $10.82, N/A, $10.82, $10.82, $10.82
09/01/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/31/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/28/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/27/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/26/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/25/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/24/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/21/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/20/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/19/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/18/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/17/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/14/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/13/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/12/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/11/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/10/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/07/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/06/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/05/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/04/2020, $10.82, N/A, $10.82, $10.82, $10.82
08/03/2020, $10.82, N/A, $10.82, $10.82, $10.82
07/31/2020, $10.82, N/A, $10.82, $10.82, $10.82
07/30/2020, $10.82, N/A, $10.82, $10.82, $10.82
07/29/2020, $10.82, N/A, $10.82, $10.82, $10.82
07/28/2020, $10.82, N/A, $10.82, $10.82, $10.82
07/27/2020, $10.82, 400, $10.82, $10.82, $10.82
07/24/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/23/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/22/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/21/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/20/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/17/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/16/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/15/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/14/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/13/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/10/2020, $15.0903, N/A, $15.0903, $15.0903, $15.0903
07/09/2020, $15.0903, 600, $15, $15.0903, $15
07/08/2020, $12.675, N/A, $12.675, $12.675, $12.675
07/07/2020, $12.675, N/A, $12.675, $12.675, $12.675
07/06/2020, $12.675, N/A, $12.675, $12.675, $12.675
07/02/2020, $12.675, N/A, $12.675, $12.675, $12.675
07/01/2020, $12.675, 345, $12.675, $12.675, $12.675
06/30/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/29/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/26/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/25/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/24/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/23/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/22/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/19/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/18/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/17/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/16/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/15/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/12/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/11/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/10/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/09/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/08/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/05/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/04/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/03/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/02/2020, $10.474, N/A, $10.474, $10.474, $10.474
06/01/2020, $10.474, N/A, $10.474, $10.474, $10.474
05/29/2020, $10.474, N/A, $10.474, $10.474, $10.474
05/28/2020, $10.474, 400, $10.474, $10.474, $10.474
05/27/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/26/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/22/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/21/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/20/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/19/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/18/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/15/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/14/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/13/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/12/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/11/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/08/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/07/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/06/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/05/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/04/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
05/01/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/30/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/29/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/28/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/27/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/24/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/23/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/22/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/21/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/20/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/17/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/16/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/15/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/14/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/13/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/09/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/08/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/07/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/06/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/03/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/02/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
04/01/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
03/31/2020, $10.5764, 10000, $10.5764, $10.5764, $10.5764
03/30/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
03/27/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
03/26/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
03/25/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
03/24/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
03/23/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
03/20/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
03/19/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
03/18/2020, $10.5764, N/A, $10.5764, $10.5764, $10.5764
