Date, Close/Last, Volume, Open, High, Low
01/20/2021, $9.75, 4701, $9.75, $9.75, $9.75
01/19/2021, $9.74, 100, $9.74, $9.74, $9.74
01/15/2021, $9.7475, 1003, $9.7475, $9.7475, $9.7475
01/14/2021, $9.75, 1979, $9.5, $9.75, $9.5
01/13/2021, $9.45, 803, $9.45, $9.45, $9.45
01/12/2021, $9.75, 100, $9.75, $9.75, $9.75
01/11/2021, $9.74, N/A, $9.74, $9.74, $9.74
01/08/2021, $9.74, 11181, $9.8, $9.9, $9.7
01/07/2021, $9.9, 8208, $9.9, $9.95, $9.85
01/06/2021, $9.208, 7824, $9, $9.5, $9
01/05/2021, $9.01, 9202, $8.3, $9.01, $8.3
01/04/2021, $8.5829, 4531, $8.7, $8.7, $8.53
12/31/2020, $8.565, 17129, $8.3, $8.6955, $8.2216
12/30/2020, $8.6, 5118, $8.6, $8.6, $8.5
12/29/2020, $8.5, 3520, $8.6955, $8.6955, $8.5
12/28/2020, $8.6, 11697, $8.6, $8.6, $8.45
12/24/2020, $8.7, N/A, $8.7, $8.7, $8.7
12/23/2020, $8.7, 500, $8.7, $8.7, $8.7
12/22/2020, $8.45, 275, $8.45, $8.45, $8.45
12/21/2020, $8.35, N/A, $8.35, $8.35, $8.35
12/18/2020, $8.35, 11610, $8.52, $8.52, $8.35
12/17/2020, $8.5001, 2934, $8.67, $8.7, $8.5
12/16/2020, $8.5, 5000, $8.5, $8.5, $8.5
12/15/2020, $8.6, N/A, $8.6, $8.6, $8.6
12/14/2020, $8.6, 1050, $8.66, $8.66, $8.6
12/11/2020, $8.66, 2330, $8.78, $8.78, $8.66
12/10/2020, $8.5, 2561, $8.5, $8.5, $8.38
12/09/2020, $8.51, 1300, $8.51, $8.51, $8.51
12/08/2020, $8.75, 16589, $8.45, $8.75, $8.27
12/07/2020, $8.4, 3800, $8.4, $8.4, $8.4
12/04/2020, $8.1, 3105, $8.1, $8.1, $8.1
12/03/2020, $8.125, 11200, $8.29, $8.293, $8.1
12/02/2020, $8.3, 9041, $8.27, $8.39, $8.27
12/01/2020, $8.2662, N/A, $8.2662, $8.2662, $8.2662
11/30/2020, $8.2662, 1000, $8.2662, $8.2662, $8.2662
11/27/2020, $8.15, N/A, $8.15, $8.15, $8.15
11/25/2020, $8.15, 1268, $8, $8.15, $7.9
11/24/2020, $7.8501, 4178, $8.43, $8.43, $7.8501
11/23/2020, $8.45, 200, $8.49, $8.49, $8.45
11/20/2020, $8.25, N/A, $8.25, $8.25, $8.25
11/19/2020, $8.25, 7077, $8.1, $8.25, $8
