Date, Close/Last, Volume, Open, High, Low
01/20/2021, $16.19, 155031, $16.4, $16.51, $16.17
01/19/2021, $16.31, 118036, $16.57, $16.66, $16.08
01/15/2021, $16.42, 141135, $16.8, $16.88, $16.33
01/14/2021, $17.17, 184380, $16.88, $17.26, $16.85
01/13/2021, $16.82, 222773, $16.8, $17, $16.41
01/12/2021, $16.98, 159094, $16.9, $17, $16.66
01/11/2021, $16.87, 145382, $16.44, $16.9, $16.44
01/08/2021, $16.7, 166573, $17.39, $17.39, $16.4742
01/07/2021, $17.3, 322627, $17.64, $17.721, $16.64
01/06/2021, $17.46, 447177, $17, $17.84, $16.97
01/05/2021, $16.7, 229187, $16.28, $16.91, $16.28
01/04/2021, $16.19, 390415, $16.97, $17.15, $15.81
12/31/2020, $16.7, 228191, $16.49, $16.86, $16.22
12/30/2020, $16.48, 148377, $16.57, $16.66, $16.11
12/29/2020, $16.57, 394308, $16.39, $16.66, $16.27
12/28/2020, $16.52, 431893, $16.08, $16.66, $15.96
12/24/2020, $16.04, 184582, $16.46, $16.46, $15.79
12/23/2020, $16.31, 502793, $15.47, $16.59, $15.26
12/22/2020, $15.47, 567910, $15.3, $15.48, $14.74
12/21/2020, $15.25, 891264, $14.01, $15.31, $14.01
12/18/2020, $20.45, 2347633, $19.58, $20.56, $19.5
12/17/2020, $19.51, 613733, $20.09, $20.11, $19.12
12/16/2020, $19.8, 559180, $19.66, $20.05, $19.32
12/15/2020, $19.7, 424377, $19.6, $20.04, $19.32
12/14/2020, $19.55, 880950, $19.51, $20.02, $18.74
12/11/2020, $20.81, 597032, $21.5, $21.9, $20.09
12/10/2020, $22.03, 635763, $22.03, $22.36, $21.3607
12/09/2020, $23.08, 438631, $23.4, $23.5, $22.5
12/08/2020, $23.26, 419873, $22.56, $23.35, $22.24
12/07/2020, $22.61, 605507, $22.94, $23.71, $22.515
12/04/2020, $22.53, 497335, $21.4, $22.53, $21.4
12/03/2020, $21.4, 621707, $21.93, $22.15, $21.0601
12/02/2020, $21.55, 1919991, $21.13, $22.25, $20.3
12/01/2020, $16.595, 149253, $16.13, $16.78, $16.13
11/30/2020, $15.81, 279484, $16.25, $16.484, $15.75
11/27/2020, $16.32, 40444, $16.5, $16.5273, $16.07
11/25/2020, $16.54, 79024, $17.05, $17.05, $16.26
11/24/2020, $17.18, 104463, $16.43, $17.27, $16.38
11/23/2020, $16.08, 81034, $15.94, $16.26, $15.94
11/20/2020, $15.81, 85111, $15.7, $15.93, $15.66
11/19/2020, $15.9, 113548, $15.49, $15.93, $15.42
11/18/2020, $15.58, 122887, $15.95, $16.2, $15.57
11/17/2020, $15.94, 117729, $15.8, $16.07, $15.6
11/16/2020, $16, 93144, $15.94, $16.21, $15.791
11/13/2020, $15.67, 72741, $15.54, $15.849, $15.35
11/12/2020, $15.32, 116998, $15.81, $15.81, $15.08
11/11/2020, $15.98, 68203, $16.32, $16.49, $15.6901
11/10/2020, $16.26, 109885, $15.52, $16.33, $15.5
11/09/2020, $15.32, 146379, $15.53, $16.61, $15.04
