Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10.06, 219924, $10.075, $10.1, $10.05
03/23/2021, $10.08, 183730, $10.1, $10.12, $10.07
03/22/2021, $10.11, 98491, $10.09, $10.14, $10.07
03/19/2021, $10.12, 206680, $10.11, $10.15, $10.0701
03/18/2021, $10.08, 327249, $10.18, $10.2, $10.05
03/17/2021, $10.14, 190085, $10.12, $10.17, $10.1
03/16/2021, $10.17, 172399, $10.15, $10.2, $10.11
03/15/2021, $10.15, 44544, $10.2, $10.2, $10.1011
03/12/2021, $10.22, 139269, $10.11, $10.22, $10.09
03/11/2021, $10.14, 164124, $10.13, $10.15, $10.07
03/10/2021, $10.13, 71645, $10.13, $10.13, $10.06
03/09/2021, $10.08, 67563, $10.082, $10.13, $10.051
03/08/2021, $10.1, 114041, $10.08, $10.16, $10.06
03/05/2021, $10.14, 487824, $10.03, $10.17, $10.02
03/04/2021, $10.03, 1063394, $10.05, $10.15, $10
03/03/2021, $10.07, 208381, $10.37, $10.42, $10.05
03/02/2021, $10.38, 259927, $10.41, $10.56, $10.25
03/01/2021, $10.59, 182243, $10.45, $10.645, $10.37
02/26/2021, $10.4, 150872, $10.34, $10.49, $10.27
02/25/2021, $10.39, 228302, $10.61, $10.7, $10.34
02/24/2021, $10.65, 184701, $10.65, $10.84, $10.62
02/23/2021, $10.84, 525207, $10.73, $10.88, $10.47
02/22/2021, $10.92, 215685, $10.89, $11, $10.81
02/19/2021, $11, 313199, $10.95, $11.15, $10.85
02/18/2021, $11, 217896, $10.86, $11.04, $10.85
02/17/2021, $11, 236298, $10.98, $11.02, $10.87
02/16/2021, $11.09, 325317, $11.07, $11.1, $10.95
02/12/2021, $11.08, 330830, $11.04, $11.11, $10.9528
02/11/2021, $10.98, 373094, $11.23, $11.2492, $10.8611
02/10/2021, $11.25, 298856, $11.25, $11.3027, $11.11
02/09/2021, $11.21, 230568, $11.4, $11.45, $11.2
02/08/2021, $11.43, 353864, $11.49, $11.49, $11.32
02/05/2021, $11.46, 546703, $11.47, $11.55, $11.22
02/04/2021, $11.45, 234611, $11.34, $11.4759, $11.27
02/03/2021, $11.47, 610413, $11.12, $11.48, $11.08
02/02/2021, $11, 534171, $11.12, $11.25, $10.895
02/01/2021, $11.21, 698070, $10.9, $11.25, $10.9
01/29/2021, $10.76, 164327, $10.76, $10.8178, $10.749
01/28/2021, $10.82, 151521, $10.75, $10.85, $10.72
01/27/2021, $10.775, 912006, $10.76, $10.85, $10.699
01/26/2021, $10.96, 463745, $10.85, $11.01, $10.81
01/25/2021, $10.85, 387427, $10.9, $10.9, $10.76
01/22/2021, $10.9, 324971, $10.88, $10.94, $10.8
01/21/2021, $11, 311004, $10.9, $11.05, $10.85
01/20/2021, $10.92, 273581, $10.83, $10.97, $10.83
01/19/2021, $10.98, 678643, $10.98, $11, $10.8
01/15/2021, $10.76, 528000, $10.94, $10.99, $10.73
01/14/2021, $11, 308642, $10.94, $11, $10.845
01/13/2021, $10.88, 333338, $10.77, $10.92, $10.77
01/12/2021, $10.77, 637429, $10.71, $10.8, $10.65
01/11/2021, $10.71, 723394, $10.67, $10.75, $10.66
01/08/2021, $10.78, 490070, $10.8, $10.8399, $10.7
01/07/2021, $10.75, 867182, $10.79, $10.79, $10.65
01/06/2021, $10.67, 603152, $10.79, $10.92, $10.65
01/05/2021, $10.82, 372533, $10.79, $10.95, $10.7101
01/04/2021, $10.91, 632153, $11.01, $11.02, $10.65
12/31/2020, $11.01, 518058, $11.08, $11.19, $10.95
12/30/2020, $11.22, 657061, $11.24, $11.3, $11.09
12/29/2020, $11.17, 2772729, $11.18, $11.54, $11
12/28/2020, $11.15, 1894187, $11.02, $11.25, $10.92
